ping_id,adjuster_id,timestamp,lat,lon,location_type,is_at_inspection,dwell_time_min
SFAL-00028,ADJ-021,2025-12-15T10:23:00Z,30.7901,-92.2454,office,False,31
SFAL-00029,ADJ-001,2025-12-15T10:26:00Z,42.3208,-116.1111,field_inspection,True,56
SFAL-00030,ADJ-025,2025-12-15T10:27:00Z,39.2729,-119.414,body_shop,False,65
SFAL-00031,ADJ-010,2025-12-15T10:30:00Z,29.0216,-111.9742,office,False,32
SFAL-00032,ADJ-030,2025-12-15T10:35:00Z,38.7978,-73.7874,accident_scene,False,44
SFAL-00033,ADJ-005,2025-12-15T10:37:00Z,32.6541,-81.971,office,False,68
SFAL-00034,ADJ-026,2025-12-15T10:40:00Z,39.8922,-107.6446,office,False,31
SFAL-00035,ADJ-028,2025-12-15T10:44:00Z,32.9548,-110.0242,hospital,False,8
SFAL-00036,ADJ-030,2025-12-15T10:47:00Z,47.3454,-81.2252,accident_scene,False,30
SFAL-00037,ADJ-020,2025-12-15T10:49:00Z,37.1202,-113.0474,accident_scene,False,2
SFAL-00038,ADJ-003,2025-12-15T10:52:00Z,27.2327,-112.588,accident_scene,False,20
SFAL-00039,ADJ-007,2025-12-15T10:54:00Z,27.7095,-91.9795,in_transit,False,0
SFAL-00040,ADJ-026,2025-12-15T10:57:00Z,30.8752,-118.4745,accident_scene,False,61
SFAL-00041,ADJ-010,2025-12-15T11:00:00Z,41.5047,-109.8864,field_inspection,True,79
SFAL-00042,ADJ-008,2025-12-15T11:04:00Z,31.9492,-99.414,accident_scene,False,27
SFAL-00043,ADJ-009,2025-12-15T11:07:00Z,27.4523,-72.4134,policyholder_home,False,50
SFAL-00044,ADJ-006,2025-12-15T11:10:00Z,35.3661,-96.4774,accident_scene,False,57
SFAL-00045,ADJ-025,2025-12-15T11:12:00Z,43.6493,-81.6317,office,False,50
SFAL-00046,ADJ-014,2025-12-15T11:15:00Z,42.319,-75.0411,hospital,False,70
SFAL-00047,ADJ-005,2025-12-15T11:20:00Z,41.6136,-109.2495,policyholder_home,False,41
SFAL-00048,ADJ-015,2025-12-15T11:22:00Z,33.9157,-91.2897,office,False,44
SFAL-00049,ADJ-005,2025-12-15T11:26:00Z,35.9768,-114.5317,field_inspection,True,2
SFAL-00050,ADJ-001,2025-12-15T11:29:00Z,41.6951,-103.2257,policyholder_home,False,55
SFAL-00051,ADJ-013,2025-12-15T11:32:00Z,33.8719,-97.2881,accident_scene,False,77
SFAL-00052,ADJ-003,2025-12-15T11:34:00Z,45.0815,-71.3877,office,False,51
SFAL-00053,ADJ-030,2025-12-15T11:38:00Z,29.2557,-83.208,body_shop,False,46
SFAL-00054,ADJ-017,2025-12-15T11:41:00Z,36.4008,-87.0428,accident_scene,False,9
SFAL-00055,ADJ-021,2025-12-15T11:43:00Z,45.9908,-84.6133,field_inspection,True,63
SFAL-00056,ADJ-002,2025-12-15T11:46:00Z,39.5179,-87.6641,accident_scene,False,87
SFAL-00057,ADJ-021,2025-12-15T11:48:00Z,31.4231,-99.0433,accident_scene,False,20
SFAL-00058,ADJ-009,2025-12-15T11:51:00Z,38.8871,-73.4834,in_transit,False,0
SFAL-00059,ADJ-006,2025-12-15T11:54:00Z,28.2564,-117.7463,accident_scene,False,51
SFAL-00060,ADJ-013,2025-12-15T11:59:00Z,38.5369,-76.0987,hospital,False,26
SFAL-00061,ADJ-029,2025-12-15T12:01:00Z,29.3315,-100.5161,accident_scene,False,40
SFAL-00062,ADJ-017,2025-12-15T12:05:00Z,40.1208,-102.7864,body_shop,False,54
SFAL-00063,ADJ-025,2025-12-15T12:08:00Z,44.7403,-116.8724,hospital,False,46
SFAL-00064,ADJ-027,2025-12-15T12:09:00Z,31.5916,-111.7094,accident_scene,False,52
SFAL-00065,ADJ-023,2025-12-15T12:13:00Z,25.8406,-113.8275,policyholder_home,False,2
SFAL-00066,ADJ-004,2025-12-15T12:15:00Z,42.645,-100.9813,policyholder_home,False,85
SFAL-00067,ADJ-010,2025-12-15T12:20:00Z,35.1378,-113.4153,field_inspection,True,19
SFAL-00068,ADJ-007,2025-12-15T12:22:00Z,29.6855,-73.6531,policyholder_home,False,74
SFAL-00069,ADJ-027,2025-12-15T12:24:00Z,29.7655,-119.4624,field_inspection,True,26
SFAL-00070,ADJ-009,2025-12-15T12:28:00Z,35.352,-75.482,office,False,83
SFAL-00071,ADJ-006,2025-12-15T12:30:00Z,32.1195,-103.047,body_shop,False,10
SFAL-00072,ADJ-011,2025-12-15T12:33:00Z,38.5257,-97.8883,accident_scene,False,14
SFAL-00073,ADJ-001,2025-12-15T12:36:00Z,31.5272,-73.3065,accident_scene,False,76
SFAL-00074,ADJ-026,2025-12-15T12:39:00Z,27.8208,-95.5998,office,False,50
SFAL-00075,ADJ-020,2025-12-15T12:44:00Z,47.313,-83.2898,policyholder_home,False,62
SFAL-00076,ADJ-025,2025-12-15T12:46:00Z,38.9357,-105.1677,accident_scene,False,45
SFAL-00077,ADJ-011,2025-12-15T12:48:00Z,46.3077,-88.2485,policyholder_home,False,80
SFAL-00078,ADJ-002,2025-12-15T12:52:00Z,44.8204,-80.9771,office,False,60
SFAL-00079,ADJ-028,2025-12-15T12:56:00Z,34.4996,-79.4758,field_inspection,True,5
SFAL-00080,ADJ-020,2025-12-15T12:57:00Z,44.7312,-108.1074,accident_scene,False,33
