contact_id,policyholder_id,claim_id,timestamp,channel,topic,sentiment,wait_time_sec
SCC-00059,PH-021,CLM-00043,2025-12-15T11:56:00Z,in_person,policy_change,negative,334
SCC-00060,PH-001,CLM-00010,2025-12-15T11:58:00Z,email,complaint,frustrated,126
SCC-00061,PH-044,CLM-00027,2025-12-15T12:01:00Z,chat,new_claim,positive,471
SCC-00062,PH-009,CLM-00041,2025-12-15T12:04:00Z,in_person,document_submission,positive,233
SCC-00063,PH-048,CLM-00013,2025-12-15T12:07:00Z,in_person,document_submission,negative,396
SCC-00064,PH-014,CLM-00023,2025-12-15T12:09:00Z,email,new_claim,neutral,24
SCC-00065,PH-024,CLM-00053,2025-12-15T12:13:00Z,phone,coverage_question,frustrated,524
SCC-00066,PH-008,CLM-00045,2025-12-15T12:16:00Z,in_person,complaint,neutral,370
SCC-00067,PH-023,CLM-00054,2025-12-15T12:20:00Z,mobile_app,document_submission,frustrated,353
SCC-00068,PH-008,CLM-00060,2025-12-15T12:21:00Z,mobile_app,complaint,neutral,576
SCC-00069,PH-039,CLM-00011,2025-12-15T12:26:00Z,mobile_app,complaint,neutral,457
SCC-00070,PH-041,CLM-00019,2025-12-15T12:29:00Z,chat,policy_change,positive,99
SCC-00071,PH-007,CLM-00006,2025-12-15T12:32:00Z,phone,document_submission,frustrated,116
SCC-00072,PH-032,CLM-00048,2025-12-15T12:35:00Z,chat,claim_status,negative,525
SCC-00073,PH-038,CLM-00052,2025-12-15T12:36:00Z,in_person,coverage_question,frustrated,226
SCC-00074,PH-015,CLM-00050,2025-12-15T12:40:00Z,chat,complaint,positive,490
SCC-00075,PH-008,CLM-00023,2025-12-15T12:43:00Z,mobile_app,policy_change,negative,415
SCC-00076,PH-001,CLM-00024,2025-12-15T12:45:00Z,chat,coverage_question,neutral,280
SCC-00077,PH-020,CLM-00054,2025-12-15T12:49:00Z,in_person,payment_inquiry,positive,434
SCC-00078,PH-003,CLM-00001,2025-12-15T12:51:00Z,email,policy_change,neutral,541
SCC-00079,PH-048,CLM-00039,2025-12-15T12:55:00Z,web_portal,payment_inquiry,frustrated,450
SCC-00080,PH-016,CLM-00036,2025-12-15T12:58:00Z,email,document_submission,negative,62
