change_id,claim_id,adjuster_id,timestamp,from_status,to_status,trigger,auto_vs_manual
SCSC-00028,CLM-00048,ADJ-009,2025-12-15T10:23:00Z,Assigned,Under_Investigation,system_auto,True
SCSC-00029,CLM-00011,ADJ-010,2025-12-15T10:25:00Z,Subrogation,Closed,supervisor_override,False
SCSC-00030,CLM-00030,ADJ-019,2025-12-15T10:27:00Z,Settlement_Accepted,Subrogation,customer_response,False
SCSC-00031,CLM-00080,ADJ-011,2025-12-15T10:31:00Z,Settlement_Accepted,Subrogation,timer_expiry,False
SCSC-00032,CLM-00056,ADJ-014,2025-12-15T10:34:00Z,Settlement_Accepted,Subrogation,supervisor_override,False
SCSC-00033,CLM-00035,ADJ-013,2025-12-15T10:36:00Z,Under_Investigation,Reserve_Set,timer_expiry,False
SCSC-00034,CLM-00030,ADJ-009,2025-12-15T10:41:00Z,Assigned,Under_Investigation,supervisor_override,False
SCSC-00035,CLM-00011,ADJ-010,2025-12-15T10:44:00Z,Subrogation,Closed,customer_response,False
SCSC-00036,CLM-00011,ADJ-026,2025-12-15T10:46:00Z,Reserve_Set,Estimate_Pending,adjuster_action,False
SCSC-00037,CLM-00016,ADJ-003,2025-12-15T10:49:00Z,FNOL_Received,Assigned,customer_response,False
SCSC-00038,CLM-00026,ADJ-011,2025-12-15T10:51:00Z,Estimate_Approved,Settlement_Offered,supervisor_override,False
SCSC-00039,CLM-00039,ADJ-024,2025-12-15T10:56:00Z,Estimate_Pending,Estimate_Approved,system_auto,True
SCSC-00040,CLM-00078,ADJ-005,2025-12-15T10:59:00Z,Subrogation,Closed,supervisor_override,False
SCSC-00041,CLM-00002,ADJ-025,2025-12-15T11:01:00Z,Estimate_Pending,Estimate_Approved,supervisor_override,False
SCSC-00042,CLM-00052,ADJ-013,2025-12-15T11:05:00Z,FNOL_Received,Assigned,timer_expiry,False
SCSC-00043,CLM-00066,ADJ-025,2025-12-15T11:06:00Z,Settlement_Offered,Settlement_Accepted,system_auto,True
SCSC-00044,CLM-00030,ADJ-024,2025-12-15T11:11:00Z,Reserve_Set,Estimate_Pending,timer_expiry,False
SCSC-00045,CLM-00030,ADJ-017,2025-12-15T11:14:00Z,Subrogation,Closed,timer_expiry,False
SCSC-00046,CLM-00060,ADJ-011,2025-12-15T11:15:00Z,Estimate_Approved,Settlement_Offered,system_auto,True
SCSC-00047,CLM-00055,ADJ-025,2025-12-15T11:20:00Z,Settlement_Offered,Settlement_Accepted,system_auto,True
SCSC-00048,CLM-00057,ADJ-015,2025-12-15T11:23:00Z,FNOL_Received,Assigned,supervisor_override,False
SCSC-00049,CLM-00018,ADJ-019,2025-12-15T11:24:00Z,Estimate_Pending,Estimate_Approved,adjuster_action,False
SCSC-00050,CLM-00064,ADJ-026,2025-12-15T11:29:00Z,Estimate_Approved,Settlement_Offered,supervisor_override,False
SCSC-00051,CLM-00029,ADJ-014,2025-12-15T11:31:00Z,Settlement_Offered,Settlement_Accepted,customer_response,False
SCSC-00052,CLM-00039,ADJ-011,2025-12-15T11:35:00Z,FNOL_Received,Assigned,customer_response,False
SCSC-00053,CLM-00005,ADJ-030,2025-12-15T11:36:00Z,Under_Investigation,Reserve_Set,supervisor_override,False
SCSC-00054,CLM-00073,ADJ-021,2025-12-15T11:41:00Z,Closed,Reopened,customer_response,False
SCSC-00055,CLM-00051,ADJ-013,2025-12-15T11:42:00Z,Settlement_Offered,Settlement_Accepted,adjuster_action,False
SCSC-00056,CLM-00069,ADJ-013,2025-12-15T11:45:00Z,Settlement_Accepted,Subrogation,adjuster_action,False
SCSC-00057,CLM-00043,ADJ-019,2025-12-15T11:49:00Z,Estimate_Pending,Estimate_Approved,adjuster_action,False
SCSC-00058,CLM-00022,ADJ-004,2025-12-15T11:53:00Z,Subrogation,Closed,system_auto,True
SCSC-00059,CLM-00005,ADJ-027,2025-12-15T11:56:00Z,Closed,Reopened,timer_expiry,False
SCSC-00060,CLM-00004,ADJ-006,2025-12-15T11:57:00Z,Assigned,Under_Investigation,timer_expiry,False
SCSC-00061,CLM-00037,ADJ-007,2025-12-15T12:00:00Z,Estimate_Pending,Estimate_Approved,customer_response,False
SCSC-00062,CLM-00009,ADJ-015,2025-12-15T12:03:00Z,Estimate_Approved,Settlement_Offered,customer_response,False
SCSC-00063,CLM-00002,ADJ-006,2025-12-15T12:07:00Z,Settlement_Offered,Settlement_Accepted,timer_expiry,False
SCSC-00064,CLM-00021,ADJ-004,2025-12-15T12:09:00Z,Subrogation,Closed,timer_expiry,False
SCSC-00065,CLM-00062,ADJ-024,2025-12-15T12:12:00Z,Settlement_Offered,Settlement_Accepted,system_auto,True
SCSC-00066,CLM-00017,ADJ-028,2025-12-15T12:15:00Z,Estimate_Pending,Estimate_Approved,timer_expiry,False
SCSC-00067,CLM-00061,ADJ-006,2025-12-15T12:20:00Z,Closed,Reopened,supervisor_override,False
SCSC-00068,CLM-00076,ADJ-007,2025-12-15T12:23:00Z,Settlement_Accepted,Subrogation,supervisor_override,False
SCSC-00069,CLM-00026,ADJ-001,2025-12-15T12:24:00Z,Settlement_Accepted,Subrogation,adjuster_action,False
SCSC-00070,CLM-00052,ADJ-020,2025-12-15T12:27:00Z,Subrogation,Closed,supervisor_override,False
SCSC-00071,CLM-00073,ADJ-029,2025-12-15T12:31:00Z,Settlement_Accepted,Subrogation,timer_expiry,False
SCSC-00072,CLM-00074,ADJ-002,2025-12-15T12:35:00Z,Assigned,Under_Investigation,supervisor_override,False
SCSC-00073,CLM-00059,ADJ-012,2025-12-15T12:38:00Z,Estimate_Pending,Estimate_Approved,timer_expiry,False
SCSC-00074,CLM-00079,ADJ-027,2025-12-15T12:39:00Z,Settlement_Offered,Settlement_Accepted,system_auto,True
SCSC-00075,CLM-00023,ADJ-029,2025-12-15T12:44:00Z,Settlement_Offered,Settlement_Accepted,timer_expiry,False
SCSC-00076,CLM-00050,ADJ-030,2025-12-15T12:47:00Z,Under_Investigation,Reserve_Set,customer_response,False
SCSC-00077,CLM-00013,ADJ-013,2025-12-15T12:50:00Z,FNOL_Received,Assigned,system_auto,True
SCSC-00078,CLM-00021,ADJ-009,2025-12-15T12:53:00Z,Subrogation,Closed,supervisor_override,False
SCSC-00079,CLM-00009,ADJ-023,2025-12-15T12:56:00Z,Reserve_Set,Estimate_Pending,timer_expiry,False
SCSC-00080,CLM-00053,ADJ-025,2025-12-15T12:59:00Z,Assigned,Under_Investigation,supervisor_override,False
