change_id,claim_id,adjuster_id,timestamp,from_status,to_status,documentation_required,time_in_previous_status_hours
CSC-00040,CLM-00025,ADJ-017,2025-10-16T18:24:00Z,Subrogation,Closed,True,40.0
CSC-00041,CLM-00020,ADJ-005,2025-10-26T13:26:00Z,Closed,Reopened,False,14.2
CSC-00042,CLM-00024,ADJ-025,2025-10-11T15:21:00Z,Under_Investigation,Reserve_Set,True,61.1
CSC-00043,CLM-00001,ADJ-015,2025-11-05T11:48:00Z,Under_Investigation,Reserve_Set,True,47.3
CSC-00044,CLM-00012,ADJ-005,2025-12-18T14:40:00Z,Settlement_Offered,Settlement_Accepted,False,41.5
CSC-00045,CLM-00062,ADJ-013,2025-10-01T08:34:00Z,Reserve_Set,Estimate_Pending,True,91.2
CSC-00046,CLM-00042,ADJ-025,2025-12-07T11:01:00Z,FNOL_Received,Assigned,True,22.1
CSC-00047,CLM-00045,ADJ-010,2025-10-17T09:24:00Z,Subrogation,Closed,True,16.5
CSC-00048,CLM-00006,ADJ-010,2025-11-07T15:46:00Z,Subrogation,Closed,True,41.9
CSC-00049,CLM-00018,ADJ-011,2025-12-02T13:48:00Z,Reserve_Set,Estimate_Pending,True,91.0
CSC-00050,CLM-00052,ADJ-001,2025-10-30T11:46:00Z,Under_Investigation,Reserve_Set,True,70.6
CSC-00051,CLM-00076,ADJ-017,2025-10-22T09:23:00Z,FNOL_Received,Assigned,False,84.2
CSC-00052,CLM-00033,ADJ-025,2025-12-08T17:03:00Z,Closed,Reopened,True,63.7
CSC-00053,CLM-00003,ADJ-002,2025-12-28T09:26:00Z,Settlement_Accepted,Subrogation,False,12.3
CSC-00054,CLM-00033,ADJ-016,2025-12-29T10:13:00Z,FNOL_Received,Assigned,True,40.7
CSC-00055,CLM-00013,ADJ-022,2025-12-06T12:39:00Z,Closed,Reopened,True,40.5
CSC-00056,CLM-00014,ADJ-017,2025-12-19T09:18:00Z,Assigned,Under_Investigation,True,48.0
CSC-00057,CLM-00078,ADJ-007,2025-11-03T16:12:00Z,Estimate_Approved,Settlement_Offered,False,28.7
CSC-00058,CLM-00006,ADJ-018,2025-12-03T11:44:00Z,Settlement_Accepted,Subrogation,True,22.9
CSC-00059,CLM-00002,ADJ-022,2025-10-12T09:53:00Z,Closed,Reopened,False,14.7
CSC-00060,CLM-00012,ADJ-025,2025-12-05T09:46:00Z,Assigned,Under_Investigation,True,62.0
CSC-00061,CLM-00059,ADJ-010,2025-11-03T15:03:00Z,Assigned,Under_Investigation,True,84.0
CSC-00062,CLM-00038,ADJ-012,2025-12-26T13:27:00Z,Assigned,Under_Investigation,True,81.8
CSC-00063,CLM-00006,ADJ-001,2025-10-18T18:41:00Z,Under_Investigation,Reserve_Set,True,34.6
CSC-00064,CLM-00057,ADJ-020,2025-11-04T09:23:00Z,Estimate_Approved,Settlement_Offered,True,11.4
CSC-00065,CLM-00052,ADJ-015,2025-11-04T14:44:00Z,Settlement_Accepted,Subrogation,False,62.5
CSC-00066,CLM-00022,ADJ-004,2025-10-17T08:54:00Z,Under_Investigation,Reserve_Set,True,40.2
CSC-00067,CLM-00076,ADJ-016,2025-12-12T18:28:00Z,Under_Investigation,Reserve_Set,False,74.9
CSC-00068,CLM-00079,ADJ-001,2025-12-27T10:30:00Z,Settlement_Accepted,Subrogation,True,85.3
CSC-00069,CLM-00057,ADJ-002,2025-10-09T12:41:00Z,Estimate_Approved,Settlement_Offered,True,67.8
CSC-00070,CLM-00068,ADJ-025,2025-12-13T17:14:00Z,Estimate_Approved,Settlement_Offered,True,41.8
CSC-00071,CLM-00032,ADJ-016,2025-11-14T18:43:00Z,Settlement_Offered,Settlement_Accepted,True,80.6
CSC-00072,CLM-00072,ADJ-029,2025-12-18T08:00:00Z,Under_Investigation,Reserve_Set,False,81.9
CSC-00073,CLM-00022,ADJ-003,2025-12-02T13:15:00Z,Estimate_Approved,Settlement_Offered,True,5.3
CSC-00074,CLM-00029,ADJ-018,2025-12-22T14:25:00Z,Reserve_Set,Estimate_Pending,True,44.3
CSC-00075,CLM-00074,ADJ-015,2025-10-12T15:28:00Z,Estimate_Approved,Settlement_Offered,True,94.2
CSC-00076,CLM-00003,ADJ-004,2025-11-21T14:02:00Z,Subrogation,Closed,True,79.4
CSC-00077,CLM-00078,ADJ-020,2025-12-21T12:56:00Z,Subrogation,Closed,True,63.0
CSC-00078,CLM-00059,ADJ-011,2025-11-16T08:52:00Z,Reserve_Set,Estimate_Pending,False,32.2
CSC-00079,CLM-00080,ADJ-020,2025-11-30T18:23:00Z,Settlement_Accepted,Subrogation,True,9.8
CSC-00080,CLM-00029,ADJ-001,2025-11-13T13:53:00Z,Estimate_Pending,Estimate_Approved,True,67.6
CSC-00081,CLM-00006,ADJ-029,2025-10-22T15:08:00Z,Settlement_Offered,Settlement_Accepted,True,24.8
CSC-00082,CLM-00026,ADJ-007,2025-10-16T14:13:00Z,Settlement_Accepted,Subrogation,True,69.0
CSC-00083,CLM-00014,ADJ-025,2025-11-23T08:59:00Z,Closed,Reopened,True,74.2
CSC-00084,CLM-00058,ADJ-015,2025-12-24T17:32:00Z,Under_Investigation,Reserve_Set,False,0.9
CSC-00085,CLM-00007,ADJ-018,2025-11-25T17:30:00Z,Subrogation,Closed,True,66.6
CSC-00086,CLM-00023,ADJ-024,2025-10-17T09:24:00Z,Closed,Reopened,True,48.6
CSC-00087,CLM-00050,ADJ-014,2025-12-17T11:17:00Z,Settlement_Offered,Settlement_Accepted,True,93.2
CSC-00088,CLM-00058,ADJ-026,2025-10-18T10:26:00Z,Closed,Reopened,True,81.0
CSC-00089,CLM-00071,ADJ-028,2025-11-10T16:40:00Z,Reserve_Set,Estimate_Pending,True,20.5
CSC-00090,CLM-00038,ADJ-022,2025-11-14T18:08:00Z,Under_Investigation,Reserve_Set,True,68.3
CSC-00091,CLM-00046,ADJ-018,2025-12-01T17:36:00Z,Settlement_Offered,Settlement_Accepted,True,84.3
CSC-00092,CLM-00055,ADJ-026,2025-10-02T16:06:00Z,FNOL_Received,Assigned,False,14.4
CSC-00093,CLM-00008,ADJ-007,2025-11-04T10:18:00Z,Estimate_Pending,Estimate_Approved,True,80.7
CSC-00094,CLM-00038,ADJ-007,2025-12-09T08:22:00Z,Settlement_Accepted,Subrogation,True,59.3
CSC-00095,CLM-00072,ADJ-028,2025-10-29T18:35:00Z,Settlement_Offered,Settlement_Accepted,True,49.3
CSC-00096,CLM-00037,ADJ-023,2025-12-25T08:59:00Z,Settlement_Offered,Settlement_Accepted,False,40.3
CSC-00097,CLM-00041,ADJ-018,2025-10-07T08:47:00Z,Estimate_Pending,Estimate_Approved,True,59.8
CSC-00098,CLM-00057,ADJ-027,2025-10-29T18:45:00Z,Estimate_Approved,Settlement_Offered,True,74.6
CSC-00099,CLM-00025,ADJ-010,2025-11-27T10:43:00Z,Assigned,Under_Investigation,True,92.4
CSC-00100,CLM-00066,ADJ-004,2025-11-18T08:27:00Z,Estimate_Pending,Estimate_Approved,True,12.9
CSC-00101,CLM-00075,ADJ-028,2025-11-02T08:21:00Z,Settlement_Accepted,Subrogation,True,4.3
CSC-00102,CLM-00042,ADJ-020,2025-10-07T18:39:00Z,Estimate_Pending,Estimate_Approved,False,75.9
CSC-00103,CLM-00071,ADJ-012,2025-10-10T13:33:00Z,Reserve_Set,Estimate_Pending,True,50.2
CSC-00104,CLM-00065,ADJ-006,2025-11-23T16:34:00Z,Settlement_Offered,Settlement_Accepted,True,33.9
CSC-00105,CLM-00028,ADJ-022,2025-11-12T13:23:00Z,Estimate_Pending,Estimate_Approved,True,91.3
CSC-00106,CLM-00080,ADJ-017,2025-11-30T16:52:00Z,FNOL_Received,Assigned,True,64.4
CSC-00107,CLM-00058,ADJ-008,2025-12-22T17:58:00Z,Closed,Reopened,True,92.1
CSC-00108,CLM-00042,ADJ-013,2025-10-15T14:16:00Z,Subrogation,Closed,True,2.9
CSC-00109,CLM-00067,ADJ-027,2025-11-17T16:51:00Z,Subrogation,Closed,False,47.0
CSC-00110,CLM-00038,ADJ-029,2025-12-23T11:20:00Z,Subrogation,Closed,True,91.1
CSC-00111,CLM-00022,ADJ-025,2025-12-08T16:00:00Z,Assigned,Under_Investigation,True,64.5
CSC-00112,CLM-00028,ADJ-028,2025-12-27T14:53:00Z,Assigned,Under_Investigation,True,51.9
CSC-00113,CLM-00056,ADJ-021,2025-10-10T18:09:00Z,FNOL_Received,Assigned,False,69.0
CSC-00114,CLM-00005,ADJ-003,2025-10-10T08:11:00Z,Estimate_Pending,Estimate_Approved,True,55.4
CSC-00115,CLM-00030,ADJ-030,2025-11-03T14:24:00Z,Settlement_Accepted,Subrogation,False,41.9
CSC-00116,CLM-00003,ADJ-013,2025-12-26T09:34:00Z,FNOL_Received,Assigned,True,72.7
CSC-00117,CLM-00075,ADJ-002,2025-12-29T09:22:00Z,Subrogation,Closed,True,28.2
CSC-00118,CLM-00039,ADJ-020,2025-10-12T12:48:00Z,Settlement_Accepted,Subrogation,False,38.2
CSC-00119,CLM-00004,ADJ-016,2025-10-21T16:14:00Z,Under_Investigation,Reserve_Set,False,76.6
CSC-00120,CLM-00070,ADJ-010,2025-12-21T10:19:00Z,Estimate_Approved,Settlement_Offered,True,53.4
CSC-00121,CLM-00072,ADJ-005,2025-10-16T08:00:00Z,Closed,Reopened,False,51.8
CSC-00122,CLM-00011,ADJ-010,2025-10-27T13:13:00Z,Settlement_Offered,Settlement_Accepted,True,15.9
CSC-00123,CLM-00029,ADJ-020,2025-11-02T11:07:00Z,Under_Investigation,Reserve_Set,True,81.8
CSC-00124,CLM-00071,ADJ-015,2025-12-22T16:04:00Z,Estimate_Pending,Estimate_Approved,True,24.4
CSC-00125,CLM-00026,ADJ-024,2025-12-14T15:21:00Z,Estimate_Approved,Settlement_Offered,True,64.6
CSC-00126,CLM-00031,ADJ-004,2025-11-06T17:04:00Z,Reserve_Set,Estimate_Pending,True,46.9
CSC-00127,CLM-00043,ADJ-020,2025-12-24T12:44:00Z,Closed,Reopened,True,54.5
CSC-00128,CLM-00047,ADJ-026,2025-11-10T14:10:00Z,FNOL_Received,Assigned,True,24.0
CSC-00129,CLM-00029,ADJ-023,2025-12-22T14:17:00Z,Estimate_Approved,Settlement_Offered,True,65.4
CSC-00130,CLM-00043,ADJ-029,2025-12-01T15:28:00Z,Estimate_Approved,Settlement_Offered,True,47.0
CSC-00131,CLM-00014,ADJ-006,2025-12-22T17:05:00Z,Estimate_Pending,Estimate_Approved,True,85.6
CSC-00132,CLM-00026,ADJ-009,2025-12-20T09:46:00Z,Assigned,Under_Investigation,True,81.6
CSC-00133,CLM-00004,ADJ-027,2025-12-14T17:25:00Z,Closed,Reopened,True,87.1
CSC-00134,CLM-00071,ADJ-009,2025-12-09T16:30:00Z,Under_Investigation,Reserve_Set,True,38.0
CSC-00135,CLM-00076,ADJ-024,2025-11-07T10:29:00Z,Subrogation,Closed,True,38.4
CSC-00136,CLM-00065,ADJ-001,2025-12-24T11:54:00Z,Closed,Reopened,True,72.8
CSC-00137,CLM-00018,ADJ-015,2025-10-21T10:36:00Z,Closed,Reopened,True,70.8
CSC-00138,CLM-00062,ADJ-012,2025-10-06T11:48:00Z,Settlement_Accepted,Subrogation,True,6.5
CSC-00139,CLM-00048,ADJ-008,2025-10-06T18:13:00Z,Subrogation,Closed,True,37.6
CSC-00140,CLM-00059,ADJ-029,2025-10-06T08:41:00Z,Estimate_Approved,Settlement_Offered,True,67.7
CSC-00141,CLM-00067,ADJ-021,2025-11-05T12:37:00Z,Subrogation,Closed,True,36.5
CSC-00142,CLM-00049,ADJ-012,2025-12-15T18:57:00Z,Assigned,Under_Investigation,True,36.4
CSC-00143,CLM-00029,ADJ-017,2025-11-21T13:52:00Z,Estimate_Approved,Settlement_Offered,False,76.2
CSC-00144,CLM-00078,ADJ-001,2025-12-04T10:28:00Z,Under_Investigation,Reserve_Set,True,7.9
CSC-00145,CLM-00036,ADJ-007,2025-10-20T10:10:00Z,Estimate_Approved,Settlement_Offered,True,63.6
CSC-00146,CLM-00054,ADJ-026,2025-11-12T09:30:00Z,Settlement_Accepted,Subrogation,False,20.6
CSC-00147,CLM-00021,ADJ-021,2025-11-22T08:15:00Z,FNOL_Received,Assigned,True,55.3
CSC-00148,CLM-00021,ADJ-005,2025-12-20T16:02:00Z,Closed,Reopened,True,5.8
CSC-00149,CLM-00034,ADJ-030,2025-10-24T16:25:00Z,Closed,Reopened,True,84.4
CSC-00150,CLM-00037,ADJ-003,2025-10-28T15:38:00Z,Settlement_Accepted,Subrogation,False,16.8
CSC-00151,CLM-00053,ADJ-020,2025-10-19T17:52:00Z,Under_Investigation,Reserve_Set,True,16.5
CSC-00152,CLM-00044,ADJ-030,2025-11-28T17:37:00Z,Assigned,Under_Investigation,True,36.6
CSC-00153,CLM-00017,ADJ-004,2025-10-03T11:33:00Z,Subrogation,Closed,False,79.4
CSC-00154,CLM-00078,ADJ-004,2025-10-23T15:57:00Z,Closed,Reopened,True,84.3
CSC-00155,CLM-00069,ADJ-017,2025-10-16T09:30:00Z,Under_Investigation,Reserve_Set,True,86.2
CSC-00156,CLM-00056,ADJ-017,2025-11-23T13:55:00Z,FNOL_Received,Assigned,False,22.4
CSC-00157,CLM-00062,ADJ-026,2025-11-18T13:37:00Z,Closed,Reopened,True,41.1
CSC-00158,CLM-00033,ADJ-016,2025-10-30T09:18:00Z,Closed,Reopened,False,25.1
CSC-00159,CLM-00001,ADJ-023,2025-10-01T17:33:00Z,Assigned,Under_Investigation,True,36.3
CSC-00160,CLM-00027,ADJ-023,2025-11-10T14:23:00Z,Assigned,Under_Investigation,True,41.2
CSC-00161,CLM-00075,ADJ-009,2025-11-03T16:27:00Z,Closed,Reopened,True,58.9
CSC-00162,CLM-00051,ADJ-025,2025-10-27T14:35:00Z,Subrogation,Closed,False,17.6
CSC-00163,CLM-00072,ADJ-018,2025-12-01T12:19:00Z,Closed,Reopened,True,74.4
CSC-00164,CLM-00051,ADJ-024,2025-10-18T18:07:00Z,Reserve_Set,Estimate_Pending,False,75.3
CSC-00165,CLM-00021,ADJ-004,2025-10-28T16:25:00Z,Estimate_Approved,Settlement_Offered,True,15.9
CSC-00166,CLM-00001,ADJ-026,2025-10-12T10:30:00Z,Closed,Reopened,False,8.9
CSC-00167,CLM-00034,ADJ-008,2025-11-17T09:38:00Z,FNOL_Received,Assigned,False,89.4
CSC-00168,CLM-00052,ADJ-020,2025-12-23T16:18:00Z,Closed,Reopened,True,90.8
CSC-00169,CLM-00023,ADJ-021,2025-12-03T15:00:00Z,Reserve_Set,Estimate_Pending,True,19.1
CSC-00170,CLM-00077,ADJ-017,2025-12-06T11:39:00Z,Under_Investigation,Reserve_Set,True,34.9
CSC-00171,CLM-00001,ADJ-006,2025-10-12T12:49:00Z,Settlement_Offered,Settlement_Accepted,True,64.5
CSC-00172,CLM-00052,ADJ-019,2025-10-26T16:00:00Z,Assigned,Under_Investigation,True,53.0
CSC-00173,CLM-00072,ADJ-030,2025-12-14T13:22:00Z,Estimate_Pending,Estimate_Approved,True,58.4
CSC-00174,CLM-00025,ADJ-015,2025-11-21T17:00:00Z,Estimate_Pending,Estimate_Approved,True,39.4
CSC-00175,CLM-00014,ADJ-018,2025-10-10T16:18:00Z,Estimate_Approved,Settlement_Offered,True,77.2
CSC-00176,CLM-00033,ADJ-029,2025-12-08T17:16:00Z,Settlement_Accepted,Subrogation,False,54.3
CSC-00177,CLM-00032,ADJ-025,2025-11-13T15:43:00Z,Settlement_Accepted,Subrogation,True,46.5
CSC-00178,CLM-00034,ADJ-003,2025-11-18T18:50:00Z,Reserve_Set,Estimate_Pending,True,76.9
CSC-00179,CLM-00053,ADJ-012,2025-12-06T16:00:00Z,Estimate_Pending,Estimate_Approved,True,27.9
CSC-00180,CLM-00052,ADJ-022,2025-11-13T09:35:00Z,Under_Investigation,Reserve_Set,False,30.5
