event_id,adjuster_id,claim_id,form_type_id,start_time,duration_minutes,status,error_count,regulatory_flag
CDE-00059,ADJ-008,CLM-00074,FRM-019,2025-10-03T12:36:00Z,12,completed,1,False
CDE-00060,ADJ-030,CLM-00036,FRM-006,2025-12-14T14:40:00Z,41,completed,0,False
CDE-00061,ADJ-011,CLM-00014,FRM-006,2025-11-12T14:44:00Z,41,in_progress,2,False
CDE-00062,ADJ-025,CLM-00071,FRM-002,2025-11-28T09:20:00Z,26,completed,2,False
CDE-00063,ADJ-028,CLM-00066,FRM-001,2025-12-24T16:29:00Z,36,completed,0,False
CDE-00064,ADJ-025,CLM-00064,FRM-021,2025-11-26T08:13:00Z,27,pending_review,1,False
CDE-00065,ADJ-023,CLM-00063,FRM-004,2025-10-04T17:51:00Z,25,completed,1,True
CDE-00066,ADJ-014,CLM-00012,FRM-008,2025-10-15T15:07:00Z,51,completed,1,False
CDE-00067,ADJ-017,CLM-00035,FRM-014,2025-12-01T15:15:00Z,39,completed,1,False
CDE-00068,ADJ-017,CLM-00018,FRM-003,2025-11-05T14:21:00Z,60,rejected,2,False
CDE-00069,ADJ-010,CLM-00076,FRM-019,2025-12-24T15:55:00Z,19,completed,3,False
CDE-00070,ADJ-018,CLM-00070,FRM-013,2025-11-28T13:55:00Z,22,completed,1,True
CDE-00071,ADJ-025,CLM-00053,FRM-002,2025-11-10T15:45:00Z,34,pending_review,3,False
CDE-00072,ADJ-021,CLM-00020,FRM-016,2025-10-05T10:32:00Z,47,rejected,2,False
CDE-00073,ADJ-015,CLM-00013,FRM-017,2025-11-28T08:46:00Z,19,rejected,3,False
CDE-00074,ADJ-003,CLM-00061,FRM-009,2025-11-13T17:44:00Z,90,rejected,2,False
CDE-00075,ADJ-028,CLM-00069,FRM-013,2025-11-10T15:55:00Z,44,in_progress,0,True
CDE-00076,ADJ-022,CLM-00037,FRM-008,2025-10-12T14:06:00Z,58,completed,0,False
CDE-00077,ADJ-029,CLM-00004,FRM-002,2025-11-11T08:18:00Z,32,completed,2,True
CDE-00078,ADJ-014,CLM-00073,FRM-022,2025-10-24T10:11:00Z,15,in_progress,3,True
CDE-00079,ADJ-030,CLM-00075,FRM-005,2025-10-30T15:40:00Z,26,completed,3,True
CDE-00080,ADJ-026,CLM-00060,FRM-010,2025-12-26T16:10:00Z,14,pending_review,3,False
CDE-00081,ADJ-010,CLM-00055,FRM-009,2025-11-28T12:12:00Z,34,completed,3,False
CDE-00082,ADJ-012,CLM-00074,FRM-010,2025-12-29T12:01:00Z,18,completed,1,False
CDE-00083,ADJ-022,CLM-00007,FRM-020,2025-12-03T12:49:00Z,24,completed,2,True
CDE-00084,ADJ-009,CLM-00018,FRM-021,2025-10-13T08:19:00Z,60,completed,3,False
CDE-00085,ADJ-005,CLM-00012,FRM-010,2025-11-11T14:11:00Z,22,in_progress,1,False
CDE-00086,ADJ-012,CLM-00068,FRM-017,2025-11-04T10:16:00Z,18,pending_review,1,False
CDE-00087,ADJ-028,CLM-00044,FRM-004,2025-11-29T09:09:00Z,58,rejected,1,False
CDE-00088,ADJ-013,CLM-00072,FRM-012,2025-10-12T14:00:00Z,26,completed,0,False
CDE-00089,ADJ-022,CLM-00034,FRM-019,2025-11-18T13:06:00Z,53,completed,1,False
CDE-00090,ADJ-018,CLM-00042,FRM-020,2025-10-29T09:40:00Z,39,in_progress,2,True
CDE-00091,ADJ-002,CLM-00005,FRM-010,2025-12-03T09:06:00Z,25,completed,1,False
CDE-00092,ADJ-024,CLM-00070,FRM-014,2025-12-15T10:56:00Z,36,rejected,0,False
CDE-00093,ADJ-009,CLM-00005,FRM-012,2025-10-28T15:28:00Z,25,completed,2,False
CDE-00094,ADJ-018,CLM-00046,FRM-002,2025-11-20T12:12:00Z,17,completed,3,True
CDE-00095,ADJ-021,CLM-00077,FRM-001,2025-10-07T13:15:00Z,18,completed,1,False
CDE-00096,ADJ-007,CLM-00076,FRM-007,2025-10-30T13:49:00Z,19,completed,0,False
CDE-00097,ADJ-005,CLM-00070,FRM-009,2025-10-23T09:42:00Z,11,completed,1,False
CDE-00098,ADJ-008,CLM-00076,FRM-011,2025-10-03T10:16:00Z,13,in_progress,1,False
CDE-00099,ADJ-024,CLM-00009,FRM-016,2025-11-27T13:32:00Z,47,completed,0,True
CDE-00100,ADJ-020,CLM-00006,FRM-022,2025-12-06T12:29:00Z,51,completed,0,False
CDE-00101,ADJ-013,CLM-00055,FRM-022,2025-10-14T15:45:00Z,38,rejected,0,False
CDE-00102,ADJ-005,CLM-00009,FRM-005,2025-11-05T17:40:00Z,47,completed,2,False
CDE-00103,ADJ-010,CLM-00059,FRM-017,2025-12-17T14:06:00Z,60,rejected,0,False
CDE-00104,ADJ-025,CLM-00071,FRM-007,2025-11-25T15:56:00Z,24,completed,3,False
CDE-00105,ADJ-014,CLM-00013,FRM-011,2025-11-24T13:42:00Z,26,pending_review,2,False
CDE-00106,ADJ-016,CLM-00009,FRM-003,2025-10-11T09:27:00Z,16,rejected,2,False
CDE-00107,ADJ-019,CLM-00072,FRM-018,2025-11-12T09:26:00Z,32,rejected,3,False
CDE-00108,ADJ-010,CLM-00077,FRM-010,2025-11-15T09:36:00Z,42,completed,1,False
CDE-00109,ADJ-028,CLM-00014,FRM-012,2025-12-11T13:07:00Z,58,completed,2,False
CDE-00110,ADJ-028,CLM-00072,FRM-020,2025-12-18T16:01:00Z,48,completed,2,False
CDE-00111,ADJ-025,CLM-00040,FRM-011,2025-11-14T08:11:00Z,19,completed,3,False
CDE-00112,ADJ-001,CLM-00012,FRM-017,2025-10-28T14:26:00Z,39,completed,2,False
CDE-00113,ADJ-011,CLM-00073,FRM-020,2025-10-11T08:09:00Z,20,in_progress,0,False
CDE-00114,ADJ-022,CLM-00055,FRM-016,2025-12-17T15:26:00Z,27,in_progress,1,True
CDE-00115,ADJ-014,CLM-00015,FRM-010,2025-12-26T17:31:00Z,43,completed,2,False
CDE-00116,ADJ-020,CLM-00008,FRM-001,2025-10-27T12:13:00Z,59,in_progress,1,False
CDE-00117,ADJ-004,CLM-00001,FRM-016,2025-11-25T10:08:00Z,34,completed,1,False
CDE-00118,ADJ-026,CLM-00046,FRM-003,2025-11-20T08:27:00Z,11,pending_review,3,False
CDE-00119,ADJ-019,CLM-00055,FRM-019,2025-11-21T14:18:00Z,17,completed,3,False
CDE-00120,ADJ-026,CLM-00080,FRM-015,2025-12-28T13:05:00Z,37,completed,0,False
CDE-00121,ADJ-017,CLM-00011,FRM-013,2025-11-09T13:14:00Z,31,completed,1,False
CDE-00122,ADJ-017,CLM-00066,FRM-007,2025-11-14T13:46:00Z,51,completed,1,True
CDE-00123,ADJ-007,CLM-00023,FRM-020,2025-10-20T09:11:00Z,59,completed,3,False
CDE-00124,ADJ-019,CLM-00058,FRM-022,2025-12-12T17:20:00Z,50,completed,2,True
CDE-00125,ADJ-015,CLM-00039,FRM-009,2025-12-15T08:22:00Z,42,completed,0,False
CDE-00126,ADJ-002,CLM-00048,FRM-010,2025-10-10T09:39:00Z,48,completed,3,False
CDE-00127,ADJ-026,CLM-00006,FRM-015,2025-12-13T11:20:00Z,48,completed,3,False
CDE-00128,ADJ-015,CLM-00014,FRM-011,2025-12-31T09:32:00Z,51,completed,1,False
CDE-00129,ADJ-015,CLM-00068,FRM-017,2025-12-18T10:23:00Z,33,completed,2,False
CDE-00130,ADJ-022,CLM-00077,FRM-002,2025-12-20T13:04:00Z,31,completed,0,False
CDE-00131,ADJ-009,CLM-00078,FRM-005,2025-11-12T09:37:00Z,52,pending_review,1,False
CDE-00132,ADJ-021,CLM-00051,FRM-005,2025-12-16T09:19:00Z,45,in_progress,3,False
CDE-00133,ADJ-005,CLM-00068,FRM-003,2025-12-22T14:32:00Z,33,completed,0,True
CDE-00134,ADJ-007,CLM-00044,FRM-016,2025-10-25T11:08:00Z,19,completed,0,False
CDE-00135,ADJ-017,CLM-00070,FRM-017,2025-10-05T13:56:00Z,59,completed,1,True
CDE-00136,ADJ-006,CLM-00080,FRM-006,2025-11-26T08:26:00Z,33,pending_review,1,False
CDE-00137,ADJ-025,CLM-00058,FRM-008,2025-12-08T11:19:00Z,60,pending_review,3,True
CDE-00138,ADJ-022,CLM-00074,FRM-015,2025-11-29T12:49:00Z,34,pending_review,3,False
CDE-00139,ADJ-026,CLM-00078,FRM-005,2025-11-02T08:41:00Z,40,completed,2,True
CDE-00140,ADJ-028,CLM-00067,FRM-004,2025-11-06T09:48:00Z,20,completed,2,False
CDE-00141,ADJ-027,CLM-00056,FRM-003,2025-10-29T15:56:00Z,32,completed,0,False
CDE-00142,ADJ-012,CLM-00031,FRM-013,2025-10-11T13:14:00Z,5,pending_review,1,False
CDE-00143,ADJ-021,CLM-00043,FRM-005,2025-10-18T08:18:00Z,40,in_progress,1,False
CDE-00144,ADJ-020,CLM-00001,FRM-003,2025-10-03T12:13:00Z,19,completed,3,False
CDE-00145,ADJ-010,CLM-00016,FRM-002,2025-10-31T14:40:00Z,60,completed,3,False
CDE-00146,ADJ-016,CLM-00077,FRM-018,2025-10-03T16:36:00Z,25,completed,1,True
CDE-00147,ADJ-012,CLM-00031,FRM-019,2025-11-23T10:42:00Z,15,completed,0,False
CDE-00148,ADJ-017,CLM-00070,FRM-017,2025-12-04T16:01:00Z,34,completed,3,False
CDE-00149,ADJ-012,CLM-00033,FRM-001,2025-11-15T09:22:00Z,8,in_progress,0,False
CDE-00150,ADJ-011,CLM-00018,FRM-002,2025-11-15T16:21:00Z,51,rejected,1,False
CDE-00151,ADJ-023,CLM-00062,FRM-021,2025-10-24T10:04:00Z,55,completed,3,True
CDE-00152,ADJ-026,CLM-00026,FRM-002,2025-11-10T12:32:00Z,35,completed,3,False
CDE-00153,ADJ-007,CLM-00037,FRM-012,2025-10-07T13:17:00Z,17,completed,2,False
CDE-00154,ADJ-015,CLM-00050,FRM-011,2025-10-24T15:44:00Z,41,pending_review,2,False
CDE-00155,ADJ-026,CLM-00011,FRM-014,2025-10-11T14:38:00Z,21,completed,2,True
CDE-00156,ADJ-022,CLM-00038,FRM-010,2025-11-27T17:45:00Z,37,in_progress,1,False
CDE-00157,ADJ-002,CLM-00046,FRM-020,2025-11-25T12:40:00Z,60,completed,0,False
CDE-00158,ADJ-012,CLM-00066,FRM-022,2025-10-21T08:09:00Z,18,completed,1,True
CDE-00159,ADJ-025,CLM-00047,FRM-012,2025-11-19T17:02:00Z,48,in_progress,1,False
CDE-00160,ADJ-012,CLM-00057,FRM-003,2025-12-13T10:33:00Z,10,completed,1,False
CDE-00161,ADJ-004,CLM-00004,FRM-006,2025-12-03T16:24:00Z,45,completed,0,False
CDE-00162,ADJ-015,CLM-00028,FRM-020,2025-11-06T15:12:00Z,17,rejected,1,False
CDE-00163,ADJ-029,CLM-00057,FRM-003,2025-12-27T13:42:00Z,32,completed,0,False
CDE-00164,ADJ-010,CLM-00021,FRM-021,2025-10-23T13:32:00Z,24,pending_review,0,False
CDE-00165,ADJ-008,CLM-00064,FRM-001,2025-11-16T16:36:00Z,33,rejected,3,False
CDE-00166,ADJ-020,CLM-00012,FRM-003,2025-11-09T14:45:00Z,56,completed,3,False
CDE-00167,ADJ-027,CLM-00074,FRM-003,2025-10-17T13:41:00Z,14,completed,3,False
CDE-00168,ADJ-005,CLM-00071,FRM-021,2025-12-15T10:49:00Z,18,completed,3,False
CDE-00169,ADJ-027,CLM-00016,FRM-017,2025-10-20T12:10:00Z,20,pending_review,2,True
CDE-00170,ADJ-017,CLM-00037,FRM-003,2025-11-02T11:40:00Z,45,completed,2,False
CDE-00171,ADJ-018,CLM-00012,FRM-017,2025-12-22T10:37:00Z,47,completed,1,False
CDE-00172,ADJ-029,CLM-00078,FRM-011,2025-12-12T08:52:00Z,11,completed,0,False
CDE-00173,ADJ-019,CLM-00034,FRM-021,2025-10-27T17:26:00Z,49,completed,0,False
CDE-00174,ADJ-010,CLM-00039,FRM-016,2025-11-01T14:19:00Z,39,in_progress,0,True
CDE-00175,ADJ-014,CLM-00062,FRM-015,2025-10-27T13:38:00Z,19,rejected,2,False
CDE-00176,ADJ-028,CLM-00045,FRM-013,2025-10-17T13:32:00Z,45,completed,0,False
CDE-00177,ADJ-009,CLM-00058,FRM-008,2025-10-19T09:03:00Z,28,rejected,3,False
CDE-00178,ADJ-028,CLM-00021,FRM-011,2025-12-13T13:12:00Z,58,completed,1,False
CDE-00179,ADJ-016,CLM-00040,FRM-016,2025-10-03T09:25:00Z,42,pending_review,3,True
CDE-00180,ADJ-012,CLM-00007,FRM-002,2025-11-06T15:38:00Z,18,completed,1,True
CDE-00181,ADJ-004,CLM-00056,FRM-005,2025-11-03T13:48:00Z,35,completed,2,True
CDE-00182,ADJ-018,CLM-00025,FRM-012,2025-12-10T12:04:00Z,34,in_progress,3,False
CDE-00183,ADJ-020,CLM-00079,FRM-004,2025-10-17T09:25:00Z,33,completed,2,False
CDE-00184,ADJ-005,CLM-00026,FRM-020,2025-12-05T14:32:00Z,12,completed,0,False
CDE-00185,ADJ-026,CLM-00061,FRM-017,2025-11-28T10:38:00Z,42,completed,1,False
CDE-00186,ADJ-006,CLM-00051,FRM-020,2025-11-08T17:21:00Z,42,in_progress,3,False
CDE-00187,ADJ-027,CLM-00003,FRM-012,2025-11-12T09:26:00Z,47,in_progress,2,False
CDE-00188,ADJ-023,CLM-00004,FRM-020,2025-11-30T12:41:00Z,60,in_progress,1,False
CDE-00189,ADJ-006,CLM-00068,FRM-021,2025-12-19T14:09:00Z,53,completed,1,False
CDE-00190,ADJ-004,CLM-00025,FRM-001,2025-11-26T13:26:00Z,19,in_progress,3,False
CDE-00191,ADJ-025,CLM-00079,FRM-016,2025-10-08T10:33:00Z,23,pending_review,2,False
CDE-00192,ADJ-013,CLM-00041,FRM-006,2025-11-28T16:21:00Z,44,in_progress,2,False
CDE-00193,ADJ-022,CLM-00034,FRM-020,2025-12-01T11:15:00Z,27,completed,2,False
CDE-00194,ADJ-010,CLM-00037,FRM-007,2025-12-28T15:20:00Z,40,completed,2,False
CDE-00195,ADJ-024,CLM-00036,FRM-010,2025-10-16T17:43:00Z,44,rejected,3,False
CDE-00196,ADJ-012,CLM-00019,FRM-010,2025-10-06T12:45:00Z,6,pending_review,1,False
CDE-00197,ADJ-024,CLM-00062,FRM-007,2025-10-26T16:17:00Z,45,completed,2,False
CDE-00198,ADJ-019,CLM-00031,FRM-008,2025-10-07T16:14:00Z,50,completed,1,False
CDE-00199,ADJ-023,CLM-00061,FRM-004,2025-12-27T10:00:00Z,45,completed,1,False
CDE-00200,ADJ-029,CLM-00061,FRM-016,2025-12-23T11:48:00Z,28,completed,2,True
