ping_id,nurse_id,unit_id,timestamp,zone_type,zone_name,floor,room_id,x_coord,y_coord,beacon_id,signal_strength_dbm,speed_mph,is_moving,dwell_time_seconds
LOC-0013,NRS-001,UNIT-001,2026-02-23T06:56:00,Patient Room,Room 401,4,RM-401,36.3,16.0,BCN-4A-03,-54,0.0,No,150
LOC-0014,NRS-001,UNIT-001,2026-02-23T06:56:30,Patient Room,Room 401,4,RM-401,36.2,16.2,BCN-4A-03,-56,0.0,No,180
LOC-0015,NRS-001,UNIT-001,2026-02-23T06:57:00,Hallway,Corridor 4A-East,4,,38.5,14.5,BCN-4A-02,-67,2.0,Yes,0
LOC-0016,NRS-001,UNIT-001,2026-02-23T06:57:30,Hallway,Corridor 4A-East,4,,41.0,14.5,BCN-4A-02,-66,2.2,Yes,0
LOC-0017,NRS-001,UNIT-001,2026-02-23T06:58:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-61,0.8,No,0
LOC-0018,NRS-001,UNIT-001,2026-02-23T06:58:30,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.3,12.9,BCN-4A-01,-60,0.0,No,30
LOC-0019,NRS-001,UNIT-001,2026-02-23T06:59:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-62,0.0,No,60
LOC-0020,NRS-001,UNIT-001,2026-02-23T07:00:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.3,12.8,BCN-4A-01,-59,0.0,No,120
LOC-0021,NRS-001,UNIT-001,2026-02-23T07:00:30,Hallway,Corridor 4A-East,4,,43.0,14.5,BCN-4A-02,-67,2.5,Yes,0
LOC-0022,NRS-001,UNIT-001,2026-02-23T07:01:00,Patient Room,Room 402,4,RM-402,36.2,20.3,BCN-4A-04,-56,1.2,No,0
LOC-0023,NRS-001,UNIT-001,2026-02-23T07:01:30,Patient Room,Room 402,4,RM-402,36.3,20.4,BCN-4A-04,-55,0.0,No,30
LOC-0024,NRS-001,UNIT-001,2026-02-23T07:02:00,Patient Room,Room 402,4,RM-402,36.2,20.3,BCN-4A-04,-54,0.0,No,60
LOC-0025,NRS-001,UNIT-001,2026-02-23T07:15:00,Patient Room,Room 402,4,RM-402,36.4,20.5,BCN-4A-04,-55,0.0,No,840
LOC-0026,NRS-001,UNIT-001,2026-02-23T07:30:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-60,0.0,No,0
LOC-0027,NRS-001,UNIT-001,2026-02-23T07:30:30,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.3,12.9,BCN-4A-01,-61,0.0,No,30
LOC-0028,NRS-001,UNIT-001,2026-02-23T07:45:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-60,0.0,No,900
LOC-0029,NRS-001,UNIT-001,2026-02-23T08:00:00,Medication Room,Med Room 4A,4,RM-4A-MR,48.5,10.2,BCN-4A-05,-58,1.5,No,0
LOC-0030,NRS-001,UNIT-001,2026-02-23T08:02:00,Medication Room,Med Room 4A,4,RM-4A-MR,48.6,10.3,BCN-4A-05,-57,0.0,No,120
LOC-0031,NRS-001,UNIT-001,2026-02-23T08:04:00,Hallway,Corridor 4A-East,4,,44.2,14.5,BCN-4A-02,-66,2.8,Yes,0
LOC-0032,NRS-001,UNIT-001,2026-02-23T08:05:00,Patient Room,Room 401,4,RM-401,36.2,16.1,BCN-4A-03,-55,0.0,No,0
LOC-0033,NRS-001,UNIT-001,2026-02-23T08:10:00,Patient Room,Room 401,4,RM-401,36.3,16.0,BCN-4A-03,-56,0.0,No,300
LOC-0034,NRS-001,UNIT-001,2026-02-23T08:15:00,Patient Room,Room 403,4,RM-403,36.2,24.5,BCN-4A-06,-57,0.0,No,0
LOC-0035,NRS-001,UNIT-001,2026-02-23T08:25:00,Patient Room,Room 403,4,RM-403,36.3,24.6,BCN-4A-06,-56,0.0,No,600
LOC-0036,NRS-001,UNIT-001,2026-02-23T09:00:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-60,0.0,No,0
LOC-0037,NRS-001,UNIT-001,2026-02-23T09:30:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.3,12.9,BCN-4A-01,-61,0.0,No,1800
LOC-0038,NRS-001,UNIT-001,2026-02-23T10:00:00,Patient Room,Room 404,4,RM-404,36.2,28.7,BCN-4A-07,-55,0.0,No,0
LOC-0039,NRS-001,UNIT-001,2026-02-23T10:15:00,Patient Room,Room 404,4,RM-404,36.3,28.8,BCN-4A-07,-56,0.0,No,900
LOC-0040,NRS-001,UNIT-001,2026-02-23T10:30:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.2,12.8,BCN-4A-01,-60,0.0,No,0
LOC-0041,NRS-002,UNIT-001,2026-02-23T06:55:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.5,13.0,BCN-4A-01,-63,0.0,No,0
LOC-0042,NRS-002,UNIT-001,2026-02-23T06:55:30,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.5,13.1,BCN-4A-01,-62,0.0,No,30
LOC-0043,NRS-002,UNIT-001,2026-02-23T06:56:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.6,13.0,BCN-4A-01,-61,0.0,No,60
LOC-0044,NRS-002,UNIT-001,2026-02-23T07:00:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.5,13.0,BCN-4A-01,-60,0.0,No,300
LOC-0045,NRS-002,UNIT-001,2026-02-23T07:01:00,Hallway,Corridor 4A-West,4,,45.0,18.2,BCN-4A-08,-68,2.4,Yes,0
LOC-0046,NRS-002,UNIT-001,2026-02-23T07:02:00,Patient Room,Room 405,4,RM-405,36.2,32.9,BCN-4A-09,-55,0.0,No,0
LOC-0047,NRS-002,UNIT-001,2026-02-23T07:20:00,Patient Room,Room 405,4,RM-405,36.3,33.0,BCN-4A-09,-56,0.0,No,1080
LOC-0048,NRS-002,UNIT-001,2026-02-23T07:35:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.5,13.0,BCN-4A-01,-61,0.0,No,0
LOC-0049,NRS-002,UNIT-001,2026-02-23T08:00:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.6,13.1,BCN-4A-01,-60,0.0,No,1500
LOC-0050,NRS-002,UNIT-001,2026-02-23T08:05:00,Medication Room,Med Room 4A,4,RM-4A-MR,48.5,10.2,BCN-4A-05,-58,1.2,No,0
LOC-0051,NRS-002,UNIT-001,2026-02-23T08:08:00,Medication Room,Med Room 4A,4,RM-4A-MR,48.6,10.3,BCN-4A-05,-57,0.0,No,180
LOC-0052,NRS-002,UNIT-001,2026-02-23T08:10:00,Patient Room,Room 406,4,RM-406,36.2,37.1,BCN-4A-10,-55,0.0,No,0
LOC-0053,NRS-002,UNIT-001,2026-02-23T08:20:00,Patient Room,Room 406,4,RM-406,36.3,37.2,BCN-4A-10,-56,0.0,No,600
LOC-0054,NRS-002,UNIT-001,2026-02-23T08:30:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.5,13.0,BCN-4A-01,-61,0.0,No,0
LOC-0055,NRS-002,UNIT-001,2026-02-23T09:00:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.6,13.1,BCN-4A-01,-60,0.0,No,1800
LOC-0056,NRS-002,UNIT-001,2026-02-23T09:30:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.5,13.0,BCN-4A-01,-61,0.0,No,3600
LOC-0057,NRS-002,UNIT-001,2026-02-23T10:00:00,Patient Room,Room 405,4,RM-405,36.2,32.9,BCN-4A-09,-55,0.0,No,0
LOC-0058,NRS-002,UNIT-001,2026-02-23T10:10:00,Patient Room,Room 405,4,RM-405,36.3,33.0,BCN-4A-09,-56,0.0,No,600
LOC-0059,NRS-002,UNIT-001,2026-02-23T10:30:00,Staff Area,Nursing Station 4A,4,RM-4A-NS,45.5,13.0,BCN-4A-01,-60,0.0,No,0
LOC-0060,NRS-009,UNIT-002,2026-02-23T06:45:00,Staff Area,ICU Station,3,RM-ICU-NS,30.5,8.2,BCN-ICU-01,-58,0.0,No,0
LOC-0061,NRS-009,UNIT-002,2026-02-23T06:46:00,Staff Area,ICU Station,3,RM-ICU-NS,30.6,8.3,BCN-ICU-01,-57,0.0,No,60
LOC-0062,NRS-009,UNIT-002,2026-02-23T06:50:00,Patient Room,ICU Bay 1,3,RM-ICU-01,28.2,12.5,BCN-ICU-02,-52,0.0,No,0
LOC-0063,NRS-009,UNIT-002,2026-02-23T07:00:00,Patient Room,ICU Bay 1,3,RM-ICU-01,28.3,12.6,BCN-ICU-02,-53,0.0,No,600
LOC-0064,NRS-009,UNIT-002,2026-02-23T07:15:00,Patient Room,ICU Bay 1,3,RM-ICU-01,28.2,12.5,BCN-ICU-02,-51,0.0,No,1500
LOC-0065,NRS-009,UNIT-002,2026-02-23T07:30:00,Staff Area,ICU Station,3,RM-ICU-NS,30.5,8.2,BCN-ICU-01,-58,0.0,No,0
LOC-0066,NRS-009,UNIT-002,2026-02-23T07:45:00,Staff Area,ICU Station,3,RM-ICU-NS,30.6,8.3,BCN-ICU-01,-57,0.0,No,900
LOC-0067,NRS-009,UNIT-002,2026-02-23T08:00:00,Patient Room,ICU Bay 2,3,RM-ICU-02,28.2,16.8,BCN-ICU-03,-53,0.0,No,0
LOC-0068,NRS-009,UNIT-002,2026-02-23T08:20:00,Patient Room,ICU Bay 2,3,RM-ICU-02,28.3,16.9,BCN-ICU-03,-54,0.0,No,1200
LOC-0069,NRS-009,UNIT-002,2026-02-23T08:30:00,Medication Room,ICU Med Room,3,RM-ICU-MR,32.1,6.0,BCN-ICU-04,-56,0.0,No,0
LOC-0070,NRS-009,UNIT-002,2026-02-23T08:35:00,Medication Room,ICU Med Room,3,RM-ICU-MR,32.2,6.1,BCN-ICU-04,-55,0.0,No,300
LOC-0071,NRS-009,UNIT-002,2026-02-23T08:40:00,Patient Room,ICU Bay 1,3,RM-ICU-01,28.2,12.5,BCN-ICU-02,-52,0.0,No,0
LOC-0072,NRS-009,UNIT-002,2026-02-23T09:00:00,Patient Room,ICU Bay 1,3,RM-ICU-01,28.3,12.6,BCN-ICU-02,-53,0.0,No,1200
LOC-0073,NRS-009,UNIT-002,2026-02-23T09:30:00,Staff Area,ICU Station,3,RM-ICU-NS,30.5,8.2,BCN-ICU-01,-58,0.0,No,0
LOC-0074,NRS-009,UNIT-002,2026-02-23T10:00:00,Staff Area,ICU Station,3,RM-ICU-NS,30.6,8.3,BCN-ICU-01,-57,0.0,No,1800
LOC-0075,NRS-015,UNIT-003,2026-02-23T06:55:00,Staff Area,ED Triage Station,1,RM-ED-TS,15.2,5.8,BCN-ED-01,-60,0.0,No,0
LOC-0076,NRS-015,UNIT-003,2026-02-23T07:00:00,Staff Area,ED Triage Station,1,RM-ED-TS,15.3,5.9,BCN-ED-01,-61,0.0,No,300
LOC-0077,NRS-015,UNIT-003,2026-02-23T07:05:00,Treatment Area,ED Bay A,1,RM-ED-A,18.5,10.2,BCN-ED-02,-55,0.0,No,0
LOC-0078,NRS-015,UNIT-003,2026-02-23T07:10:00,Treatment Area,ED Bay A,1,RM-ED-A,18.6,10.3,BCN-ED-02,-56,0.0,No,300
LOC-0079,NRS-015,UNIT-003,2026-02-23T07:15:00,Treatment Area,ED Bay B,1,RM-ED-B,18.5,14.5,BCN-ED-03,-54,0.0,No,0
LOC-0080,NRS-015,UNIT-003,2026-02-23T07:25:00,Treatment Area,ED Bay B,1,RM-ED-B,18.6,14.6,BCN-ED-03,-55,0.0,No,600
LOC-0081,NRS-015,UNIT-003,2026-02-23T07:30:00,Staff Area,ED Triage Station,1,RM-ED-TS,15.2,5.8,BCN-ED-01,-60,0.0,No,0
LOC-0082,NRS-015,UNIT-003,2026-02-23T07:40:00,Staff Area,ED Triage Station,1,RM-ED-TS,15.3,5.9,BCN-ED-01,-61,0.0,No,600
LOC-0083,NRS-015,UNIT-003,2026-02-23T07:45:00,Treatment Area,ED Bay C,1,RM-ED-C,18.5,18.8,BCN-ED-04,-55,0.0,No,0
LOC-0084,NRS-015,UNIT-003,2026-02-23T08:00:00,Treatment Area,ED Bay C,1,RM-ED-C,18.6,18.9,BCN-ED-04,-56,0.0,No,900
LOC-0085,NRS-015,UNIT-003,2026-02-23T08:15:00,Staff Area,ED Triage Station,1,RM-ED-TS,15.2,5.8,BCN-ED-01,-60,0.0,No,0
LOC-0086,NRS-015,UNIT-003,2026-02-23T08:45:00,Staff Area,ED Triage Station,1,RM-ED-TS,15.3,5.9,BCN-ED-01,-61,0.0,No,1800
LOC-0087,NRS-015,UNIT-003,2026-02-23T09:00:00,Treatment Area,ED Bay A,1,RM-ED-A,18.5,10.2,BCN-ED-02,-55,0.0,No,0
LOC-0088,NRS-015,UNIT-003,2026-02-23T09:15:00,Treatment Area,ED Bay A,1,RM-ED-A,18.6,10.3,BCN-ED-02,-56,0.0,No,900
LOC-0089,NRS-015,UNIT-003,2026-02-23T09:30:00,Hallway,ED Corridor,1,,16.0,12.5,BCN-ED-05,-68,3.1,Yes,0
LOC-0090,NRS-015,UNIT-003,2026-02-23T09:31:00,Medication Room,ED Med Room,1,RM-ED-MR,20.5,4.2,BCN-ED-06,-57,0.0,No,0
LOC-0091,NRS-015,UNIT-003,2026-02-23T09:34:00,Medication Room,ED Med Room,1,RM-ED-MR,20.6,4.3,BCN-ED-06,-56,0.0,No,180
LOC-0092,NRS-015,UNIT-003,2026-02-23T09:36:00,Treatment Area,ED Bay B,1,RM-ED-B,18.5,14.5,BCN-ED-03,-54,0.0,No,0
LOC-0093,NRS-015,UNIT-003,2026-02-23T09:50:00,Treatment Area,ED Bay B,1,RM-ED-B,18.6,14.6,BCN-ED-03,-55,0.0,No,840
LOC-0094,NRS-015,UNIT-003,2026-02-23T10:00:00,Staff Area,ED Triage Station,1,RM-ED-TS,15.2,5.8,BCN-ED-01,-60,0.0,No,0
LOC-0095,NRS-015,UNIT-003,2026-02-23T10:30:00,Staff Area,ED Triage Station,1,RM-ED-TS,15.3,5.9,BCN-ED-01,-61,0.0,No,1800
