inspection_id,supervisor_id,site_id,date,type,findings_count,critical_count,doc_time_min,corrective_actions
SI-0035,SUP-007,SITE-001,2026-02-28,INS-015,2,0,30,1
SI-0036,SUP-004,SITE-002,2026-02-28,INS-001,5,2,50,4
SI-0037,SUP-006,SITE-003,2026-02-28,INS-016,1,0,38,1
SI-0038,SUP-009,SITE-004,2026-02-28,INS-001,3,0,32,2
SI-0039,SUP-010,SITE-005,2026-02-28,INS-017,2,0,48,2
SI-0040,SUP-012,SITE-006,2026-02-28,INS-001,1,0,25,1
SI-0041,SUP-017,SITE-008,2026-02-28,INS-005,2,0,30,1
SI-0042,SUP-019,SITE-009,2026-02-28,INS-001,4,1,45,3
SI-0043,SUP-022,SITE-010,2026-02-28,INS-001,1,0,22,1
SI-0044,SUP-024,SITE-011,2026-02-28,INS-018,2,0,35,2
SI-0045,SUP-025,SITE-012,2026-02-28,INS-001,3,0,34,2
SI-0046,SUP-007,SITE-001,2026-03-02,INS-001,2,0,30,1
SI-0047,SUP-003,SITE-002,2026-03-02,INS-019,3,0,42,2
SI-0048,SUP-014,SITE-003,2026-03-02,INS-001,2,0,32,2
SI-0049,SUP-011,SITE-005,2026-03-02,INS-001,4,1,38,3
SI-0050,SUP-013,SITE-006,2026-03-02,INS-020,1,0,25,1
SI-0051,SUP-016,SITE-007,2026-03-02,INS-001,2,0,28,1
SI-0052,SUP-019,SITE-009,2026-03-02,INS-006,5,1,62,4
SI-0053,SUP-021,SITE-010,2026-03-02,INS-001,1,0,20,0
SI-0054,SUP-023,SITE-011,2026-03-02,INS-008,2,0,32,2
SI-0055,SUP-025,SITE-012,2026-03-02,INS-001,3,0,35,2
SI-0056,SUP-007,SITE-001,2026-03-03,INS-002,4,0,40,3
SI-0057,SUP-007,SITE-001,2026-03-03,INS-001,3,1,36,2
SI-0058,SUP-004,SITE-002,2026-03-03,INS-001,2,0,32,1
SI-0059,SUP-014,SITE-003,2026-03-03,INS-001,5,2,48,4
SI-0060,SUP-009,SITE-004,2026-03-03,INS-005,2,0,35,1
SI-0061,SUP-010,SITE-005,2026-03-03,INS-001,3,0,30,2
SI-0062,SUP-012,SITE-006,2026-03-03,INS-004,1,0,22,1
SI-0063,SUP-015,SITE-007,2026-03-03,INS-001,2,0,28,1
SI-0064,SUP-018,SITE-008,2026-03-03,INS-012,3,0,45,2
SI-0065,SUP-020,SITE-009,2026-03-03,INS-001,4,1,42,3
SI-0066,SUP-022,SITE-010,2026-03-03,INS-001,1,0,20,0
SI-0067,SUP-024,SITE-011,2026-03-03,INS-001,2,0,28,2
SI-0068,SUP-001,SITE-001,2026-03-04,INS-009,3,0,58,3
SI-0069,SUP-003,SITE-002,2026-03-04,INS-001,4,1,42,3
SI-0070,SUP-006,SITE-003,2026-03-04,INS-001,2,0,30,1
SI-0071,SUP-009,SITE-004,2026-03-04,INS-001,3,0,34,2
SI-0072,SUP-011,SITE-005,2026-03-04,INS-010,2,0,40,2
SI-0073,SUP-013,SITE-006,2026-03-04,INS-001,1,0,22,1
SI-0074,SUP-016,SITE-007,2026-03-04,INS-007,2,0,26,1
SI-0075,SUP-019,SITE-009,2026-03-04,INS-001,6,2,52,5
SI-0076,SUP-023,SITE-011,2026-03-04,INS-001,2,0,30,1
SI-0077,SUP-025,SITE-012,2026-03-04,INS-005,3,0,38,2
SI-0078,SUP-007,SITE-001,2026-03-05,INS-001,2,0,32,1
SI-0079,SUP-004,SITE-002,2026-03-05,INS-015,3,0,35,2
SI-0080,SUP-014,SITE-003,2026-03-05,INS-001,4,1,40,3
SI-0081,SUP-010,SITE-005,2026-03-05,INS-001,2,0,28,1
SI-0082,SUP-012,SITE-006,2026-03-05,INS-011,1,0,48,1
SI-0083,SUP-015,SITE-007,2026-03-05,INS-001,3,0,34,2
SI-0084,SUP-017,SITE-008,2026-03-05,INS-001,2,0,26,1
SI-0085,SUP-019,SITE-009,2026-03-05,INS-013,5,2,55,4
SI-0086,SUP-021,SITE-010,2026-03-05,INS-003,1,0,22,1
SI-0087,SUP-024,SITE-011,2026-03-05,INS-001,2,0,30,2
SI-0088,SUP-025,SITE-012,2026-03-05,INS-001,3,0,32,2
SI-0089,SUP-007,SITE-001,2026-03-06,INS-001,4,1,38,3
SI-0090,SUP-007,SITE-001,2026-03-06,INS-016,2,0,42,2
SI-0091,SUP-003,SITE-002,2026-03-06,INS-001,3,0,36,2
SI-0092,SUP-006,SITE-003,2026-03-06,INS-014,1,0,24,1
SI-0093,SUP-009,SITE-004,2026-03-06,INS-001,2,0,28,1
SI-0094,SUP-011,SITE-005,2026-03-06,INS-001,3,1,35,2
SI-0095,SUP-013,SITE-006,2026-03-06,INS-001,2,0,26,1
SI-0096,SUP-016,SITE-007,2026-03-06,INS-001,2,0,28,1
SI-0097,SUP-018,SITE-008,2026-03-06,INS-006,3,0,52,2
SI-0098,SUP-020,SITE-009,2026-03-06,INS-001,5,1,48,4
SI-0099,SUP-022,SITE-010,2026-03-06,INS-001,1,0,20,0
SI-0100,SUP-023,SITE-011,2026-03-06,INS-008,2,0,32,2
SI-0101,SUP-007,SITE-001,2026-03-07,INS-005,3,0,38,2
SI-0102,SUP-004,SITE-002,2026-03-07,INS-001,4,1,44,3
SI-0103,SUP-014,SITE-003,2026-03-07,INS-001,2,0,30,1
SI-0104,SUP-011,SITE-005,2026-03-07,INS-017,3,0,45,2
SI-0105,SUP-012,SITE-006,2026-03-07,INS-001,1,0,22,1
SI-0106,SUP-015,SITE-007,2026-03-07,INS-001,3,0,32,2
SI-0107,SUP-019,SITE-009,2026-03-07,INS-001,4,1,42,3
SI-0108,SUP-023,SITE-011,2026-03-07,INS-018,2,0,35,2
SI-0109,SUP-025,SITE-012,2026-03-07,INS-001,2,0,28,1
SI-0110,SUP-007,SITE-001,2026-03-09,INS-001,3,0,34,2
SI-0111,SUP-003,SITE-002,2026-03-09,INS-012,2,0,55,2
SI-0112,SUP-006,SITE-003,2026-03-09,INS-001,4,1,40,3
SI-0113,SUP-009,SITE-004,2026-03-09,INS-001,2,0,28,1
SI-0114,SUP-010,SITE-005,2026-03-09,INS-001,3,0,32,2
SI-0115,SUP-013,SITE-006,2026-03-09,INS-020,1,0,22,1
SI-0116,SUP-016,SITE-007,2026-03-09,INS-001,2,0,26,1
SI-0117,SUP-017,SITE-008,2026-03-09,INS-001,2,0,24,1
SI-0118,SUP-019,SITE-009,2026-03-09,INS-009,5,2,60,5
SI-0119,SUP-021,SITE-010,2026-03-09,INS-001,1,0,20,0
SI-0120,SUP-025,SITE-012,2026-03-09,INS-001,3,0,32,2
SI-0121,SUP-007,SITE-001,2026-03-10,INS-001,4,1,38,3
SI-0122,SUP-007,SITE-001,2026-03-10,INS-002,2,0,28,1
SI-0123,SUP-004,SITE-002,2026-03-10,INS-001,3,0,36,2
SI-0124,SUP-014,SITE-003,2026-03-10,INS-001,5,2,48,4
SI-0125,SUP-009,SITE-004,2026-03-10,INS-005,2,0,35,1
SI-0126,SUP-011,SITE-005,2026-03-10,INS-001,3,0,30,2
SI-0127,SUP-012,SITE-006,2026-03-10,INS-011,1,0,45,1
SI-0128,SUP-015,SITE-007,2026-03-10,INS-019,2,0,38,2
SI-0129,SUP-018,SITE-008,2026-03-10,INS-001,3,0,32,2
SI-0130,SUP-020,SITE-009,2026-03-10,INS-001,4,1,40,3
SI-0131,SUP-022,SITE-010,2026-03-10,INS-003,1,0,22,1
SI-0132,SUP-024,SITE-011,2026-03-10,INS-001,2,0,28,2
SI-0133,SUP-025,SITE-012,2026-03-10,INS-001,3,1,35,2
SI-0134,SUP-007,SITE-001,2026-03-11,INS-001,2,0,30,1
SI-0135,SUP-003,SITE-002,2026-03-11,INS-001,3,0,34,2
SI-0136,SUP-006,SITE-003,2026-03-11,INS-016,2,0,40,2
SI-0137,SUP-011,SITE-005,2026-03-11,INS-001,4,1,38,3
SI-0138,SUP-013,SITE-006,2026-03-11,INS-004,1,0,22,1
SI-0139,SUP-015,SITE-007,2026-03-11,INS-001,2,0,28,1
SI-0140,SUP-019,SITE-009,2026-03-11,INS-015,5,1,52,4
SI-0141,SUP-023,SITE-011,2026-03-11,INS-001,2,0,26,1
SI-0142,SUP-025,SITE-012,2026-03-11,INS-005,3,0,36,2
SI-0143,SUP-007,SITE-001,2026-03-12,INS-001,3,1,36,2
SI-0144,SUP-004,SITE-002,2026-03-12,INS-006,4,0,58,3
SI-0145,SUP-014,SITE-003,2026-03-12,INS-001,2,0,30,1
SI-0146,SUP-009,SITE-004,2026-03-12,INS-001,3,0,32,2
SI-0147,SUP-010,SITE-005,2026-03-12,INS-001,2,0,26,1
SI-0148,SUP-019,SITE-009,2026-03-12,INS-001,4,1,42,3
SI-0149,SUP-024,SITE-011,2026-03-12,INS-018,2,0,35,2
SI-0150,SUP-025,SITE-012,2026-03-12,INS-012,3,0,48,2
