telemetry_id,equipment_id,site_id,timestamp,utilization_pct,fuel_level,maintenance_flag
ET-038,FORKLIFT-001,SITE-003,2026-03-09T09:00:00,75,80,false
ET-039,FORKLIFT-001,SITE-003,2026-03-09T10:00:00,58,76,false
ET-040,CRANE-004,SITE-005,2026-03-09T06:00:00,0,78,false
ET-041,CRANE-004,SITE-005,2026-03-09T07:00:00,40,75,false
ET-042,CRANE-004,SITE-005,2026-03-09T08:00:00,65,70,false
ET-043,CRANE-004,SITE-005,2026-03-09T09:00:00,82,65,false
ET-044,CRANE-004,SITE-005,2026-03-09T10:00:00,78,60,false
ET-045,CRANE-004,SITE-005,2026-03-09T11:00:00,70,55,false
ET-046,CRANE-004,SITE-005,2026-03-09T12:00:00,18,53,false
ET-047,EXCAVATOR-002,SITE-005,2026-03-09T06:00:00,0,72,true
ET-048,EXCAVATOR-002,SITE-005,2026-03-09T07:00:00,50,68,true
ET-049,EXCAVATOR-002,SITE-005,2026-03-09T08:00:00,75,62,false
ET-050,EXCAVATOR-002,SITE-005,2026-03-09T09:00:00,88,56,false
ET-051,EXCAVATOR-002,SITE-005,2026-03-09T10:00:00,80,50,false
ET-052,EXCAVATOR-002,SITE-005,2026-03-09T11:00:00,65,44,true
ET-053,GENERATOR-001,SITE-009,2026-03-09T06:00:00,10,90,false
ET-054,GENERATOR-001,SITE-009,2026-03-09T07:00:00,35,88,false
ET-055,GENERATOR-001,SITE-009,2026-03-09T08:00:00,60,84,false
ET-056,GENERATOR-001,SITE-009,2026-03-09T09:00:00,85,78,false
ET-057,GENERATOR-001,SITE-009,2026-03-09T10:00:00,92,72,false
ET-058,GENERATOR-001,SITE-009,2026-03-09T11:00:00,88,66,false
ET-059,GENERATOR-001,SITE-009,2026-03-09T12:00:00,90,60,false
ET-060,GENERATOR-001,SITE-009,2026-03-09T13:00:00,95,54,true
ET-061,CRANE-005,SITE-009,2026-03-09T06:00:00,0,85,false
ET-062,CRANE-005,SITE-009,2026-03-09T07:00:00,42,82,false
ET-063,CRANE-005,SITE-009,2026-03-09T08:00:00,70,78,false
ET-064,CRANE-005,SITE-009,2026-03-09T09:00:00,85,72,false
ET-065,CRANE-005,SITE-009,2026-03-09T10:00:00,80,68,false
ET-066,CRANE-005,SITE-009,2026-03-09T11:00:00,72,64,false
ET-067,CRANE-005,SITE-009,2026-03-09T12:00:00,15,62,false
ET-068,CRANE-005,SITE-009,2026-03-09T13:00:00,78,58,false
ET-069,LOADER-002,SITE-004,2026-03-09T06:00:00,0,82,false
ET-070,LOADER-002,SITE-004,2026-03-09T07:00:00,45,78,false
ET-071,LOADER-002,SITE-004,2026-03-09T08:00:00,68,72,false
ET-072,LOADER-002,SITE-004,2026-03-09T09:00:00,75,66,false
ET-073,FORKLIFT-002,SITE-006,2026-03-09T06:00:00,0,88,false
ET-074,FORKLIFT-002,SITE-006,2026-03-09T07:00:00,40,85,false
ET-075,FORKLIFT-002,SITE-006,2026-03-09T08:00:00,65,80,false
ET-076,FORKLIFT-002,SITE-006,2026-03-09T09:00:00,72,75,false
ET-077,EXCAVATOR-003,SITE-010,2026-03-09T06:00:00,0,75,false
ET-078,EXCAVATOR-003,SITE-010,2026-03-09T07:00:00,52,70,false
ET-079,EXCAVATOR-003,SITE-010,2026-03-09T08:00:00,78,64,false
ET-080,EXCAVATOR-003,SITE-010,2026-03-09T09:00:00,82,58,false
