ping_id,supervisor_id,timestamp,site_id,zone,floor,activity_type,dwell_minutes
LOC-0138,SUP-009,2026-02-24T09:45:45,SITE-004,Structure,4,observation,10
LOC-0139,SUP-009,2026-02-24T10:00:00,SITE-004,Electrical,2,coordination,8
LOC-0140,SUP-009,2026-02-24T10:15:15,SITE-004,Office Trailer,0,meeting,38
LOC-0141,SUP-010,2026-02-24T06:45:30,SITE-005,Office Trailer,0,documentation,20
LOC-0142,SUP-010,2026-02-24T07:10:00,SITE-005,Foundation,0,inspection,18
LOC-0143,SUP-010,2026-02-24T07:35:22,SITE-005,Structure,0,observation,12
LOC-0144,SUP-010,2026-02-24T07:55:45,SITE-005,Exterior,0,coordination,14
LOC-0145,SUP-010,2026-02-24T08:15:00,SITE-005,Mechanical,0,inspection,22
LOC-0146,SUP-010,2026-02-24T08:45:15,SITE-005,Electrical,0,inspection,16
LOC-0147,SUP-010,2026-02-24T09:05:30,SITE-005,Office Trailer,0,documentation,35
LOC-0148,SUP-010,2026-02-24T09:45:00,SITE-005,Structure,0,observation,10
LOC-0149,SUP-010,2026-02-24T10:00:22,SITE-005,Interior,0,coordination,8
LOC-0150,SUP-010,2026-02-24T10:15:45,SITE-005,Office Trailer,0,meeting,42
LOC-0151,SUP-011,2026-02-24T06:40:00,SITE-005,Office Trailer,0,documentation,22
LOC-0152,SUP-011,2026-02-24T07:10:15,SITE-005,Foundation,0,inspection,20
LOC-0153,SUP-011,2026-02-24T07:35:30,SITE-005,Structure,0,observation,14
LOC-0154,SUP-011,2026-02-24T07:55:00,SITE-005,Exterior,0,coordination,10
LOC-0155,SUP-011,2026-02-24T08:10:22,SITE-005,Mechanical,0,inspection,18
LOC-0156,SUP-011,2026-02-24T08:35:45,SITE-005,Electrical,0,inspection,14
LOC-0157,SUP-011,2026-02-24T08:55:00,SITE-005,Office Trailer,0,documentation,30
LOC-0158,SUP-011,2026-02-24T09:30:15,SITE-005,Interior,0,observation,12
LOC-0159,SUP-011,2026-02-24T09:50:30,SITE-005,Structure,0,coordination,8
LOC-0160,SUP-011,2026-02-24T10:05:00,SITE-005,Office Trailer,0,meeting,45
LOC-0161,SUP-012,2026-02-24T06:50:22,SITE-006,Office Trailer,0,documentation,16
LOC-0162,SUP-012,2026-02-24T07:10:45,SITE-006,Foundation,0,inspection,14
LOC-0163,SUP-012,2026-02-24T07:30:00,SITE-006,Structure,1,observation,10
LOC-0164,SUP-012,2026-02-24T07:45:15,SITE-006,Interior,1,coordination,12
LOC-0165,SUP-012,2026-02-24T08:05:30,SITE-006,Mechanical,1,inspection,18
LOC-0166,SUP-012,2026-02-24T08:30:00,SITE-006,Exterior,0,observation,8
LOC-0167,SUP-012,2026-02-24T08:45:22,SITE-006,Office Trailer,0,documentation,28
LOC-0168,SUP-012,2026-02-24T09:20:45,SITE-006,Structure,2,inspection,16
LOC-0169,SUP-012,2026-02-24T09:40:00,SITE-006,Interior,2,coordination,10
LOC-0170,SUP-012,2026-02-24T10:00:15,SITE-006,Office Trailer,0,meeting,35
LOC-0171,SUP-013,2026-02-24T07:00:30,SITE-006,Office Trailer,0,documentation,18
LOC-0172,SUP-013,2026-02-24T07:25:00,SITE-006,Foundation,0,inspection,16
LOC-0173,SUP-013,2026-02-24T07:45:22,SITE-006,Structure,2,observation,12
LOC-0174,SUP-013,2026-02-24T08:05:45,SITE-006,Exterior,0,coordination,14
LOC-0175,SUP-013,2026-02-24T08:25:00,SITE-006,Mechanical,1,inspection,20
LOC-0176,SUP-013,2026-02-24T08:50:15,SITE-006,Electrical,2,inspection,15
LOC-0177,SUP-013,2026-02-24T09:10:30,SITE-006,Office Trailer,0,documentation,32
LOC-0178,SUP-013,2026-02-24T09:50:00,SITE-006,Interior,3,observation,10
LOC-0179,SUP-013,2026-02-24T10:05:22,SITE-006,Structure,3,coordination,8
LOC-0180,SUP-013,2026-02-24T10:20:45,SITE-006,Office Trailer,0,meeting,38
LOC-0181,SUP-015,2026-02-24T06:55:00,SITE-007,Office Trailer,0,documentation,16
LOC-0182,SUP-015,2026-02-24T07:15:15,SITE-007,Foundation,0,inspection,14
LOC-0183,SUP-015,2026-02-24T07:35:30,SITE-007,Structure,1,observation,10
LOC-0184,SUP-015,2026-02-24T07:50:00,SITE-007,Interior,1,coordination,12
LOC-0185,SUP-015,2026-02-24T08:10:22,SITE-007,Mechanical,1,inspection,18
LOC-0186,SUP-015,2026-02-24T08:35:45,SITE-007,Exterior,0,observation,8
LOC-0187,SUP-015,2026-02-24T08:50:00,SITE-007,Office Trailer,0,documentation,25
LOC-0188,SUP-015,2026-02-24T09:20:15,SITE-007,Structure,2,inspection,16
LOC-0189,SUP-015,2026-02-24T09:40:30,SITE-007,Interior,1,coordination,10
LOC-0190,SUP-015,2026-02-24T10:00:00,SITE-007,Office Trailer,0,meeting,30
LOC-0191,SUP-016,2026-02-24T07:00:22,SITE-007,Office Trailer,0,documentation,18
LOC-0192,SUP-016,2026-02-24T07:25:45,SITE-007,Foundation,0,inspection,16
LOC-0193,SUP-016,2026-02-24T07:45:00,SITE-007,Structure,1,observation,12
LOC-0194,SUP-016,2026-02-24T08:05:15,SITE-007,Exterior,0,coordination,14
LOC-0195,SUP-016,2026-02-24T08:25:30,SITE-007,Mechanical,1,inspection,20
LOC-0196,SUP-016,2026-02-24T08:50:00,SITE-007,Interior,2,inspection,15
LOC-0197,SUP-016,2026-02-24T09:10:22,SITE-007,Office Trailer,0,documentation,28
LOC-0198,SUP-016,2026-02-24T09:45:45,SITE-007,Structure,2,observation,10
LOC-0199,SUP-016,2026-02-24T10:00:00,SITE-007,Electrical,1,coordination,8
LOC-0200,SUP-016,2026-02-24T10:15:15,SITE-007,Office Trailer,0,meeting,32
LOC-0201,SUP-017,2026-02-24T07:00:30,SITE-008,Office Trailer,0,documentation,12
LOC-0202,SUP-017,2026-02-24T07:20:00,SITE-008,Foundation,0,inspection,10
LOC-0203,SUP-017,2026-02-24T07:35:22,SITE-008,Structure,2,observation,8
LOC-0204,SUP-017,2026-02-24T07:50:45,SITE-008,Interior,1,coordination,10
LOC-0205,SUP-017,2026-02-24T08:05:00,SITE-008,Mechanical,2,inspection,14
LOC-0206,SUP-017,2026-02-24T08:25:15,SITE-008,Exterior,0,observation,6
LOC-0207,SUP-017,2026-02-24T08:35:30,SITE-008,Office Trailer,0,documentation,18
LOC-0208,SUP-017,2026-02-24T09:00:00,SITE-008,Structure,4,inspection,12
LOC-0209,SUP-017,2026-02-24T09:15:22,SITE-008,Interior,3,coordination,8
LOC-0210,SUP-017,2026-02-24T09:30:45,SITE-008,Office Trailer,0,meeting,25
LOC-0211,SUP-018,2026-02-24T06:50:00,SITE-008,Office Trailer,0,documentation,18
LOC-0212,SUP-018,2026-02-24T07:15:15,SITE-008,Foundation,0,inspection,16
LOC-0213,SUP-018,2026-02-24T07:35:30,SITE-008,Structure,3,observation,12
LOC-0214,SUP-018,2026-02-24T07:55:00,SITE-008,Interior,2,coordination,14
LOC-0215,SUP-018,2026-02-24T08:15:22,SITE-008,Mechanical,1,inspection,20
LOC-0216,SUP-018,2026-02-24T08:40:45,SITE-008,Electrical,3,inspection,15
LOC-0217,SUP-018,2026-02-24T09:00:00,SITE-008,Office Trailer,0,documentation,30
LOC-0218,SUP-018,2026-02-24T09:35:15,SITE-008,Structure,5,observation,10
LOC-0219,SUP-018,2026-02-24T09:50:30,SITE-008,Interior,4,coordination,8
LOC-0220,SUP-018,2026-02-24T10:05:00,SITE-008,Office Trailer,0,meeting,35
LOC-0221,SUP-019,2026-02-24T06:30:22,SITE-009,Office Trailer,0,documentation,25
LOC-0222,SUP-019,2026-02-24T07:00:45,SITE-009,Foundation,0,inspection,22
LOC-0223,SUP-019,2026-02-24T07:30:00,SITE-009,Structure,0,observation,15
LOC-0224,SUP-019,2026-02-24T07:50:15,SITE-009,Mechanical,0,coordination,18
LOC-0225,SUP-019,2026-02-24T08:15:30,SITE-009,Electrical,0,inspection,25
LOC-0226,SUP-019,2026-02-24T08:45:00,SITE-009,Interior,0,inspection,20
LOC-0227,SUP-019,2026-02-24T09:10:22,SITE-009,Office Trailer,0,documentation,45
LOC-0228,SUP-019,2026-02-24T10:00:45,SITE-009,Structure,0,observation,12
LOC-0229,SUP-019,2026-02-24T10:20:00,SITE-009,Mechanical,0,coordination,10
LOC-0230,SUP-019,2026-02-24T10:35:15,SITE-009,Office Trailer,0,meeting,50
LOC-0231,SUP-019,2026-02-24T11:30:30,SITE-009,Office Trailer,0,documentation,35
LOC-0232,SUP-019,2026-02-24T12:10:00,SITE-009,Electrical,0,inspection,18
LOC-0233,SUP-019,2026-02-24T12:35:22,SITE-009,Interior,0,observation,14
LOC-0234,SUP-019,2026-02-24T12:55:45,SITE-009,Structure,0,coordination,10
LOC-0235,SUP-019,2026-02-24T13:10:00,SITE-009,Office Trailer,0,documentation,40
LOC-0236,SUP-019,2026-02-24T13:55:15,SITE-009,Mechanical,0,inspection,22
LOC-0237,SUP-019,2026-02-24T14:20:30,SITE-009,Electrical,0,observation,15
LOC-0238,SUP-019,2026-02-24T14:40:00,SITE-009,Office Trailer,0,documentation,30
LOC-0239,SUP-019,2026-02-24T15:15:22,SITE-009,Interior,0,coordination,12
LOC-0240,SUP-019,2026-02-24T15:35:45,SITE-009,Office Trailer,0,documentation,28
LOC-0241,SUP-020,2026-02-24T06:45:00,SITE-009,Office Trailer,0,documentation,20
LOC-0242,SUP-020,2026-02-24T07:10:15,SITE-009,Foundation,0,inspection,18
LOC-0243,SUP-020,2026-02-24T07:35:30,SITE-009,Structure,0,observation,12
LOC-0244,SUP-020,2026-02-24T07:55:00,SITE-009,Mechanical,0,coordination,14
LOC-0245,SUP-020,2026-02-24T08:15:22,SITE-009,Electrical,0,inspection,20
LOC-0246,SUP-020,2026-02-24T08:40:45,SITE-009,Interior,0,inspection,16
LOC-0247,SUP-020,2026-02-24T09:00:00,SITE-009,Office Trailer,0,documentation,32
LOC-0248,SUP-020,2026-02-24T09:40:15,SITE-009,Structure,0,observation,10
LOC-0249,SUP-020,2026-02-24T10:00:30,SITE-009,Mechanical,0,coordination,8
LOC-0250,SUP-020,2026-02-24T10:15:00,SITE-009,Office Trailer,0,meeting,40
LOC-0251,SUP-021,2026-02-24T07:00:22,SITE-010,Office Trailer,0,documentation,14
LOC-0252,SUP-021,2026-02-24T07:20:45,SITE-010,Foundation,0,inspection,12
LOC-0253,SUP-021,2026-02-24T07:40:00,SITE-010,Structure,0,observation,8
LOC-0254,SUP-021,2026-02-24T07:55:15,SITE-010,Exterior,0,coordination,10
LOC-0255,SUP-021,2026-02-24T08:10:30,SITE-010,Mechanical,0,inspection,16
LOC-0256,SUP-021,2026-02-24T08:30:00,SITE-010,Electrical,0,inspection,14
LOC-0257,SUP-021,2026-02-24T08:50:22,SITE-010,Office Trailer,0,documentation,22
LOC-0258,SUP-021,2026-02-24T09:15:45,SITE-010,Structure,0,observation,10
LOC-0259,SUP-021,2026-02-24T09:30:00,SITE-010,Exterior,0,coordination,8
LOC-0260,SUP-021,2026-02-24T09:45:15,SITE-010,Office Trailer,0,meeting,28
LOC-0261,SUP-022,2026-02-24T07:10:30,SITE-010,Office Trailer,0,documentation,16
LOC-0262,SUP-022,2026-02-24T07:30:00,SITE-010,Foundation,0,inspection,14
LOC-0263,SUP-022,2026-02-24T07:50:22,SITE-010,Structure,0,observation,10
LOC-0264,SUP-022,2026-02-24T08:05:45,SITE-010,Exterior,0,coordination,12
LOC-0265,SUP-022,2026-02-24T08:25:00,SITE-010,Electrical,0,inspection,18
LOC-0266,SUP-022,2026-02-24T08:50:15,SITE-010,Mechanical,0,inspection,14
LOC-0267,SUP-022,2026-02-24T09:10:30,SITE-010,Office Trailer,0,documentation,25
LOC-0268,SUP-022,2026-02-24T09:40:00,SITE-010,Structure,0,observation,10
LOC-0269,SUP-022,2026-02-24T10:00:22,SITE-010,Exterior,0,coordination,8
LOC-0270,SUP-022,2026-02-24T10:15:45,SITE-010,Office Trailer,0,meeting,30
LOC-0271,SUP-023,2026-02-24T07:15:00,SITE-011,Office Trailer,0,documentation,18
LOC-0272,SUP-023,2026-02-24T07:40:15,SITE-011,Interior,1,inspection,16
LOC-0273,SUP-023,2026-02-24T08:00:30,SITE-011,Structure,2,observation,12
LOC-0274,SUP-023,2026-02-24T08:20:00,SITE-011,Interior,2,coordination,10
LOC-0275,SUP-023,2026-02-24T08:35:22,SITE-011,Mechanical,1,inspection,18
LOC-0276,SUP-023,2026-02-24T09:00:45,SITE-011,Electrical,1,inspection,14
LOC-0277,SUP-023,2026-02-24T09:20:00,SITE-011,Office Trailer,0,documentation,25
LOC-0278,SUP-023,2026-02-24T09:50:15,SITE-011,Structure,3,observation,10
LOC-0279,SUP-023,2026-02-24T10:05:30,SITE-011,Interior,2,coordination,8
LOC-0280,SUP-023,2026-02-24T10:20:00,SITE-011,Office Trailer,0,meeting,30
LOC-0281,SUP-024,2026-02-24T07:20:22,SITE-011,Office Trailer,0,documentation,14
LOC-0282,SUP-024,2026-02-24T07:40:45,SITE-011,Interior,1,inspection,12
LOC-0283,SUP-024,2026-02-24T08:00:00,SITE-011,Structure,2,observation,10
LOC-0284,SUP-024,2026-02-24T08:15:15,SITE-011,Interior,3,coordination,14
LOC-0285,SUP-024,2026-02-24T08:35:30,SITE-011,Mechanical,2,inspection,16
LOC-0286,SUP-024,2026-02-24T08:55:00,SITE-011,Electrical,1,inspection,12
LOC-0287,SUP-024,2026-02-24T09:10:22,SITE-011,Office Trailer,0,documentation,22
LOC-0288,SUP-024,2026-02-24T09:40:45,SITE-011,Structure,3,observation,8
LOC-0289,SUP-024,2026-02-24T09:55:00,SITE-011,Interior,2,coordination,10
LOC-0290,SUP-024,2026-02-24T10:10:15,SITE-011,Office Trailer,0,meeting,28
LOC-0291,SUP-025,2026-02-24T07:10:30,SITE-012,Office Trailer,0,documentation,16
LOC-0292,SUP-025,2026-02-24T07:30:00,SITE-012,Interior,1,inspection,14
LOC-0293,SUP-025,2026-02-24T07:50:22,SITE-012,Structure,1,observation,10
LOC-0294,SUP-025,2026-02-24T08:05:45,SITE-012,Interior,2,coordination,12
LOC-0295,SUP-025,2026-02-24T08:25:00,SITE-012,Mechanical,1,inspection,18
LOC-0296,SUP-025,2026-02-24T08:50:15,SITE-012,Electrical,1,inspection,14
LOC-0297,SUP-025,2026-02-24T09:10:30,SITE-012,Office Trailer,0,documentation,24
LOC-0298,SUP-025,2026-02-24T09:40:00,SITE-012,Interior,2,observation,10
LOC-0299,SUP-025,2026-02-24T10:00:22,SITE-012,Structure,2,coordination,8
LOC-0300,SUP-025,2026-02-24T10:15:45,SITE-012,Office Trailer,0,meeting,30
LOC-0301,SUP-001,2026-02-25T06:50:00,SITE-001,Office Trailer,0,documentation,20
LOC-0302,SUP-001,2026-02-25T07:15:22,SITE-001,Structure,10,inspection,18
LOC-0303,SUP-001,2026-02-25T07:40:45,SITE-001,Structure,16,observation,12
LOC-0304,SUP-001,2026-02-25T08:00:00,SITE-001,Envelope,20,coordination,14
LOC-0305,SUP-001,2026-02-25T08:20:15,SITE-001,Interior,14,inspection,20
LOC-0306,SUP-001,2026-02-25T08:45:30,SITE-001,Mechanical,8,inspection,16
LOC-0307,SUP-001,2026-02-25T09:05:00,SITE-001,Office Trailer,0,documentation,32
LOC-0308,SUP-001,2026-02-25T09:45:22,SITE-001,Structure,22,observation,10
