quality_id,ticket_id,engineer_id,review_date,resolution_accuracy_pct,rca_completeness_pct,doc_standard_met,peer_review_score,time_to_document_min,documentation_errors,customer_followup_done
QA-136,TKT-0136,ENG-028,2026-03-17,90,55,No,3.1,20,0,No
QA-137,TKT-0137,ENG-008,2026-03-17,85,82,Yes,4.2,50,1,Yes
QA-138,TKT-0138,ENG-010,2026-03-17,92,62,No,3.5,18,0,Yes
QA-139,TKT-0139,ENG-024,2026-03-24,70,98,Yes,4.9,195,2,No
QA-140,TKT-0140,ENG-005,2026-03-18,87,80,Yes,4.1,60,1,No
QA-141,TKT-0141,ENG-018,2026-03-19,89,76,Yes,4.0,55,0,No
QA-142,TKT-0142,ENG-011,2026-03-18,93,62,No,3.5,25,0,Yes
QA-143,TKT-0143,ENG-007,2026-03-18,95,80,Yes,4.1,45,0,No
QA-144,TKT-0144,ENG-029,2026-03-18,92,76,Yes,4.0,35,0,No
QA-145,TKT-0145,ENG-015,2026-03-18,90,68,Yes,3.7,30,0,Yes
QA-146,TKT-0146,ENG-020,2026-03-19,86,74,Yes,3.8,45,1,Yes
QA-147,TKT-0147,ENG-023,2026-03-19,84,80,Yes,4.1,55,1,Yes
QA-148,TKT-0148,ENG-006,2026-03-19,88,88,Yes,4.5,45,0,No
QA-149,TKT-0149,ENG-030,2026-03-19,94,58,No,3.3,15,0,No
QA-150,TKT-0150,ENG-013,2026-03-19,89,76,Yes,4.0,55,0,No
QA-151,TKT-0151,ENG-002,2026-03-19,92,70,Yes,3.8,28,0,Yes
QA-152,TKT-0152,ENG-027,2026-03-19,93,80,Yes,4.1,40,0,No
QA-153,TKT-0153,ENG-012,2026-03-20,86,80,Yes,4.1,55,1,No
QA-154,TKT-0154,ENG-016,2026-03-20,91,58,No,3.3,20,0,Yes
QA-155,TKT-0155,ENG-001,2026-03-20,87,76,Yes,3.9,50,1,Yes
QA-156,TKT-0156,ENG-014,2026-03-23,89,70,Yes,3.8,85,0,No
QA-157,TKT-0157,ENG-019,2026-03-20,91,68,Yes,3.7,40,0,Yes
QA-158,TKT-0158,ENG-004,2026-03-21,94,80,Yes,4.2,30,0,No
QA-159,TKT-0159,ENG-021,2026-03-21,85,78,Yes,4.0,50,1,Yes
QA-160,TKT-0160,ENG-009,2026-03-21,93,62,No,3.5,18,0,No
QA-161,TKT-0161,ENG-026,2026-03-21,90,70,Yes,3.8,28,0,Yes
QA-162,TKT-0162,ENG-017,2026-03-26,72,98,Yes,4.9,200,1,No
QA-163,TKT-0163,ENG-025,2026-03-21,92,60,No,3.4,22,0,No
QA-164,TKT-0164,ENG-022,2026-03-21,91,74,Yes,3.9,40,0,No
QA-165,TKT-0165,ENG-028,2026-03-21,93,78,Yes,4.0,42,0,No
QA-166,TKT-0166,ENG-003,2026-03-22,90,68,Yes,3.7,35,0,No
QA-167,TKT-0167,ENG-008,2026-03-22,83,82,Yes,4.2,60,1,Yes
QA-168,TKT-0168,ENG-010,2026-03-22,90,76,Yes,4.0,50,0,No
QA-169,TKT-0169,ENG-024,2026-03-22,88,82,Yes,4.2,40,0,No
QA-170,TKT-0170,ENG-011,2026-03-22,94,55,No,3.2,12,0,No
QA-171,TKT-0171,ENG-029,2026-03-22,91,74,Yes,3.9,45,0,No
QA-172,TKT-0172,ENG-005,2026-03-24,85,78,Yes,4.0,70,1,No
QA-173,TKT-0173,ENG-015,2026-03-23,84,80,Yes,4.1,55,1,Yes
QA-174,TKT-0174,ENG-020,2026-03-23,91,55,No,3.1,20,0,No
QA-175,TKT-0175,ENG-006,2026-03-23,87,82,Yes,4.2,50,1,Yes
QA-176,TKT-0176,ENG-018,2026-03-23,92,76,Yes,4.0,40,0,No
QA-177,TKT-0177,ENG-023,2026-03-23,89,70,Yes,3.8,30,0,Yes
QA-178,TKT-0178,ENG-007,2026-03-23,95,80,Yes,4.1,35,0,No
QA-179,TKT-0179,ENG-002,2026-03-23,93,58,No,3.3,12,0,No
QA-180,TKT-0180,ENG-030,2026-03-23,86,80,Yes,4.1,45,1,Yes
QA-181,TKT-0181,ENG-013,2026-03-24,89,76,Yes,4.0,50,0,No
QA-182,TKT-0182,ENG-004,2026-03-23,94,78,Yes,4.0,40,0,No
QA-183,TKT-0183,ENG-012,2026-03-23,87,88,Yes,4.5,55,1,No
QA-184,TKT-0184,ENG-027,2026-03-23,90,72,Yes,3.8,40,0,Yes
QA-185,TKT-0185,ENG-016,2026-03-23,92,58,No,3.3,18,0,Yes
QA-186,TKT-0186,ENG-001,2026-03-23,93,68,Yes,3.7,25,0,Yes
QA-187,TKT-0187,ENG-014,2026-03-23,88,74,Yes,3.9,42,0,No
QA-188,TKT-0188,ENG-009,2026-03-23,95,82,Yes,4.3,45,0,No
QA-189,TKT-0189,ENG-021,2026-03-27,90,70,Yes,3.8,90,0,No
QA-190,TKT-0190,ENG-019,2026-03-23,91,72,Yes,3.9,35,0,No
QA-191,TKT-0191,ENG-026,2026-03-23,82,94,Yes,4.8,70,2,No
QA-192,TKT-0192,ENG-025,2026-03-23,93,80,Yes,4.1,40,0,No
QA-193,TKT-0193,ENG-022,2026-03-23,94,62,No,3.5,18,0,No
QA-194,TKT-0194,ENG-028,2026-03-23,90,70,Yes,3.8,30,0,Yes
QA-195,TKT-0195,ENG-003,2026-03-25,86,78,Yes,4.0,60,1,No
QA-196,TKT-0196,ENG-017,2026-03-28,72,98,Yes,4.9,220,2,No
QA-197,TKT-0197,ENG-008,2026-03-23,81,90,Yes,4.6,65,2,Yes
QA-198,TKT-0198,ENG-010,2026-03-23,92,76,Yes,4.0,38,0,No
QA-199,TKT-0199,ENG-024,2026-03-24,80,94,Yes,4.8,75,2,Yes
QA-200,TKT-0200,ENG-011,2026-03-23,93,58,No,3.3,20,0,No
QA-201,TKT-0201,ENG-029,2026-03-23,87,80,Yes,4.1,48,1,Yes
QA-202,TKT-0202,ENG-005,2026-03-23,94,78,Yes,4.0,32,0,No
QA-203,TKT-0203,ENG-018,2026-03-24,91,74,Yes,3.9,48,0,No
QA-204,TKT-0204,ENG-023,2026-03-23,95,55,No,3.2,12,0,No
QA-205,TKT-0205,ENG-020,2026-03-23,89,68,Yes,3.7,38,0,Yes
QA-206,TKT-0206,ENG-007,2026-03-23,91,72,Yes,3.9,48,0,No
QA-207,TKT-0207,ENG-015,2026-03-23,86,78,Yes,4.0,45,1,Yes
QA-208,TKT-0208,ENG-006,2026-03-24,90,76,Yes,4.0,52,0,No
QA-209,TKT-0209,ENG-030,2026-03-23,87,80,Yes,4.1,55,1,No
QA-210,TKT-0210,ENG-002,2026-03-23,94,78,Yes,4.0,35,0,No
QA-211,TKT-0211,ENG-004,2026-03-23,91,62,No,3.5,28,0,Yes
QA-212,TKT-0212,ENG-013,2026-03-23,86,90,Yes,4.6,48,1,No
QA-213,TKT-0213,ENG-016,2026-03-23,93,58,No,3.3,15,0,No
QA-214,TKT-0214,ENG-009,2026-03-23,84,82,Yes,4.2,55,1,Yes
QA-215,TKT-0215,ENG-014,2026-03-23,93,78,Yes,4.0,35,0,No
QA-216,TKT-0216,ENG-019,2026-03-23,92,60,No,3.4,18,0,No
QA-217,TKT-0217,ENG-012,2026-03-30,75,96,Yes,4.9,185,2,No
QA-218,TKT-0218,ENG-021,2026-03-23,84,80,Yes,4.1,58,1,Yes
QA-219,TKT-0219,ENG-028,2026-03-23,91,70,Yes,3.8,38,0,No
QA-220,TKT-0220,ENG-025,2026-03-23,94,58,No,3.3,12,0,No
QA-221,TKT-0221,ENG-027,2026-03-23,93,78,Yes,4.0,42,0,No
QA-222,TKT-0222,ENG-022,2026-03-23,82,88,Yes,4.5,52,1,Yes
QA-223,TKT-0223,ENG-011,2026-03-23,91,74,Yes,3.9,38,0,No
QA-224,TKT-0224,ENG-010,2026-03-23,90,68,Yes,3.7,28,0,Yes
QA-225,TKT-0225,ENG-003,2026-03-23,88,76,Yes,4.0,48,0,No
QA-226,TKT-0226,ENG-017,2026-03-30,71,98,Yes,4.9,210,1,No
QA-227,TKT-0227,ENG-008,2026-03-23,85,80,Yes,4.1,50,1,Yes
QA-228,TKT-0228,ENG-026,2026-03-23,93,76,Yes,4.0,30,0,No
QA-229,TKT-0229,ENG-029,2026-03-23,81,90,Yes,4.6,72,2,Yes
QA-230,TKT-0230,ENG-024,2026-03-23,87,82,Yes,4.2,55,1,No
QA-231,TKT-0231,ENG-001,2026-03-23,95,58,No,3.3,12,0,No
QA-232,TKT-0232,ENG-018,2026-03-23,90,72,Yes,3.9,28,0,Yes
QA-233,TKT-0233,ENG-015,2026-03-23,93,80,Yes,4.1,45,0,No
QA-234,TKT-0234,ENG-020,2026-03-23,94,55,No,3.2,12,0,No
QA-235,TKT-0235,ENG-004,2026-03-23,91,64,No,3.6,22,0,Yes
QA-236,TKT-0236,ENG-007,2026-03-23,92,74,Yes,3.9,35,0,No
QA-237,TKT-0237,ENG-013,2026-03-25,86,78,Yes,4.0,62,1,No
QA-238,TKT-0238,ENG-006,2026-03-23,84,82,Yes,4.2,58,1,Yes
QA-239,TKT-0239,ENG-023,2026-03-23,92,78,Yes,4.0,38,0,No
QA-240,TKT-0240,ENG-030,2026-03-23,94,60,No,3.4,12,0,No
QA-241,TKT-0241,ENG-005,2026-03-24,88,76,Yes,4.0,52,0,No
QA-242,TKT-0242,ENG-002,2026-03-23,91,68,Yes,3.7,32,0,Yes
QA-243,TKT-0243,ENG-009,2026-03-23,89,72,Yes,3.8,25,0,Yes
QA-244,TKT-0244,ENG-019,2026-03-23,90,70,Yes,3.8,35,0,Yes
QA-245,TKT-0245,ENG-016,2026-03-23,86,78,Yes,4.0,42,1,Yes
QA-246,TKT-0246,ENG-014,2026-03-23,92,60,No,3.4,18,0,No
QA-247,TKT-0247,ENG-026,2026-03-23,88,74,Yes,3.9,42,0,No
QA-248,TKT-0248,ENG-021,2026-03-23,93,62,No,3.5,15,0,No
QA-249,TKT-0249,ENG-028,2026-03-23,91,80,Yes,4.1,40,0,No
QA-250,TKT-0250,ENG-011,2026-03-23,84,82,Yes,4.2,55,1,Yes
QA-251,TKT-0251,ENG-022,2026-03-24,89,76,Yes,4.0,50,0,No
QA-252,TKT-0252,ENG-003,2026-03-23,93,74,Yes,3.9,35,0,No
QA-253,TKT-0253,ENG-025,2026-03-23,87,78,Yes,4.0,45,1,Yes
QA-254,TKT-0254,ENG-017,2026-03-25,85,82,Yes,4.2,55,1,No
QA-255,TKT-0255,ENG-008,2026-03-23,94,80,Yes,4.1,42,0,No
QA-256,TKT-0256,ENG-010,2026-03-23,93,58,No,3.3,12,0,No
QA-257,TKT-0257,ENG-024,2026-03-23,86,88,Yes,4.5,48,1,No
QA-258,TKT-0258,ENG-012,2026-03-23,80,92,Yes,4.7,68,2,Yes
QA-259,TKT-0259,ENG-006,2026-03-23,91,68,Yes,3.7,25,0,Yes
QA-260,TKT-0260,ENG-029,2026-03-24,86,80,Yes,4.1,60,1,No
QA-261,TKT-0261,ENG-007,2026-03-23,96,52,No,3.0,10,0,No
QA-262,TKT-0262,ENG-013,2026-03-23,77,96,Yes,4.9,65,3,Yes
QA-263,TKT-0263,ENG-020,2026-03-23,93,80,Yes,4.1,40,0,No
QA-264,TKT-0264,ENG-018,2026-03-23,85,80,Yes,4.1,55,1,Yes
QA-265,TKT-0265,ENG-001,2026-03-23,92,60,No,3.4,22,0,Yes
QA-266,TKT-0266,ENG-023,2026-03-23,87,78,Yes,4.0,48,1,Yes
QA-267,TKT-0267,ENG-015,2026-03-23,94,62,No,3.5,15,0,No
QA-268,TKT-0268,ENG-030,2026-03-23,85,80,Yes,4.1,52,1,Yes
QA-269,TKT-0269,ENG-004,2026-03-23,89,76,Yes,4.0,48,0,No
QA-270,TKT-0270,ENG-005,2026-03-23,90,78,Yes,4.0,48,0,No
QA-271,TKT-0271,ENG-009,2026-03-23,93,62,No,3.5,18,0,No
QA-272,TKT-0272,ENG-014,2026-03-23,92,78,Yes,4.0,30,0,No
QA-273,TKT-0273,ENG-016,2026-03-23,91,66,Yes,3.6,25,0,Yes
QA-274,TKT-0274,ENG-011,2026-03-27,88,72,Yes,3.8,88,0,No
QA-275,TKT-0275,ENG-002,2026-03-23,93,74,Yes,3.9,35,0,No
QA-276,TKT-0276,ENG-026,2026-03-23,86,80,Yes,4.1,45,1,Yes
QA-277,TKT-0277,ENG-027,2026-03-23,91,60,No,3.4,18,0,No
QA-278,TKT-0278,ENG-019,2026-03-23,93,68,Yes,3.7,15,0,No
QA-279,TKT-0279,ENG-022,2026-03-23,80,94,Yes,4.8,72,2,Yes
QA-280,TKT-0280,ENG-021,2026-03-23,91,76,Yes,4.0,35,0,No
QA-281,TKT-0281,ENG-028,2026-03-23,90,70,Yes,3.8,32,0,Yes
QA-282,TKT-0282,ENG-003,2026-03-23,93,80,Yes,4.1,42,0,No
QA-283,TKT-0283,ENG-008,2026-03-23,89,74,Yes,3.9,28,0,Yes
QA-284,TKT-0284,ENG-010,2026-03-23,91,72,Yes,3.8,38,0,No
QA-285,TKT-0285,ENG-024,2026-03-24,88,76,Yes,4.0,48,0,No
QA-286,TKT-0286,ENG-025,2026-03-23,94,58,No,3.3,20,0,No
QA-287,TKT-0287,ENG-017,2026-03-25,84,82,Yes,4.2,65,1,No
QA-288,TKT-0288,ENG-012,2026-03-23,92,68,Yes,3.7,15,0,No
QA-289,TKT-0289,ENG-029,2026-03-23,93,80,Yes,4.1,42,0,No
QA-290,TKT-0290,ENG-006,2026-03-23,81,92,Yes,4.7,62,2,Yes
QA-291,TKT-0291,ENG-007,2026-03-23,90,70,Yes,3.8,22,0,Yes
QA-292,TKT-0292,ENG-018,2026-03-23,91,74,Yes,3.9,45,0,No
QA-293,TKT-0293,ENG-004,2026-03-23,95,55,No,3.2,10,0,No
QA-294,TKT-0294,ENG-020,2026-03-23,90,72,Yes,3.8,35,0,Yes
QA-295,TKT-0295,ENG-023,2026-03-23,85,82,Yes,4.2,48,1,Yes
QA-296,TKT-0296,ENG-001,2026-03-23,94,78,Yes,4.0,30,0,No
QA-297,TKT-0297,ENG-030,2026-03-23,88,74,Yes,3.9,25,0,No
QA-298,TKT-0298,ENG-015,2026-03-23,92,62,No,3.5,18,0,No
QA-299,TKT-0299,ENG-005,2026-03-23,91,76,Yes,4.0,38,0,No
QA-300,TKT-0300,ENG-013,2026-03-28,76,98,Yes,4.9,225,2,No
