impact_id,customer_id,timestamp,service_affected,impact_type,est_restore_time
CI-0047,CUST-008,2026-03-10T01:20:00.324Z,MPLS VPN,Degraded,2026-03-10T02:00:00Z
CI-0048,CUST-015,2026-03-10T01:25:00.546Z,Wavelength Service,Degraded,2026-03-10T02:30:00Z
CI-0049,CUST-017,2026-03-10T01:30:00.768Z,SD-WAN,Restored,2026-03-10T01:30:00Z
CI-0050,CUST-021,2026-03-10T01:35:00.990Z,Dedicated Internet,Degraded,2026-03-10T02:15:00Z
CI-0051,CUST-024,2026-03-10T01:40:00.102Z,Colocation Power,Restored,2026-03-10T01:40:00Z
CI-0052,CUST-008,2026-03-10T01:50:00.324Z,MPLS VPN,Restored,2026-03-10T01:50:00Z
CI-0053,CUST-015,2026-03-10T02:00:00.546Z,Wavelength Service,Restored,2026-03-10T02:00:00Z
CI-0054,CUST-021,2026-03-10T02:10:00.768Z,Dedicated Internet,Restored,2026-03-10T02:10:00Z
CI-0055,CUST-003,2026-03-10T02:15:00.990Z,Dedicated Internet,Degraded,2026-03-10T03:00:00Z
CI-0056,CUST-010,2026-03-10T02:20:00.102Z,SD-WAN,Packet Loss,2026-03-10T03:00:00Z
CI-0057,CUST-012,2026-03-10T02:25:00.324Z,Voice SIP Trunk,Latency,2026-03-10T02:45:00Z
CI-0058,CUST-003,2026-03-10T02:45:00.546Z,Dedicated Internet,Restored,2026-03-10T02:45:00Z
CI-0059,CUST-012,2026-03-10T02:48:00.768Z,Voice SIP Trunk,Restored,2026-03-10T02:48:00Z
CI-0060,CUST-010,2026-03-10T02:55:00.990Z,SD-WAN,Restored,2026-03-10T02:55:00Z
