dispatch_id,technician_id,timestamp,ticket_id,status,location,eta_min
SD-0020,ENG-009,2026-03-10T00:18:00.102Z,TKT-0288,Arrived,40.7831;-73.9712,0
SD-0021,ENG-010,2026-03-10T00:18:45.324Z,TKT-0290,Working,40.6782;-73.9442,0
SD-0022,ENG-023,2026-03-10T00:19:30.546Z,TKT-0296,En Route,40.7100;-74.0100,18
SD-0023,ENG-007,2026-03-10T00:20:00.768Z,TKT-0287,Working,40.7282;-74.0776,0
SD-0024,ENG-019,2026-03-10T00:21:00.990Z,TKT-0293,Arrived,40.8075;-73.9626,0
SD-0025,ENG-021,2026-03-10T00:22:00.102Z,TKT-0294,Arrived,40.7484;-73.9857,0
SD-0026,ENG-015,2026-03-10T00:22:45.324Z,TKT-0291,Working,40.7614;-73.9776,0
SD-0027,ENG-027,2026-03-10T00:23:30.546Z,TKT-0297,En Route,40.7350;-73.8100,22
SD-0028,ENG-009,2026-03-10T00:24:00.768Z,TKT-0288,Working,40.7831;-73.9712,0
SD-0029,ENG-023,2026-03-10T00:25:00.990Z,TKT-0296,Arrived,40.7128;-74.0060,0
SD-0030,ENG-010,2026-03-10T00:26:00.102Z,TKT-0290,Working,40.6782;-73.9442,0
SD-0031,ENG-019,2026-03-10T00:27:00.324Z,TKT-0293,Working,40.8075;-73.9626,0
SD-0032,ENG-021,2026-03-10T00:28:00.546Z,TKT-0294,Working,40.7484;-73.9857,0
SD-0033,ENG-027,2026-03-10T00:29:00.768Z,TKT-0297,En Route,40.7430;-73.8200,12
SD-0034,ENG-023,2026-03-10T00:30:00.990Z,TKT-0296,Working,40.7128;-74.0060,0
SD-0035,ENG-007,2026-03-10T00:35:00.102Z,TKT-0287,Documenting,40.7282;-74.0776,0
SD-0036,ENG-027,2026-03-10T00:36:00.324Z,TKT-0297,Arrived,40.7506;-73.8267,0
SD-0037,ENG-010,2026-03-10T00:38:00.546Z,TKT-0290,Documenting,40.6782;-73.9442,0
SD-0038,ENG-009,2026-03-10T00:40:00.768Z,TKT-0288,Documenting,40.7831;-73.9712,0
SD-0039,ENG-027,2026-03-10T00:42:00.990Z,TKT-0297,Working,40.7506;-73.8267,0
SD-0040,ENG-015,2026-03-10T00:43:00.102Z,TKT-0291,Documenting,40.7614;-73.9776,0
SD-0041,ENG-019,2026-03-10T00:45:00.324Z,TKT-0293,Documenting,40.8075;-73.9626,0
SD-0042,ENG-021,2026-03-10T00:46:00.546Z,TKT-0294,Documenting,40.7484;-73.9857,0
SD-0043,ENG-007,2026-03-10T00:48:00.768Z,TKT-0287,Complete,40.7282;-74.0776,0
SD-0044,ENG-023,2026-03-10T00:50:00.990Z,TKT-0296,Documenting,40.7128;-74.0060,0
SD-0045,ENG-010,2026-03-10T00:52:00.102Z,TKT-0290,Complete,40.6782;-73.9442,0
SD-0046,ENG-009,2026-03-10T00:54:00.324Z,TKT-0288,Complete,40.7831;-73.9712,0
SD-0047,ENG-027,2026-03-10T00:55:00.546Z,TKT-0297,Documenting,40.7506;-73.8267,0
SD-0048,ENG-015,2026-03-10T00:56:00.768Z,TKT-0291,Complete,40.7614;-73.9776,0
SD-0049,ENG-019,2026-03-10T00:58:00.990Z,TKT-0293,Complete,40.8075;-73.9626,0
SD-0050,ENG-021,2026-03-10T01:00:00.102Z,TKT-0294,Complete,40.7484;-73.9857,0
SD-0051,ENG-023,2026-03-10T01:02:00.324Z,TKT-0296,Complete,40.7128;-74.0060,0
SD-0052,ENG-027,2026-03-10T01:04:00.546Z,TKT-0297,Complete,40.7506;-73.8267,0
SD-0053,ENG-007,2026-03-10T01:10:00.768Z,TKT-0298,Dispatched,40.7282;-74.0776,25
SD-0054,ENG-010,2026-03-10T01:10:30.990Z,TKT-0299,Dispatched,40.6782;-73.9442,30
SD-0055,ENG-015,2026-03-10T01:11:00.102Z,TKT-0300,Dispatched,40.7614;-73.9776,28
SD-0056,ENG-007,2026-03-10T01:15:00.324Z,TKT-0298,En Route,40.7350;-74.0500,18
SD-0057,ENG-010,2026-03-10T01:16:00.546Z,TKT-0299,En Route,40.6700;-73.9200,22
SD-0058,ENG-015,2026-03-10T01:17:00.768Z,TKT-0300,En Route,40.7550;-73.9800,20
SD-0059,ENG-007,2026-03-10T01:22:00.990Z,TKT-0298,Arrived,40.7450;-74.0320,0
SD-0060,ENG-010,2026-03-10T01:25:00.102Z,TKT-0299,Arrived,40.6501;-73.9496,0
SD-0061,ENG-015,2026-03-10T01:27:00.324Z,TKT-0300,Arrived,40.7488;-73.9856,0
SD-0062,ENG-007,2026-03-10T01:28:00.546Z,TKT-0298,Working,40.7450;-74.0320,0
SD-0063,ENG-010,2026-03-10T01:30:00.768Z,TKT-0299,Working,40.6501;-73.9496,0
SD-0064,ENG-015,2026-03-10T01:32:00.990Z,TKT-0300,Working,40.7488;-73.9856,0
SD-0065,ENG-007,2026-03-10T01:48:00.102Z,TKT-0298,Documenting,40.7450;-74.0320,0
SD-0066,ENG-010,2026-03-10T01:52:00.324Z,TKT-0299,Documenting,40.6501;-73.9496,0
SD-0067,ENG-015,2026-03-10T01:55:00.546Z,TKT-0300,Documenting,40.7488;-73.9856,0
SD-0068,ENG-007,2026-03-10T02:00:00.768Z,TKT-0298,Complete,40.7450;-74.0320,0
SD-0069,ENG-010,2026-03-10T02:05:00.990Z,TKT-0299,Complete,40.6501;-73.9496,0
SD-0070,ENG-015,2026-03-10T02:08:00.102Z,TKT-0300,Complete,40.7488;-73.9856,0
