kyc_id,advisor_id,client_id,timestamp,verification_type,source,result,time_to_complete_min
KYC-0044,ADV-013,CLI-008,2025-12-08T08:41:00Z,PEP_screen,Manual,pass,26
KYC-0045,ADV-019,CLI-003,2025-12-29T09:22:00Z,sanctions_screen,Experian,pass,24
KYC-0046,ADV-010,CLI-039,2025-10-12T12:48:00Z,beneficial_owner,OFAC_SDN,pass,24
KYC-0047,ADV-001,CLI-031,2025-10-21T16:14:00Z,address,Plaid,pass,28
KYC-0048,ADV-018,CLI-019,2025-12-21T10:19:00Z,PEP_screen,Plaid,fail,3
KYC-0049,ADV-018,CLI-036,2025-10-19T09:02:00Z,identity,Manual,pass,20
KYC-0050,ADV-018,CLI-006,2025-11-09T11:47:00Z,PEP_screen,Plaid,pass,16
KYC-0051,ADV-021,CLI-033,2025-10-19T10:11:00Z,address,Manual,pending,9
KYC-0052,ADV-004,CLI-012,2025-12-25T17:54:00Z,identity,Manual,pass,20
KYC-0053,ADV-003,CLI-019,2025-12-25T09:16:00Z,identity,LexisNexis,pending,51
KYC-0054,ADV-011,CLI-023,2025-10-17T11:06:00Z,income,Manual,pass,9
KYC-0055,ADV-011,CLI-032,2025-11-27T13:39:00Z,PEP_screen,World-Check,fail,7
KYC-0056,ADV-019,CLI-037,2025-11-16T13:27:00Z,address,Experian,pass,28
KYC-0057,ADV-008,CLI-028,2025-11-05T13:08:00Z,PEP_screen,Plaid,pass,18
KYC-0058,ADV-015,CLI-029,2025-11-15T12:31:00Z,sanctions_screen,Experian,pass,22
KYC-0059,ADV-003,CLI-018,2025-10-18T16:12:00Z,income,Plaid,manual_review,24
KYC-0060,ADV-024,CLI-005,2025-10-03T16:40:00Z,identity,Manual,pass,27
KYC-0061,ADV-019,CLI-014,2025-10-05T16:16:00Z,sanctions_screen,Manual,pass,27
KYC-0062,ADV-005,CLI-024,2025-11-20T11:57:00Z,sanctions_screen,Plaid,manual_review,7
KYC-0063,ADV-015,CLI-033,2025-12-05T09:25:00Z,income,Manual,pass,10
KYC-0064,ADV-020,CLI-011,2025-12-05T10:28:00Z,address,LexisNexis,pass,21
KYC-0065,ADV-022,CLI-010,2025-12-01T13:02:00Z,address,OFAC_SDN,pass,11
KYC-0066,ADV-012,CLI-015,2025-10-06T11:33:00Z,income,OFAC_SDN,pass,17
KYC-0067,ADV-002,CLI-003,2025-12-23T13:06:00Z,PEP_screen,Manual,fail,11
KYC-0068,ADV-024,CLI-017,2025-12-14T16:36:00Z,address,OFAC_SDN,fail,14
KYC-0069,ADV-019,CLI-005,2025-12-06T12:24:00Z,address,Manual,pass,29
KYC-0070,ADV-012,CLI-032,2025-12-01T17:00:00Z,sanctions_screen,LexisNexis,pass,10
KYC-0071,ADV-003,CLI-033,2025-12-22T12:13:00Z,address,LexisNexis,pass,58
KYC-0072,ADV-023,CLI-008,2025-12-24T11:26:00Z,income,Plaid,pass,24
KYC-0073,ADV-016,CLI-031,2025-10-27T17:10:00Z,PEP_screen,OFAC_SDN,pass,4
KYC-0074,ADV-005,CLI-037,2025-12-15T10:08:00Z,PEP_screen,Manual,pass,21
KYC-0075,ADV-005,CLI-004,2025-10-22T12:59:00Z,address,Manual,manual_review,22
KYC-0076,ADV-019,CLI-002,2025-12-24T12:05:00Z,address,OFAC_SDN,fail,18
KYC-0077,ADV-016,CLI-011,2025-10-29T14:38:00Z,address,Manual,pending,8
KYC-0078,ADV-020,CLI-033,2025-11-03T10:46:00Z,PEP_screen,World-Check,manual_review,22
KYC-0079,ADV-019,CLI-005,2025-10-30T14:24:00Z,address,Experian,pass,19
KYC-0080,ADV-017,CLI-027,2025-10-20T17:06:00Z,address,OFAC_SDN,manual_review,22
