event_id,advisor_id,client_id,doc_type_id,start_time,duration_minutes,status,error_count,regulatory_body
CDE-0033,ADV-011,CLI-014,DOC-015,2025-11-11T13:48:00Z,34,in_progress,2,OCC
CDE-0034,ADV-009,CLI-006,DOC-016,2025-10-03T16:03:00Z,16,in_progress,0,FinCEN
CDE-0035,ADV-025,CLI-002,DOC-008,2025-10-26T08:39:00Z,19,completed,1,FinCEN
CDE-0036,ADV-019,CLI-014,DOC-015,2025-12-29T12:49:00Z,33,in_progress,1,FinCEN
CDE-0037,ADV-025,CLI-011,DOC-010,2025-10-14T17:01:00Z,29,completed,3,FINRA
CDE-0038,ADV-003,CLI-038,DOC-008,2025-10-14T12:54:00Z,116,in_progress,1,CFPB
CDE-0039,ADV-002,CLI-023,DOC-018,2025-11-24T13:04:00Z,42,completed,2,OCC
CDE-0040,ADV-016,CLI-007,DOC-014,2025-11-16T15:45:00Z,19,completed,3,CFPB
CDE-0041,ADV-021,CLI-018,DOC-020,2025-12-08T15:29:00Z,37,completed,2,FINRA
CDE-0042,ADV-003,CLI-018,DOC-015,2025-11-01T15:36:00Z,118,completed,4,OCC
CDE-0043,ADV-011,CLI-012,DOC-016,2025-10-28T13:51:00Z,26,completed,2,CFPB
CDE-0044,ADV-023,CLI-018,DOC-018,2025-10-02T16:12:00Z,15,in_progress,1,OCC
CDE-0045,ADV-018,CLI-016,DOC-016,2025-12-22T15:28:00Z,60,completed,0,FINRA
CDE-0046,ADV-013,CLI-016,DOC-010,2025-12-24T17:23:00Z,40,completed,2,CFPB
CDE-0047,ADV-011,CLI-023,DOC-015,2025-11-04T12:16:00Z,24,in_progress,0,SEC
CDE-0048,ADV-004,CLI-035,DOC-006,2025-10-25T11:47:00Z,40,in_progress,2,CFPB
CDE-0049,ADV-020,CLI-019,DOC-004,2025-10-25T12:14:00Z,33,completed,1,CFPB
CDE-0050,ADV-005,CLI-018,DOC-002,2025-10-07T16:18:00Z,54,in_progress,1,OCC
CDE-0051,ADV-004,CLI-001,DOC-019,2025-11-06T15:30:00Z,38,completed,2,FinCEN
CDE-0052,ADV-009,CLI-031,DOC-004,2025-10-09T14:31:00Z,7,completed,0,CFPB
CDE-0053,ADV-010,CLI-006,DOC-008,2025-10-16T16:48:00Z,36,in_progress,1,OCC
CDE-0054,ADV-015,CLI-029,DOC-010,2025-12-15T14:19:00Z,46,in_progress,0,FinCEN
CDE-0055,ADV-025,CLI-014,DOC-007,2025-11-03T09:10:00Z,25,completed,1,FINRA
CDE-0056,ADV-001,CLI-027,DOC-015,2025-12-28T17:30:00Z,28,completed,0,SEC
CDE-0057,ADV-023,CLI-030,DOC-003,2025-12-27T11:59:00Z,26,completed,1,CFPB
CDE-0058,ADV-008,CLI-010,DOC-009,2025-10-19T09:03:00Z,20,completed,2,CFPB
CDE-0059,ADV-010,CLI-029,DOC-004,2025-11-29T12:44:00Z,35,completed,2,OCC
CDE-0060,ADV-015,CLI-006,DOC-020,2025-10-06T14:47:00Z,30,completed,2,FINRA
CDE-0061,ADV-022,CLI-037,DOC-019,2025-10-03T12:36:00Z,12,completed,1,OCC
CDE-0062,ADV-009,CLI-012,DOC-019,2025-11-25T15:05:00Z,20,completed,1,SEC
CDE-0063,ADV-022,CLI-007,DOC-006,2025-11-12T14:44:00Z,41,in_progress,2,OCC
CDE-0064,ADV-025,CLI-036,DOC-002,2025-11-28T09:20:00Z,26,completed,2,OCC
CDE-0065,ADV-017,CLI-001,DOC-018,2025-11-29T14:03:00Z,22,in_progress,2,OCC
CDE-0066,ADV-021,CLI-029,DOC-002,2025-10-27T12:35:00Z,18,completed,2,OCC
CDE-0067,ADV-004,CLI-002,DOC-020,2025-10-31T10:19:00Z,45,completed,0,FinCEN
CDE-0068,ADV-008,CLI-008,DOC-015,2025-10-16T10:31:00Z,55,completed,2,SEC
CDE-0069,ADV-014,CLI-031,DOC-016,2025-11-01T15:35:00Z,19,completed,3,CFPB
CDE-0070,ADV-017,CLI-009,DOC-003,2025-11-05T14:21:00Z,60,rejected,2,SEC
CDE-0071,ADV-024,CLI-020,DOC-019,2025-12-14T15:55:00Z,19,completed,3,SEC
CDE-0072,ADV-011,CLI-036,DOC-018,2025-11-18T15:59:00Z,30,pending_review,1,FINRA
CDE-0073,ADV-019,CLI-025,DOC-008,2025-11-22T08:20:00Z,57,in_progress,3,OCC
CDE-0074,ADV-013,CLI-010,DOC-016,2025-10-05T10:32:00Z,47,rejected,2,OCC
CDE-0075,ADV-004,CLI-034,DOC-015,2025-10-02T10:26:00Z,51,completed,1,SEC
CDE-0076,ADV-011,CLI-040,DOC-013,2025-12-23T09:54:00Z,31,pending_review,3,OCC
CDE-0077,ADV-018,CLI-003,DOC-020,2025-10-09T11:40:00Z,53,pending_review,2,FinCEN
CDE-0078,ADV-014,CLI-007,DOC-004,2025-11-26T10:44:00Z,29,completed,0,FinCEN
CDE-0079,ADV-010,CLI-023,DOC-012,2025-11-25T10:15:00Z,43,completed,3,FINRA
CDE-0080,ADV-006,CLI-012,DOC-003,2025-12-18T14:39:00Z,53,completed,1,CFPB
CDE-0081,ADV-005,CLI-015,DOC-015,2025-12-21T12:29:00Z,26,rejected,0,OCC
CDE-0082,ADV-010,CLI-035,DOC-006,2025-10-10T15:22:00Z,47,in_progress,2,OCC
CDE-0083,ADV-023,CLI-017,DOC-015,2025-11-08T11:24:00Z,40,completed,0,CFPB
CDE-0084,ADV-012,CLI-037,DOC-010,2025-12-29T12:01:00Z,52,completed,3,CFPB
CDE-0085,ADV-022,CLI-004,DOC-020,2025-12-03T12:49:00Z,24,completed,2,FINRA
CDE-0086,ADV-020,CLI-017,DOC-005,2025-12-20T09:57:00Z,50,completed,0,OCC
CDE-0087,ADV-002,CLI-038,DOC-012,2025-10-17T09:58:00Z,28,in_progress,2,FINRA
CDE-0088,ADV-007,CLI-009,DOC-018,2025-11-16T16:32:00Z,27,completed,1,OCC
CDE-0089,ADV-010,CLI-022,DOC-004,2025-11-29T09:09:00Z,58,rejected,1,OCC
CDE-0090,ADV-018,CLI-024,DOC-003,2025-11-20T08:16:00Z,44,completed,0,SEC
CDE-0091,ADV-019,CLI-025,DOC-012,2025-10-14T11:30:00Z,11,pending_review,2,FINRA
CDE-0092,ADV-021,CLI-005,DOC-015,2025-12-29T12:41:00Z,36,completed,0,FinCEN
CDE-0093,ADV-010,CLI-032,DOC-004,2025-10-13T11:56:00Z,44,completed,1,SEC
CDE-0094,ADV-022,CLI-035,DOC-014,2025-12-15T10:56:00Z,36,rejected,0,CFPB
CDE-0095,ADV-014,CLI-018,DOC-002,2025-12-28T13:13:00Z,38,pending_review,3,SEC
CDE-0096,ADV-004,CLI-024,DOC-018,2025-12-22T13:03:00Z,35,completed,2,FinCEN
CDE-0097,ADV-015,CLI-006,DOC-007,2025-12-22T17:01:00Z,13,completed,2,FINRA
CDE-0098,ADV-019,CLI-014,DOC-003,2025-12-10T11:37:00Z,23,completed,1,FINRA
CDE-0099,ADV-020,CLI-001,DOC-009,2025-10-19T10:34:00Z,26,completed,1,FinCEN
CDE-0100,ADV-005,CLI-001,DOC-012,2025-10-31T17:20:00Z,11,completed,1,FINRA
CDE-0101,ADV-024,CLI-027,DOC-017,2025-10-15T09:30:00Z,38,completed,2,FinCEN
CDE-0102,ADV-015,CLI-033,DOC-008,2025-12-18T08:46:00Z,60,completed,2,FinCEN
CDE-0103,ADV-002,CLI-031,DOC-013,2025-11-24T09:31:00Z,55,completed,3,FinCEN
CDE-0104,ADV-011,CLI-039,DOC-005,2025-10-09T10:17:00Z,49,completed,2,CFPB
CDE-0105,ADV-017,CLI-019,DOC-015,2025-12-04T17:27:00Z,16,rejected,0,CFPB
CDE-0106,ADV-024,CLI-014,DOC-014,2025-11-27T11:26:00Z,31,completed,3,FinCEN
CDE-0107,ADV-011,CLI-028,DOC-011,2025-12-25T12:23:00Z,19,completed,3,FinCEN
CDE-0108,ADV-003,CLI-028,DOC-004,2025-11-17T10:35:00Z,47,pending_review,5,CFPB
CDE-0109,ADV-011,CLI-008,DOC-014,2025-11-15T14:55:00Z,56,pending_review,0,CFPB
CDE-0110,ADV-010,CLI-023,DOC-004,2025-12-13T16:13:00Z,19,completed,3,FinCEN
CDE-0111,ADV-012,CLI-036,DOC-012,2025-10-15T12:36:00Z,24,rejected,3,CFPB
CDE-0112,ADV-020,CLI-036,DOC-001,2025-12-17T12:01:00Z,21,in_progress,2,SEC
CDE-0113,ADV-011,CLI-023,DOC-001,2025-10-24T10:36:00Z,52,completed,3,FinCEN
CDE-0114,ADV-003,CLI-034,DOC-007,2025-11-18T14:29:00Z,83,completed,2,SEC
CDE-0115,ADV-025,CLI-037,DOC-020,2025-10-11T08:09:00Z,20,in_progress,0,SEC
CDE-0116,ADV-015,CLI-028,DOC-016,2025-12-17T15:26:00Z,27,in_progress,1,FinCEN
CDE-0117,ADV-012,CLI-028,DOC-004,2025-11-06T17:31:00Z,43,completed,2,OCC
CDE-0118,ADV-020,CLI-004,DOC-001,2025-10-27T12:13:00Z,59,in_progress,1,SEC
CDE-0119,ADV-011,CLI-008,DOC-001,2025-12-03T14:11:00Z,18,completed,3,FINRA
CDE-0120,ADV-017,CLI-036,DOC-012,2025-10-10T14:55:00Z,57,completed,0,OCC
CDE-0121,ADV-003,CLI-021,DOC-019,2025-11-24T17:25:00Z,93,completed,3,FinCEN
CDE-0122,ADV-011,CLI-011,DOC-020,2025-11-28T13:05:00Z,37,completed,0,CFPB
CDE-0123,ADV-013,CLI-034,DOC-003,2025-11-20T12:47:00Z,31,completed,1,FINRA
CDE-0124,ADV-003,CLI-033,DOC-004,2025-12-07T16:12:00Z,84,in_progress,3,FINRA
CDE-0125,ADV-008,CLI-007,DOC-005,2025-11-02T11:11:00Z,48,in_progress,1,FinCEN
CDE-0126,ADV-006,CLI-032,DOC-015,2025-12-12T17:28:00Z,53,rejected,2,SEC
CDE-0127,ADV-005,CLI-029,DOC-003,2025-11-30T15:40:00Z,29,completed,2,SEC
CDE-0128,ADV-017,CLI-005,DOC-010,2025-11-29T15:02:00Z,13,rejected,2,FinCEN
CDE-0129,ADV-021,CLI-006,DOC-020,2025-12-16T16:24:00Z,39,completed,0,CFPB
CDE-0130,ADV-021,CLI-013,DOC-011,2025-12-17T15:32:00Z,19,completed,0,SEC
CDE-0131,ADV-023,CLI-006,DOC-017,2025-12-22T10:02:00Z,25,pending_review,3,CFPB
CDE-0132,ADV-017,CLI-040,DOC-006,2025-11-16T13:58:00Z,28,completed,3,SEC
CDE-0133,ADV-022,CLI-039,DOC-002,2025-12-20T13:04:00Z,31,completed,0,OCC
CDE-0134,ADV-010,CLI-017,DOC-020,2025-10-20T13:05:00Z,47,pending_review,1,SEC
CDE-0135,ADV-021,CLI-026,DOC-005,2025-12-16T09:19:00Z,45,in_progress,3,SEC
CDE-0136,ADV-005,CLI-034,DOC-003,2025-12-22T14:32:00Z,33,completed,0,FINRA
CDE-0137,ADV-007,CLI-022,DOC-016,2025-10-25T11:08:00Z,19,completed,0,FinCEN
CDE-0138,ADV-017,CLI-035,DOC-017,2025-10-05T13:56:00Z,59,completed,1,FINRA
CDE-0139,ADV-006,CLI-012,DOC-020,2025-10-22T15:02:00Z,36,in_progress,2,FINRA
CDE-0140,ADV-015,CLI-040,DOC-010,2025-11-27T11:34:00Z,25,pending_review,2,OCC
CDE-0141,ADV-007,CLI-024,DOC-019,2025-11-26T15:49:00Z,28,completed,3,OCC
CDE-0142,ADV-006,CLI-013,DOC-020,2025-10-18T12:03:00Z,51,rejected,3,CFPB
CDE-0143,ADV-004,CLI-034,DOC-004,2025-11-06T09:48:00Z,20,completed,2,CFPB
CDE-0144,ADV-005,CLI-028,DOC-003,2025-10-29T15:56:00Z,32,completed,0,OCC
CDE-0145,ADV-017,CLI-024,DOC-008,2025-11-19T09:23:00Z,24,completed,0,FinCEN
CDE-0146,ADV-023,CLI-022,DOC-005,2025-10-18T08:18:00Z,40,in_progress,1,OCC
CDE-0147,ADV-015,CLI-040,DOC-001,2025-10-11T08:16:00Z,23,completed,1,CFPB
CDE-0148,ADV-017,CLI-028,DOC-004,2025-11-06T11:19:00Z,17,completed,0,CFPB
CDE-0149,ADV-015,CLI-005,DOC-004,2025-12-03T17:34:00Z,11,in_progress,1,SEC
CDE-0150,ADV-014,CLI-001,DOC-020,2025-11-15T11:36:00Z,36,in_progress,1,FinCEN
