alert_id,advisor_id,client_id,timestamp,alert_type,risk_score,suppressed,action_taken
SCA-00051,ADV-023,CLI-013,2025-12-15T12:02:00Z,large_currency_txn,82,False,account_frozen
SCA-00052,ADV-014,CLI-010,2025-12-15T12:04:00Z,unusual_wire,58,True,account_frozen
SCA-00053,ADV-015,CLI-018,2025-12-15T12:06:00Z,SAR_trigger,97,False,investigated
SCA-00054,ADV-003,CLI-024,2025-12-15T12:10:00Z,sanctions_hit,28,False,dismissed
SCA-00055,ADV-015,CLI-007,2025-12-15T12:13:00Z,suitability_mismatch,58,False,investigated
SCA-00056,ADV-015,CLI-020,2025-12-15T12:17:00Z,PEP_alert,22,False,pending_review
SCA-00057,ADV-010,CLI-036,2025-12-15T12:19:00Z,SAR_trigger,16,False,escalated_to_compliance
SCA-00058,ADV-015,CLI-035,2025-12-15T12:23:00Z,unusual_wire,71,False,SAR_filed
SCA-00059,ADV-015,CLI-033,2025-12-15T12:26:00Z,concentration_limit,94,True,escalated_to_compliance
SCA-00060,ADV-009,CLI-004,2025-12-15T12:29:00Z,large_currency_txn,100,False,pending_review
SCA-00061,ADV-023,CLI-030,2025-12-15T12:30:00Z,PEP_alert,55,False,account_frozen
SCA-00062,ADV-015,CLI-028,2025-12-15T12:35:00Z,suitability_mismatch,49,False,investigated
SCA-00063,ADV-014,CLI-021,2025-12-15T12:36:00Z,SAR_trigger,19,False,investigated
SCA-00064,ADV-015,CLI-004,2025-12-15T12:39:00Z,sanctions_hit,80,False,investigated
SCA-00065,ADV-014,CLI-033,2025-12-15T12:44:00Z,concentration_limit,71,False,pending_review
SCA-00066,ADV-018,CLI-008,2025-12-15T12:46:00Z,AML_flag,88,False,pending_review
SCA-00067,ADV-015,CLI-028,2025-12-15T12:50:00Z,large_currency_txn,41,False,pending_review
SCA-00068,ADV-017,CLI-039,2025-12-15T12:51:00Z,PEP_alert,31,False,account_frozen
SCA-00069,ADV-006,CLI-005,2025-12-15T12:55:00Z,concentration_limit,75,False,investigated
SCA-00070,ADV-013,CLI-011,2025-12-15T12:58:00Z,SAR_trigger,53,False,dismissed
SCA-00071,ADV-025,CLI-008,2025-12-15T13:01:00Z,sanctions_hit,71,False,dismissed
SCA-00072,ADV-015,CLI-037,2025-12-15T13:04:00Z,suitability_mismatch,49,False,pending_review
SCA-00073,ADV-002,CLI-030,2025-12-15T13:08:00Z,PEP_alert,17,False,account_frozen
SCA-00074,ADV-010,CLI-023,2025-12-15T13:09:00Z,AML_flag,54,False,dismissed
SCA-00075,ADV-001,CLI-007,2025-12-15T13:13:00Z,PEP_alert,35,True,account_frozen
SCA-00076,ADV-014,CLI-008,2025-12-15T13:16:00Z,AML_flag,29,False,SAR_filed
SCA-00077,ADV-015,CLI-026,2025-12-15T13:19:00Z,sanctions_hit,56,False,dismissed
SCA-00078,ADV-009,CLI-007,2025-12-15T13:22:00Z,PEP_alert,30,True,pending_review
SCA-00079,ADV-012,CLI-013,2025-12-15T13:24:00Z,suitability_mismatch,46,True,escalated_to_compliance
SCA-00080,ADV-011,CLI-003,2025-12-15T13:27:00Z,suitability_mismatch,71,False,SAR_filed
