click_id,advisor_id,timestamp,module,screen,action,duration_ms,idle_before_ms,error_code
CLK-00047,ADV-003,2025-12-15T11:49:00Z,CRM,Alert Queue,edit,10026,5772,TIMEOUT
CLK-00048,ADV-019,2025-12-15T11:53:00Z,Compliance Dashboard,Trade Entry,upload,5584,1429,
CLK-00049,ADV-015,2025-12-15T11:54:00Z,Reporting,Loan Calculator,view,10665,1927,
CLK-00050,ADV-015,2025-12-15T11:59:00Z,CRM,Loan Calculator,edit,5631,6713,AUTH_FAIL
CLK-00051,ADV-007,2025-12-15T12:01:00Z,Account Opening,Dashboard,export,362,704,TIMEOUT
CLK-00052,ADV-001,2025-12-15T12:05:00Z,Loan Origination,KYC Form,reject,7415,1692,TIMEOUT
CLK-00053,ADV-002,2025-12-15T12:06:00Z,CRM,Loan Calculator,reject,3053,1893,
CLK-00054,ADV-024,2025-12-15T12:09:00Z,Compliance Dashboard,Loan Calculator,submit,3411,276,
CLK-00055,ADV-009,2025-12-15T12:12:00Z,KYC,KYC Form,upload,10929,6550,
CLK-00056,ADV-011,2025-12-15T12:15:00Z,Trading Desk,Alert Queue,approve,6256,6731,TIMEOUT
CLK-00057,ADV-022,2025-12-15T12:18:00Z,Wire Transfer,Client Profile,search,2566,7331,
CLK-00058,ADV-007,2025-12-15T12:21:00Z,Wire Transfer,Wire Transfer,export,10023,3618,
CLK-00059,ADV-002,2025-12-15T12:26:00Z,CRM,Trade Entry,submit,5568,2124,
CLK-00060,ADV-021,2025-12-15T12:28:00Z,Account Opening,Alert Queue,approve,1533,6527,DATA_SYNC
CLK-00061,ADV-022,2025-12-15T12:32:00Z,Loan Origination,KYC Form,upload,10768,6253,FIELD_ERROR
CLK-00062,ADV-012,2025-12-15T12:34:00Z,Reporting,KYC Form,export,11873,3162,FIELD_ERROR
CLK-00063,ADV-023,2025-12-15T12:37:00Z,Reporting,Alert Queue,reject,9722,3384,
CLK-00064,ADV-007,2025-12-15T12:39:00Z,CRM,Alert Queue,approve,6686,1890,
CLK-00065,ADV-014,2025-12-15T12:43:00Z,Account Opening,Wire Transfer,reject,9220,794,
CLK-00066,ADV-025,2025-12-15T12:45:00Z,Trading Desk,Alert Queue,export,3971,4883,
CLK-00067,ADV-015,2025-12-15T12:50:00Z,Compliance Dashboard,Report Generator,edit,7860,3643,AUTH_FAIL
CLK-00068,ADV-012,2025-12-15T12:52:00Z,Compliance Dashboard,Trade Entry,upload,604,1571,DATA_SYNC
CLK-00069,ADV-008,2025-12-15T12:55:00Z,Loan Origination,Wire Transfer,search,5025,7002,FIELD_ERROR
CLK-00070,ADV-017,2025-12-15T12:59:00Z,Loan Origination,Trade Entry,approve,1812,1071,
CLK-00071,ADV-012,2025-12-15T13:00:00Z,CRM,Wire Transfer,approve,11260,2797,
CLK-00072,ADV-010,2025-12-15T13:05:00Z,Trading Desk,Loan Calculator,submit,11933,6160,FIELD_ERROR
CLK-00073,ADV-009,2025-12-15T13:06:00Z,Trading Desk,Trade Entry,export,6816,7848,AUTH_FAIL
CLK-00074,ADV-019,2025-12-15T13:11:00Z,KYC,Alert Queue,submit,6712,1964,
CLK-00075,ADV-024,2025-12-15T13:14:00Z,CRM,Alert Queue,approve,8651,4908,FIELD_ERROR
CLK-00076,ADV-025,2025-12-15T13:16:00Z,Reporting,Wire Transfer,search,5329,7028,
CLK-00077,ADV-014,2025-12-15T13:20:00Z,Wire Transfer,Loan Calculator,edit,7572,7087,FIELD_ERROR
CLK-00078,ADV-001,2025-12-15T13:22:00Z,Account Opening,KYC Form,reject,358,4194,TIMEOUT
CLK-00079,ADV-011,2025-12-15T13:24:00Z,Wire Transfer,Report Generator,upload,11513,4504,
CLK-00080,ADV-011,2025-12-15T13:29:00Z,KYC,Dashboard,submit,2718,7904,TIMEOUT
