quality_id,report_id,engineer_id,date,completeness_pct,accuracy_score,timeliness_hours,regulatory_ready
RQ-0032,RPT-016,ENG-013,2024-01-29,76.8,88.4,1.8,True
RQ-0033,RPT-012,ENG-011,2024-02-03,80.8,92.6,5.6,False
RQ-0034,RPT-006,ENG-025,2024-04-30,96.7,91.2,1.2,True
RQ-0035,RPT-001,ENG-009,2024-02-25,71.1,76.3,9.7,False
RQ-0036,RPT-010,ENG-021,2024-05-08,91.5,83.9,5.4,False
RQ-0037,RPT-018,ENG-018,2024-06-06,74.3,76.8,1.9,True
RQ-0038,RPT-005,ENG-018,2024-03-24,80.9,88.3,10.2,False
RQ-0039,RPT-003,ENG-010,2024-06-27,82.2,95.0,3.6,True
RQ-0040,RPT-003,ENG-014,2024-01-30,82.7,87.8,4.4,False
RQ-0041,RPT-006,ENG-004,2024-01-04,89.8,89.7,2.8,True
RQ-0042,RPT-017,ENG-017,2024-03-07,74.7,77.7,9.6,True
RQ-0043,RPT-004,ENG-025,2024-01-08,79.4,84.0,6.8,True
RQ-0044,RPT-003,ENG-016,2024-04-26,84.3,76.2,10.5,True
RQ-0045,RPT-012,ENG-006,2024-03-06,91.7,93.8,8.4,True
RQ-0046,RPT-008,ENG-024,2024-05-10,70.1,93.0,1.1,True
RQ-0047,RPT-016,ENG-012,2024-04-08,99.4,91.6,3.9,True
RQ-0048,RPT-018,ENG-023,2024-06-16,81.7,81.8,5.6,False
RQ-0049,RPT-011,ENG-009,2024-01-20,86.0,77.5,8.4,True
RQ-0050,RPT-006,ENG-008,2024-05-12,97.5,95.0,1.8,True
RQ-0051,RPT-010,ENG-025,2024-03-20,79.2,86.6,1.1,True
RQ-0052,RPT-010,ENG-019,2024-03-18,90.7,80.1,5.1,True
RQ-0053,RPT-007,ENG-024,2024-05-19,91.3,80.1,1.1,True
RQ-0054,RPT-001,ENG-008,2024-05-18,79.7,92.6,10.6,True
RQ-0055,RPT-001,ENG-025,2024-06-17,80.5,90.5,4.4,True
RQ-0056,RPT-017,ENG-008,2024-04-17,83.8,76.3,12.0,False
RQ-0057,RPT-009,ENG-003,2024-01-12,80.3,86.2,15.4,False
RQ-0058,RPT-015,ENG-024,2024-01-22,86.3,85.6,8.0,True
RQ-0059,RPT-003,ENG-019,2024-05-25,71.7,88.9,2.4,True
RQ-0060,RPT-009,ENG-011,2024-04-10,89.6,90.4,4.5,True
RQ-0061,RPT-008,ENG-003,2024-02-21,63.0,83.9,8.0,True
RQ-0062,RPT-006,ENG-015,2024-04-29,78.8,77.5,4.9,True
RQ-0063,RPT-015,ENG-010,2024-04-28,77.4,77.5,2.7,False
RQ-0064,RPT-010,ENG-023,2024-06-27,86.9,79.5,10.4,True
RQ-0065,RPT-003,ENG-023,2024-03-04,97.1,83.3,1.5,True
RQ-0066,RPT-009,ENG-006,2024-01-08,96.7,92.9,7.1,False
RQ-0067,RPT-008,ENG-004,2024-04-28,72.9,91.7,2.3,True
RQ-0068,RPT-008,ENG-005,2024-02-20,93.1,82.8,7.9,False
RQ-0069,RPT-003,ENG-019,2024-05-30,77.2,92.1,1.2,True
RQ-0070,RPT-007,ENG-021,2024-04-23,92.7,76.9,10.3,True
RQ-0071,RPT-004,ENG-002,2024-04-28,71.4,94.4,5.8,False
RQ-0072,RPT-013,ENG-016,2024-01-08,80.7,84.0,4.9,True
RQ-0073,RPT-009,ENG-009,2024-04-24,94.7,75.7,7.8,True
RQ-0074,RPT-010,ENG-016,2024-04-15,94.7,85.1,2.0,True
RQ-0075,RPT-005,ENG-014,2024-02-21,88.0,91.7,3.7,False
RQ-0076,RPT-001,ENG-013,2024-04-01,83.4,91.4,4.8,False
RQ-0077,RPT-017,ENG-011,2024-04-09,77.6,75.5,7.6,True
RQ-0078,RPT-009,ENG-002,2024-04-30,84.8,91.1,12.0,True
RQ-0079,RPT-004,ENG-008,2024-06-17,76.8,86.2,9.7,False
RQ-0080,RPT-002,ENG-025,2024-02-26,86.1,95.6,5.3,True
RQ-0081,RPT-006,ENG-008,2024-05-31,78.9,90.5,4.9,False
RQ-0082,RPT-001,ENG-023,2024-06-28,79.8,86.9,2.6,True
RQ-0083,RPT-016,ENG-018,2024-03-20,74.9,75.8,1.6,False
RQ-0084,RPT-008,ENG-001,2024-05-14,83.4,82.0,7.8,True
RQ-0085,RPT-011,ENG-023,2024-02-15,95.7,92.7,4.6,True
RQ-0086,RPT-005,ENG-019,2024-06-29,95.7,91.3,10.3,True
RQ-0087,RPT-003,ENG-012,2024-06-29,99.5,93.6,0.9,True
RQ-0088,RPT-011,ENG-005,2024-02-10,90.5,84.2,8.0,True
RQ-0089,RPT-011,ENG-006,2024-05-23,89.4,94.5,9.7,True
RQ-0090,RPT-006,ENG-013,2024-03-19,90.6,81.2,3.0,True
RQ-0091,RPT-013,ENG-025,2024-05-25,70.9,87.7,11.1,False
RQ-0092,RPT-008,ENG-021,2024-05-24,72.9,85.4,4.6,True
RQ-0093,RPT-008,ENG-012,2024-03-22,93.3,98.0,0.8,True
RQ-0094,RPT-015,ENG-001,2024-03-08,75.9,89.6,4.9,True
RQ-0095,RPT-001,ENG-002,2024-04-08,82.3,83.8,2.8,True
RQ-0096,RPT-016,ENG-013,2024-03-30,85.3,77.1,6.3,False
RQ-0097,RPT-008,ENG-006,2024-04-25,72.1,92.8,4.2,True
RQ-0098,RPT-009,ENG-004,2024-01-19,79.6,93.6,2.8,True
RQ-0099,RPT-018,ENG-003,2024-03-27,73.1,81.0,14.7,True
RQ-0100,RPT-014,ENG-021,2024-02-12,87.0,84.1,1.6,True
RQ-0101,RPT-007,ENG-007,2024-04-14,89.5,90.2,9.0,True
RQ-0102,RPT-010,ENG-010,2024-03-01,72.7,83.3,7.0,True
RQ-0103,RPT-005,ENG-002,2024-04-02,70.1,76.8,10.1,False
RQ-0104,RPT-016,ENG-007,2024-01-25,70.7,78.6,4.2,True
RQ-0105,RPT-016,ENG-004,2024-03-19,92.0,84.9,10.8,True
RQ-0106,RPT-003,ENG-021,2024-05-19,80.9,82.8,5.2,True
RQ-0107,RPT-015,ENG-002,2024-03-08,82.3,80.5,10.2,False
RQ-0108,RPT-002,ENG-005,2024-06-27,88.7,76.8,4.8,False
RQ-0109,RPT-014,ENG-025,2024-05-30,76.4,76.3,5.3,False
RQ-0110,RPT-014,ENG-018,2024-06-24,94.3,85.0,10.7,True
RQ-0111,RPT-010,ENG-003,2024-04-11,79.9,82.9,15.0,False
RQ-0112,RPT-004,ENG-025,2024-04-24,74.8,95.7,11.7,True
RQ-0113,RPT-005,ENG-002,2024-04-18,72.2,89.3,3.2,False
RQ-0114,RPT-005,ENG-020,2024-03-07,79.0,90.3,9.9,True
RQ-0115,RPT-013,ENG-018,2024-04-11,85.5,93.0,6.7,True
RQ-0116,RPT-017,ENG-014,2024-01-29,81.6,78.1,7.5,True
RQ-0117,RPT-004,ENG-019,2024-01-26,92.0,93.2,10.7,True
RQ-0118,RPT-009,ENG-013,2024-06-16,83.6,87.8,1.4,True
RQ-0119,RPT-013,ENG-005,2024-06-07,87.0,89.6,1.4,True
RQ-0120,RPT-008,ENG-002,2024-05-01,95.8,93.8,1.2,True
RQ-0121,RPT-010,ENG-009,2024-05-05,94.0,89.4,11.7,True
RQ-0122,RPT-005,ENG-010,2024-04-23,91.7,81.7,9.0,False
RQ-0123,RPT-003,ENG-007,2024-04-23,75.9,92.3,9.2,False
RQ-0124,RPT-012,ENG-002,2024-05-11,92.2,76.4,8.8,True
RQ-0125,RPT-005,ENG-025,2024-05-14,94.6,75.6,3.1,True
RQ-0126,RPT-002,ENG-008,2024-01-09,82.8,94.3,8.8,True
RQ-0127,RPT-012,ENG-015,2024-05-09,81.1,94.4,8.5,True
RQ-0128,RPT-012,ENG-016,2024-06-01,82.5,95.2,6.2,False
RQ-0129,RPT-012,ENG-012,2024-02-11,98.7,92.3,3.4,True
RQ-0130,RPT-010,ENG-001,2024-04-08,71.4,92.9,9.6,True
RQ-0131,RPT-008,ENG-021,2024-02-27,89.0,80.7,5.5,True
RQ-0132,RPT-001,ENG-016,2024-02-03,88.1,87.6,1.1,True
RQ-0133,RPT-010,ENG-023,2024-06-13,77.7,93.8,10.4,True
RQ-0134,RPT-009,ENG-007,2024-04-29,78.5,85.9,7.9,False
RQ-0135,RPT-004,ENG-001,2024-05-10,98.0,95.3,10.2,False
RQ-0136,RPT-010,ENG-010,2024-06-24,73.0,76.3,11.9,False
RQ-0137,RPT-011,ENG-009,2024-03-07,88.4,95.0,8.2,True
RQ-0138,RPT-005,ENG-017,2024-03-02,95.2,91.9,9.8,False
RQ-0139,RPT-013,ENG-022,2024-03-22,89.1,90.1,8.2,True
RQ-0140,RPT-009,ENG-014,2024-04-13,80.9,75.7,8.8,False
RQ-0141,RPT-007,ENG-011,2024-02-26,89.2,88.4,6.2,False
RQ-0142,RPT-012,ENG-017,2024-03-17,93.7,92.7,10.6,True
RQ-0143,RPT-010,ENG-004,2024-04-30,73.6,80.4,9.9,True
RQ-0144,RPT-011,ENG-021,2024-01-23,76.2,79.7,10.6,True
RQ-0145,RPT-011,ENG-012,2024-03-07,96.7,94.2,0.9,True
RQ-0146,RPT-003,ENG-016,2024-02-19,84.0,93.2,5.2,True
RQ-0147,RPT-014,ENG-002,2024-02-08,73.8,79.2,5.5,False
RQ-0148,RPT-015,ENG-005,2024-03-21,94.1,78.8,1.9,True
RQ-0149,RPT-006,ENG-011,2024-06-11,71.6,84.5,3.3,True
RQ-0150,RPT-006,ENG-016,2024-01-23,73.6,84.1,5.7,True
RQ-0151,RPT-016,ENG-013,2024-01-02,71.1,79.2,5.1,True
RQ-0152,RPT-011,ENG-025,2024-05-15,75.3,89.2,7.9,True
RQ-0153,RPT-008,ENG-023,2024-03-29,78.7,77.2,6.5,True
RQ-0154,RPT-006,ENG-003,2024-01-12,66.6,75.2,19.1,False
RQ-0155,RPT-014,ENG-022,2024-02-04,79.6,93.9,5.0,True
RQ-0156,RPT-006,ENG-013,2024-01-05,76.4,90.3,2.4,False
RQ-0157,RPT-001,ENG-019,2024-05-09,74.7,82.7,8.2,True
RQ-0158,RPT-013,ENG-021,2024-03-06,91.6,88.1,7.5,True
RQ-0159,RPT-004,ENG-021,2024-01-06,71.4,77.4,5.9,True
RQ-0160,RPT-018,ENG-009,2024-05-01,89.7,79.3,8.5,True
RQ-0161,RPT-010,ENG-014,2024-06-18,72.8,85.9,7.9,False
RQ-0162,RPT-005,ENG-014,2024-01-27,84.3,88.0,4.1,True
RQ-0163,RPT-016,ENG-007,2024-06-04,75.6,80.5,6.8,True
RQ-0164,RPT-012,ENG-023,2024-04-14,78.3,75.8,6.5,True
RQ-0165,RPT-016,ENG-011,2024-03-01,70.1,89.1,11.0,False
RQ-0166,RPT-016,ENG-005,2024-01-24,91.8,76.6,9.0,True
RQ-0167,RPT-008,ENG-015,2024-03-16,77.4,76.1,9.9,True
RQ-0168,RPT-010,ENG-012,2024-06-22,94.5,96.6,0.8,True
RQ-0169,RPT-001,ENG-005,2024-06-18,88.1,81.9,10.8,False
RQ-0170,RPT-009,ENG-024,2024-01-24,80.4,82.2,2.3,True
RQ-0171,RPT-015,ENG-009,2024-04-08,89.3,85.0,5.6,True
RQ-0172,RPT-004,ENG-005,2024-06-27,90.3,95.6,10.3,True
RQ-0173,RPT-014,ENG-019,2024-05-03,92.5,89.2,3.0,True
RQ-0174,RPT-012,ENG-020,2024-01-08,94.2,93.5,9.0,True
RQ-0175,RPT-016,ENG-016,2024-01-29,94.9,84.3,1.7,False
RQ-0176,RPT-011,ENG-001,2024-06-29,94.3,86.0,9.2,False
RQ-0177,RPT-008,ENG-022,2024-03-27,84.5,89.5,7.8,True
RQ-0178,RPT-008,ENG-016,2024-03-29,88.6,88.5,2.6,False
RQ-0179,RPT-002,ENG-001,2024-06-13,96.2,85.6,6.2,True
RQ-0180,RPT-006,ENG-003,2024-05-05,67.1,76.0,11.0,False
RQ-0181,RPT-018,ENG-021,2024-04-06,81.3,79.9,6.1,False
RQ-0182,RPT-015,ENG-003,2024-05-07,69.8,72.1,15.0,True
RQ-0183,RPT-004,ENG-013,2024-04-15,71.0,86.5,10.1,False
RQ-0184,RPT-010,ENG-017,2024-05-23,75.8,89.1,11.5,True
RQ-0185,RPT-002,ENG-008,2024-04-26,79.3,91.1,7.6,False
RQ-0186,RPT-012,ENG-023,2024-04-25,73.2,90.9,3.4,True
RQ-0187,RPT-012,ENG-021,2024-03-15,85.3,82.9,2.2,True
RQ-0188,RPT-016,ENG-005,2024-04-14,73.0,87.8,3.1,True
RQ-0189,RPT-007,ENG-015,2024-02-18,90.1,77.3,5.6,False
RQ-0190,RPT-004,ENG-025,2024-04-25,82.8,87.4,6.5,True
RQ-0191,RPT-001,ENG-017,2024-01-13,85.5,84.1,7.4,False
RQ-0192,RPT-006,ENG-023,2024-05-28,74.9,92.1,2.1,False
RQ-0193,RPT-011,ENG-017,2024-04-08,81.7,87.8,8.6,True
RQ-0194,RPT-009,ENG-013,2024-03-28,97.2,84.5,2.5,True
RQ-0195,RPT-017,ENG-010,2024-06-28,85.3,81.6,9.1,False
RQ-0196,RPT-007,ENG-007,2024-02-23,87.5,81.1,4.8,False
RQ-0197,RPT-005,ENG-023,2024-06-15,97.3,78.7,7.0,False
RQ-0198,RPT-011,ENG-023,2024-01-30,91.3,86.8,7.4,False
RQ-0199,RPT-014,ENG-022,2024-05-16,78.0,92.8,9.9,False
RQ-0200,RPT-004,ENG-001,2024-04-07,74.1,89.1,3.2,True
