reading_id,facility_id,timestamp,parameter,value,regulatory_limit,exceedance_flag
ENV-0021,FAC-006,2024-06-09T04:01:04Z,oil_in_water_mg_L,280.94,721.28,False
ENV-0022,FAC-006,2024-04-04T02:51:18Z,VOC_ppb,302.39,626.74,False
ENV-0023,FAC-004,2024-06-28T08:47:48Z,NOx_ppm,147.82,165.72,False
ENV-0024,FAC-004,2024-04-11T15:41:49Z,flare_efficiency_pct,141.24,364.6,False
ENV-0025,FAC-007,2024-05-16T01:14:50Z,SO2_ppm,149.1,210.0,False
ENV-0026,FAC-005,2024-01-05T21:49:50Z,SO2_ppm,325.82,822.61,False
ENV-0027,FAC-002,2024-03-12T13:56:52Z,oil_in_water_mg_L,387.9,1158.25,False
ENV-0028,FAC-008,2024-05-01T12:51:29Z,produced_water_pH,277.64,607.39,False
ENV-0029,FAC-006,2024-01-21T22:07:38Z,H2S_ppm,227.98,318.16,False
ENV-0030,FAC-008,2024-02-25T07:05:26Z,CO_ppm,293.24,482.56,False
ENV-0031,FAC-001,2024-01-25T01:29:07Z,SO2_ppm,433.87,913.36,False
ENV-0032,FAC-006,2024-01-28T12:36:58Z,VOC_ppb,415.9,727.85,False
ENV-0033,FAC-001,2024-05-02T02:50:29Z,produced_water_pH,323.17,578.82,False
ENV-0034,FAC-006,2024-04-29T01:10:10Z,SO2_ppm,321.81,530.35,False
ENV-0035,FAC-001,2024-06-20T12:17:17Z,flare_efficiency_pct,27.94,68.02,False
ENV-0036,FAC-003,2024-04-06T10:40:50Z,NOx_ppm,463.48,593.17,False
ENV-0037,FAC-002,2024-04-11T12:20:02Z,CO_ppm,470.06,691.0,False
ENV-0038,FAC-006,2024-03-10T08:07:05Z,VOC_ppb,40.59,68.48,False
ENV-0039,FAC-002,2024-04-05T15:00:35Z,produced_water_pH,272.56,558.57,False
ENV-0040,FAC-007,2024-05-14T21:00:29Z,CO_ppm,274.05,323.09,False
ENV-0041,FAC-004,2024-03-28T02:09:10Z,CO_ppm,57.63,162.68,False
ENV-0042,FAC-005,2024-02-14T03:44:34Z,PM2.5_ug_m3,28.27,66.92,False
ENV-0043,FAC-001,2024-01-11T04:35:20Z,PM2.5_ug_m3,239.35,259.54,False
ENV-0044,FAC-004,2024-01-30T15:18:38Z,CO_ppm,250.3,411.97,False
ENV-0045,FAC-007,2024-01-04T17:44:17Z,flare_efficiency_pct,382.77,759.59,False
ENV-0046,FAC-007,2024-04-16T19:19:50Z,NOx_ppm,20.07,43.74,False
ENV-0047,FAC-004,2024-02-14T13:34:31Z,oil_in_water_mg_L,3.59,8.63,False
ENV-0048,FAC-006,2024-04-08T20:48:16Z,CO_ppm,198.6,259.08,False
ENV-0049,FAC-001,2024-06-26T17:08:39Z,H2S_ppm,132.83,232.27,False
ENV-0050,FAC-007,2024-02-01T01:01:01Z,PM2.5_ug_m3,377.09,570.37,False
ENV-0051,FAC-004,2024-03-04T12:12:04Z,H2S_ppm,196.32,451.72,False
ENV-0052,FAC-008,2024-01-06T14:17:57Z,oil_in_water_mg_L,301.69,694.74,False
ENV-0053,FAC-007,2024-02-09T17:27:31Z,CO_ppm,56.36,100.03,False
ENV-0054,FAC-002,2024-05-24T05:45:40Z,PM2.5_ug_m3,100.08,214.21,False
ENV-0055,FAC-005,2024-06-10T17:44:01Z,PM2.5_ug_m3,443.33,1168.49,False
ENV-0056,FAC-006,2024-03-31T01:22:13Z,SO2_ppm,323.92,472.8,False
ENV-0057,FAC-005,2024-02-12T02:23:22Z,flare_efficiency_pct,11.92,12.21,False
ENV-0058,FAC-003,2024-06-16T01:33:32Z,VOC_ppb,103.18,298.56,False
ENV-0059,FAC-007,2024-05-19T19:18:00Z,VOC_ppb,228.95,407.88,False
ENV-0060,FAC-003,2024-06-27T19:19:38Z,oil_in_water_mg_L,240.09,526.63,False
ENV-0061,FAC-004,2024-01-16T01:59:15Z,NOx_ppm,442.21,1196.34,False
ENV-0062,FAC-001,2024-06-15T10:40:58Z,SO2_ppm,473.39,1354.05,False
ENV-0063,FAC-005,2024-03-27T10:07:58Z,produced_water_pH,364.38,1064.87,False
ENV-0064,FAC-002,2024-01-11T09:30:15Z,VOC_ppb,107.66,148.74,False
ENV-0065,FAC-007,2024-05-24T01:15:18Z,VOC_ppb,38.06,69.84,False
ENV-0066,FAC-001,2024-02-27T18:18:37Z,SO2_ppm,449.26,720.66,False
ENV-0067,FAC-005,2024-03-29T17:26:13Z,PM2.5_ug_m3,60.17,136.79,False
ENV-0068,FAC-001,2024-06-19T22:27:04Z,oil_in_water_mg_L,87.3,106.96,False
ENV-0069,FAC-004,2024-03-29T09:35:36Z,flare_efficiency_pct,136.57,142.73,False
ENV-0070,FAC-008,2024-01-13T06:55:26Z,CO_ppm,107.75,193.42,False
ENV-0071,FAC-007,2024-01-06T19:20:07Z,SO2_ppm,248.72,661.82,False
ENV-0072,FAC-007,2024-02-03T23:39:56Z,SO2_ppm,288.38,313.78,False
ENV-0073,FAC-002,2024-05-29T10:17:02Z,H2S_ppm,354.95,865.28,False
ENV-0074,FAC-004,2024-06-04T17:18:57Z,H2S_ppm,12.22,18.87,False
ENV-0075,FAC-004,2024-02-15T14:20:00Z,oil_in_water_mg_L,405.18,1212.17,False
ENV-0076,FAC-001,2024-06-18T14:54:08Z,produced_water_pH,279.48,672.4,False
ENV-0077,FAC-004,2024-05-18T22:47:41Z,SO2_ppm,143.27,168.6,False
ENV-0078,FAC-006,2024-03-29T14:18:50Z,oil_in_water_mg_L,272.3,475.58,False
ENV-0079,FAC-006,2024-05-21T00:19:50Z,flare_efficiency_pct,270.39,443.82,False
ENV-0080,FAC-006,2024-03-20T00:45:54Z,CO_ppm,290.11,506.02,False
