ddr_id,engineer_id,well_id,date,depth_start,depth_end,footage_drilled,mud_weight,doc_time_min,incidents
DDR-0150,ENG-022,WELL-014,2024-05-04,12946,13222,276,11.8,117,0
DDR-0151,ENG-004,WELL-012,2024-04-20,4816,5011,195,13.9,165,0
DDR-0152,ENG-022,WELL-010,2024-01-12,6612,6864,252,16.4,97,0
DDR-0153,ENG-010,WELL-007,2024-02-05,15520,15700,180,10.8,105,0
DDR-0154,ENG-024,WELL-014,2024-02-14,5116,5360,244,12.8,119,0
DDR-0155,ENG-022,WELL-012,2024-01-19,9505,9576,71,12.0,148,0
DDR-0156,ENG-011,WELL-019,2024-04-19,12394,12651,257,14.2,143,0
DDR-0157,ENG-013,WELL-001,2024-03-24,5815,6181,366,12.2,178,0
DDR-0158,ENG-003,WELL-014,2024-01-28,6986,7259,273,13.2,267,0
DDR-0159,ENG-010,WELL-011,2024-02-26,8456,8592,136,9.1,171,0
DDR-0160,ENG-017,WELL-007,2024-03-30,8752,9132,380,15.0,120,0
DDR-0161,ENG-009,WELL-007,2024-02-14,12869,12997,128,14.6,173,0
DDR-0162,ENG-025,WELL-016,2024-04-28,15360,15698,338,14.6,147,0
DDR-0163,ENG-019,WELL-020,2024-03-23,17159,17530,371,11.0,146,0
DDR-0164,ENG-015,WELL-010,2024-03-11,12689,12767,78,11.3,99,0
DDR-0165,ENG-015,WELL-002,2024-01-15,9041,9237,196,9.1,200,1
DDR-0166,ENG-003,WELL-020,2024-06-01,11307,11553,246,12.2,270,1
DDR-0167,ENG-024,WELL-002,2024-04-25,17893,18235,342,13.7,131,0
DDR-0168,ENG-017,WELL-005,2024-01-16,10381,10483,102,15.0,197,0
DDR-0169,ENG-023,WELL-003,2024-05-09,13586,13724,138,8.8,180,0
DDR-0170,ENG-015,WELL-017,2024-05-13,12991,13122,131,11.4,207,0
DDR-0171,ENG-014,WELL-011,2024-06-22,12795,12871,76,14.8,172,0
DDR-0172,ENG-011,WELL-004,2024-05-22,14114,14361,247,10.8,182,0
DDR-0173,ENG-020,WELL-005,2024-03-26,4335,4683,348,13.8,207,0
DDR-0174,ENG-021,WELL-013,2024-02-03,12749,12842,93,11.0,138,0
DDR-0175,ENG-011,WELL-005,2024-06-20,14515,14915,400,15.8,101,0
DDR-0176,ENG-014,WELL-017,2024-04-02,3298,3533,235,11.0,117,0
DDR-0177,ENG-025,WELL-016,2024-02-19,6711,6831,120,9.7,127,0
DDR-0178,ENG-004,WELL-017,2024-05-18,16682,17001,319,8.8,133,0
DDR-0179,ENG-020,WELL-005,2024-06-01,9172,9300,128,9.8,196,0
DDR-0180,ENG-020,WELL-006,2024-04-22,3715,3975,260,11.4,182,0
DDR-0181,ENG-015,WELL-020,2024-03-13,15327,15606,279,10.4,120,0
DDR-0182,ENG-016,WELL-007,2024-04-04,14113,14455,342,16.4,149,0
DDR-0183,ENG-025,WELL-013,2024-05-08,11641,11905,264,16.2,194,0
DDR-0184,ENG-020,WELL-005,2024-03-05,3854,4232,378,12.3,137,0
DDR-0185,ENG-004,WELL-017,2024-02-01,7670,7762,92,14.6,124,0
DDR-0186,ENG-017,WELL-005,2024-04-21,4502,4665,163,15.0,203,0
DDR-0187,ENG-001,WELL-014,2024-01-14,9495,9802,307,11.5,139,2
DDR-0188,ENG-012,WELL-008,2024-01-08,8221,8321,100,15.2,81,0
DDR-0189,ENG-005,WELL-002,2024-03-14,16594,16885,291,14.1,107,0
DDR-0190,ENG-016,WELL-015,2024-06-06,3086,3176,90,8.7,117,0
DDR-0191,ENG-018,WELL-020,2024-05-15,9934,10040,106,14.7,120,0
DDR-0192,ENG-002,WELL-008,2024-04-17,13468,13836,368,12.2,104,0
DDR-0193,ENG-016,WELL-020,2024-05-17,3269,3642,373,12.6,120,0
DDR-0194,ENG-010,WELL-014,2024-01-01,13073,13303,230,10.4,143,0
DDR-0195,ENG-022,WELL-003,2024-05-14,8908,8992,84,16.1,159,0
DDR-0196,ENG-017,WELL-018,2024-01-06,9397,9687,290,8.8,139,1
DDR-0197,ENG-009,WELL-001,2024-04-01,15919,16003,84,11.3,183,0
DDR-0198,ENG-004,WELL-019,2024-03-26,5185,5257,72,11.3,133,0
DDR-0199,ENG-006,WELL-015,2024-06-27,10840,11213,373,10.0,107,0
DDR-0200,ENG-025,WELL-015,2024-01-10,7807,7960,153,8.9,115,0
