event_id,facility_id,timestamp,event_type,severity,zone,personnel_count
HSE-0065,FAC-001,2024-03-26T22:16:32Z,fire_alarm,low,green_zone,6
HSE-0066,FAC-004,2024-02-21T02:53:16Z,fire_alarm,medium,green_zone,23
HSE-0067,FAC-002,2024-02-06T13:04:07Z,fire_alarm,high,yellow_zone,6
HSE-0068,FAC-007,2024-05-03T08:41:53Z,spill,critical,red_zone,7
HSE-0069,FAC-007,2024-02-18T17:30:38Z,dropped_object,medium,green_zone,21
HSE-0070,FAC-005,2024-02-24T15:38:52Z,fire_alarm,low,green_zone,3
HSE-0071,FAC-008,2024-03-07T20:11:47Z,near_miss,critical,green_zone,22
HSE-0072,FAC-008,2024-01-03T07:55:08Z,gas_detection,high,red_zone,23
HSE-0073,FAC-002,2024-04-20T12:40:10Z,spill,high,exclusion_zone,12
HSE-0074,FAC-008,2024-03-12T22:23:28Z,medical_emergency,high,exclusion_zone,11
HSE-0075,FAC-004,2024-02-14T07:04:38Z,fire_alarm,low,red_zone,14
HSE-0076,FAC-008,2024-06-19T20:58:44Z,medical_emergency,high,exclusion_zone,15
HSE-0077,FAC-008,2024-03-28T19:17:41Z,fire_alarm,medium,exclusion_zone,14
HSE-0078,FAC-001,2024-06-18T14:09:38Z,fire_alarm,high,exclusion_zone,21
HSE-0079,FAC-003,2024-03-18T13:25:26Z,dropped_object,low,exclusion_zone,22
HSE-0080,FAC-003,2024-01-30T07:53:28Z,fire_alarm,medium,green_zone,1
