ptw_id,engineer_id,facility_id,date,work_type,hazard_level,signatories_required,signatories_obtained,doc_time_min
PTW-0065,ENG-022,FAC-004,2024-05-29,radiography,low,5,1,83
PTW-0066,ENG-005,FAC-007,2024-04-26,hot_work,critical,4,1,75
PTW-0067,ENG-009,FAC-001,2024-02-25,confined_space,low,5,3,33
PTW-0068,ENG-018,FAC-001,2024-01-18,radiography,low,4,4,48
PTW-0069,ENG-025,FAC-003,2024-06-13,diving,high,5,4,73
PTW-0070,ENG-013,FAC-002,2024-06-23,working_at_heights,high,2,1,75
PTW-0071,ENG-017,FAC-003,2024-02-27,hot_work,low,4,4,79
PTW-0072,ENG-018,FAC-007,2024-02-28,electrical_isolation,critical,4,2,60
PTW-0073,ENG-007,FAC-002,2024-01-09,diving,low,3,1,33
PTW-0074,ENG-004,FAC-001,2024-04-24,hot_work,medium,2,2,81
PTW-0075,ENG-008,FAC-004,2024-01-15,working_at_heights,high,3,3,65
PTW-0076,ENG-019,FAC-006,2024-03-01,excavation,medium,3,2,63
PTW-0077,ENG-009,FAC-001,2024-05-22,working_at_heights,critical,5,1,69
PTW-0078,ENG-021,FAC-007,2024-05-14,lifting_operations,critical,5,2,63
PTW-0079,ENG-013,FAC-003,2024-05-17,radiography,medium,3,2,43
PTW-0080,ENG-015,FAC-001,2024-05-23,diving,critical,3,2,56
PTW-0081,ENG-009,FAC-004,2024-03-25,confined_space,critical,4,1,49
PTW-0082,ENG-002,FAC-005,2024-04-06,hot_work,low,3,3,52
PTW-0083,ENG-016,FAC-004,2024-03-26,excavation,low,3,1,40
PTW-0084,ENG-024,FAC-008,2024-03-03,electrical_isolation,critical,3,3,66
PTW-0085,ENG-025,FAC-005,2024-04-07,radiography,high,4,3,71
PTW-0086,ENG-017,FAC-008,2024-04-29,confined_space,critical,4,2,72
PTW-0087,ENG-011,FAC-007,2024-01-12,electrical_isolation,medium,2,2,78
PTW-0088,ENG-010,FAC-003,2024-02-20,lifting_operations,medium,5,5,56
PTW-0089,ENG-016,FAC-006,2024-03-06,radiography,critical,5,2,70
PTW-0090,ENG-006,FAC-003,2024-05-19,radiography,medium,2,1,34
PTW-0091,ENG-022,FAC-001,2024-01-02,diving,medium,3,1,44
PTW-0092,ENG-001,FAC-004,2024-05-09,radiography,high,2,2,87
PTW-0093,ENG-001,FAC-001,2024-05-16,diving,low,2,2,61
PTW-0094,ENG-001,FAC-007,2024-02-15,confined_space,low,3,1,49
PTW-0095,ENG-020,FAC-005,2024-03-31,excavation,critical,2,2,76
PTW-0096,ENG-015,FAC-004,2024-06-27,electrical_isolation,high,2,1,36
PTW-0097,ENG-013,FAC-007,2024-04-06,radiography,low,2,1,35
PTW-0098,ENG-016,FAC-007,2024-06-14,lifting_operations,low,2,1,52
PTW-0099,ENG-023,FAC-008,2024-03-10,hot_work,low,4,1,47
PTW-0100,ENG-011,FAC-001,2024-02-23,working_at_heights,critical,2,2,45
PTW-0101,ENG-019,FAC-004,2024-05-25,diving,high,5,2,35
PTW-0102,ENG-017,FAC-006,2024-01-14,confined_space,critical,3,1,68
PTW-0103,ENG-020,FAC-007,2024-03-24,hot_work,high,5,4,54
PTW-0104,ENG-012,FAC-007,2024-04-20,working_at_heights,critical,2,2,56
PTW-0105,ENG-023,FAC-002,2024-01-22,excavation,medium,5,2,74
PTW-0106,ENG-011,FAC-006,2024-01-28,confined_space,low,4,4,71
PTW-0107,ENG-025,FAC-005,2024-01-27,working_at_heights,low,3,2,82
PTW-0108,ENG-018,FAC-007,2024-01-27,hot_work,low,4,1,66
PTW-0109,ENG-013,FAC-001,2024-03-15,diving,critical,2,1,46
PTW-0110,ENG-022,FAC-007,2024-02-13,working_at_heights,high,4,3,88
PTW-0111,ENG-005,FAC-002,2024-02-12,diving,high,5,3,86
PTW-0112,ENG-003,FAC-006,2024-03-05,electrical_isolation,critical,3,2,38
PTW-0113,ENG-005,FAC-005,2024-01-02,diving,high,5,3,81
PTW-0114,ENG-011,FAC-007,2024-06-15,working_at_heights,high,4,2,86
PTW-0115,ENG-011,FAC-003,2024-04-11,lifting_operations,high,5,5,56
PTW-0116,ENG-011,FAC-007,2024-03-12,diving,high,2,1,48
PTW-0117,ENG-022,FAC-001,2024-04-28,electrical_isolation,critical,4,1,77
PTW-0118,ENG-022,FAC-008,2024-02-05,excavation,medium,4,2,79
PTW-0119,ENG-013,FAC-002,2024-04-24,radiography,critical,5,5,29
PTW-0120,ENG-012,FAC-002,2024-01-28,electrical_isolation,high,3,3,30
