event_id,manager_id,store_id,report_type_id,start_time,duration_minutes,status,overdue_flag
CDE-0034,MGR-003,STR-025,RPT-009,2025-11-14T16:32:00Z,55,completed,False
CDE-0035,MGR-011,STR-001,RPT-004,2025-11-03T08:37:00Z,26,completed,False
CDE-0036,MGR-012,STR-024,RPT-011,2025-11-25T15:32:00Z,17,completed,False
CDE-0037,MGR-009,STR-002,RPT-014,2025-10-01T14:59:00Z,11,completed,True
CDE-0038,MGR-022,STR-030,RPT-011,2025-12-19T11:42:00Z,17,completed,False
CDE-0039,MGR-010,STR-022,RPT-014,2025-11-11T12:44:00Z,28,completed,False
CDE-0040,MGR-022,STR-013,RPT-006,2025-12-18T15:19:00Z,35,completed,True
CDE-0041,MGR-010,STR-007,RPT-014,2025-12-14T15:41:00Z,30,completed,False
CDE-0042,MGR-007,STR-017,RPT-016,2025-10-22T16:05:00Z,28,completed,False
CDE-0043,MGR-011,STR-003,RPT-008,2025-12-26T10:14:00Z,22,completed,True
CDE-0044,MGR-016,STR-020,RPT-003,2025-11-28T12:56:00Z,50,completed,False
CDE-0045,MGR-013,STR-016,RPT-013,2025-11-01T08:41:00Z,54,completed,False
CDE-0046,MGR-025,STR-029,RPT-004,2025-11-24T09:11:00Z,54,completed,True
CDE-0047,MGR-008,STR-030,RPT-004,2025-11-28T08:51:00Z,39,completed,False
CDE-0048,MGR-020,STR-011,RPT-015,2025-12-18T17:57:00Z,42,completed,False
CDE-0049,MGR-015,STR-029,RPT-006,2025-11-30T13:16:00Z,58,completed,False
CDE-0050,MGR-025,STR-025,RPT-017,2025-12-02T16:15:00Z,27,completed,False
CDE-0051,MGR-008,STR-009,RPT-011,2025-11-10T14:05:00Z,18,completed,False
CDE-0052,MGR-005,STR-023,RPT-007,2025-10-09T12:26:00Z,31,completed,False
CDE-0053,MGR-007,STR-027,RPT-014,2025-11-19T18:37:00Z,54,completed,False
CDE-0054,MGR-019,STR-013,RPT-016,2025-10-01T11:19:00Z,58,completed,False
CDE-0055,MGR-014,STR-018,RPT-018,2025-12-17T09:31:00Z,24,completed,False
CDE-0056,MGR-013,STR-011,RPT-013,2025-10-22T13:58:00Z,18,overdue,True
CDE-0057,MGR-018,STR-001,RPT-013,2025-12-15T15:42:00Z,11,completed,False
CDE-0058,MGR-015,STR-006,RPT-002,2025-11-03T12:20:00Z,23,completed,False
CDE-0059,MGR-013,STR-009,RPT-014,2025-11-02T07:30:00Z,11,completed,True
CDE-0060,MGR-012,STR-008,RPT-003,2025-12-23T06:48:00Z,11,overdue,True
CDE-0061,MGR-007,STR-027,RPT-001,2025-12-19T08:15:00Z,18,completed,False
CDE-0062,MGR-007,STR-015,RPT-009,2025-11-17T08:38:00Z,48,overdue,True
CDE-0063,MGR-023,STR-004,RPT-006,2025-11-09T07:37:00Z,11,overdue,True
CDE-0064,MGR-019,STR-022,RPT-013,2025-11-20T17:12:00Z,14,completed,False
CDE-0065,MGR-008,STR-004,RPT-010,2025-12-27T15:51:00Z,17,in_progress,False
CDE-0066,MGR-002,STR-012,RPT-018,2025-11-24T16:23:00Z,14,completed,False
CDE-0067,MGR-014,STR-027,RPT-016,2025-10-14T12:23:00Z,50,in_progress,False
CDE-0068,MGR-005,STR-014,RPT-006,2025-12-06T16:17:00Z,49,in_progress,False
CDE-0069,MGR-016,STR-015,RPT-014,2025-12-15T10:20:00Z,25,in_progress,True
CDE-0070,MGR-015,STR-008,RPT-015,2025-12-12T15:42:00Z,34,completed,False
CDE-0071,MGR-011,STR-006,RPT-016,2025-10-28T11:51:00Z,26,completed,False
CDE-0072,MGR-023,STR-029,RPT-009,2025-12-11T06:33:00Z,22,completed,False
CDE-0073,MGR-016,STR-018,RPT-008,2025-12-28T13:41:00Z,55,completed,False
CDE-0074,MGR-003,STR-010,RPT-008,2025-11-21T17:15:00Z,49,completed,False
CDE-0075,MGR-018,STR-017,RPT-012,2025-11-24T17:35:00Z,31,completed,False
CDE-0076,MGR-010,STR-009,RPT-008,2025-10-16T17:12:00Z,30,completed,False
CDE-0077,MGR-025,STR-023,RPT-006,2025-10-25T09:47:00Z,40,completed,False
CDE-0078,MGR-025,STR-017,RPT-010,2025-10-13T09:18:00Z,24,completed,False
CDE-0079,MGR-023,STR-018,RPT-005,2025-11-05T06:03:00Z,45,completed,False
CDE-0080,MGR-021,STR-028,RPT-016,2025-10-14T06:36:00Z,28,completed,False
CDE-0081,MGR-006,STR-002,RPT-009,2025-12-01T07:52:00Z,14,completed,True
CDE-0082,MGR-021,STR-022,RPT-002,2025-10-20T08:51:00Z,46,overdue,True
CDE-0083,MGR-003,STR-008,RPT-004,2025-12-11T18:26:00Z,68,completed,False
CDE-0084,MGR-025,STR-017,RPT-013,2025-11-27T13:19:00Z,47,overdue,True
CDE-0085,MGR-010,STR-019,RPT-002,2025-12-18T17:06:00Z,58,completed,False
CDE-0086,MGR-022,STR-003,RPT-006,2025-10-31T08:35:00Z,14,completed,False
CDE-0087,MGR-023,STR-020,RPT-016,2025-11-07T06:14:00Z,28,completed,False
CDE-0088,MGR-015,STR-003,RPT-008,2025-11-03T18:50:00Z,50,completed,False
CDE-0089,MGR-007,STR-014,RPT-004,2025-12-09T09:41:00Z,19,overdue,True
CDE-0090,MGR-005,STR-003,RPT-002,2025-10-22T18:19:00Z,48,completed,False
CDE-0091,MGR-010,STR-015,RPT-004,2025-11-29T17:19:00Z,54,completed,False
CDE-0092,MGR-018,STR-016,RPT-015,2025-10-11T15:02:00Z,37,completed,False
CDE-0093,MGR-001,STR-003,RPT-008,2025-12-26T15:37:00Z,11,overdue,True
CDE-0094,MGR-022,STR-027,RPT-009,2025-12-13T06:48:00Z,58,completed,False
CDE-0095,MGR-015,STR-030,RPT-009,2025-10-24T15:27:00Z,50,in_progress,False
CDE-0096,MGR-016,STR-012,RPT-014,2025-11-12T11:42:00Z,16,in_progress,False
CDE-0097,MGR-023,STR-016,RPT-010,2025-12-24T12:52:00Z,58,completed,False
CDE-0098,MGR-011,STR-009,RPT-011,2025-10-15T18:25:00Z,42,in_progress,True
CDE-0099,MGR-018,STR-015,RPT-014,2025-10-07T09:33:00Z,33,completed,False
CDE-0100,MGR-015,STR-025,RPT-002,2025-10-27T10:35:00Z,18,overdue,True
CDE-0101,MGR-015,STR-029,RPT-016,2025-10-16T06:40:00Z,48,in_progress,False
CDE-0102,MGR-010,STR-018,RPT-001,2025-12-10T12:05:00Z,24,overdue,True
CDE-0103,MGR-004,STR-015,RPT-004,2025-12-22T08:31:00Z,55,completed,False
CDE-0104,MGR-014,STR-027,RPT-016,2025-11-30T09:29:00Z,45,completed,False
CDE-0105,MGR-020,STR-017,RPT-005,2025-10-09T10:49:00Z,60,in_progress,False
CDE-0106,MGR-017,STR-009,RPT-001,2025-11-06T17:19:00Z,47,completed,False
CDE-0107,MGR-005,STR-015,RPT-018,2025-12-01T11:21:00Z,45,in_progress,False
CDE-0108,MGR-011,STR-028,RPT-007,2025-12-29T09:36:00Z,34,completed,False
CDE-0109,MGR-002,STR-011,RPT-016,2025-12-30T18:24:00Z,34,overdue,True
CDE-0110,MGR-021,STR-005,RPT-016,2025-10-05T08:32:00Z,47,completed,False
CDE-0111,MGR-015,STR-004,RPT-017,2025-11-28T06:46:00Z,19,completed,False
CDE-0112,MGR-005,STR-003,RPT-016,2025-11-03T11:39:00Z,54,completed,True
CDE-0113,MGR-011,STR-028,RPT-018,2025-11-18T11:40:00Z,55,in_progress,False
CDE-0114,MGR-018,STR-002,RPT-003,2025-10-31T16:43:00Z,28,overdue,True
CDE-0115,MGR-024,STR-003,RPT-014,2025-10-13T18:40:00Z,55,in_progress,False
CDE-0116,MGR-023,STR-010,RPT-001,2025-10-06T11:50:00Z,13,completed,False
CDE-0117,MGR-005,STR-008,RPT-017,2025-11-22T15:43:00Z,60,completed,False
CDE-0118,MGR-020,STR-028,RPT-013,2025-12-19T16:15:00Z,41,overdue,True
CDE-0119,MGR-005,STR-008,RPT-015,2025-12-21T10:29:00Z,26,completed,False
CDE-0120,MGR-015,STR-029,RPT-010,2025-12-26T14:10:00Z,14,completed,False
CDE-0121,MGR-019,STR-010,RPT-014,2025-12-28T10:29:00Z,29,completed,False
CDE-0122,MGR-016,STR-004,RPT-008,2025-11-18T15:22:00Z,46,completed,False
CDE-0123,MGR-001,STR-027,RPT-013,2025-11-05T06:36:00Z,53,in_progress,False
CDE-0124,MGR-020,STR-024,RPT-016,2025-11-06T18:51:00Z,24,completed,False
CDE-0125,MGR-021,STR-007,RPT-009,2025-12-26T18:46:00Z,59,completed,False
CDE-0126,MGR-021,STR-004,RPT-002,2025-11-09T18:28:00Z,12,completed,False
CDE-0127,MGR-003,STR-030,RPT-010,2025-11-11T17:26:00Z,41,completed,False
CDE-0128,MGR-012,STR-017,RPT-017,2025-11-04T08:16:00Z,40,overdue,True
CDE-0129,MGR-010,STR-024,RPT-011,2025-10-15T13:04:00Z,19,in_progress,False
CDE-0130,MGR-022,STR-024,RPT-013,2025-12-11T11:05:00Z,60,completed,False
CDE-0131,MGR-004,STR-015,RPT-012,2025-12-26T17:43:00Z,26,completed,False
CDE-0132,MGR-012,STR-004,RPT-008,2025-11-30T06:39:00Z,45,completed,False
CDE-0133,MGR-021,STR-003,RPT-015,2025-12-29T10:41:00Z,36,completed,True
CDE-0134,MGR-002,STR-010,RPT-016,2025-10-15T07:15:00Z,44,completed,False
CDE-0135,MGR-022,STR-024,RPT-018,2025-11-23T15:47:00Z,56,completed,False
CDE-0136,MGR-004,STR-027,RPT-016,2025-12-18T12:17:00Z,12,completed,False
CDE-0137,MGR-015,STR-008,RPT-012,2025-10-13T16:23:00Z,44,overdue,True
CDE-0138,MGR-021,STR-012,RPT-002,2025-11-20T10:12:00Z,17,overdue,True
CDE-0139,MGR-015,STR-003,RPT-007,2025-12-22T16:38:00Z,11,completed,False
CDE-0140,MGR-005,STR-026,RPT-007,2025-10-09T18:35:00Z,23,completed,False
CDE-0141,MGR-008,STR-011,RPT-005,2025-12-16T06:17:00Z,19,overdue,True
CDE-0142,MGR-018,STR-009,RPT-006,2025-10-15T16:55:00Z,11,completed,False
CDE-0143,MGR-008,STR-019,RPT-011,2025-10-03T08:16:00Z,13,completed,False
CDE-0144,MGR-004,STR-024,RPT-003,2025-11-30T13:49:00Z,33,completed,False
CDE-0145,MGR-017,STR-008,RPT-002,2025-12-24T14:19:00Z,39,completed,True
CDE-0146,MGR-016,STR-028,RPT-013,2025-11-24T16:06:00Z,41,completed,False
CDE-0147,MGR-003,STR-011,RPT-005,2025-10-09T08:17:00Z,69,completed,False
CDE-0148,MGR-011,STR-013,RPT-017,2025-11-07T13:32:00Z,48,completed,False
CDE-0149,MGR-004,STR-028,RPT-018,2025-10-28T12:28:00Z,24,completed,False
CDE-0150,MGR-013,STR-014,RPT-004,2025-11-10T12:20:00Z,52,completed,False
CDE-0151,MGR-022,STR-030,RPT-016,2025-10-09T07:53:00Z,15,completed,True
CDE-0152,MGR-024,STR-012,RPT-005,2025-12-11T06:37:00Z,45,completed,False
CDE-0153,MGR-014,STR-012,RPT-014,2025-10-07T10:38:00Z,29,completed,False
CDE-0154,MGR-007,STR-005,RPT-016,2025-10-29T07:22:00Z,45,completed,False
CDE-0155,MGR-019,STR-008,RPT-014,2025-12-11T18:52:00Z,49,completed,False
CDE-0156,MGR-001,STR-020,RPT-009,2025-10-04T08:17:00Z,54,in_progress,False
CDE-0157,MGR-012,STR-001,RPT-006,2025-10-19T15:42:00Z,35,completed,False
CDE-0158,MGR-001,STR-003,RPT-017,2025-10-28T12:26:00Z,39,completed,False
CDE-0159,MGR-024,STR-011,RPT-003,2025-10-07T08:10:00Z,58,completed,False
CDE-0160,MGR-009,STR-015,RPT-014,2025-12-02T15:28:00Z,18,completed,False
CDE-0161,MGR-004,STR-012,RPT-014,2025-10-15T10:43:00Z,53,completed,False
CDE-0162,MGR-010,STR-002,RPT-008,2025-11-20T15:03:00Z,10,completed,False
CDE-0163,MGR-025,STR-005,RPT-009,2025-11-07T11:07:00Z,10,completed,False
CDE-0164,MGR-005,STR-013,RPT-018,2025-12-30T09:32:00Z,45,in_progress,False
CDE-0165,MGR-003,STR-013,RPT-002,2025-11-25T06:29:00Z,88,completed,False
CDE-0166,MGR-014,STR-019,RPT-013,2025-12-30T16:26:00Z,28,completed,True
CDE-0167,MGR-011,STR-006,RPT-015,2025-12-28T11:05:00Z,37,in_progress,False
CDE-0168,MGR-019,STR-013,RPT-017,2025-10-11T12:55:00Z,29,completed,False
CDE-0169,MGR-025,STR-006,RPT-003,2025-12-05T16:07:00Z,43,completed,False
CDE-0170,MGR-012,STR-012,RPT-005,2025-10-31T07:09:00Z,26,completed,False
CDE-0171,MGR-025,STR-025,RPT-003,2025-10-23T18:40:00Z,41,completed,False
CDE-0172,MGR-019,STR-015,RPT-011,2025-12-20T11:09:00Z,38,completed,False
CDE-0173,MGR-010,STR-026,RPT-009,2025-12-15T06:22:00Z,42,completed,False
CDE-0174,MGR-002,STR-002,RPT-012,2025-11-06T07:41:00Z,15,completed,False
CDE-0175,MGR-015,STR-019,RPT-018,2025-10-06T13:58:00Z,46,completed,False
CDE-0176,MGR-016,STR-017,RPT-005,2025-10-08T13:06:00Z,31,overdue,True
CDE-0177,MGR-003,STR-017,RPT-006,2025-10-06T09:45:00Z,58,overdue,True
CDE-0178,MGR-017,STR-017,RPT-006,2025-11-16T11:58:00Z,28,completed,False
CDE-0179,MGR-022,STR-020,RPT-002,2025-12-20T16:21:00Z,14,completed,False
CDE-0180,MGR-013,STR-010,RPT-009,2025-12-24T15:55:00Z,19,completed,False
