scan_id,store_id,associate_id,timestamp,product_id,location,expected_qty,actual_qty,variance
SCN-00106,STR-007,ASC-021,2025-11-04T08:01:00Z,PRD-43868,Backroom,173,168,-5
SCN-00107,STR-021,ASC-006,2025-12-02T18:01:00Z,PRD-17251,Shelf-B,85,84,-1
SCN-00108,STR-028,ASC-009,2025-11-22T20:23:00Z,PRD-98037,Shelf-B,106,100,-6
SCN-00109,STR-008,ASC-015,2025-12-13T17:32:00Z,PRD-25812,Backroom,132,124,-8
SCN-00110,STR-008,ASC-077,2025-10-16T18:51:00Z,PRD-51079,Receiving,154,156,2
SCN-00111,STR-026,ASC-031,2025-11-24T09:09:00Z,PRD-24000,Shelf-C,59,57,-2
SCN-00112,STR-015,ASC-053,2025-11-02T19:37:00Z,PRD-17330,Display,141,142,1
SCN-00113,STR-023,ASC-015,2025-11-10T14:27:00Z,PRD-72240,Endcap,76,70,-6
SCN-00114,STR-012,ASC-061,2025-12-31T11:52:00Z,PRD-50392,Shelf-A,170,161,-9
SCN-00115,STR-027,ASC-007,2025-12-28T20:50:00Z,PRD-98027,Endcap,69,71,2
SCN-00116,STR-010,ASC-047,2025-12-27T07:34:00Z,PRD-40983,Display,104,94,-10
SCN-00117,STR-030,ASC-051,2025-11-02T10:05:00Z,PRD-40862,Backroom,58,53,-5
SCN-00118,STR-030,ASC-057,2025-12-20T11:56:00Z,PRD-94466,Clearance,13,11,-2
SCN-00119,STR-028,ASC-011,2025-12-02T13:47:00Z,PRD-64127,Receiving,188,191,3
SCN-00120,STR-029,ASC-013,2025-10-21T17:16:00Z,PRD-76366,Shelf-B,95,98,3
SCN-00121,STR-020,ASC-071,2025-11-11T13:44:00Z,PRD-13584,Shelf-A,169,164,-5
SCN-00122,STR-021,ASC-057,2025-12-22T08:00:00Z,PRD-62515,Endcap,165,164,-1
SCN-00123,STR-011,ASC-074,2025-10-11T07:10:00Z,PRD-42716,Shelf-C,157,160,3
SCN-00124,STR-026,ASC-041,2025-11-27T13:55:00Z,PRD-27499,Backroom,49,49,0
SCN-00125,STR-026,ASC-037,2025-10-26T07:26:00Z,PRD-58182,Shelf-C,105,107,2
SCN-00126,STR-027,ASC-074,2025-10-29T06:01:00Z,PRD-83207,Endcap,27,31,4
SCN-00127,STR-007,ASC-034,2025-12-29T19:10:00Z,PRD-16525,Clearance,163,166,3
SCN-00128,STR-020,ASC-034,2025-10-20T07:23:00Z,PRD-32298,Shelf-B,8,11,3
SCN-00129,STR-025,ASC-059,2025-12-26T13:07:00Z,PRD-39423,Endcap,53,51,-2
SCN-00130,STR-010,ASC-064,2025-11-18T08:27:00Z,PRD-37080,Endcap,77,73,-4
SCN-00131,STR-014,ASC-024,2025-11-22T18:09:00Z,PRD-13771,Backroom,72,69,-3
SCN-00132,STR-020,ASC-058,2025-11-01T11:37:00Z,PRD-99688,Display,26,16,-10
SCN-00133,STR-016,ASC-018,2025-11-11T17:25:00Z,PRD-37815,Clearance,186,189,3
SCN-00134,STR-024,ASC-077,2025-11-02T07:06:00Z,PRD-83007,Shelf-A,18,18,0
SCN-00135,STR-030,ASC-031,2025-11-30T20:22:00Z,PRD-89478,Shelf-A,6,4,-2
SCN-00136,STR-017,ASC-080,2025-11-18T10:25:00Z,PRD-97983,Receiving,38,29,-9
SCN-00137,STR-019,ASC-023,2025-11-03T08:32:00Z,PRD-74597,Receiving,124,118,-6
SCN-00138,STR-003,ASC-041,2025-12-30T14:27:00Z,PRD-28585,Backroom,34,34,0
SCN-00139,STR-002,ASC-017,2025-12-03T19:53:00Z,PRD-46831,Receiving,115,114,-1
SCN-00140,STR-029,ASC-034,2025-12-18T19:48:00Z,PRD-44571,Receiving,116,111,-5
SCN-00141,STR-011,ASC-063,2025-10-20T14:54:00Z,PRD-96169,Display,18,14,-4
SCN-00142,STR-005,ASC-007,2025-10-30T08:02:00Z,PRD-71636,Backroom,46,50,4
SCN-00143,STR-014,ASC-015,2025-12-03T06:28:00Z,PRD-56729,Display,122,127,5
SCN-00144,STR-004,ASC-019,2025-10-16T11:05:00Z,PRD-36703,Backroom,51,46,-5
SCN-00145,STR-024,ASC-066,2025-11-04T15:57:00Z,PRD-96918,Endcap,154,144,-10
SCN-00146,STR-017,ASC-074,2025-10-24T12:58:00Z,PRD-20070,Endcap,132,125,-7
SCN-00147,STR-029,ASC-043,2025-10-04T10:43:00Z,PRD-99212,Shelf-B,105,106,1
SCN-00148,STR-019,ASC-014,2025-11-11T08:01:00Z,PRD-20625,Display,186,191,5
SCN-00149,STR-015,ASC-035,2025-12-16T16:00:00Z,PRD-53178,Shelf-A,172,176,4
SCN-00150,STR-011,ASC-073,2025-10-17T09:55:00Z,PRD-16380,Backroom,87,78,-9
SCN-00151,STR-024,ASC-010,2025-12-10T15:24:00Z,PRD-22130,Clearance,70,65,-5
SCN-00152,STR-008,ASC-052,2025-10-12T06:54:00Z,PRD-37292,Shelf-C,104,106,2
SCN-00153,STR-010,ASC-020,2025-10-16T10:31:00Z,PRD-66670,Backroom,180,174,-6
SCN-00154,STR-012,ASC-013,2025-11-17T14:12:00Z,PRD-74175,Display,104,109,5
SCN-00155,STR-009,ASC-073,2025-12-16T12:05:00Z,PRD-65382,Receiving,162,157,-5
SCN-00156,STR-014,ASC-055,2025-10-12T06:32:00Z,PRD-54793,Display,178,175,-3
SCN-00157,STR-021,ASC-020,2025-12-03T14:40:00Z,PRD-94833,Shelf-B,79,83,4
SCN-00158,STR-014,ASC-011,2025-12-01T10:09:00Z,PRD-26749,Backroom,68,71,3
SCN-00159,STR-010,ASC-073,2025-10-07T14:04:00Z,PRD-15910,Shelf-B,135,138,3
SCN-00160,STR-014,ASC-013,2025-11-29T16:46:00Z,PRD-84511,Backroom,95,93,-2
SCN-00161,STR-019,ASC-011,2025-12-04T06:07:00Z,PRD-96714,Display,50,45,-5
SCN-00162,STR-027,ASC-051,2025-10-06T07:26:00Z,PRD-49013,Receiving,155,159,4
SCN-00163,STR-025,ASC-058,2025-12-19T18:16:00Z,PRD-54739,Shelf-C,59,54,-5
SCN-00164,STR-003,ASC-078,2025-11-03T19:43:00Z,PRD-23936,Clearance,141,131,-10
SCN-00165,STR-001,ASC-051,2025-10-15T06:10:00Z,PRD-95957,Display,122,124,2
SCN-00166,STR-028,ASC-078,2025-12-02T10:39:00Z,PRD-90837,Receiving,181,183,2
SCN-00167,STR-026,ASC-039,2025-10-12T08:08:00Z,PRD-11818,Endcap,33,23,-10
SCN-00168,STR-023,ASC-025,2025-10-04T09:30:00Z,PRD-95016,Shelf-C,171,168,-3
SCN-00169,STR-014,ASC-069,2025-10-25T07:19:00Z,PRD-70742,Shelf-C,126,129,3
SCN-00170,STR-001,ASC-015,2025-10-22T20:09:00Z,PRD-68361,Display,125,115,-10
SCN-00171,STR-028,ASC-058,2025-12-14T09:12:00Z,PRD-48644,Clearance,18,18,0
SCN-00172,STR-001,ASC-014,2025-12-20T19:45:00Z,PRD-66595,Clearance,131,130,-1
SCN-00173,STR-002,ASC-063,2025-11-21T13:32:00Z,PRD-87468,Display,64,55,-9
SCN-00174,STR-017,ASC-003,2025-11-24T15:20:00Z,PRD-82516,Shelf-B,73,76,3
SCN-00175,STR-029,ASC-061,2025-10-15T13:39:00Z,PRD-94696,Receiving,119,122,3
SCN-00176,STR-001,ASC-021,2025-11-06T17:12:00Z,PRD-71504,Receiving,117,114,-3
SCN-00177,STR-017,ASC-029,2025-12-15T20:43:00Z,PRD-54453,Display,38,37,-1
SCN-00178,STR-024,ASC-050,2025-11-23T19:43:00Z,PRD-95524,Receiving,125,120,-5
SCN-00179,STR-020,ASC-027,2025-11-06T17:47:00Z,PRD-21297,Display,38,33,-5
SCN-00180,STR-007,ASC-021,2025-12-17T13:06:00Z,PRD-64523,Display,82,79,-3
SCN-00181,STR-007,ASC-072,2025-10-07T06:22:00Z,PRD-44184,Receiving,178,173,-5
SCN-00182,STR-006,ASC-065,2025-10-05T18:04:00Z,PRD-54267,Clearance,34,31,-3
SCN-00183,STR-004,ASC-072,2025-10-29T13:16:00Z,PRD-54606,Receiving,16,14,-2
SCN-00184,STR-029,ASC-020,2025-12-28T19:32:00Z,PRD-89205,Shelf-B,185,176,-9
SCN-00185,STR-030,ASC-057,2025-11-28T19:48:00Z,PRD-24539,Shelf-B,161,154,-7
SCN-00186,STR-027,ASC-072,2025-10-06T14:06:00Z,PRD-31895,Shelf-B,57,58,1
SCN-00187,STR-006,ASC-038,2025-12-30T13:48:00Z,PRD-76308,Display,192,185,-7
SCN-00188,STR-005,ASC-047,2025-11-12T19:08:00Z,PRD-26119,Endcap,117,120,3
SCN-00189,STR-025,ASC-001,2025-11-01T19:51:00Z,PRD-72084,Receiving,78,73,-5
SCN-00190,STR-003,ASC-035,2025-11-17T17:48:00Z,PRD-64396,Receiving,166,163,-3
SCN-00191,STR-005,ASC-068,2025-11-23T18:14:00Z,PRD-28087,Clearance,110,113,3
SCN-00192,STR-029,ASC-059,2025-12-06T18:43:00Z,PRD-57418,Shelf-A,118,112,-6
SCN-00193,STR-025,ASC-002,2025-12-31T18:33:00Z,PRD-19120,Shelf-B,91,91,0
SCN-00194,STR-013,ASC-022,2025-11-25T06:25:00Z,PRD-14861,Shelf-C,152,143,-9
SCN-00195,STR-021,ASC-067,2025-11-07T12:25:00Z,PRD-99243,Backroom,189,189,0
SCN-00196,STR-030,ASC-045,2025-10-02T19:17:00Z,PRD-79178,Shelf-C,184,186,2
SCN-00197,STR-015,ASC-027,2025-12-09T15:50:00Z,PRD-91027,Display,183,184,1
SCN-00198,STR-029,ASC-052,2025-10-26T20:19:00Z,PRD-21046,Shelf-A,142,142,0
SCN-00199,STR-013,ASC-017,2025-12-06T14:18:00Z,PRD-38014,Shelf-B,135,134,-1
SCN-00200,STR-017,ASC-044,2025-12-21T08:01:00Z,PRD-13655,Backroom,66,65,-1
SCN-00201,STR-024,ASC-055,2025-12-04T07:46:00Z,PRD-17857,Receiving,71,72,1
SCN-00202,STR-004,ASC-007,2025-12-23T07:28:00Z,PRD-49054,Shelf-A,121,121,0
SCN-00203,STR-008,ASC-075,2025-12-12T17:57:00Z,PRD-92279,Endcap,94,93,-1
SCN-00204,STR-010,ASC-074,2025-12-26T08:45:00Z,PRD-59501,Endcap,31,31,0
SCN-00205,STR-017,ASC-075,2025-10-25T19:49:00Z,PRD-57352,Display,30,24,-6
SCN-00206,STR-023,ASC-055,2025-11-22T07:05:00Z,PRD-18151,Clearance,38,43,5
SCN-00207,STR-007,ASC-058,2025-10-10T11:43:00Z,PRD-78977,Clearance,155,157,2
SCN-00208,STR-028,ASC-034,2025-12-14T13:40:00Z,PRD-65498,Display,181,186,5
SCN-00209,STR-024,ASC-054,2025-10-21T08:32:00Z,PRD-26662,Display,187,191,4
SCN-00210,STR-005,ASC-066,2025-12-07T07:44:00Z,PRD-37871,Display,126,117,-9
SCN-00211,STR-024,ASC-021,2025-12-11T11:58:00Z,PRD-25566,Clearance,33,26,-7
SCN-00212,STR-012,ASC-074,2025-11-07T06:33:00Z,PRD-30093,Shelf-B,100,99,-1
SCN-00213,STR-012,ASC-039,2025-11-07T13:01:00Z,PRD-28726,Shelf-C,155,158,3
SCN-00214,STR-002,ASC-040,2025-11-06T09:11:00Z,PRD-74067,Shelf-A,36,37,1
SCN-00215,STR-003,ASC-006,2025-11-23T13:36:00Z,PRD-50593,Display,91,93,2
SCN-00216,STR-016,ASC-078,2025-10-17T18:08:00Z,PRD-76160,Display,199,203,4
SCN-00217,STR-022,ASC-058,2025-10-20T19:46:00Z,PRD-52626,Shelf-B,164,167,3
SCN-00218,STR-013,ASC-030,2025-11-20T11:34:00Z,PRD-16005,Display,193,191,-2
SCN-00219,STR-021,ASC-012,2025-10-22T17:01:00Z,PRD-84972,Backroom,148,141,-7
SCN-00220,STR-021,ASC-072,2025-10-11T09:39:00Z,PRD-81019,Shelf-A,150,146,-4
SCN-00221,STR-025,ASC-061,2025-12-04T20:01:00Z,PRD-25765,Shelf-C,9,7,-2
SCN-00222,STR-026,ASC-027,2025-11-01T19:45:00Z,PRD-85963,Display,26,26,0
SCN-00223,STR-013,ASC-076,2025-10-06T13:55:00Z,PRD-13049,Receiving,116,111,-5
SCN-00224,STR-014,ASC-004,2025-12-07T11:24:00Z,PRD-43708,Shelf-B,34,27,-7
SCN-00225,STR-018,ASC-022,2025-11-06T08:11:00Z,PRD-43496,Shelf-B,44,43,-1
SCN-00226,STR-014,ASC-022,2025-10-08T15:20:00Z,PRD-33784,Shelf-A,187,178,-9
SCN-00227,STR-010,ASC-050,2025-10-13T11:09:00Z,PRD-64109,Receiving,71,73,2
SCN-00228,STR-027,ASC-016,2025-10-07T09:15:00Z,PRD-88250,Endcap,131,133,2
SCN-00229,STR-004,ASC-035,2025-10-08T11:29:00Z,PRD-82498,Clearance,21,26,5
SCN-00230,STR-001,ASC-053,2025-12-21T09:58:00Z,PRD-12440,Backroom,146,139,-7
SCN-00231,STR-008,ASC-072,2025-12-23T18:08:00Z,PRD-49926,Clearance,119,111,-8
SCN-00232,STR-028,ASC-065,2025-10-27T18:09:00Z,PRD-58929,Shelf-C,67,70,3
SCN-00233,STR-030,ASC-072,2025-11-27T06:00:00Z,PRD-70902,Backroom,172,167,-5
SCN-00234,STR-001,ASC-008,2025-12-01T10:38:00Z,PRD-42884,Clearance,94,90,-4
SCN-00235,STR-019,ASC-066,2025-11-06T06:10:00Z,PRD-80004,Shelf-B,81,73,-8
SCN-00236,STR-013,ASC-016,2025-10-18T17:35:00Z,PRD-46629,Clearance,58,58,0
SCN-00237,STR-029,ASC-044,2025-12-21T10:48:00Z,PRD-69338,Backroom,67,67,0
SCN-00238,STR-011,ASC-027,2025-11-28T15:21:00Z,PRD-12080,Shelf-C,170,160,-10
SCN-00239,STR-020,ASC-061,2025-10-01T20:00:00Z,PRD-98172,Shelf-C,110,115,5
SCN-00240,STR-025,ASC-051,2025-12-08T07:50:00Z,PRD-95078,Shelf-B,142,132,-10
SCN-00241,STR-029,ASC-057,2025-12-26T07:22:00Z,PRD-59332,Receiving,104,99,-5
SCN-00242,STR-027,ASC-002,2025-10-16T13:23:00Z,PRD-35295,Display,7,4,-3
SCN-00243,STR-024,ASC-003,2025-11-05T16:58:00Z,PRD-56900,Endcap,28,27,-1
SCN-00244,STR-026,ASC-029,2025-10-30T13:23:00Z,PRD-14822,Backroom,131,127,-4
SCN-00245,STR-001,ASC-026,2025-12-21T12:07:00Z,PRD-46352,Display,48,44,-4
SCN-00246,STR-022,ASC-073,2025-12-26T16:38:00Z,PRD-84074,Shelf-C,21,15,-6
SCN-00247,STR-024,ASC-009,2025-10-17T10:59:00Z,PRD-84698,Endcap,138,136,-2
SCN-00248,STR-007,ASC-003,2025-12-28T16:34:00Z,PRD-90538,Backroom,179,183,4
SCN-00249,STR-001,ASC-055,2025-12-22T16:41:00Z,PRD-16797,Receiving,115,118,3
SCN-00250,STR-009,ASC-016,2025-12-27T14:29:00Z,PRD-74955,Receiving,137,128,-9
