scan_id,store_id,associate_id,timestamp,product_id,qty,expected_qty,discrepancy
SSCN-00047,STR-018,ASC-012,2025-12-15T11:32:00Z,PRD-68785,20,18,2
SSCN-00048,STR-025,ASC-034,2025-12-15T11:34:00Z,PRD-41360,7,2,5
SSCN-00049,STR-002,ASC-029,2025-12-15T11:37:00Z,PRD-15556,5,7,-2
SSCN-00050,STR-025,ASC-030,2025-12-15T11:38:00Z,PRD-28045,64,69,-5
SSCN-00051,STR-011,ASC-050,2025-12-15T11:41:00Z,PRD-12523,65,69,-4
SSCN-00052,STR-016,ASC-004,2025-12-15T11:43:00Z,PRD-82093,8,4,4
SSCN-00053,STR-007,ASC-076,2025-12-15T11:44:00Z,PRD-37372,29,39,-10
SSCN-00054,STR-001,ASC-045,2025-12-15T11:46:00Z,PRD-86229,47,47,0
SSCN-00055,STR-013,ASC-028,2025-12-15T11:48:00Z,PRD-80284,0,4,-4
SSCN-00056,STR-009,ASC-072,2025-12-15T11:51:00Z,PRD-76962,49,49,0
SSCN-00057,STR-027,ASC-026,2025-12-15T11:53:00Z,PRD-53841,25,30,-5
SSCN-00058,STR-029,ASC-034,2025-12-15T11:55:00Z,PRD-25619,83,87,-4
SSCN-00059,STR-015,ASC-004,2025-12-15T11:57:00Z,PRD-89084,83,90,-7
SSCN-00060,STR-007,ASC-024,2025-12-15T11:58:00Z,PRD-15460,49,47,2
SSCN-00061,STR-024,ASC-027,2025-12-15T12:00:00Z,PRD-84738,94,98,-4
SSCN-00062,STR-027,ASC-028,2025-12-15T12:03:00Z,PRD-57308,59,55,4
SSCN-00063,STR-021,ASC-030,2025-12-15T12:05:00Z,PRD-38417,65,60,5
SSCN-00064,STR-010,ASC-002,2025-12-15T12:06:00Z,PRD-33713,42,43,-1
SSCN-00065,STR-016,ASC-050,2025-12-15T12:09:00Z,PRD-70015,50,50,0
SSCN-00066,STR-030,ASC-063,2025-12-15T12:11:00Z,PRD-83509,76,80,-4
SSCN-00067,STR-026,ASC-032,2025-12-15T12:12:00Z,PRD-90788,13,8,5
SSCN-00068,STR-028,ASC-004,2025-12-15T12:14:00Z,PRD-11469,35,30,5
SSCN-00069,STR-010,ASC-057,2025-12-15T12:17:00Z,PRD-84463,20,18,2
SSCN-00070,STR-002,ASC-048,2025-12-15T12:18:00Z,PRD-94642,24,32,-8
SSCN-00071,STR-024,ASC-048,2025-12-15T12:20:00Z,PRD-46697,53,48,5
SSCN-00072,STR-010,ASC-005,2025-12-15T12:22:00Z,PRD-49590,18,21,-3
SSCN-00073,STR-015,ASC-027,2025-12-15T12:24:00Z,PRD-93454,95,90,5
SSCN-00074,STR-029,ASC-061,2025-12-15T12:26:00Z,PRD-11880,14,11,3
SSCN-00075,STR-024,ASC-031,2025-12-15T12:29:00Z,PRD-85992,88,91,-3
SSCN-00076,STR-009,ASC-003,2025-12-15T12:31:00Z,PRD-18294,93,92,1
SSCN-00077,STR-007,ASC-009,2025-12-15T12:33:00Z,PRD-98869,48,43,5
SSCN-00078,STR-002,ASC-064,2025-12-15T12:35:00Z,PRD-71040,52,52,0
SSCN-00079,STR-001,ASC-074,2025-12-15T12:36:00Z,PRD-96063,8,11,-3
SSCN-00080,STR-023,ASC-037,2025-12-15T12:39:00Z,PRD-36568,34,29,5
