txn_id,store_id,register_id,timestamp,type,total,items,associate_id,return_flag
TXN-00048,STR-027,REG-07,2025-11-20T15:01:00Z,sale,150.77,12,ASC-028,False
TXN-00049,STR-030,REG-09,2025-11-05T12:28:00Z,return,-193.24,5,ASC-079,True
TXN-00050,STR-008,REG-08,2025-11-07T15:26:00Z,return,-106.59,1,ASC-036,True
TXN-00051,STR-013,REG-06,2025-11-23T11:41:00Z,return,-97.47,5,ASC-003,True
TXN-00052,STR-013,REG-12,2025-12-31T13:30:00Z,sale,170.93,19,ASC-065,False
TXN-00053,STR-011,REG-01,2025-11-04T10:01:00Z,sale,78.61,25,ASC-036,False
TXN-00054,STR-002,REG-12,2025-11-30T16:22:00Z,sale,349.86,6,ASC-013,False
TXN-00055,STR-008,REG-08,2025-10-31T12:34:00Z,return,-21.13,1,ASC-029,True
TXN-00056,STR-019,REG-11,2025-11-19T13:59:00Z,return,-35.18,2,ASC-031,True
TXN-00057,STR-019,REG-06,2025-12-29T13:58:00Z,sale,246.95,12,ASC-073,False
TXN-00058,STR-019,REG-06,2025-12-12T11:53:00Z,price_override,88.75,4,ASC-070,False
TXN-00059,STR-010,REG-09,2025-12-02T08:05:00Z,sale,211.58,1,ASC-068,False
TXN-00060,STR-016,REG-08,2025-11-12T17:12:00Z,return,-133.55,2,ASC-042,True
TXN-00061,STR-002,REG-08,2025-10-19T17:45:00Z,exchange,78.56,5,ASC-047,False
TXN-00062,STR-003,REG-11,2025-12-30T18:25:00Z,sale,119.45,11,ASC-018,False
TXN-00063,STR-006,REG-07,2025-11-25T20:40:00Z,void,66.67,2,ASC-072,False
TXN-00064,STR-023,REG-05,2025-12-18T20:22:00Z,sale,207.16,6,ASC-049,False
TXN-00065,STR-010,REG-07,2025-12-28T12:08:00Z,sale,3.12,23,ASC-074,False
TXN-00066,STR-013,REG-11,2025-12-12T08:11:00Z,sale,322.56,20,ASC-029,False
TXN-00067,STR-021,REG-02,2025-10-14T15:09:00Z,sale,29.54,12,ASC-041,False
TXN-00068,STR-006,REG-08,2025-10-12T21:45:00Z,sale,255.93,11,ASC-058,False
TXN-00069,STR-001,REG-10,2025-10-27T11:44:00Z,sale,91.69,4,ASC-001,False
TXN-00070,STR-002,REG-01,2025-11-26T19:26:00Z,void,89.03,4,ASC-049,False
TXN-00071,STR-012,REG-01,2025-11-18T09:53:00Z,sale,302.76,21,ASC-029,False
TXN-00072,STR-006,REG-02,2025-10-10T20:54:00Z,sale,9.48,9,ASC-014,False
TXN-00073,STR-003,REG-06,2025-10-22T14:10:00Z,sale,192.6,3,ASC-044,False
TXN-00074,STR-020,REG-03,2025-12-01T19:01:00Z,sale,229.64,20,ASC-056,False
TXN-00075,STR-006,REG-05,2025-10-13T13:13:00Z,price_override,43.88,5,ASC-070,False
TXN-00076,STR-009,REG-08,2025-11-06T12:15:00Z,sale,139.03,18,ASC-063,False
TXN-00077,STR-005,REG-05,2025-11-16T08:27:00Z,sale,288.8,21,ASC-077,False
TXN-00078,STR-016,REG-10,2025-10-13T08:13:00Z,sale,103.9,3,ASC-061,False
TXN-00079,STR-028,REG-05,2025-11-09T20:25:00Z,sale,313.47,9,ASC-012,False
TXN-00080,STR-021,REG-01,2025-11-19T10:23:00Z,return,-127.97,4,ASC-006,True
TXN-00081,STR-009,REG-02,2025-11-29T12:14:00Z,return,-89.97,2,ASC-013,True
TXN-00082,STR-003,REG-08,2025-11-14T20:34:00Z,sale,265.37,8,ASC-071,False
TXN-00083,STR-002,REG-03,2025-11-19T21:33:00Z,sale,188.59,16,ASC-074,False
TXN-00084,STR-029,REG-03,2025-11-30T12:05:00Z,sale,299.24,2,ASC-065,False
TXN-00085,STR-019,REG-05,2025-12-06T20:36:00Z,sale,218.04,4,ASC-058,False
TXN-00086,STR-006,REG-09,2025-10-28T20:12:00Z,sale,149.62,22,ASC-056,False
TXN-00087,STR-007,REG-03,2025-12-20T10:53:00Z,sale,113.61,24,ASC-009,False
TXN-00088,STR-003,REG-01,2025-12-11T14:35:00Z,sale,98.48,15,ASC-002,False
TXN-00089,STR-026,REG-01,2025-12-19T17:33:00Z,sale,41.6,5,ASC-019,False
TXN-00090,STR-019,REG-02,2025-12-14T20:06:00Z,exchange,58.45,1,ASC-037,False
TXN-00091,STR-028,REG-01,2025-11-14T14:16:00Z,sale,171.24,20,ASC-061,False
TXN-00092,STR-002,REG-09,2025-11-05T14:09:00Z,sale,239.08,13,ASC-005,False
TXN-00093,STR-013,REG-05,2025-11-12T19:15:00Z,sale,167.64,9,ASC-048,False
TXN-00094,STR-001,REG-06,2025-11-08T12:17:00Z,return,-32.64,1,ASC-030,True
TXN-00095,STR-005,REG-08,2025-11-26T20:52:00Z,sale,255.76,20,ASC-012,False
TXN-00096,STR-007,REG-02,2025-10-28T21:26:00Z,sale,266.42,12,ASC-008,False
TXN-00097,STR-017,REG-12,2025-10-21T09:19:00Z,sale,142.68,25,ASC-068,False
TXN-00098,STR-029,REG-02,2025-10-04T10:12:00Z,return,-160.86,1,ASC-032,True
TXN-00099,STR-002,REG-02,2025-10-07T13:45:00Z,sale,130.5,15,ASC-065,False
TXN-00100,STR-013,REG-08,2025-10-16T18:01:00Z,sale,172.35,15,ASC-023,False
TXN-00101,STR-028,REG-11,2025-12-15T16:22:00Z,sale,293.58,9,ASC-012,False
TXN-00102,STR-010,REG-08,2025-11-19T08:10:00Z,return,-47.93,2,ASC-029,True
TXN-00103,STR-021,REG-03,2025-12-26T11:17:00Z,sale,180.87,25,ASC-002,False
TXN-00104,STR-016,REG-03,2025-10-17T18:11:00Z,sale,5.44,9,ASC-078,False
TXN-00105,STR-026,REG-08,2025-12-31T19:41:00Z,sale,313.68,12,ASC-059,False
TXN-00106,STR-009,REG-10,2025-11-29T12:43:00Z,sale,219.2,19,ASC-014,False
TXN-00107,STR-001,REG-08,2025-12-24T21:53:00Z,sale,227.45,20,ASC-037,False
TXN-00108,STR-010,REG-08,2025-10-14T15:04:00Z,sale,98.58,11,ASC-036,False
TXN-00109,STR-009,REG-08,2025-12-31T18:19:00Z,sale,182.26,8,ASC-008,False
TXN-00110,STR-026,REG-11,2025-12-16T14:42:00Z,sale,51.13,1,ASC-064,False
TXN-00111,STR-010,REG-10,2025-11-23T14:24:00Z,sale,205.1,19,ASC-025,False
TXN-00112,STR-011,REG-07,2025-12-31T11:43:00Z,sale,275.25,22,ASC-046,False
TXN-00113,STR-017,REG-08,2025-10-22T21:42:00Z,return,-164.68,1,ASC-061,True
TXN-00114,STR-005,REG-07,2025-11-03T19:51:00Z,sale,319.64,22,ASC-043,False
TXN-00115,STR-021,REG-06,2025-10-29T13:14:00Z,sale,109.21,11,ASC-048,False
TXN-00116,STR-009,REG-02,2025-11-07T15:54:00Z,sale,21.15,21,ASC-075,False
TXN-00117,STR-019,REG-03,2025-10-10T15:56:00Z,sale,44.14,22,ASC-049,False
TXN-00118,STR-017,REG-08,2025-11-22T08:55:00Z,return,-173.21,2,ASC-044,True
TXN-00119,STR-014,REG-02,2025-11-28T10:20:00Z,return,-164.83,1,ASC-063,True
TXN-00120,STR-011,REG-08,2025-10-23T13:40:00Z,sale,159.59,7,ASC-022,False
TXN-00121,STR-019,REG-04,2025-10-21T15:50:00Z,sale,33.09,20,ASC-056,False
TXN-00122,STR-021,REG-01,2025-11-21T14:30:00Z,sale,15.61,7,ASC-048,False
TXN-00123,STR-001,REG-05,2025-11-11T20:53:00Z,sale,8.73,1,ASC-032,False
TXN-00124,STR-008,REG-01,2025-11-14T12:08:00Z,sale,177.41,10,ASC-022,False
TXN-00125,STR-003,REG-03,2025-10-06T12:18:00Z,sale,183.3,17,ASC-044,False
TXN-00126,STR-014,REG-05,2025-12-27T10:21:00Z,price_override,51.57,2,ASC-022,False
TXN-00127,STR-030,REG-03,2025-11-21T08:14:00Z,sale,344.75,7,ASC-003,False
TXN-00128,STR-019,REG-08,2025-10-22T09:23:00Z,sale,277.76,13,ASC-033,False
TXN-00129,STR-025,REG-01,2025-12-19T08:38:00Z,price_override,67.89,1,ASC-007,False
TXN-00130,STR-023,REG-05,2025-11-23T15:24:00Z,sale,90.33,23,ASC-020,False
TXN-00131,STR-007,REG-01,2025-12-27T18:00:00Z,sale,232.43,22,ASC-067,False
TXN-00132,STR-009,REG-03,2025-12-17T19:08:00Z,sale,314.77,17,ASC-080,False
TXN-00133,STR-004,REG-08,2025-10-15T20:06:00Z,sale,214.13,25,ASC-034,False
TXN-00134,STR-027,REG-08,2025-10-26T13:45:00Z,sale,58.23,18,ASC-064,False
TXN-00135,STR-030,REG-10,2025-12-28T15:21:00Z,sale,6.93,3,ASC-015,False
TXN-00136,STR-027,REG-02,2025-12-25T15:09:00Z,void,79.05,1,ASC-013,False
TXN-00137,STR-029,REG-10,2025-12-22T11:29:00Z,price_override,33.12,4,ASC-007,False
TXN-00138,STR-004,REG-03,2025-10-23T21:02:00Z,return,-129.76,3,ASC-055,True
TXN-00139,STR-024,REG-05,2025-10-13T21:48:00Z,return,-198.11,2,ASC-022,True
TXN-00140,STR-011,REG-11,2025-11-26T17:17:00Z,return,-181.87,3,ASC-024,True
TXN-00141,STR-004,REG-01,2025-11-21T15:17:00Z,return,-65.47,4,ASC-054,True
TXN-00142,STR-021,REG-05,2025-10-22T09:08:00Z,sale,22.88,6,ASC-014,False
TXN-00143,STR-014,REG-03,2025-12-15T15:51:00Z,sale,154.76,20,ASC-049,False
TXN-00144,STR-025,REG-11,2025-12-18T08:55:00Z,sale,293.89,5,ASC-062,False
TXN-00145,STR-030,REG-11,2025-10-15T14:28:00Z,sale,93.41,11,ASC-002,False
TXN-00146,STR-023,REG-11,2025-12-26T16:49:00Z,sale,254.01,8,ASC-044,False
TXN-00147,STR-017,REG-08,2025-12-28T19:39:00Z,sale,232.45,8,ASC-062,False
TXN-00148,STR-012,REG-08,2025-12-26T18:24:00Z,sale,289.69,20,ASC-007,False
TXN-00149,STR-001,REG-08,2025-10-21T16:54:00Z,sale,174.8,6,ASC-010,False
TXN-00150,STR-025,REG-11,2025-11-11T11:21:00Z,price_override,9.78,2,ASC-071,False
TXN-00151,STR-021,REG-01,2025-11-21T21:15:00Z,sale,156.86,19,ASC-058,False
TXN-00152,STR-003,REG-11,2025-12-03T15:20:00Z,sale,175.34,21,ASC-003,False
TXN-00153,STR-004,REG-01,2025-11-22T08:35:00Z,sale,289.5,20,ASC-080,False
TXN-00154,STR-021,REG-08,2025-12-05T16:13:00Z,sale,161.03,11,ASC-047,False
TXN-00155,STR-027,REG-05,2025-10-29T21:29:00Z,sale,269.18,20,ASC-061,False
TXN-00156,STR-023,REG-08,2025-11-16T19:28:00Z,sale,266.36,8,ASC-001,False
TXN-00157,STR-011,REG-11,2025-12-21T20:18:00Z,sale,132.43,4,ASC-006,False
TXN-00158,STR-029,REG-09,2025-12-03T10:52:00Z,sale,253.24,4,ASC-033,False
TXN-00159,STR-020,REG-10,2025-10-25T09:59:00Z,return,-157.96,2,ASC-044,True
TXN-00160,STR-004,REG-04,2025-11-23T08:59:00Z,sale,236.07,4,ASC-058,False
TXN-00161,STR-015,REG-08,2025-12-15T16:08:00Z,void,5.41,1,ASC-071,False
TXN-00162,STR-030,REG-01,2025-12-14T15:59:00Z,sale,322.6,6,ASC-075,False
TXN-00163,STR-006,REG-07,2025-10-17T09:24:00Z,sale,213.14,11,ASC-065,False
TXN-00164,STR-029,REG-01,2025-11-23T17:58:00Z,sale,88.76,13,ASC-044,False
TXN-00165,STR-010,REG-02,2025-10-18T10:26:00Z,sale,310.54,17,ASC-039,False
TXN-00166,STR-027,REG-01,2025-12-10T21:20:00Z,sale,327.59,21,ASC-028,False
TXN-00167,STR-007,REG-10,2025-12-19T19:18:00Z,sale,322.61,5,ASC-023,False
TXN-00168,STR-017,REG-01,2025-12-28T18:20:00Z,sale,266.87,18,ASC-062,False
TXN-00169,STR-019,REG-02,2025-12-25T19:26:00Z,sale,313.12,18,ASC-037,False
TXN-00170,STR-029,REG-11,2025-11-24T20:00:00Z,sale,11.28,5,ASC-007,False
TXN-00171,STR-022,REG-05,2025-10-26T12:48:00Z,sale,344.28,22,ASC-033,False
TXN-00172,STR-005,REG-03,2025-10-08T19:50:00Z,sale,264.37,2,ASC-046,False
TXN-00173,STR-027,REG-02,2025-10-14T17:55:00Z,sale,197.76,8,ASC-072,False
TXN-00174,STR-013,REG-03,2025-12-05T20:50:00Z,sale,102.45,22,ASC-007,False
TXN-00175,STR-030,REG-01,2025-11-19T14:50:00Z,price_override,34.7,5,ASC-007,False
TXN-00176,STR-001,REG-07,2025-11-02T11:39:00Z,return,-32.21,4,ASC-029,True
TXN-00177,STR-030,REG-08,2025-12-30T19:41:00Z,sale,206.96,24,ASC-078,False
TXN-00178,STR-007,REG-04,2025-10-25T12:28:00Z,sale,239.72,6,ASC-023,False
TXN-00179,STR-024,REG-08,2025-10-16T14:02:00Z,sale,195.92,5,ASC-021,False
TXN-00180,STR-019,REG-11,2025-11-02T08:21:00Z,sale,328.28,2,ASC-020,False
TXN-00181,STR-030,REG-06,2025-12-16T08:49:00Z,exchange,63.48,3,ASC-063,False
TXN-00182,STR-026,REG-02,2025-12-10T13:04:00Z,sale,112.96,8,ASC-024,False
TXN-00183,STR-017,REG-06,2025-12-04T10:26:00Z,sale,142.69,12,ASC-029,False
TXN-00184,STR-029,REG-10,2025-12-24T13:21:00Z,sale,78.41,25,ASC-080,False
TXN-00185,STR-017,REG-11,2025-12-11T21:48:00Z,price_override,5.84,3,ASC-058,False
TXN-00186,STR-008,REG-05,2025-12-22T17:58:00Z,sale,335.72,22,ASC-042,False
TXN-00187,STR-013,REG-03,2025-10-15T14:16:00Z,sale,100.78,17,ASC-048,False
TXN-00188,STR-017,REG-12,2025-12-05T15:31:00Z,sale,314.65,7,ASC-042,False
TXN-00189,STR-017,REG-06,2025-10-13T10:49:00Z,sale,5.05,3,ASC-027,False
TXN-00190,STR-022,REG-08,2025-10-28T21:43:00Z,sale,38.61,18,ASC-056,False
TXN-00191,STR-021,REG-03,2025-10-10T19:43:00Z,sale,162.08,11,ASC-005,False
TXN-00192,STR-003,REG-06,2025-10-07T10:50:00Z,sale,26.98,8,ASC-034,False
TXN-00193,STR-014,REG-01,2025-11-27T18:25:00Z,sale,8.37,22,ASC-016,False
TXN-00194,STR-018,REG-08,2025-12-22T19:39:00Z,sale,261.72,2,ASC-010,False
TXN-00195,STR-012,REG-03,2025-12-04T09:18:00Z,sale,107.22,3,ASC-037,False
TXN-00196,STR-025,REG-03,2025-11-26T14:25:00Z,return,-193.99,2,ASC-069,True
TXN-00197,STR-008,REG-06,2025-11-20T20:51:00Z,return,-142.48,2,ASC-039,True
TXN-00198,STR-022,REG-05,2025-12-22T13:00:00Z,sale,195.39,4,ASC-006,False
TXN-00199,STR-001,REG-02,2025-12-16T14:34:00Z,sale,32.08,7,ASC-045,False
TXN-00200,STR-007,REG-01,2025-12-22T21:32:00Z,sale,66.44,20,ASC-033,False
TXN-00201,STR-007,REG-05,2025-10-24T18:51:00Z,sale,21.4,25,ASC-071,False
TXN-00202,STR-015,REG-08,2025-12-10T09:18:00Z,sale,89.61,7,ASC-075,False
TXN-00203,STR-016,REG-06,2025-11-15T10:42:00Z,sale,37.27,20,ASC-009,False
TXN-00204,STR-029,REG-10,2025-11-10T15:28:00Z,sale,231.65,23,ASC-075,False
TXN-00205,STR-005,REG-02,2025-12-12T13:51:00Z,sale,151.34,1,ASC-041,False
TXN-00206,STR-008,REG-12,2025-10-29T19:47:00Z,sale,98.65,12,ASC-018,False
TXN-00207,STR-022,REG-07,2025-11-12T15:29:00Z,sale,271.73,16,ASC-071,False
TXN-00208,STR-004,REG-09,2025-12-22T17:05:00Z,return,-32.55,2,ASC-069,True
TXN-00209,STR-007,REG-10,2025-12-20T09:46:00Z,sale,8.97,17,ASC-004,False
TXN-00210,STR-027,REG-02,2025-12-14T14:49:00Z,sale,317.44,18,ASC-034,False
TXN-00211,STR-018,REG-05,2025-12-09T15:41:00Z,sale,129.62,8,ASC-076,False
TXN-00212,STR-024,REG-11,2025-11-07T10:29:00Z,sale,33.97,12,ASC-065,False
TXN-00213,STR-001,REG-08,2025-10-31T21:51:00Z,price_override,70.0,5,ASC-018,False
TXN-00214,STR-015,REG-09,2025-10-23T17:36:00Z,sale,338.79,24,ASC-062,False
TXN-00215,STR-012,REG-05,2025-10-29T20:31:00Z,sale,94.36,8,ASC-006,False
TXN-00216,STR-022,REG-10,2025-12-06T20:23:00Z,sale,321.47,2,ASC-006,False
TXN-00217,STR-021,REG-06,2025-10-14T19:33:00Z,sale,97.54,24,ASC-034,False
TXN-00218,STR-019,REG-01,2025-12-12T10:24:00Z,sale,129.44,21,ASC-010,False
TXN-00219,STR-017,REG-10,2025-11-18T11:33:00Z,sale,286.49,12,ASC-063,False
TXN-00220,STR-026,REG-11,2025-12-17T08:32:00Z,return,-114.22,2,ASC-010,True
TXN-00221,STR-017,REG-08,2025-11-05T11:09:00Z,sale,128.37,23,ASC-016,False
TXN-00222,STR-022,REG-03,2025-11-23T20:21:00Z,sale,169.83,16,ASC-062,False
TXN-00223,STR-007,REG-02,2025-10-21T18:53:00Z,sale,87.18,5,ASC-074,False
TXN-00224,STR-019,REG-09,2025-10-18T18:32:00Z,sale,201.36,2,ASC-022,False
TXN-00225,STR-009,REG-03,2025-10-24T16:25:00Z,sale,198.35,1,ASC-037,False
TXN-00226,STR-003,REG-10,2025-11-27T17:30:00Z,return,-166.74,4,ASC-077,True
TXN-00227,STR-005,REG-12,2025-12-14T21:49:00Z,sale,231.73,9,ASC-022,False
TXN-00228,STR-024,REG-08,2025-11-13T15:38:00Z,sale,82.36,13,ASC-017,False
TXN-00229,STR-004,REG-08,2025-10-26T16:55:00Z,exchange,70.01,2,ASC-078,False
TXN-00230,STR-004,REG-09,2025-11-30T17:38:00Z,sale,274.89,17,ASC-016,False
TXN-00231,STR-003,REG-11,2025-12-24T10:57:00Z,sale,290.06,25,ASC-056,False
TXN-00232,STR-017,REG-01,2025-11-17T21:02:00Z,sale,151.56,16,ASC-049,False
TXN-00233,STR-012,REG-02,2025-12-29T17:06:00Z,sale,90.95,25,ASC-030,False
TXN-00234,STR-030,REG-11,2025-10-11T12:38:00Z,return,-120.31,2,ASC-001,True
TXN-00235,STR-023,REG-07,2025-10-01T17:33:00Z,sale,5.0,21,ASC-027,False
TXN-00236,STR-023,REG-12,2025-11-10T14:23:00Z,sale,150.56,19,ASC-033,False
TXN-00237,STR-009,REG-11,2025-12-08T14:36:00Z,sale,98.26,22,ASC-051,False
TXN-00238,STR-025,REG-10,2025-11-22T16:50:00Z,sale,64.61,18,ASC-072,False
TXN-00239,STR-016,REG-10,2025-11-09T17:22:00Z,sale,140.85,5,ASC-016,False
TXN-00240,STR-024,REG-03,2025-11-27T20:44:00Z,void,14.53,5,ASC-052,False
TXN-00241,STR-026,REG-06,2025-12-10T17:44:00Z,sale,20.59,13,ASC-001,False
TXN-00242,STR-026,REG-06,2025-10-19T15:59:00Z,sale,33.13,9,ASC-029,False
TXN-00243,STR-012,REG-06,2025-12-17T08:46:00Z,sale,344.6,20,ASC-067,False
TXN-00244,STR-010,REG-01,2025-12-16T08:49:00Z,return,-75.14,4,ASC-002,True
TXN-00245,STR-007,REG-11,2025-12-24T20:33:00Z,sale,14.18,20,ASC-066,False
TXN-00246,STR-017,REG-01,2025-10-30T17:10:00Z,sale,127.51,21,ASC-001,False
TXN-00247,STR-006,REG-06,2025-11-05T20:25:00Z,sale,139.81,19,ASC-026,False
TXN-00248,STR-017,REG-08,2025-12-30T09:58:00Z,sale,101.36,18,ASC-075,False
TXN-00249,STR-012,REG-11,2025-11-05T11:38:00Z,void,48.2,4,ASC-074,False
TXN-00250,STR-001,REG-10,2025-10-23T14:32:00Z,sale,27.65,10,ASC-044,False
TXN-00251,STR-004,REG-12,2025-12-05T12:56:00Z,sale,278.2,9,ASC-057,False
TXN-00252,STR-013,REG-02,2025-12-01T20:15:00Z,sale,336.53,15,ASC-059,False
TXN-00253,STR-029,REG-02,2025-10-04T15:07:00Z,sale,135.48,8,ASC-030,False
TXN-00254,STR-026,REG-06,2025-11-22T13:33:00Z,sale,246.03,9,ASC-032,False
TXN-00255,STR-010,REG-06,2025-11-21T18:47:00Z,return,-185.17,2,ASC-061,True
TXN-00256,STR-011,REG-11,2025-10-28T17:17:00Z,sale,261.79,7,ASC-064,False
TXN-00257,STR-024,REG-10,2025-10-31T19:15:00Z,return,-159.68,2,ASC-032,True
TXN-00258,STR-027,REG-03,2025-11-15T10:49:00Z,sale,322.27,22,ASC-064,False
TXN-00259,STR-020,REG-08,2025-12-09T08:54:00Z,sale,218.18,16,ASC-074,False
TXN-00260,STR-028,REG-10,2025-12-02T10:48:00Z,exchange,31.63,2,ASC-074,False
TXN-00261,STR-005,REG-05,2025-12-07T20:27:00Z,sale,190.42,17,ASC-045,False
TXN-00262,STR-013,REG-11,2025-12-27T20:11:00Z,sale,44.33,17,ASC-059,False
TXN-00263,STR-011,REG-01,2025-10-02T08:43:00Z,sale,204.4,11,ASC-047,False
TXN-00264,STR-020,REG-11,2025-11-03T10:35:00Z,sale,96.12,20,ASC-044,False
TXN-00265,STR-012,REG-09,2025-12-03T14:13:00Z,sale,263.89,12,ASC-052,False
TXN-00266,STR-009,REG-02,2025-10-24T17:08:00Z,price_override,70.17,1,ASC-035,False
TXN-00267,STR-026,REG-03,2025-12-11T14:54:00Z,sale,53.18,24,ASC-020,False
TXN-00268,STR-016,REG-12,2025-10-02T10:26:00Z,sale,348.46,21,ASC-067,False
TXN-00269,STR-018,REG-07,2025-11-10T20:31:00Z,sale,197.84,19,ASC-007,False
TXN-00270,STR-013,REG-05,2025-12-28T10:03:00Z,sale,90.87,21,ASC-013,False
TXN-00271,STR-015,REG-07,2025-11-12T12:23:00Z,sale,196.23,9,ASC-045,False
TXN-00272,STR-001,REG-01,2025-10-16T13:55:00Z,sale,212.94,19,ASC-074,False
TXN-00273,STR-021,REG-08,2025-12-08T10:49:00Z,sale,115.47,17,ASC-063,False
TXN-00274,STR-025,REG-07,2025-11-27T09:24:00Z,sale,163.65,5,ASC-022,False
TXN-00275,STR-021,REG-12,2025-11-13T14:40:00Z,sale,143.16,3,ASC-011,False
TXN-00276,STR-006,REG-06,2025-10-30T13:20:00Z,sale,249.38,20,ASC-051,False
TXN-00277,STR-009,REG-05,2025-11-26T20:55:00Z,exchange,76.05,5,ASC-058,False
TXN-00278,STR-014,REG-09,2025-10-24T21:01:00Z,sale,84.03,9,ASC-011,False
TXN-00279,STR-007,REG-09,2025-11-20T09:06:00Z,sale,307.85,18,ASC-007,False
TXN-00280,STR-001,REG-04,2025-11-20T16:48:00Z,price_override,14.87,5,ASC-020,False
TXN-00281,STR-003,REG-08,2025-11-19T12:14:00Z,sale,101.25,21,ASC-017,False
TXN-00282,STR-005,REG-08,2025-10-22T08:02:00Z,sale,301.48,11,ASC-061,False
TXN-00283,STR-015,REG-11,2025-12-09T12:35:00Z,sale,339.42,23,ASC-070,False
TXN-00284,STR-006,REG-02,2025-12-16T15:40:00Z,sale,307.36,14,ASC-068,False
