audit_id,store_id,manager_id,category_id,date,unit_count,variance_pct,doc_time_min,scan_count
AUD-0053,STR-018,MGR-019,CAT-006,2025-11-29,1695,0.93,14,363
AUD-0054,STR-029,MGR-003,CAT-002,2025-11-09,865,-0.5,53,295
AUD-0055,STR-017,MGR-014,CAT-013,2025-11-22,1736,-0.7,14,212
AUD-0056,STR-021,MGR-003,CAT-008,2025-11-29,1442,-0.93,34,499
AUD-0057,STR-027,MGR-025,CAT-009,2025-12-21,1253,-2.27,14,271
AUD-0058,STR-017,MGR-002,CAT-014,2025-10-16,1111,-6.85,15,132
AUD-0059,STR-011,MGR-023,CAT-004,2025-11-14,1990,0.76,19,483
AUD-0060,STR-003,MGR-009,CAT-004,2025-12-21,1178,-1.9,30,205
AUD-0061,STR-020,MGR-018,CAT-002,2025-12-04,1362,-6.74,28,128
AUD-0062,STR-006,MGR-022,CAT-010,2025-12-17,741,0.37,28,71
AUD-0063,STR-027,MGR-001,CAT-002,2025-10-06,1992,-3.19,28,185
AUD-0064,STR-021,MGR-007,CAT-013,2025-12-13,903,-0.53,10,304
AUD-0065,STR-029,MGR-021,CAT-009,2025-11-07,1364,0.83,25,175
AUD-0066,STR-026,MGR-022,CAT-007,2025-11-08,978,-7.45,11,130
AUD-0067,STR-015,MGR-014,CAT-008,2025-11-29,467,-1.64,14,210
AUD-0068,STR-028,MGR-023,CAT-006,2025-11-14,866,-2.48,21,313
AUD-0069,STR-018,MGR-004,CAT-006,2025-10-31,1005,-2.51,24,176
AUD-0070,STR-005,MGR-004,CAT-001,2025-11-07,1986,-5.12,29,264
AUD-0071,STR-008,MGR-006,CAT-014,2025-11-11,1962,-3.67,20,147
AUD-0072,STR-025,MGR-006,CAT-008,2025-12-05,1006,-1.0,19,304
AUD-0073,STR-001,MGR-003,CAT-007,2025-12-04,986,-0.75,36,348
AUD-0074,STR-012,MGR-002,CAT-001,2025-11-06,1063,-3.52,30,394
AUD-0075,STR-016,MGR-010,CAT-009,2025-10-02,1785,-2.57,14,185
AUD-0076,STR-024,MGR-012,CAT-013,2025-11-21,799,-2.82,11,341
AUD-0077,STR-018,MGR-007,CAT-006,2025-12-10,641,-2.71,26,280
AUD-0078,STR-025,MGR-018,CAT-005,2025-12-19,1443,-0.56,14,99
AUD-0079,STR-013,MGR-012,CAT-013,2025-11-13,1192,0.76,34,123
AUD-0080,STR-007,MGR-020,CAT-009,2025-11-21,1074,-2.84,11,120
AUD-0081,STR-023,MGR-011,CAT-013,2025-11-30,1113,-1.17,29,313
AUD-0082,STR-005,MGR-011,CAT-015,2025-12-18,702,-2.35,29,428
AUD-0083,STR-027,MGR-010,CAT-010,2025-11-13,1088,0.31,27,300
AUD-0084,STR-023,MGR-019,CAT-005,2025-11-30,1720,-2.93,20,394
AUD-0085,STR-004,MGR-014,CAT-010,2025-11-09,1681,0.6,32,372
AUD-0086,STR-001,MGR-020,CAT-008,2025-11-03,1392,0.13,34,346
AUD-0087,STR-019,MGR-008,CAT-012,2025-10-07,1245,-1.08,26,372
AUD-0088,STR-024,MGR-020,CAT-013,2025-11-18,352,0.29,17,66
AUD-0089,STR-019,MGR-023,CAT-002,2025-10-25,88,-4.69,23,127
AUD-0090,STR-014,MGR-023,CAT-004,2025-11-22,1077,0.1,25,496
