incident_id,store_id,timestamp,type,severity,response_time_sec,is_resolved
SINC-00030,STR-027,2025-12-15T10:58:00Z,equipment_failure,medium,375,True
SINC-00031,STR-016,2025-12-15T11:00:00Z,customer_complaint,medium,825,False
SINC-00032,STR-015,2025-12-15T11:02:00Z,slip_and_fall,medium,40,True
SINC-00033,STR-019,2025-12-15T11:04:00Z,slip_and_fall,medium,544,True
SINC-00034,STR-009,2025-12-15T11:07:00Z,slip_and_fall,medium,79,True
SINC-00035,STR-004,2025-12-15T11:09:00Z,safety_hazard,critical,330,False
SINC-00036,STR-002,2025-12-15T11:11:00Z,slip_and_fall,medium,142,True
SINC-00037,STR-027,2025-12-15T11:12:00Z,safety_hazard,medium,285,True
SINC-00038,STR-025,2025-12-15T11:14:00Z,equipment_failure,low,217,True
SINC-00039,STR-028,2025-12-15T11:17:00Z,safety_hazard,high,857,False
SINC-00040,STR-030,2025-12-15T11:18:00Z,theft,low,165,False
SINC-00041,STR-020,2025-12-15T11:20:00Z,equipment_failure,medium,843,True
SINC-00042,STR-001,2025-12-15T11:23:00Z,slip_and_fall,low,515,True
SINC-00043,STR-014,2025-12-15T11:25:00Z,theft,low,299,False
SINC-00044,STR-022,2025-12-15T11:27:00Z,equipment_failure,medium,279,False
SINC-00045,STR-029,2025-12-15T11:28:00Z,theft,low,118,True
SINC-00046,STR-022,2025-12-15T11:30:00Z,equipment_failure,medium,589,True
SINC-00047,STR-009,2025-12-15T11:33:00Z,theft,critical,702,True
SINC-00048,STR-014,2025-12-15T11:34:00Z,slip_and_fall,low,237,True
SINC-00049,STR-005,2025-12-15T11:37:00Z,theft,medium,552,False
SINC-00050,STR-004,2025-12-15T11:39:00Z,slip_and_fall,medium,340,False
SINC-00051,STR-005,2025-12-15T11:41:00Z,safety_hazard,high,850,True
SINC-00052,STR-022,2025-12-15T11:43:00Z,equipment_failure,medium,131,True
SINC-00053,STR-018,2025-12-15T11:44:00Z,safety_hazard,medium,552,True
SINC-00054,STR-025,2025-12-15T11:46:00Z,equipment_failure,medium,104,True
SINC-00055,STR-008,2025-12-15T11:49:00Z,customer_complaint,critical,877,True
SINC-00056,STR-002,2025-12-15T11:51:00Z,theft,high,829,True
SINC-00057,STR-007,2025-12-15T11:53:00Z,equipment_failure,medium,886,False
SINC-00058,STR-024,2025-12-15T11:54:00Z,equipment_failure,medium,839,True
SINC-00059,STR-014,2025-12-15T11:56:00Z,safety_hazard,medium,324,True
SINC-00060,STR-003,2025-12-15T11:59:00Z,slip_and_fall,low,97,True
SINC-00061,STR-023,2025-12-15T12:00:00Z,theft,medium,432,True
SINC-00062,STR-021,2025-12-15T12:03:00Z,customer_complaint,high,649,True
SINC-00063,STR-010,2025-12-15T12:05:00Z,slip_and_fall,medium,805,False
SINC-00064,STR-023,2025-12-15T12:06:00Z,equipment_failure,medium,738,True
SINC-00065,STR-011,2025-12-15T12:08:00Z,customer_complaint,medium,307,False
SINC-00066,STR-020,2025-12-15T12:10:00Z,customer_complaint,critical,361,False
SINC-00067,STR-019,2025-12-15T12:12:00Z,customer_complaint,critical,226,False
SINC-00068,STR-017,2025-12-15T12:15:00Z,customer_complaint,low,464,True
SINC-00069,STR-007,2025-12-15T12:16:00Z,customer_complaint,low,732,True
SINC-00070,STR-018,2025-12-15T12:19:00Z,safety_hazard,high,625,True
SINC-00071,STR-004,2025-12-15T12:21:00Z,safety_hazard,low,838,True
SINC-00072,STR-011,2025-12-15T12:22:00Z,equipment_failure,medium,431,True
SINC-00073,STR-009,2025-12-15T12:25:00Z,slip_and_fall,medium,290,True
SINC-00074,STR-009,2025-12-15T12:26:00Z,equipment_failure,high,432,True
SINC-00075,STR-007,2025-12-15T12:29:00Z,equipment_failure,medium,593,True
SINC-00076,STR-009,2025-12-15T12:31:00Z,safety_hazard,low,467,True
SINC-00077,STR-016,2025-12-15T12:32:00Z,equipment_failure,medium,350,True
SINC-00078,STR-006,2025-12-15T12:34:00Z,customer_complaint,high,85,True
SINC-00079,STR-003,2025-12-15T12:37:00Z,theft,medium,304,True
SINC-00080,STR-004,2025-12-15T12:39:00Z,safety_hazard,low,706,True
