doc_id,producer_id,show_id,date,task_type,asset_id,doc_time_min,metadata_fields_completed,status
DOC-0033,PRD-003,SHW-003,2026-02-27,metadata_entry,AST-003003,45,56,Completed
DOC-0034,PRD-008,SHW-002,2026-02-27,metadata_entry,AST-002004,36,60,Completed
DOC-0035,PRD-009,SHW-004,2026-02-27,metadata_entry,AST-004001,55,74,Completed
DOC-0036,PRD-022,SHW-001,2026-02-27,gdpr_review,AST-001004,65,20,Completed
DOC-0037,PRD-010,SHW-005,2026-02-27,music_clearance,AST-005002,88,8,In Progress
DOC-0038,PRD-013,SHW-012,2026-02-27,metadata_entry,AST-012003,14,30,Completed
DOC-0039,PRD-024,SHW-004,2026-02-27,metadata_entry,AST-004001,58,72,Completed
DOC-0040,PRD-019,SHW-001,2026-02-27,metadata_entry,AST-001005,42,48,Completed
DOC-0041,PRD-001,SHW-001,2026-02-28,metadata_entry,AST-001005,64,80,Completed
DOC-0042,PRD-002,SHW-002,2026-02-28,metadata_entry,AST-002005,42,66,Completed
DOC-0043,PRD-006,SHW-009,2026-02-28,metadata_entry,AST-009003,66,78,Completed
DOC-0044,PRD-016,SHW-008,2026-02-28,metadata_entry,AST-008002,30,48,Completed
DOC-0045,PRD-005,SHW-007,2026-02-28,metadata_entry,AST-007001,22,38,Completed
DOC-0046,PRD-021,SHW-005,2026-02-28,technical_qc,AST-005002,55,20,Failed
DOC-0047,PRD-011,SHW-001,2026-02-28,rights_clearance,AST-001005,95,12,Completed
DOC-0048,PRD-025,SHW-009,2026-02-28,archive_cataloging,AST-009003,58,90,Completed
DOC-0049,PRD-007,SHW-005,2026-02-28,metadata_entry,AST-005002,50,72,Completed
DOC-0050,PRD-018,SHW-011,2026-02-28,metadata_entry,AST-011002,45,65,Completed
DOC-0051,PRD-001,SHW-001,2026-03-01,metadata_entry,AST-001006,58,74,Completed
DOC-0052,PRD-015,SHW-005,2026-03-01,metadata_entry,AST-005003,75,86,Completed
DOC-0053,PRD-003,SHW-003,2026-03-01,metadata_entry,AST-003004,40,54,Completed
DOC-0054,PRD-008,SHW-002,2026-03-01,metadata_entry,AST-002006,34,58,Completed
DOC-0055,PRD-009,SHW-004,2026-03-01,metadata_entry,AST-004002,52,70,Completed
DOC-0056,PRD-012,SHW-001,2026-03-01,rights_request,AST-001006,38,6,Completed
DOC-0057,PRD-022,SHW-003,2026-03-01,content_rating,AST-003004,28,16,Completed
DOC-0058,PRD-010,SHW-005,2026-03-01,music_clearance,AST-005003,92,8,Completed
DOC-0059,PRD-013,SHW-012,2026-03-01,metadata_entry,AST-012004,16,32,Completed
DOC-0060,PRD-024,SHW-004,2026-03-01,metadata_entry,AST-004002,56,68,Completed
DOC-0061,PRD-002,SHW-002,2026-03-03,metadata_entry,AST-002007,44,68,Completed
DOC-0062,PRD-006,SHW-009,2026-03-03,metadata_entry,AST-009004,72,82,Completed
DOC-0063,PRD-001,SHW-001,2026-03-03,platform_adaptation,AST-001006,48,45,Completed
DOC-0064,PRD-016,SHW-008,2026-03-03,metadata_entry,AST-008003,35,52,Completed
DOC-0065,PRD-005,SHW-007,2026-03-03,metadata_entry,AST-007002,24,40,Completed
DOC-0066,PRD-017,SHW-014,2026-03-03,metadata_entry,AST-014001,30,44,Completed
DOC-0067,PRD-021,SHW-009,2026-03-03,qc_review,AST-009004,38,14,Completed
DOC-0068,PRD-007,SHW-001,2026-03-03,metadata_entry,AST-001007,54,72,Completed
DOC-0069,PRD-011,SHW-009,2026-03-03,talent_clearance,AST-009004,78,10,In Progress
DOC-0070,PRD-014,SHW-012,2026-03-03,metadata_entry,AST-012005,13,26,Completed
DOC-0071,PRD-015,SHW-005,2026-03-04,metadata_entry,AST-005004,80,88,Completed
DOC-0072,PRD-001,SHW-001,2026-03-04,metadata_entry,AST-001007,56,76,Completed
DOC-0073,PRD-003,SHW-003,2026-03-04,metadata_entry,AST-003005,46,58,Completed
DOC-0074,PRD-009,SHW-004,2026-03-04,metadata_entry,AST-004003,50,68,Completed
DOC-0075,PRD-008,SHW-002,2026-03-04,metadata_entry,AST-002008,38,62,Completed
DOC-0076,PRD-025,SHW-005,2026-03-04,archive_cataloging,AST-005004,62,92,Completed
DOC-0077,PRD-022,SHW-010,2026-03-04,accessibility_check,AST-010001,42,18,Completed
DOC-0078,PRD-010,SHW-001,2026-03-04,rights_clearance,AST-001007,110,12,Completed
DOC-0079,PRD-020,SHW-013,2026-03-04,metadata_entry,AST-013002,22,34,Completed
DOC-0080,PRD-019,SHW-005,2026-03-04,metadata_entry,AST-005004,48,55,Completed
DOC-0081,PRD-002,SHW-002,2026-03-05,metadata_entry,AST-002009,40,64,Completed
DOC-0082,PRD-006,SHW-009,2026-03-05,metadata_entry,AST-009005,68,80,Completed
DOC-0083,PRD-001,SHW-001,2026-03-05,delivery_prep,AST-001007,30,12,Completed
DOC-0084,PRD-004,SHW-011,2026-03-05,metadata_entry,AST-011003,50,70,Completed
DOC-0085,PRD-016,SHW-008,2026-03-05,metadata_entry,AST-008004,34,50,Completed
DOC-0086,PRD-005,SHW-006,2026-03-05,metadata_entry,AST-006002,26,42,Completed
DOC-0087,PRD-021,SHW-001,2026-03-05,technical_qc,AST-001007,48,20,Completed
DOC-0088,PRD-012,SHW-005,2026-03-05,rights_request,AST-005004,42,8,Completed
DOC-0089,PRD-023,SHW-005,2026-03-05,metadata_entry,AST-005004,44,62,Completed
DOC-0090,PRD-024,SHW-004,2026-03-05,metadata_entry,AST-004003,54,66,Completed
DOC-0091,PRD-015,SHW-005,2026-03-06,metadata_entry,AST-005005,76,84,Completed
DOC-0092,PRD-001,SHW-001,2026-03-06,metadata_entry,AST-001008,60,78,Completed
DOC-0093,PRD-003,SHW-003,2026-03-06,metadata_entry,AST-003006,48,56,Completed
DOC-0094,PRD-008,SHW-002,2026-03-06,metadata_entry,AST-002010,36,60,Completed
DOC-0095,PRD-009,SHW-004,2026-03-06,metadata_entry,AST-004004,52,72,Completed
DOC-0096,PRD-007,SHW-001,2026-03-06,metadata_entry,AST-001008,56,74,Completed
DOC-0097,PRD-022,SHW-005,2026-03-06,fcc_filing,AST-005005,90,24,Completed
DOC-0098,PRD-011,SHW-005,2026-03-06,music_clearance,AST-005005,85,8,Completed
DOC-0099,PRD-025,SHW-001,2026-03-06,archive_cataloging,AST-001008,50,86,Completed
DOC-0100,PRD-013,SHW-012,2026-03-06,metadata_entry,AST-012006,14,28,Completed
DOC-0101,PRD-002,SHW-002,2026-03-07,metadata_entry,AST-002011,42,66,Completed
DOC-0102,PRD-006,SHW-009,2026-03-07,metadata_entry,AST-009006,64,78,Completed
DOC-0103,PRD-001,SHW-001,2026-03-07,platform_adaptation,AST-001008,46,42,Completed
DOC-0104,PRD-016,SHW-008,2026-03-07,metadata_entry,AST-008005,32,48,Completed
DOC-0105,PRD-017,SHW-014,2026-03-07,metadata_entry,AST-014002,28,42,Completed
DOC-0106,PRD-005,SHW-007,2026-03-07,metadata_entry,AST-007003,22,36,Completed
DOC-0107,PRD-021,SHW-009,2026-03-07,qc_review,AST-009006,36,14,Completed
DOC-0108,PRD-010,SHW-009,2026-03-07,rights_clearance,AST-009006,105,10,In Progress
DOC-0109,PRD-014,SHW-012,2026-03-07,metadata_entry,AST-012007,12,26,Completed
DOC-0110,PRD-020,SHW-013,2026-03-07,metadata_entry,AST-013003,18,32,Completed
DOC-0111,PRD-015,SHW-005,2026-03-08,metadata_entry,AST-005006,74,86,Completed
DOC-0112,PRD-001,SHW-001,2026-03-08,metadata_entry,AST-001009,62,80,Completed
DOC-0113,PRD-003,SHW-003,2026-03-08,metadata_entry,AST-003007,44,54,Completed
DOC-0114,PRD-008,SHW-002,2026-03-08,metadata_entry,AST-002012,38,64,Completed
DOC-0115,PRD-009,SHW-004,2026-03-08,metadata_entry,AST-004005,54,74,Completed
DOC-0116,PRD-024,SHW-004,2026-03-08,metadata_entry,AST-004005,52,66,Completed
DOC-0117,PRD-022,SHW-003,2026-03-08,content_rating,AST-003007,26,14,Completed
DOC-0118,PRD-012,SHW-003,2026-03-08,rights_request,AST-003007,36,6,Completed
DOC-0119,PRD-025,SHW-005,2026-03-08,archive_cataloging,AST-005006,56,90,Completed
DOC-0120,PRD-019,SHW-001,2026-03-08,metadata_entry,AST-001009,46,52,Completed
DOC-0121,PRD-002,SHW-002,2026-03-10,metadata_entry,AST-002013,44,68,Completed
DOC-0122,PRD-006,SHW-009,2026-03-10,delivery_prep,AST-009006,35,10,Completed
DOC-0123,PRD-001,SHW-001,2026-03-10,metadata_entry,AST-001010,58,76,Completed
DOC-0124,PRD-016,SHW-008,2026-03-10,metadata_entry,AST-008006,30,46,Completed
DOC-0125,PRD-004,SHW-011,2026-03-10,metadata_entry,AST-011004,48,68,Completed
DOC-0126,PRD-005,SHW-006,2026-03-10,delivery_prep,AST-006002,20,8,Completed
DOC-0127,PRD-021,SHW-005,2026-03-10,technical_qc,AST-005006,52,22,Completed
DOC-0128,PRD-007,SHW-001,2026-03-10,metadata_entry,AST-001010,54,70,Completed
DOC-0129,PRD-011,SHW-001,2026-03-10,talent_clearance,AST-001010,72,10,Completed
DOC-0130,PRD-018,SHW-011,2026-03-10,metadata_entry,AST-011004,44,62,Completed
DOC-0131,PRD-015,SHW-005,2026-03-11,metadata_entry,AST-005007,70,82,Completed
DOC-0132,PRD-001,SHW-001,2026-03-11,delivery_prep,AST-001010,34,14,Completed
DOC-0133,PRD-003,SHW-003,2026-03-11,metadata_entry,AST-003008,42,52,Completed
DOC-0134,PRD-008,SHW-002,2026-03-11,metadata_entry,AST-002014,36,58,Completed
DOC-0135,PRD-009,SHW-004,2026-03-11,metadata_entry,AST-004006,50,70,Completed
DOC-0136,PRD-022,SHW-009,2026-03-11,gdpr_review,AST-009006,60,18,Completed
DOC-0137,PRD-010,SHW-005,2026-03-11,music_clearance,AST-005007,90,8,In Progress
DOC-0138,PRD-013,SHW-012,2026-03-11,metadata_entry,AST-012008,16,30,Completed
DOC-0139,PRD-024,SHW-004,2026-03-11,metadata_entry,AST-004006,56,70,Completed
DOC-0140,PRD-023,SHW-005,2026-03-11,metadata_entry,AST-005007,46,58,Completed
DOC-0141,PRD-002,SHW-002,2026-03-12,metadata_entry,AST-002015,40,62,Completed
DOC-0142,PRD-006,SHW-009,2026-03-12,metadata_entry,AST-009007,66,80,Completed
DOC-0143,PRD-001,SHW-001,2026-03-12,metadata_entry,AST-001011,62,78,Completed
DOC-0144,PRD-016,SHW-008,2026-03-12,metadata_entry,AST-008007,33,50,Completed
DOC-0145,PRD-017,SHW-006,2026-03-12,metadata_entry,AST-006003,26,40,Completed
DOC-0146,PRD-005,SHW-007,2026-03-12,metadata_entry,AST-007004,20,36,Completed
DOC-0147,PRD-021,SHW-002,2026-03-12,qc_review,AST-002015,34,14,Completed
DOC-0148,PRD-012,SHW-001,2026-03-12,rights_request,AST-001011,40,8,Completed
DOC-0149,PRD-025,SHW-009,2026-03-12,archive_cataloging,AST-009007,54,88,Completed
DOC-0150,PRD-014,SHW-012,2026-03-12,metadata_entry,AST-012009,14,28,Completed
DOC-0151,PRD-015,SHW-005,2026-03-13,metadata_entry,AST-005008,72,84,Completed
DOC-0152,PRD-001,SHW-001,2026-03-13,metadata_entry,AST-001012,58,76,Completed
DOC-0153,PRD-003,SHW-003,2026-03-13,metadata_entry,AST-003009,44,56,Completed
DOC-0154,PRD-008,SHW-002,2026-03-13,metadata_entry,AST-002016,34,60,Completed
DOC-0155,PRD-009,SHW-004,2026-03-13,metadata_entry,AST-004007,48,68,Completed
DOC-0156,PRD-007,SHW-005,2026-03-13,metadata_entry,AST-005008,52,72,Completed
DOC-0157,PRD-022,SHW-010,2026-03-13,accessibility_check,AST-010002,40,18,Completed
DOC-0158,PRD-010,SHW-001,2026-03-13,rights_clearance,AST-001012,100,10,Completed
DOC-0159,PRD-020,SHW-013,2026-03-13,metadata_entry,AST-013004,20,34,Completed
DOC-0160,PRD-019,SHW-005,2026-03-13,metadata_entry,AST-005008,50,56,Completed
DOC-0161,PRD-002,SHW-002,2026-03-14,metadata_entry,AST-002017,42,66,Completed
DOC-0162,PRD-006,SHW-009,2026-03-14,metadata_entry,AST-009008,70,82,Completed
DOC-0163,PRD-001,SHW-001,2026-03-14,platform_adaptation,AST-001012,44,40,Completed
DOC-0164,PRD-016,SHW-008,2026-03-14,delivery_prep,AST-008007,28,10,Completed
DOC-0165,PRD-004,SHW-011,2026-03-14,metadata_entry,AST-011005,46,66,Completed
DOC-0166,PRD-005,SHW-014,2026-03-14,metadata_entry,AST-014003,28,44,Completed
DOC-0167,PRD-021,SHW-005,2026-03-14,technical_qc,AST-005008,50,20,Completed
DOC-0168,PRD-011,SHW-005,2026-03-14,music_clearance,AST-005008,88,8,Completed
DOC-0169,PRD-025,SHW-001,2026-03-14,archive_cataloging,AST-001012,52,86,Completed
DOC-0170,PRD-024,SHW-004,2026-03-14,metadata_entry,AST-004007,50,64,Completed
DOC-0171,PRD-015,SHW-005,2026-03-15,metadata_entry,AST-005009,76,86,Completed
DOC-0172,PRD-001,SHW-001,2026-03-15,metadata_entry,AST-001013,56,74,Completed
DOC-0173,PRD-003,SHW-003,2026-03-15,metadata_entry,AST-003010,46,58,Completed
DOC-0174,PRD-008,SHW-002,2026-03-15,metadata_entry,AST-002018,38,62,Completed
DOC-0175,PRD-009,SHW-004,2026-03-15,metadata_entry,AST-004008,52,72,Completed
DOC-0176,PRD-022,SHW-005,2026-03-15,fcc_filing,AST-005009,88,22,Completed
DOC-0177,PRD-012,SHW-005,2026-03-15,rights_request,AST-005009,38,6,Completed
DOC-0178,PRD-007,SHW-001,2026-03-15,metadata_entry,AST-001013,54,72,Completed
DOC-0179,PRD-013,SHW-012,2026-03-15,metadata_entry,AST-012010,15,30,Completed
DOC-0180,PRD-018,SHW-011,2026-03-15,metadata_entry,AST-011005,42,60,Completed
DOC-0181,PRD-002,SHW-002,2026-03-17,metadata_entry,AST-002019,44,68,Completed
DOC-0182,PRD-006,SHW-009,2026-03-17,metadata_entry,AST-009009,68,80,Completed
DOC-0183,PRD-001,SHW-001,2026-03-17,delivery_prep,AST-001013,32,12,Completed
DOC-0184,PRD-016,SHW-008,2026-03-17,metadata_entry,AST-008008,34,50,Completed
DOC-0185,PRD-017,SHW-014,2026-03-17,delivery_prep,AST-014003,22,8,Completed
DOC-0186,PRD-005,SHW-007,2026-03-17,metadata_entry,AST-007005,24,38,Completed
DOC-0187,PRD-021,SHW-009,2026-03-17,qc_review,AST-009009,40,16,Completed
DOC-0188,PRD-010,SHW-009,2026-03-17,rights_clearance,AST-009009,108,12,In Progress
DOC-0189,PRD-014,SHW-012,2026-03-17,metadata_entry,AST-012011,14,28,Completed
DOC-0190,PRD-020,SHW-013,2026-03-17,metadata_entry,AST-013005,22,36,Completed
DOC-0191,PRD-015,SHW-005,2026-03-18,metadata_entry,AST-005010,74,84,Completed
DOC-0192,PRD-001,SHW-001,2026-03-18,metadata_entry,AST-001014,60,78,Completed
DOC-0193,PRD-003,SHW-003,2026-03-18,metadata_entry,AST-003011,42,54,Completed
DOC-0194,PRD-008,SHW-002,2026-03-18,metadata_entry,AST-002020,36,60,Completed
DOC-0195,PRD-009,SHW-004,2026-03-18,metadata_entry,AST-004009,54,74,Completed
DOC-0196,PRD-007,SHW-001,2026-03-18,metadata_entry,AST-001014,56,76,Completed
DOC-0197,PRD-022,SHW-003,2026-03-18,content_rating,AST-003011,24,14,Completed
DOC-0198,PRD-025,SHW-005,2026-03-18,archive_cataloging,AST-005010,58,90,Completed
DOC-0199,PRD-011,SHW-001,2026-03-18,talent_clearance,AST-001014,74,10,Completed
DOC-0200,PRD-023,SHW-005,2026-03-18,metadata_entry,AST-005010,48,60,Completed
DOC-0201,PRD-002,SHW-002,2026-03-19,metadata_entry,AST-002021,40,64,Completed
DOC-0202,PRD-006,SHW-009,2026-03-19,delivery_prep,AST-009009,32,10,Completed
DOC-0203,PRD-001,SHW-001,2026-03-19,metadata_entry,AST-001015,62,80,Completed
DOC-0204,PRD-016,SHW-008,2026-03-19,metadata_entry,AST-008009,30,46,Completed
DOC-0205,PRD-004,SHW-011,2026-03-19,metadata_entry,AST-011006,50,70,Completed
DOC-0206,PRD-005,SHW-006,2026-03-19,metadata_entry,AST-006004,24,40,Completed
DOC-0207,PRD-021,SHW-001,2026-03-19,technical_qc,AST-001014,46,18,Completed
DOC-0208,PRD-010,SHW-001,2026-03-19,music_clearance,AST-001015,82,8,In Progress
DOC-0209,PRD-019,SHW-001,2026-03-19,metadata_entry,AST-001015,44,50,Completed
DOC-0210,PRD-024,SHW-004,2026-03-19,metadata_entry,AST-004009,52,68,Completed
DOC-0211,PRD-015,SHW-005,2026-03-20,metadata_entry,AST-005011,78,88,Completed
DOC-0212,PRD-001,SHW-001,2026-03-20,delivery_prep,AST-001015,30,12,Completed
DOC-0213,PRD-003,SHW-003,2026-03-20,metadata_entry,AST-003012,48,58,Completed
DOC-0214,PRD-008,SHW-002,2026-03-20,metadata_entry,AST-002022,38,62,Completed
DOC-0215,PRD-009,SHW-004,2026-03-20,metadata_entry,AST-004010,50,70,Completed
DOC-0216,PRD-022,SHW-005,2026-03-20,gdpr_review,AST-005011,62,20,Completed
DOC-0217,PRD-012,SHW-009,2026-03-20,rights_request,AST-009009,44,8,Completed
DOC-0218,PRD-013,SHW-012,2026-03-20,metadata_entry,AST-012012,16,32,Completed
DOC-0219,PRD-025,SHW-001,2026-03-20,archive_cataloging,AST-001015,54,88,Completed
DOC-0220,PRD-007,SHW-005,2026-03-20,metadata_entry,AST-005011,52,70,Completed
DOC-0221,PRD-002,SHW-002,2026-03-21,metadata_entry,AST-002023,42,66,Completed
DOC-0222,PRD-006,SHW-009,2026-03-21,metadata_entry,AST-009010,66,78,Completed
DOC-0223,PRD-001,SHW-001,2026-03-21,metadata_entry,AST-001016,64,82,Completed
DOC-0224,PRD-016,SHW-008,2026-03-21,metadata_entry,AST-008010,32,48,Completed
DOC-0225,PRD-017,SHW-006,2026-03-21,delivery_prep,AST-006004,20,8,Completed
DOC-0226,PRD-005,SHW-007,2026-03-21,metadata_entry,AST-007006,22,38,Completed
DOC-0227,PRD-021,SHW-002,2026-03-21,qc_review,AST-002023,36,14,Completed
DOC-0228,PRD-011,SHW-009,2026-03-21,rights_clearance,AST-009010,98,10,Completed
DOC-0229,PRD-018,SHW-011,2026-03-21,metadata_entry,AST-011006,44,64,Completed
DOC-0230,PRD-014,SHW-012,2026-03-21,metadata_entry,AST-012013,12,24,Completed
DOC-0231,PRD-015,SHW-005,2026-03-22,metadata_entry,AST-005012,70,82,Completed
DOC-0232,PRD-001,SHW-001,2026-03-22,metadata_entry,AST-001016,60,76,Completed
DOC-0233,PRD-003,SHW-003,2026-03-22,delivery_prep,AST-003012,28,10,Completed
DOC-0234,PRD-008,SHW-002,2026-03-22,metadata_entry,AST-002024,34,58,Completed
DOC-0235,PRD-009,SHW-004,2026-03-22,delivery_prep,AST-004010,26,8,Completed
DOC-0236,PRD-022,SHW-010,2026-03-22,accessibility_check,AST-010003,44,20,Failed
DOC-0237,PRD-010,SHW-005,2026-03-22,music_clearance,AST-005012,86,8,Completed
DOC-0238,PRD-024,SHW-004,2026-03-22,metadata_entry,AST-004010,54,66,Completed
DOC-0239,PRD-025,SHW-009,2026-03-22,archive_cataloging,AST-009010,56,90,Completed
DOC-0240,PRD-020,SHW-013,2026-03-22,metadata_entry,AST-013006,18,32,Completed
DOC-0241,PRD-007,SHW-001,2026-03-22,platform_adaptation,AST-001016,42,38,Completed
DOC-0242,PRD-021,SHW-005,2026-03-22,technical_qc,AST-005012,54,22,Completed
DOC-0243,PRD-023,SHW-005,2026-03-22,metadata_entry,AST-005012,46,58,Completed
DOC-0244,PRD-013,SHW-012,2026-03-22,metadata_entry,AST-012014,14,28,Completed
DOC-0245,PRD-004,SHW-011,2026-03-22,metadata_entry,AST-011007,48,68,Completed
DOC-0246,PRD-019,SHW-001,2026-03-22,metadata_entry,AST-001016,48,54,Completed
DOC-0247,PRD-016,SHW-008,2026-03-22,metadata_entry,AST-008010,36,52,Completed
DOC-0248,PRD-005,SHW-014,2026-03-22,metadata_entry,AST-014004,30,44,Completed
DOC-0249,PRD-006,SHW-009,2026-03-22,metadata_entry,AST-009010,68,80,Completed
DOC-0250,PRD-003,SHW-003,2026-03-22,metadata_entry,AST-003013,46,58,Completed
