qc_id,asset_id,timestamp,check_type,result,error_description,severity
QC-052,AST-006002,2026-03-19T08:08:04.778Z,frame_rate,Pass,,Info
QC-053,AST-008002,2026-03-19T08:09:01.890Z,video_levels,Pass,,Info
QC-054,AST-008002,2026-03-19T08:09:02.223Z,audio_levels,Pass,,Info
QC-055,AST-008002,2026-03-19T08:09:03.445Z,closed_captions,Pass,,Info
QC-056,AST-008002,2026-03-19T08:09:04.667Z,accessibility,Pass,,Info
QC-057,AST-011003,2026-03-19T08:10:01.112Z,video_levels,Warning,Near broadcast limit at 00:15:33,Low
QC-058,AST-011003,2026-03-19T08:10:02.334Z,audio_levels,Pass,,Info
QC-059,AST-011003,2026-03-19T08:10:03.556Z,closed_captions,Pass,,Info
QC-060,AST-011003,2026-03-19T08:10:04.778Z,loudness,Pass,,Info
QC-061,AST-007002,2026-03-19T08:11:01.890Z,video_levels,Pass,,Info
QC-062,AST-007002,2026-03-19T08:11:02.223Z,audio_levels,Pass,,Info
QC-063,AST-007002,2026-03-19T08:11:03.445Z,closed_captions,Pass,,Info
QC-064,AST-013002,2026-03-19T08:12:01.667Z,video_levels,Pass,,Info
QC-065,AST-013002,2026-03-19T08:12:02.112Z,audio_levels,Pass,,Info
QC-066,AST-013002,2026-03-19T08:12:03.334Z,audio_mix,Warning,Podcast normalization slightly off,Low
QC-067,AST-014001,2026-03-19T08:13:01.556Z,video_levels,Pass,,Info
QC-068,AST-014001,2026-03-19T08:13:02.778Z,audio_levels,Pass,,Info
QC-069,AST-014001,2026-03-19T08:13:03.890Z,color_space,Pass,,Info
QC-070,AST-015001,2026-03-19T08:14:01.223Z,video_levels,Pass,,Info
QC-071,AST-015001,2026-03-19T08:14:02.445Z,audio_levels,Pass,,Info
QC-072,AST-015001,2026-03-19T08:14:03.667Z,closed_captions,Warning,Captions timing slightly off at end credits,Low
QC-073,AST-005008,2026-03-19T08:15:01.112Z,video_levels,Pass,,Info
QC-074,AST-005008,2026-03-19T08:15:02.334Z,vfx_render,Pass,,Info
QC-075,AST-005008,2026-03-19T08:15:03.556Z,color_space,Pass,,Info
QC-076,AST-005008,2026-03-19T08:15:04.778Z,audio_levels,Pass,,Info
QC-077,AST-002007,2026-03-19T08:16:01.890Z,video_levels,Pass,,Info
QC-078,AST-002007,2026-03-19T08:16:02.223Z,audio_levels,Pass,,Info
QC-079,AST-002007,2026-03-19T08:16:03.445Z,closed_captions,Pass,,Info
QC-080,AST-002007,2026-03-19T08:16:04.667Z,frame_rate,Pass,,Info
