delivery_id,show_id,platform_id,timestamp,status,file_size_gb,transfer_pct
DT-046,SHW-003,PLT-002,2026-03-19T08:05:30.223Z,transferring,28.4,72
DT-047,SHW-003,PLT-002,2026-03-19T08:07:00.445Z,transferring,28.4,90
DT-048,SHW-003,PLT-002,2026-03-19T08:07:45.667Z,complete,28.4,100
DT-049,SHW-012,PLT-004,2026-03-19T08:00:06.112Z,initiating,2.8,0
DT-050,SHW-012,PLT-004,2026-03-19T08:00:12.334Z,transferring,2.8,25
DT-051,SHW-012,PLT-004,2026-03-19T08:00:20.556Z,transferring,2.8,65
DT-052,SHW-012,PLT-004,2026-03-19T08:00:28.778Z,complete,2.8,100
DT-053,SHW-012,PLT-004,2026-03-19T08:01:00.890Z,initiating,3.1,0
DT-054,SHW-012,PLT-004,2026-03-19T08:01:06.223Z,transferring,3.1,30
DT-055,SHW-012,PLT-004,2026-03-19T08:01:14.445Z,transferring,3.1,70
DT-056,SHW-012,PLT-004,2026-03-19T08:01:20.667Z,complete,3.1,100
DT-057,SHW-009,PLT-003,2026-03-19T08:00:07.112Z,initiating,55.2,0
DT-058,SHW-009,PLT-003,2026-03-19T08:00:25.334Z,transferring,55.2,2
DT-059,SHW-009,PLT-003,2026-03-19T08:02:00.556Z,transferring,55.2,10
DT-060,SHW-009,PLT-003,2026-03-19T08:04:00.778Z,transferring,55.2,22
DT-061,SHW-009,PLT-003,2026-03-19T08:06:00.890Z,transferring,55.2,36
DT-062,SHW-009,PLT-003,2026-03-19T08:08:00.223Z,transferring,55.2,50
DT-063,SHW-009,PLT-003,2026-03-19T08:10:00.445Z,transferring,55.2,64
DT-064,SHW-009,PLT-003,2026-03-19T08:12:00.667Z,transferring,55.2,78
DT-065,SHW-009,PLT-003,2026-03-19T08:14:00.112Z,transferring,55.2,90
DT-066,SHW-009,PLT-003,2026-03-19T08:15:00.334Z,complete,55.2,100
DT-067,SHW-002,PLT-001,2026-03-19T08:00:08.556Z,initiating,35.7,0
DT-068,SHW-002,PLT-001,2026-03-19T08:00:20.778Z,transferring,35.7,3
DT-069,SHW-002,PLT-001,2026-03-19T08:02:00.890Z,transferring,35.7,15
DT-070,SHW-002,PLT-001,2026-03-19T08:04:00.223Z,transferring,35.7,30
DT-071,SHW-002,PLT-001,2026-03-19T08:06:00.445Z,transferring,35.7,48
DT-072,SHW-002,PLT-001,2026-03-19T08:08:00.667Z,transferring,35.7,65
DT-073,SHW-002,PLT-001,2026-03-19T08:10:00.112Z,transferring,35.7,82
DT-074,SHW-002,PLT-001,2026-03-19T08:11:30.334Z,transferring,35.7,95
DT-075,SHW-002,PLT-001,2026-03-19T08:12:00.556Z,complete,35.7,100
DT-076,SHW-006,PLT-005,2026-03-19T08:00:09.778Z,initiating,18.9,0
DT-077,SHW-006,PLT-005,2026-03-19T08:00:18.890Z,transferring,18.9,5
DT-078,SHW-006,PLT-005,2026-03-19T08:01:00.223Z,transferring,18.9,22
DT-079,SHW-006,PLT-005,2026-03-19T08:02:00.445Z,transferring,18.9,48
DT-080,SHW-006,PLT-005,2026-03-19T08:03:00.667Z,transferring,18.9,75
