metric_id,show_id,platform_id,timestamp,viewers,completion_rate,engagement_score
AM-032,SHW-007,PLT-005,2026-03-19T08:03:03.667Z,91000,0.84,8.2
AM-033,SHW-008,PLT-001,2026-03-19T08:03:04.112Z,205000,0.81,7.8
AM-034,SHW-013,PLT-008,2026-03-19T08:03:05.334Z,78000,0.93,8.9
AM-035,SHW-014,PLT-001,2026-03-19T08:03:06.556Z,140000,0.88,8.4
AM-036,SHW-015,PLT-009,2026-03-19T08:03:07.778Z,44000,0.95,9.2
AM-037,SHW-001,PLT-001,2026-03-19T08:04:01.890Z,252000,0.84,8.0
AM-038,SHW-001,PLT-002,2026-03-19T08:04:02.223Z,195000,0.80,7.7
AM-039,SHW-002,PLT-001,2026-03-19T08:04:03.445Z,325000,0.87,8.4
AM-040,SHW-002,PLT-002,2026-03-19T08:04:04.667Z,162000,0.81,7.8
AM-041,SHW-003,PLT-002,2026-03-19T08:04:05.112Z,415000,0.69,6.9
AM-042,SHW-005,PLT-001,2026-03-19T08:04:06.334Z,548000,0.93,9.4
AM-043,SHW-009,PLT-003,2026-03-19T08:04:07.556Z,278000,0.88,8.6
AM-044,SHW-010,PLT-002,2026-03-19T08:04:08.778Z,335000,0.72,7.0
AM-045,SHW-011,PLT-006,2026-03-19T08:04:09.890Z,1320000,0.63,6.6
AM-046,SHW-012,PLT-004,2026-03-19T08:05:01.223Z,880000,0.44,5.7
AM-047,SHW-012,PLT-004,2026-03-19T08:05:02.445Z,910000,0.41,5.4
AM-048,SHW-001,PLT-001,2026-03-19T08:06:01.667Z,258000,0.85,8.1
AM-049,SHW-005,PLT-001,2026-03-19T08:06:02.112Z,560000,0.93,9.5
AM-050,SHW-005,PLT-003,2026-03-19T08:06:03.334Z,298000,0.91,9.2
AM-051,SHW-003,PLT-002,2026-03-19T08:06:04.556Z,408000,0.68,6.8
AM-052,SHW-009,PLT-003,2026-03-19T08:06:05.778Z,282000,0.89,8.7
AM-053,SHW-002,PLT-001,2026-03-19T08:06:06.890Z,330000,0.88,8.5
AM-054,SHW-004,PLT-003,2026-03-19T08:07:01.223Z,186000,0.90,8.7
AM-055,SHW-006,PLT-005,2026-03-19T08:07:02.445Z,152000,0.78,7.5
AM-056,SHW-007,PLT-005,2026-03-19T08:07:03.667Z,94000,0.85,8.3
AM-057,SHW-008,PLT-001,2026-03-19T08:07:04.112Z,210000,0.82,7.9
AM-058,SHW-010,PLT-002,2026-03-19T08:07:05.334Z,330000,0.71,6.9
AM-059,SHW-013,PLT-008,2026-03-19T08:07:06.556Z,82000,0.94,9.0
AM-060,SHW-014,PLT-001,2026-03-19T08:07:07.778Z,145000,0.89,8.5
AM-061,SHW-015,PLT-009,2026-03-19T08:08:01.890Z,46000,0.96,9.3
AM-062,SHW-011,PLT-006,2026-03-19T08:08:02.223Z,1280000,0.61,6.4
AM-063,SHW-012,PLT-004,2026-03-19T08:08:03.445Z,940000,0.43,5.6
AM-064,SHW-001,PLT-001,2026-03-19T08:08:04.667Z,262000,0.86,8.2
AM-065,SHW-005,PLT-001,2026-03-19T08:08:05.112Z,572000,0.94,9.6
AM-066,SHW-003,PLT-002,2026-03-19T08:09:01.334Z,400000,0.67,6.7
AM-067,SHW-009,PLT-003,2026-03-19T08:09:02.556Z,288000,0.90,8.8
AM-068,SHW-002,PLT-001,2026-03-19T08:09:03.778Z,335000,0.89,8.6
AM-069,SHW-010,PLT-002,2026-03-19T08:09:04.890Z,325000,0.70,6.8
AM-070,SHW-004,PLT-003,2026-03-19T08:10:01.223Z,190000,0.91,8.8
AM-071,SHW-011,PLT-006,2026-03-19T08:10:02.445Z,1350000,0.64,6.7
AM-072,SHW-012,PLT-004,2026-03-19T08:10:03.667Z,960000,0.44,5.7
AM-073,SHW-001,PLT-001,2026-03-19T08:10:04.112Z,268000,0.87,8.3
AM-074,SHW-005,PLT-001,2026-03-19T08:10:05.334Z,580000,0.95,9.7
AM-075,SHW-005,PLT-003,2026-03-19T08:10:06.556Z,305000,0.92,9.3
AM-076,SHW-003,PLT-002,2026-03-19T08:10:07.778Z,395000,0.66,6.6
AM-077,SHW-008,PLT-001,2026-03-19T08:10:08.890Z,215000,0.83,8.0
AM-078,SHW-013,PLT-008,2026-03-19T08:10:09.223Z,85000,0.95,9.1
AM-079,SHW-006,PLT-005,2026-03-19T08:10:10.445Z,155000,0.79,7.6
AM-080,SHW-007,PLT-005,2026-03-19T08:10:11.667Z,97000,0.86,8.4
