impression_id,campaign_id,unit_id,timestamp,impressions_count,dwell_time_sec,audience_segment
IMP-0024,CMP-033,UNIT-028,2026-03-21T05:42:00Z,949,7.5,commuters_18_34
IMP-0025,CMP-013,UNIT-058,2026-03-20T11:14:00Z,1106,2.1,commuters_35_54
IMP-0026,CMP-038,UNIT-032,2026-03-22T10:25:00Z,535,3.5,commuters_18_34
IMP-0027,CMP-040,UNIT-028,2026-03-21T22:23:00Z,1146,5.9,business_travelers
IMP-0028,CMP-039,UNIT-026,2026-03-21T11:20:00Z,633,5.9,tourists
IMP-0029,CMP-029,UNIT-002,2026-03-21T21:49:00Z,930,4.0,commuters_35_54
IMP-0030,CMP-003,UNIT-034,2026-03-20T11:12:00Z,711,10.3,business_travelers
IMP-0031,CMP-038,UNIT-028,2026-03-21T19:03:00Z,3453,8.3,tourists
IMP-0032,CMP-014,UNIT-054,2026-03-20T14:00:00Z,543,10.3,students
IMP-0033,CMP-014,UNIT-048,2026-03-22T17:46:00Z,2140,6.6,affluent_55_plus
IMP-0034,CMP-039,UNIT-017,2026-03-21T20:35:00Z,684,10.0,business_travelers
IMP-0035,CMP-005,UNIT-059,2026-03-20T05:54:00Z,163,8.2,commuters_18_34
IMP-0036,CMP-018,UNIT-002,2026-03-21T19:24:00Z,3126,11.6,commuters_35_54
IMP-0037,CMP-004,UNIT-032,2026-03-20T11:27:00Z,863,2.8,affluent_55_plus
IMP-0038,CMP-002,UNIT-028,2026-03-20T08:19:00Z,1380,4.6,business_travelers
IMP-0039,CMP-008,UNIT-002,2026-03-21T10:00:00Z,330,2.9,business_travelers
IMP-0040,CMP-030,UNIT-058,2026-03-22T22:17:00Z,653,2.2,urban_millennials
IMP-0041,CMP-005,UNIT-014,2026-03-20T07:25:00Z,2345,2.3,urban_millennials
IMP-0042,CMP-028,UNIT-042,2026-03-21T10:00:00Z,190,8.6,tourists
IMP-0043,CMP-019,UNIT-048,2026-03-20T13:01:00Z,656,11.6,business_travelers
IMP-0044,CMP-016,UNIT-042,2026-03-20T06:55:00Z,991,7.6,urban_millennials
IMP-0045,CMP-015,UNIT-004,2026-03-21T16:05:00Z,3249,5.7,urban_millennials
IMP-0046,CMP-035,UNIT-017,2026-03-21T16:46:00Z,3056,7.4,students
IMP-0047,CMP-023,UNIT-038,2026-03-20T23:25:00Z,862,6.7,students
IMP-0048,CMP-019,UNIT-014,2026-03-22T20:43:00Z,935,5.6,affluent_55_plus
IMP-0049,CMP-006,UNIT-059,2026-03-21T09:21:00Z,2269,8.5,urban_millennials
IMP-0050,CMP-035,UNIT-017,2026-03-20T15:32:00Z,397,8.0,families
IMP-0051,CMP-037,UNIT-014,2026-03-20T17:05:00Z,2516,10.8,commuters_18_34
IMP-0052,CMP-034,UNIT-010,2026-03-22T05:16:00Z,437,9.4,students
IMP-0053,CMP-032,UNIT-010,2026-03-21T16:35:00Z,2417,7.2,affluent_55_plus
IMP-0054,CMP-015,UNIT-058,2026-03-21T18:44:00Z,1235,4.3,urban_millennials
IMP-0055,CMP-010,UNIT-020,2026-03-22T05:57:00Z,1133,10.0,urban_millennials
IMP-0056,CMP-010,UNIT-008,2026-03-22T14:15:00Z,931,5.0,business_travelers
IMP-0057,CMP-035,UNIT-010,2026-03-20T05:01:00Z,163,5.0,business_travelers
IMP-0058,CMP-012,UNIT-008,2026-03-20T13:28:00Z,343,6.2,students
IMP-0059,CMP-026,UNIT-002,2026-03-22T14:21:00Z,894,5.7,tourists
IMP-0060,CMP-028,UNIT-059,2026-03-22T20:40:00Z,185,8.8,commuters_18_34
IMP-0061,CMP-032,UNIT-029,2026-03-21T05:16:00Z,1069,10.6,affluent_55_plus
IMP-0062,CMP-035,UNIT-010,2026-03-21T23:39:00Z,818,11.5,urban_millennials
IMP-0063,CMP-002,UNIT-034,2026-03-20T20:48:00Z,277,6.7,commuters_35_54
IMP-0064,CMP-006,UNIT-022,2026-03-22T08:29:00Z,2355,9.5,business_travelers
IMP-0065,CMP-039,UNIT-048,2026-03-20T15:19:00Z,1024,4.2,affluent_55_plus
IMP-0066,CMP-007,UNIT-002,2026-03-22T09:37:00Z,915,11.4,urban_millennials
IMP-0067,CMP-005,UNIT-054,2026-03-20T19:17:00Z,3114,5.9,commuters_18_34
IMP-0068,CMP-017,UNIT-058,2026-03-20T21:31:00Z,456,11.0,tourists
IMP-0069,CMP-011,UNIT-004,2026-03-21T15:27:00Z,324,8.9,commuters_35_54
IMP-0070,CMP-013,UNIT-048,2026-03-21T12:00:00Z,893,9.8,families
IMP-0071,CMP-025,UNIT-004,2026-03-21T10:14:00Z,796,10.7,urban_millennials
IMP-0072,CMP-015,UNIT-042,2026-03-22T08:06:00Z,1473,3.4,commuters_18_34
IMP-0073,CMP-029,UNIT-048,2026-03-21T18:01:00Z,2951,11.0,students
IMP-0074,CMP-035,UNIT-010,2026-03-21T20:02:00Z,671,6.4,affluent_55_plus
IMP-0075,CMP-005,UNIT-008,2026-03-20T13:56:00Z,832,6.7,business_travelers
IMP-0076,CMP-009,UNIT-010,2026-03-20T10:05:00Z,482,8.6,urban_millennials
IMP-0077,CMP-035,UNIT-032,2026-03-22T13:30:00Z,236,11.7,families
IMP-0078,CMP-038,UNIT-038,2026-03-20T22:02:00Z,575,4.0,tourists
IMP-0079,CMP-009,UNIT-034,2026-03-20T16:03:00Z,2889,9.9,commuters_35_54
IMP-0080,CMP-034,UNIT-026,2026-03-22T21:00:00Z,721,10.8,families
