status_id,order_id,campaign_id,timestamp,creative_status,proof_stage,days_pending,blocker_type
CST-0034,ORD-0153,CMP-005,2026-03-20T14:08:00Z,pending_approval,round_2,12,client_review
CST-0035,ORD-0101,CMP-011,2026-03-22T14:25:00Z,revision_requested,round_2,13,art_revision
CST-0036,ORD-0019,CMP-015,2026-03-21T10:57:00Z,approved,pre_flight,0,none
CST-0037,ORD-0173,CMP-010,2026-03-20T15:09:00Z,revision_requested,round_3,0,approval_chain
CST-0038,ORD-0031,CMP-034,2026-03-21T16:06:00Z,in_production,pre_flight,0,spec_mismatch
CST-0039,ORD-0060,CMP-029,2026-03-21T09:34:00Z,in_production,final,0,client_review
CST-0040,ORD-0019,CMP-022,2026-03-21T08:24:00Z,in_production,round_3,0,none
CST-0041,ORD-0161,CMP-030,2026-03-21T17:10:00Z,delivered,final,0,none
CST-0042,ORD-0195,CMP-019,2026-03-20T16:06:00Z,pending_approval,pre_flight,9,art_revision
CST-0043,ORD-0062,CMP-032,2026-03-22T14:26:00Z,pending_approval,initial,13,art_revision
CST-0044,ORD-0186,CMP-018,2026-03-21T18:32:00Z,approved,round_3,0,none
CST-0045,ORD-0092,CMP-006,2026-03-20T09:45:00Z,in_production,round_2,0,vendor_delay
CST-0046,ORD-0127,CMP-015,2026-03-22T14:42:00Z,approved,final,0,none
CST-0047,ORD-0144,CMP-039,2026-03-22T14:38:00Z,approved,final,0,none
CST-0048,ORD-0011,CMP-039,2026-03-20T17:53:00Z,in_production,initial,0,vendor_delay
CST-0049,ORD-0025,CMP-008,2026-03-20T13:37:00Z,revision_requested,pre_flight,6,spec_mismatch
CST-0050,ORD-0184,CMP-003,2026-03-21T18:50:00Z,approved,final,0,none
CST-0051,ORD-0147,CMP-034,2026-03-20T14:52:00Z,in_production,final,0,approval_chain
CST-0052,ORD-0007,CMP-014,2026-03-22T10:01:00Z,revision_requested,round_3,1,art_revision
CST-0053,ORD-0106,CMP-002,2026-03-22T15:54:00Z,delivered,round_3,0,none
CST-0054,ORD-0175,CMP-023,2026-03-21T11:17:00Z,approved,initial,0,none
CST-0055,ORD-0084,CMP-030,2026-03-22T18:16:00Z,in_production,round_2,0,client_review
CST-0056,ORD-0143,CMP-036,2026-03-22T13:47:00Z,approved,round_3,0,none
CST-0057,ORD-0200,CMP-012,2026-03-21T09:21:00Z,approved,pre_flight,0,none
CST-0058,ORD-0190,CMP-015,2026-03-21T12:06:00Z,delivered,initial,0,none
CST-0059,ORD-0164,CMP-026,2026-03-21T17:31:00Z,revision_requested,final,3,art_revision
CST-0060,ORD-0182,CMP-032,2026-03-21T13:51:00Z,approved,round_3,0,none
CST-0061,ORD-0194,CMP-011,2026-03-20T13:01:00Z,pending_approval,pre_flight,4,vendor_delay
CST-0062,ORD-0180,CMP-036,2026-03-21T16:34:00Z,pending_approval,pre_flight,11,none
CST-0063,ORD-0051,CMP-006,2026-03-20T17:58:00Z,delivered,final,0,none
CST-0064,ORD-0068,CMP-010,2026-03-22T13:34:00Z,approved,round_2,0,none
CST-0065,ORD-0099,CMP-007,2026-03-22T12:39:00Z,revision_requested,initial,5,client_review
CST-0066,ORD-0114,CMP-003,2026-03-20T16:09:00Z,revision_requested,round_3,0,spec_mismatch
CST-0067,ORD-0058,CMP-015,2026-03-20T11:28:00Z,revision_requested,round_2,2,none
CST-0068,ORD-0076,CMP-016,2026-03-20T17:30:00Z,in_production,final,0,vendor_delay
CST-0069,ORD-0142,CMP-037,2026-03-20T14:11:00Z,in_production,pre_flight,0,spec_mismatch
CST-0070,ORD-0161,CMP-037,2026-03-21T12:45:00Z,in_production,round_3,0,art_revision
CST-0071,ORD-0111,CMP-024,2026-03-21T11:20:00Z,approved,initial,0,none
CST-0072,ORD-0178,CMP-009,2026-03-21T11:50:00Z,approved,round_2,0,none
CST-0073,ORD-0025,CMP-033,2026-03-22T15:34:00Z,approved,pre_flight,0,none
CST-0074,ORD-0059,CMP-023,2026-03-22T18:35:00Z,in_production,round_2,0,spec_mismatch
CST-0075,ORD-0069,CMP-037,2026-03-20T15:39:00Z,approved,pre_flight,0,none
CST-0076,ORD-0112,CMP-005,2026-03-20T08:35:00Z,approved,initial,0,none
CST-0077,ORD-0089,CMP-031,2026-03-22T10:04:00Z,revision_requested,initial,11,art_revision
CST-0078,ORD-0146,CMP-017,2026-03-22T08:45:00Z,revision_requested,final,11,client_review
CST-0079,ORD-0102,CMP-014,2026-03-22T15:19:00Z,approved,round_3,0,none
CST-0080,ORD-0085,CMP-015,2026-03-22T16:26:00Z,pending_approval,pre_flight,10,vendor_delay
