quality_id,order_id,ae_id,date,charting_accuracy_pct,proof_approval_rate,install_on_time_pct,pop_completeness_pct
QAL-0076,ORD-0102,AE-006,2026-01-17,95.3,95.3,95.5,93.6
QAL-0077,ORD-0043,AE-009,2026-02-05,89.8,90.2,92.4,97.2
QAL-0078,ORD-0038,AE-012,2026-02-24,98.3,80.7,94.9,88.2
QAL-0079,ORD-0068,AE-006,2026-01-08,95.4,89.3,95.3,90.4
QAL-0080,ORD-0117,AE-001,2026-03-02,88.2,85.6,86.3,92.0
QAL-0081,ORD-0190,AE-005,2026-03-19,94.3,86.8,89.9,93.2
QAL-0082,ORD-0020,AE-009,2026-02-09,98.7,84.0,90.3,96.4
QAL-0083,ORD-0089,AE-008,2026-02-26,97.8,80.1,96.5,91.2
QAL-0084,ORD-0059,AE-002,2026-03-17,91.1,82.7,87.0,93.4
QAL-0085,ORD-0031,AE-011,2026-02-08,96.9,93.0,91.3,91.7
QAL-0086,ORD-0054,AE-010,2026-03-06,86.3,65.3,72.6,76.0
QAL-0087,ORD-0042,AE-003,2026-03-21,88.4,90.3,85.7,88.6
QAL-0088,ORD-0047,AE-009,2026-03-13,98.7,91.5,96.4,95.2
QAL-0089,ORD-0073,AE-002,2026-02-07,94.7,88.5,91.3,88.1
QAL-0090,ORD-0106,AE-010,2026-03-05,86.2,67.7,80.6,71.7
QAL-0091,ORD-0186,AE-011,2026-02-11,94.6,81.2,89.9,86.9
QAL-0092,ORD-0005,AE-004,2026-03-17,95.5,94.9,92.9,87.5
QAL-0093,ORD-0158,AE-010,2026-03-02,83.0,66.8,78.3,69.8
QAL-0094,ORD-0155,AE-009,2026-01-27,97.9,93.9,93.4,92.3
QAL-0095,ORD-0095,AE-001,2026-03-23,89.3,89.1,85.8,91.2
QAL-0096,ORD-0090,AE-010,2026-03-26,87.1,77.6,79.5,74.0
QAL-0097,ORD-0066,AE-008,2026-01-25,98.0,81.5,92.8,92.6
QAL-0098,ORD-0066,AE-004,2026-03-01,96.2,80.1,91.8,92.3
QAL-0099,ORD-0097,AE-011,2026-03-07,96.8,87.4,86.4,91.0
QAL-0100,ORD-0150,AE-005,2026-03-09,92.7,86.6,88.6,94.5
QAL-0101,ORD-0194,AE-004,2026-03-14,96.6,88.7,89.8,92.8
QAL-0102,ORD-0065,AE-005,2026-02-19,96.5,87.2,86.8,97.1
QAL-0103,ORD-0031,AE-012,2026-02-08,96.6,97.1,86.3,92.1
QAL-0104,ORD-0087,AE-009,2026-03-20,95.5,80.9,90.1,93.9
QAL-0105,ORD-0024,AE-003,2026-03-16,92.8,81.2,87.9,86.1
QAL-0106,ORD-0010,AE-012,2026-02-13,94.8,89.4,94.3,93.4
QAL-0107,ORD-0199,AE-003,2026-02-21,92.8,83.6,93.5,96.3
QAL-0108,ORD-0074,AE-004,2026-03-02,93.6,92.6,93.0,94.4
QAL-0109,ORD-0093,AE-004,2026-01-21,98.7,81.6,88.6,90.6
QAL-0110,ORD-0172,AE-007,2026-03-13,90.2,80.3,94.1,97.9
QAL-0111,ORD-0141,AE-005,2026-03-24,98.1,86.3,97.5,88.9
QAL-0112,ORD-0156,AE-004,2026-02-15,94.3,84.7,90.3,86.5
QAL-0113,ORD-0019,AE-009,2026-02-10,98.4,94.5,97.4,97.3
QAL-0114,ORD-0148,AE-005,2026-02-23,98.6,90.1,95.0,95.6
QAL-0115,ORD-0199,AE-008,2026-02-22,97.9,95.5,91.3,88.6
QAL-0116,ORD-0098,AE-011,2026-01-26,95.4,84.1,89.1,98.4
QAL-0117,ORD-0133,AE-009,2026-03-01,97.2,84.5,86.2,94.4
QAL-0118,ORD-0088,AE-002,2026-01-18,93.2,86.4,96.6,88.8
QAL-0119,ORD-0192,AE-011,2026-02-07,96.1,84.2,88.1,88.7
QAL-0120,ORD-0059,AE-004,2026-01-27,97.2,86.4,95.1,86.7
QAL-0121,ORD-0021,AE-011,2026-02-22,94.8,93.8,92.0,85.6
QAL-0122,ORD-0124,AE-006,2026-02-20,93.4,97.7,96.7,97.2
QAL-0123,ORD-0126,AE-003,2026-03-25,91.1,84.0,92.5,85.8
QAL-0124,ORD-0109,AE-008,2026-01-18,93.5,87.1,93.9,87.4
QAL-0125,ORD-0031,AE-012,2026-02-17,91.5,80.2,93.8,90.3
QAL-0126,ORD-0026,AE-006,2026-03-12,97.5,83.4,88.4,88.8
QAL-0127,ORD-0157,AE-006,2026-01-12,93.5,83.8,94.1,90.2
QAL-0128,ORD-0103,AE-005,2026-01-15,94.3,97.6,93.9,96.4
QAL-0129,ORD-0185,AE-005,2026-01-26,94.1,95.4,87.5,96.2
QAL-0130,ORD-0190,AE-003,2026-01-16,89.9,89.0,97.9,96.9
QAL-0131,ORD-0133,AE-009,2026-02-24,96.6,85.4,92.3,92.9
QAL-0132,ORD-0102,AE-002,2026-01-23,88.7,94.6,91.2,93.8
QAL-0133,ORD-0116,AE-012,2026-02-11,92.0,90.1,97.1,88.6
QAL-0134,ORD-0006,AE-007,2026-02-04,97.5,97.3,87.6,93.1
QAL-0135,ORD-0167,AE-009,2026-02-06,91.9,92.1,91.3,95.3
QAL-0136,ORD-0021,AE-007,2026-02-20,93.1,97.2,96.3,94.0
QAL-0137,ORD-0087,AE-007,2026-03-21,94.3,95.3,85.9,87.3
QAL-0138,ORD-0059,AE-006,2026-03-11,91.2,84.8,93.4,88.8
QAL-0139,ORD-0114,AE-006,2026-03-24,93.7,88.1,87.2,97.0
QAL-0140,ORD-0033,AE-012,2026-03-08,90.8,93.4,94.7,87.9
QAL-0141,ORD-0102,AE-002,2026-01-04,98.3,88.5,85.7,95.8
QAL-0142,ORD-0135,AE-002,2026-02-04,94.8,81.5,97.1,90.5
QAL-0143,ORD-0059,AE-004,2026-02-24,92.9,82.3,91.8,87.4
QAL-0144,ORD-0009,AE-011,2026-02-12,97.5,88.4,96.3,98.1
QAL-0145,ORD-0141,AE-008,2026-03-05,93.9,90.6,90.9,95.5
QAL-0146,ORD-0145,AE-007,2026-03-17,95.0,85.6,89.5,92.6
QAL-0147,ORD-0023,AE-008,2026-02-10,92.5,82.8,85.1,92.3
QAL-0148,ORD-0195,AE-003,2026-02-12,93.2,80.1,97.0,98.3
QAL-0149,ORD-0123,AE-005,2026-02-01,96.8,90.7,95.4,92.7
QAL-0150,ORD-0049,AE-007,2026-02-18,92.3,82.9,94.6,90.5
