event_id,wo_id,unit_id,timestamp,event_type,crew_id,status,photo_uploaded,gps_lat,gps_lng
INS-0041,WO-0073,UNIT-013,2026-03-22T16:50:00Z,qc_check,CREW-008,completed,false,34.0408,-118.3212
INS-0042,WO-0028,UNIT-026,2026-03-20T13:06:00Z,issue_reported,CREW-005,failed,false,33.837,-84.3788
INS-0043,WO-0026,UNIT-014,2026-03-21T14:56:00Z,posting_started,CREW-007,failed,false,34.0943,-118.4452
INS-0044,WO-0027,UNIT-025,2026-03-22T16:11:00Z,photo_taken,CREW-010,in_progress,true,33.8141,-84.3625
INS-0045,WO-0103,UNIT-013,2026-03-20T12:20:00Z,issue_reported,CREW-004,pending,true,34.0931,-118.3868
INS-0046,WO-0120,UNIT-049,2026-03-22T14:47:00Z,crew_dispatched,CREW-002,in_progress,true,33.7509,-84.3338
INS-0047,WO-0007,UNIT-022,2026-03-20T11:59:00Z,qc_check,CREW-004,in_progress,false,29.7408,-95.4868
INS-0048,WO-0080,UNIT-059,2026-03-21T15:57:00Z,issue_reported,CREW-008,completed,true,33.7803,-84.3398
INS-0049,WO-0021,UNIT-058,2026-03-20T08:26:00Z,arrived_on_site,CREW-009,failed,false,34.0562,-118.3243
INS-0050,WO-0090,UNIT-018,2026-03-22T09:07:00Z,posting_started,CREW-008,completed,true,34.088,-118.3554
INS-0051,WO-0062,UNIT-011,2026-03-20T15:44:00Z,qc_check,CREW-008,completed,true,41.9294,-87.583
INS-0052,WO-0086,UNIT-037,2026-03-21T11:05:00Z,qc_check,CREW-002,completed,false,40.7677,-73.955
INS-0053,WO-0015,UNIT-060,2026-03-22T09:40:00Z,qc_check,CREW-005,in_progress,false,28.3666,-81.4294
INS-0054,WO-0103,UNIT-032,2026-03-20T15:57:00Z,departure,CREW-003,completed,false,28.4527,-81.3536
INS-0055,WO-0116,UNIT-059,2026-03-20T13:20:00Z,posting_started,CREW-001,in_progress,false,33.7763,-84.3204
INS-0056,WO-0044,UNIT-003,2026-03-21T17:48:00Z,issue_reported,CREW-002,completed,true,40.7872,-73.9544
INS-0057,WO-0002,UNIT-048,2026-03-22T06:19:00Z,departure,CREW-004,failed,false,29.7136,-95.3656
INS-0058,WO-0090,UNIT-025,2026-03-21T11:51:00Z,departure,CREW-007,in_progress,true,33.7846,-84.3938
INS-0059,WO-0025,UNIT-032,2026-03-21T10:05:00Z,issue_reported,CREW-002,pending,false,28.5223,-81.3708
INS-0060,WO-0003,UNIT-052,2026-03-20T07:15:00Z,arrived_on_site,CREW-003,completed,true,28.5103,-81.3942
INS-0061,WO-0111,UNIT-005,2026-03-20T17:00:00Z,qc_check,CREW-010,completed,false,40.7966,-73.9519
INS-0062,WO-0081,UNIT-056,2026-03-21T16:06:00Z,arrived_on_site,CREW-001,in_progress,true,40.7746,-74.0051
INS-0063,WO-0012,UNIT-046,2026-03-20T06:27:00Z,posting_completed,CREW-004,completed,true,29.7179,-95.4359
INS-0064,WO-0068,UNIT-013,2026-03-21T09:45:00Z,issue_reported,CREW-010,in_progress,false,34.0732,-118.3316
INS-0065,WO-0111,UNIT-004,2026-03-21T08:32:00Z,crew_dispatched,CREW-002,completed,true,40.7144,-73.9775
INS-0066,WO-0025,UNIT-045,2026-03-20T17:48:00Z,arrived_on_site,CREW-004,completed,false,34.0992,-118.4175
INS-0067,WO-0082,UNIT-054,2026-03-22T10:38:00Z,departure,CREW-009,in_progress,false,28.4002,-81.481
INS-0068,WO-0031,UNIT-034,2026-03-20T16:56:00Z,photo_taken,CREW-005,in_progress,true,28.3629,-81.5374
INS-0069,WO-0045,UNIT-058,2026-03-22T06:39:00Z,departure,CREW-002,in_progress,false,34.0446,-118.2546
INS-0070,WO-0087,UNIT-006,2026-03-21T15:49:00Z,qc_check,CREW-010,in_progress,true,40.7262,-73.9596
INS-0071,WO-0058,UNIT-023,2026-03-22T13:23:00Z,issue_reported,CREW-005,in_progress,false,29.8099,-95.4619
INS-0072,WO-0076,UNIT-011,2026-03-20T17:22:00Z,departure,CREW-008,pending,false,41.9196,-87.5855
INS-0073,WO-0052,UNIT-030,2026-03-21T13:09:00Z,posting_started,CREW-007,completed,true,33.7639,-84.3883
INS-0074,WO-0112,UNIT-041,2026-03-20T12:23:00Z,crew_dispatched,CREW-007,in_progress,false,41.8573,-87.6207
INS-0075,WO-0024,UNIT-014,2026-03-20T06:25:00Z,issue_reported,CREW-003,completed,true,34.0497,-118.4183
INS-0076,WO-0107,UNIT-055,2026-03-22T10:14:00Z,posting_completed,CREW-008,in_progress,true,40.7499,-73.9839
INS-0077,WO-0110,UNIT-011,2026-03-21T16:03:00Z,qc_check,CREW-002,completed,false,41.8877,-87.6511
INS-0078,WO-0031,UNIT-034,2026-03-21T09:26:00Z,issue_reported,CREW-001,failed,false,28.4177,-81.4879
INS-0079,WO-0080,UNIT-028,2026-03-22T07:38:00Z,posting_started,CREW-009,completed,false,33.8307,-84.3336
INS-0080,WO-0048,UNIT-037,2026-03-21T07:01:00Z,issue_reported,CREW-006,completed,false,40.7326,-73.996
