wo_id,campaign_id,unit_id,timestamp,wo_type,posting_instructions,vendor_id,install_status,doc_time_min
WO-0019,CMP-020,UNIT-018,2026-03-26T12:05:00Z,maintenance,digital_upload,VND-008,in_progress,40
WO-0020,CMP-020,UNIT-045,2026-03-27T16:58:00Z,initial_posting,digital_upload,VND-010,completed,29
WO-0021,CMP-004,UNIT-053,2026-02-24T07:20:00Z,digital_update,poster_standard,VND-007,completed,20
WO-0022,CMP-013,UNIT-047,2026-02-26T06:16:00Z,initial_posting,standard_vinyl,VND-001,failed,19
WO-0023,CMP-017,UNIT-022,2026-03-28T10:44:00Z,takedown,backlit_vinyl,VND-010,completed,23
WO-0024,CMP-021,UNIT-056,2026-03-25T16:28:00Z,digital_update,standard_vinyl,VND-009,completed,51
WO-0025,CMP-031,UNIT-043,2026-03-27T11:49:00Z,digital_update,transit_wrap,VND-004,completed,64
WO-0026,CMP-019,UNIT-046,2026-03-24T14:53:00Z,takedown,poster_standard,VND-011,scheduled,28
WO-0027,CMP-005,UNIT-005,2026-02-27T09:00:00Z,digital_update,backlit_vinyl,VND-008,scheduled,27
WO-0028,CMP-032,UNIT-007,2026-02-26T15:48:00Z,maintenance,shelter_insert,VND-014,completed,34
WO-0029,CMP-030,UNIT-042,2026-02-25T08:14:00Z,rotation,transit_wrap,VND-008,failed,47
WO-0030,CMP-013,UNIT-050,2026-02-27T07:17:00Z,replacement,backlit_vinyl,VND-011,completed,51
WO-0031,CMP-007,UNIT-010,2026-02-27T07:15:00Z,initial_posting,transit_wrap,VND-003,completed,45
WO-0032,CMP-034,UNIT-029,2026-03-26T07:59:00Z,maintenance,standard_vinyl,VND-006,completed,24
WO-0033,CMP-026,UNIT-033,2026-03-27T06:28:00Z,rotation,digital_upload,VND-002,completed,39
WO-0034,CMP-028,UNIT-013,2026-02-26T12:11:00Z,maintenance,digital_upload,VND-009,in_progress,48
WO-0035,CMP-028,UNIT-007,2026-02-24T07:14:00Z,initial_posting,standard_vinyl,VND-015,completed,32
WO-0036,CMP-016,UNIT-005,2026-02-28T10:14:00Z,maintenance,poster_standard,VND-012,completed,40
WO-0037,CMP-007,UNIT-015,2026-03-26T09:10:00Z,takedown,digital_upload,VND-011,completed,53
WO-0038,CMP-019,UNIT-047,2026-02-24T08:32:00Z,digital_update,shelter_insert,VND-008,scheduled,59
WO-0039,CMP-016,UNIT-011,2026-02-26T08:11:00Z,rotation,transit_wrap,VND-003,cancelled,57
WO-0040,CMP-031,UNIT-028,2026-02-26T08:16:00Z,initial_posting,backlit_vinyl,VND-011,scheduled,15
WO-0041,CMP-039,UNIT-023,2026-02-27T13:55:00Z,takedown,transit_wrap,VND-002,completed,16
WO-0042,CMP-037,UNIT-044,2026-02-26T14:32:00Z,takedown,backlit_vinyl,VND-013,completed,34
WO-0043,CMP-022,UNIT-029,2026-03-27T14:16:00Z,digital_update,transit_wrap,VND-005,completed,15
WO-0044,CMP-023,UNIT-020,2026-03-26T07:17:00Z,digital_update,shelter_insert,VND-012,in_progress,24
WO-0045,CMP-027,UNIT-055,2026-02-25T11:31:00Z,initial_posting,backlit_vinyl,VND-010,scheduled,42
WO-0046,CMP-024,UNIT-014,2026-02-24T12:40:00Z,initial_posting,digital_upload,VND-015,in_progress,49
WO-0047,CMP-029,UNIT-057,2026-02-28T10:58:00Z,digital_update,digital_upload,VND-015,completed,52
WO-0048,CMP-027,UNIT-018,2026-02-26T06:37:00Z,maintenance,poster_standard,VND-006,scheduled,22
WO-0049,CMP-028,UNIT-051,2026-03-27T10:07:00Z,initial_posting,transit_wrap,VND-015,in_progress,44
WO-0050,CMP-010,UNIT-034,2026-02-26T10:31:00Z,rotation,standard_vinyl,VND-013,completed,44
WO-0051,CMP-003,UNIT-014,2026-02-26T06:31:00Z,rotation,standard_vinyl,VND-007,completed,15
WO-0052,CMP-004,UNIT-017,2026-03-25T10:50:00Z,maintenance,poster_standard,VND-013,in_progress,20
WO-0053,CMP-018,UNIT-010,2026-03-25T15:58:00Z,initial_posting,digital_upload,VND-004,completed,37
WO-0054,CMP-016,UNIT-052,2026-03-27T12:57:00Z,initial_posting,digital_upload,VND-015,completed,34
WO-0055,CMP-012,UNIT-037,2026-03-27T15:08:00Z,digital_update,backlit_vinyl,VND-005,completed,50
WO-0056,CMP-013,UNIT-020,2026-02-26T10:36:00Z,digital_update,transit_wrap,VND-009,completed,65
WO-0057,CMP-028,UNIT-007,2026-03-25T11:32:00Z,digital_update,poster_standard,VND-006,completed,42
WO-0058,CMP-030,UNIT-027,2026-03-27T06:58:00Z,maintenance,standard_vinyl,VND-013,completed,63
WO-0059,CMP-009,UNIT-040,2026-02-26T15:32:00Z,rotation,backlit_vinyl,VND-010,completed,51
WO-0060,CMP-019,UNIT-004,2026-02-27T12:42:00Z,initial_posting,transit_wrap,VND-013,scheduled,48
WO-0061,CMP-030,UNIT-054,2026-02-24T06:17:00Z,digital_update,standard_vinyl,VND-006,in_progress,33
WO-0062,CMP-037,UNIT-031,2026-02-26T07:47:00Z,maintenance,poster_standard,VND-009,scheduled,18
WO-0063,CMP-014,UNIT-034,2026-03-25T08:14:00Z,digital_update,poster_standard,VND-014,completed,55
WO-0064,CMP-020,UNIT-047,2026-03-24T15:44:00Z,takedown,standard_vinyl,VND-002,completed,53
WO-0065,CMP-008,UNIT-034,2026-02-24T09:06:00Z,replacement,standard_vinyl,VND-014,completed,40
WO-0066,CMP-004,UNIT-060,2026-03-24T12:30:00Z,takedown,backlit_vinyl,VND-014,scheduled,31
WO-0067,CMP-040,UNIT-044,2026-02-27T12:09:00Z,digital_update,standard_vinyl,VND-003,completed,62
WO-0068,CMP-016,UNIT-011,2026-02-28T13:30:00Z,rotation,digital_upload,VND-011,completed,52
WO-0069,CMP-032,UNIT-024,2026-03-26T12:44:00Z,initial_posting,transit_wrap,VND-007,scheduled,24
WO-0070,CMP-002,UNIT-019,2026-02-27T15:24:00Z,initial_posting,shelter_insert,VND-005,completed,56
WO-0071,CMP-040,UNIT-029,2026-03-24T08:29:00Z,digital_update,transit_wrap,VND-005,completed,25
WO-0072,CMP-023,UNIT-033,2026-02-28T11:57:00Z,digital_update,shelter_insert,VND-007,completed,26
WO-0073,CMP-010,UNIT-023,2026-03-28T13:45:00Z,takedown,digital_upload,VND-013,scheduled,34
WO-0074,CMP-026,UNIT-005,2026-03-27T13:38:00Z,digital_update,backlit_vinyl,VND-010,scheduled,47
WO-0075,CMP-034,UNIT-017,2026-03-25T15:37:00Z,rotation,shelter_insert,VND-010,scheduled,19
WO-0076,CMP-003,UNIT-002,2026-02-25T07:42:00Z,initial_posting,transit_wrap,VND-015,in_progress,35
WO-0077,CMP-015,UNIT-050,2026-02-25T08:46:00Z,replacement,transit_wrap,VND-015,completed,54
WO-0078,CMP-017,UNIT-008,2026-02-24T13:48:00Z,rotation,shelter_insert,VND-011,scheduled,26
WO-0079,CMP-021,UNIT-007,2026-03-27T08:40:00Z,maintenance,shelter_insert,VND-004,completed,46
WO-0080,CMP-029,UNIT-044,2026-02-26T09:47:00Z,takedown,transit_wrap,VND-014,completed,65
WO-0081,CMP-013,UNIT-006,2026-02-28T16:42:00Z,initial_posting,backlit_vinyl,VND-001,scheduled,15
WO-0082,CMP-024,UNIT-050,2026-02-27T11:11:00Z,digital_update,poster_standard,VND-015,scheduled,48
WO-0083,CMP-032,UNIT-013,2026-03-25T14:22:00Z,rotation,shelter_insert,VND-015,in_progress,23
WO-0084,CMP-005,UNIT-029,2026-03-27T07:36:00Z,initial_posting,backlit_vinyl,VND-013,completed,21
WO-0085,CMP-008,UNIT-032,2026-02-25T15:34:00Z,rotation,standard_vinyl,VND-004,scheduled,33
WO-0086,CMP-017,UNIT-025,2026-02-26T08:18:00Z,initial_posting,shelter_insert,VND-010,completed,48
WO-0087,CMP-040,UNIT-033,2026-03-26T15:03:00Z,maintenance,poster_standard,VND-015,completed,45
WO-0088,CMP-017,UNIT-042,2026-02-24T11:26:00Z,rotation,backlit_vinyl,VND-006,failed,18
WO-0089,CMP-009,UNIT-014,2026-03-28T16:58:00Z,initial_posting,backlit_vinyl,VND-008,completed,51
WO-0090,CMP-040,UNIT-045,2026-03-24T07:26:00Z,maintenance,poster_standard,VND-010,failed,50
WO-0091,CMP-031,UNIT-009,2026-02-26T07:02:00Z,replacement,shelter_insert,VND-004,in_progress,42
WO-0092,CMP-031,UNIT-020,2026-02-25T06:01:00Z,takedown,shelter_insert,VND-010,failed,58
WO-0093,CMP-002,UNIT-036,2026-02-27T12:49:00Z,replacement,poster_standard,VND-003,completed,42
WO-0094,CMP-036,UNIT-009,2026-03-24T07:57:00Z,maintenance,digital_upload,VND-006,completed,42
WO-0095,CMP-004,UNIT-016,2026-02-25T15:00:00Z,takedown,transit_wrap,VND-012,scheduled,65
WO-0096,CMP-035,UNIT-037,2026-02-24T09:52:00Z,initial_posting,standard_vinyl,VND-001,completed,26
WO-0097,CMP-019,UNIT-003,2026-03-26T15:41:00Z,takedown,digital_upload,VND-003,in_progress,45
WO-0098,CMP-008,UNIT-043,2026-02-24T10:34:00Z,takedown,transit_wrap,VND-012,scheduled,37
WO-0099,CMP-015,UNIT-029,2026-03-26T14:18:00Z,digital_update,backlit_vinyl,VND-009,failed,35
WO-0100,CMP-035,UNIT-033,2026-02-24T11:57:00Z,replacement,poster_standard,VND-010,completed,20
WO-0101,CMP-014,UNIT-059,2026-02-25T10:47:00Z,maintenance,backlit_vinyl,VND-002,completed,65
WO-0102,CMP-010,UNIT-003,2026-03-25T16:48:00Z,replacement,standard_vinyl,VND-001,completed,17
WO-0103,CMP-018,UNIT-018,2026-03-28T10:52:00Z,initial_posting,standard_vinyl,VND-005,failed,39
WO-0104,CMP-032,UNIT-002,2026-03-27T13:02:00Z,takedown,backlit_vinyl,VND-007,completed,42
WO-0105,CMP-035,UNIT-004,2026-02-26T14:48:00Z,rotation,standard_vinyl,VND-015,in_progress,36
WO-0106,CMP-017,UNIT-052,2026-02-28T06:21:00Z,digital_update,shelter_insert,VND-007,failed,65
WO-0107,CMP-004,UNIT-052,2026-03-24T16:18:00Z,maintenance,transit_wrap,VND-007,in_progress,51
WO-0108,CMP-034,UNIT-017,2026-03-25T13:47:00Z,takedown,backlit_vinyl,VND-015,completed,58
WO-0109,CMP-018,UNIT-006,2026-03-25T11:36:00Z,replacement,standard_vinyl,VND-010,completed,32
WO-0110,CMP-017,UNIT-051,2026-02-28T07:19:00Z,maintenance,poster_standard,VND-006,scheduled,26
WO-0111,CMP-029,UNIT-030,2026-03-24T06:29:00Z,initial_posting,digital_upload,VND-008,in_progress,50
WO-0112,CMP-014,UNIT-027,2026-02-24T10:57:00Z,maintenance,shelter_insert,VND-006,cancelled,43
WO-0113,CMP-012,UNIT-017,2026-03-26T13:08:00Z,takedown,poster_standard,VND-003,completed,54
WO-0114,CMP-004,UNIT-015,2026-02-24T08:43:00Z,maintenance,transit_wrap,VND-010,completed,50
WO-0115,CMP-015,UNIT-004,2026-03-26T06:43:00Z,rotation,shelter_insert,VND-012,completed,30
WO-0116,CMP-023,UNIT-007,2026-03-24T07:32:00Z,initial_posting,backlit_vinyl,VND-004,completed,38
WO-0117,CMP-027,UNIT-005,2026-03-27T08:01:00Z,rotation,shelter_insert,VND-013,completed,41
WO-0118,CMP-024,UNIT-031,2026-02-26T08:23:00Z,initial_posting,digital_upload,VND-015,completed,52
WO-0119,CMP-002,UNIT-007,2026-02-28T11:32:00Z,digital_update,poster_standard,VND-009,scheduled,60
WO-0120,CMP-023,UNIT-014,2026-02-27T16:46:00Z,takedown,transit_wrap,VND-013,cancelled,20
