order_id,campaign_id,ae_id,date,order_type,units_booked,doc_time_min,proof_cycles,status,production_vendor_id
ORD-0026,CMP-001,AE-002,2026-01-07,make_good,8,37,4,completed,VND-008
ORD-0027,CMP-004,AE-004,2026-03-15,new_contract,1,21,1,pending_approval,VND-014
ORD-0028,CMP-004,AE-004,2026-02-14,add_on,4,71,1,completed,VND-001
ORD-0029,CMP-030,AE-007,2026-02-26,extension,7,82,2,completed,VND-004
ORD-0030,CMP-039,AE-001,2026-03-24,new_contract,12,95,1,completed,VND-008
ORD-0031,CMP-010,AE-009,2026-03-02,new_contract,3,28,5,completed,VND-014
ORD-0032,CMP-024,AE-004,2026-03-04,renewal,10,25,5,completed,VND-011
ORD-0033,CMP-038,AE-010,2026-02-17,extension,4,90,2,completed,VND-003
ORD-0034,CMP-020,AE-011,2026-02-15,new_contract,1,78,5,cancelled,VND-002
ORD-0035,CMP-014,AE-002,2026-03-07,extension,3,64,1,pending_approval,VND-006
ORD-0036,CMP-005,AE-005,2026-03-15,extension,10,21,5,completed,VND-011
ORD-0037,CMP-001,AE-002,2026-01-09,new_contract,12,39,3,completed,VND-004
ORD-0038,CMP-032,AE-012,2026-03-07,extension,9,82,3,pending_approval,VND-014
ORD-0039,CMP-001,AE-001,2026-02-21,extension,1,55,3,in_progress,VND-011
ORD-0040,CMP-005,AE-005,2026-02-24,make_good,12,74,5,completed,VND-002
ORD-0041,CMP-011,AE-012,2026-01-18,extension,10,38,4,completed,VND-005
ORD-0042,CMP-005,AE-006,2026-01-12,renewal,11,33,3,in_progress,VND-015
ORD-0043,CMP-023,AE-007,2026-01-08,renewal,7,23,2,in_progress,VND-006
ORD-0044,CMP-023,AE-007,2026-01-09,new_contract,7,24,4,completed,VND-014
ORD-0045,CMP-017,AE-008,2026-01-10,renewal,1,44,4,completed,VND-014
ORD-0046,CMP-002,AE-002,2026-03-12,make_good,7,62,1,completed,VND-005
ORD-0047,CMP-024,AE-003,2026-01-02,make_good,7,64,3,completed,VND-009
ORD-0048,CMP-002,AE-002,2026-01-19,extension,1,75,1,completed,VND-013
ORD-0049,CMP-010,AE-009,2026-02-12,new_contract,11,62,5,completed,VND-014
ORD-0050,CMP-014,AE-002,2026-03-10,extension,11,72,3,completed,VND-005
ORD-0051,CMP-010,AE-009,2026-02-07,add_on,11,42,5,completed,VND-007
ORD-0052,CMP-009,AE-009,2026-02-10,renewal,7,61,4,completed,VND-011
ORD-0053,CMP-018,AE-004,2026-03-16,renewal,11,30,3,completed,VND-011
ORD-0054,CMP-019,AE-010,2026-01-03,extension,4,75,2,completed,VND-004
ORD-0055,CMP-007,AE-008,2026-02-15,make_good,4,69,4,completed,VND-003
ORD-0056,CMP-011,AE-011,2026-01-25,add_on,4,42,5,completed,VND-009
ORD-0057,CMP-004,AE-004,2026-01-15,add_on,11,60,4,in_progress,VND-012
ORD-0058,CMP-025,AE-009,2026-03-27,add_on,3,80,4,completed,VND-004
ORD-0059,CMP-020,AE-011,2026-03-25,add_on,11,50,3,completed,VND-012
ORD-0060,CMP-005,AE-005,2026-02-09,extension,9,30,2,completed,VND-007
ORD-0061,CMP-011,AE-012,2026-01-23,new_contract,7,72,3,completed,VND-007
ORD-0062,CMP-001,AE-001,2026-02-27,add_on,10,57,5,completed,VND-001
ORD-0063,CMP-027,AE-006,2026-02-25,add_on,9,48,4,completed,VND-007
ORD-0064,CMP-007,AE-008,2026-02-13,add_on,12,41,4,pending_approval,VND-010
ORD-0065,CMP-009,AE-009,2026-03-13,make_good,11,23,1,in_progress,VND-003
ORD-0066,CMP-008,AE-008,2026-02-02,add_on,6,47,4,completed,VND-013
ORD-0067,CMP-030,AE-007,2026-02-25,extension,2,80,1,in_progress,VND-001
ORD-0068,CMP-006,AE-006,2026-01-21,new_contract,1,51,2,pending_approval,VND-010
ORD-0069,CMP-013,AE-003,2026-02-05,new_contract,10,47,4,in_progress,VND-013
ORD-0070,CMP-006,AE-006,2026-03-20,new_contract,3,59,1,completed,VND-015
ORD-0071,CMP-006,AE-005,2026-03-13,renewal,2,51,1,in_progress,VND-005
ORD-0072,CMP-011,AE-011,2026-03-26,new_contract,6,74,3,completed,VND-011
ORD-0073,CMP-005,AE-006,2026-02-28,add_on,2,75,3,in_progress,VND-014
ORD-0074,CMP-008,AE-008,2026-01-14,make_good,11,54,5,pending_approval,VND-009
ORD-0075,CMP-030,AE-008,2026-03-14,make_good,5,61,2,pending_approval,VND-002
ORD-0076,CMP-006,AE-005,2026-02-08,make_good,10,68,3,completed,VND-014
ORD-0077,CMP-006,AE-006,2026-01-16,extension,5,63,3,pending_approval,VND-012
ORD-0078,CMP-005,AE-005,2026-01-17,new_contract,4,72,4,completed,VND-004
ORD-0079,CMP-032,AE-012,2026-03-21,add_on,8,22,1,completed,VND-007
ORD-0080,CMP-011,AE-012,2026-03-10,make_good,6,80,5,completed,VND-007
ORD-0081,CMP-040,AE-012,2026-02-11,add_on,5,59,3,completed,VND-012
ORD-0082,CMP-024,AE-004,2026-03-04,make_good,12,43,2,completed,VND-008
ORD-0083,CMP-006,AE-005,2026-01-04,extension,4,66,2,completed,VND-012
ORD-0084,CMP-010,AE-009,2026-01-09,new_contract,9,57,2,in_progress,VND-013
ORD-0085,CMP-007,AE-008,2026-01-28,make_good,5,80,4,completed,VND-003
ORD-0086,CMP-013,AE-001,2026-02-28,new_contract,2,106,4,completed,VND-011
ORD-0087,CMP-011,AE-011,2026-01-05,make_good,5,30,2,completed,VND-013
ORD-0088,CMP-023,AE-007,2026-03-25,add_on,8,76,3,pending_approval,VND-007
ORD-0089,CMP-005,AE-005,2026-03-20,new_contract,4,47,3,in_progress,VND-003
ORD-0090,CMP-004,AE-004,2026-01-18,renewal,1,72,4,in_progress,VND-008
ORD-0091,CMP-005,AE-005,2026-02-08,extension,12,78,1,in_progress,VND-015
ORD-0092,CMP-005,AE-005,2026-01-14,make_good,4,39,3,pending_approval,VND-002
ORD-0093,CMP-001,AE-001,2026-02-26,make_good,12,127,3,completed,VND-008
ORD-0094,CMP-032,AE-012,2026-02-23,extension,9,83,4,completed,VND-001
ORD-0095,CMP-030,AE-007,2026-02-20,new_contract,2,49,5,completed,VND-001
ORD-0096,CMP-020,AE-011,2026-01-19,renewal,8,76,3,completed,VND-010
ORD-0097,CMP-033,AE-007,2026-02-03,extension,7,62,3,in_progress,VND-014
ORD-0098,CMP-024,AE-003,2026-03-14,add_on,5,71,5,completed,VND-002
ORD-0099,CMP-027,AE-006,2026-01-11,add_on,9,20,5,completed,VND-001
ORD-0100,CMP-018,AE-004,2026-03-12,add_on,11,76,1,completed,VND-009
ORD-0101,CMP-024,AE-003,2026-03-15,add_on,2,23,5,in_progress,VND-012
ORD-0102,CMP-024,AE-003,2026-01-18,make_good,7,31,2,cancelled,VND-015
ORD-0103,CMP-002,AE-002,2026-03-04,renewal,8,57,5,in_progress,VND-007
ORD-0104,CMP-030,AE-008,2026-02-08,make_good,3,69,2,pending_approval,VND-009
ORD-0105,CMP-011,AE-012,2026-01-28,extension,7,63,5,completed,VND-001
ORD-0106,CMP-006,AE-005,2026-03-27,make_good,11,82,2,completed,VND-008
ORD-0107,CMP-027,AE-006,2026-03-18,add_on,8,61,2,cancelled,VND-004
ORD-0108,CMP-031,AE-010,2026-02-08,new_contract,6,110,4,completed,VND-011
ORD-0109,CMP-012,AE-011,2026-01-16,renewal,9,62,1,pending_approval,VND-008
ORD-0110,CMP-014,AE-002,2026-01-15,renewal,7,39,1,completed,VND-005
ORD-0111,CMP-035,AE-006,2026-01-21,extension,11,68,3,in_progress,VND-015
ORD-0112,CMP-007,AE-008,2026-01-20,renewal,11,56,2,in_progress,VND-007
ORD-0113,CMP-014,AE-002,2026-01-23,add_on,3,58,1,completed,VND-013
ORD-0114,CMP-013,AE-001,2026-02-12,add_on,3,86,5,completed,VND-011
ORD-0115,CMP-013,AE-003,2026-01-06,make_good,7,50,4,pending_approval,VND-003
ORD-0116,CMP-024,AE-004,2026-02-21,add_on,5,21,4,pending_approval,VND-011
ORD-0117,CMP-010,AE-009,2026-02-03,extension,10,58,4,in_progress,VND-008
ORD-0118,CMP-005,AE-005,2026-02-13,new_contract,4,68,5,completed,VND-005
ORD-0119,CMP-032,AE-012,2026-03-01,add_on,5,21,5,pending_approval,VND-013
ORD-0120,CMP-011,AE-012,2026-03-20,add_on,5,49,5,pending_approval,VND-004
ORD-0121,CMP-012,AE-011,2026-02-20,renewal,11,32,1,completed,VND-008
ORD-0122,CMP-039,AE-001,2026-03-12,renewal,2,92,3,in_progress,VND-003
ORD-0123,CMP-004,AE-004,2026-03-26,extension,9,84,3,pending_approval,VND-005
ORD-0124,CMP-017,AE-008,2026-02-24,new_contract,8,29,2,in_progress,VND-004
ORD-0125,CMP-037,AE-011,2026-03-28,extension,2,70,1,completed,VND-002
ORD-0126,CMP-017,AE-008,2026-03-22,extension,10,68,3,completed,VND-004
ORD-0127,CMP-007,AE-008,2026-03-20,extension,10,48,1,in_progress,VND-008
ORD-0128,CMP-032,AE-012,2026-02-21,new_contract,3,25,1,completed,VND-008
ORD-0129,CMP-001,AE-002,2026-03-08,renewal,7,78,3,in_progress,VND-012
ORD-0130,CMP-040,AE-012,2026-03-14,renewal,7,32,4,in_progress,VND-005
ORD-0131,CMP-039,AE-001,2026-01-12,add_on,8,85,3,completed,VND-011
ORD-0132,CMP-027,AE-006,2026-02-02,extension,4,35,4,completed,VND-004
ORD-0133,CMP-011,AE-011,2026-02-02,renewal,3,46,1,pending_approval,VND-009
ORD-0134,CMP-018,AE-004,2026-01-07,extension,3,20,3,pending_approval,VND-003
ORD-0135,CMP-024,AE-003,2026-01-26,new_contract,11,23,2,completed,VND-013
ORD-0136,CMP-018,AE-004,2026-01-11,renewal,5,26,2,in_progress,VND-009
ORD-0137,CMP-014,AE-002,2026-02-03,add_on,6,85,5,completed,VND-009
ORD-0138,CMP-018,AE-004,2026-03-02,make_good,5,78,1,completed,VND-008
ORD-0139,CMP-033,AE-007,2026-01-22,add_on,12,76,1,pending_approval,VND-006
ORD-0140,CMP-010,AE-010,2026-01-03,extension,10,120,3,completed,VND-010
ORD-0141,CMP-019,AE-009,2026-03-15,make_good,7,32,1,pending_approval,VND-011
ORD-0142,CMP-010,AE-009,2026-02-14,renewal,7,63,4,completed,VND-012
ORD-0143,CMP-002,AE-002,2026-02-14,extension,6,39,4,completed,VND-014
ORD-0144,CMP-001,AE-002,2026-01-14,extension,3,27,5,cancelled,VND-009
ORD-0145,CMP-005,AE-006,2026-02-14,add_on,12,26,3,in_progress,VND-006
ORD-0146,CMP-014,AE-002,2026-01-17,renewal,11,81,2,pending_approval,VND-006
ORD-0147,CMP-019,AE-009,2026-02-04,make_good,4,74,5,cancelled,VND-014
ORD-0148,CMP-038,AE-010,2026-03-22,make_good,1,84,1,completed,VND-012
ORD-0149,CMP-006,AE-005,2026-01-12,renewal,3,71,1,completed,VND-011
ORD-0150,CMP-001,AE-001,2026-03-24,renewal,7,108,4,completed,VND-006
ORD-0151,CMP-006,AE-005,2026-03-25,make_good,2,26,2,completed,VND-010
ORD-0152,CMP-039,AE-001,2026-02-03,add_on,11,109,4,in_progress,VND-007
ORD-0153,CMP-005,AE-005,2026-03-25,new_contract,6,75,1,completed,VND-011
ORD-0154,CMP-031,AE-010,2026-03-17,extension,1,78,4,cancelled,VND-001
ORD-0155,CMP-001,AE-001,2026-01-10,renewal,5,92,3,completed,VND-008
ORD-0156,CMP-032,AE-012,2026-01-06,add_on,9,49,5,completed,VND-011
ORD-0157,CMP-005,AE-006,2026-03-13,new_contract,7,22,4,pending_approval,VND-014
ORD-0158,CMP-035,AE-006,2026-02-19,add_on,5,34,4,completed,VND-006
ORD-0159,CMP-028,AE-003,2026-03-27,extension,2,75,1,completed,VND-010
ORD-0160,CMP-008,AE-007,2026-02-13,extension,4,62,2,completed,VND-011
ORD-0161,CMP-014,AE-002,2026-01-17,extension,6,38,2,completed,VND-005
ORD-0162,CMP-004,AE-004,2026-01-20,new_contract,3,83,4,in_progress,VND-013
ORD-0163,CMP-031,AE-010,2026-03-22,make_good,6,90,2,completed,VND-008
ORD-0164,CMP-017,AE-008,2026-02-26,make_good,1,65,5,completed,VND-008
ORD-0165,CMP-007,AE-008,2026-02-02,extension,2,31,5,completed,VND-007
ORD-0166,CMP-007,AE-008,2026-03-15,renewal,6,80,5,completed,VND-001
ORD-0167,CMP-007,AE-008,2026-02-26,new_contract,9,42,1,completed,VND-008
ORD-0168,CMP-008,AE-008,2026-02-12,extension,7,72,3,in_progress,VND-001
ORD-0169,CMP-020,AE-011,2026-02-03,new_contract,9,69,3,completed,VND-014
ORD-0170,CMP-012,AE-011,2026-01-11,make_good,11,38,3,completed,VND-011
ORD-0171,CMP-040,AE-012,2026-01-13,make_good,12,30,3,completed,VND-011
ORD-0172,CMP-006,AE-006,2026-03-22,make_good,2,74,5,completed,VND-006
ORD-0173,CMP-005,AE-005,2026-02-07,add_on,4,48,2,completed,VND-005
ORD-0174,CMP-014,AE-002,2026-03-25,make_good,1,63,5,completed,VND-007
ORD-0175,CMP-013,AE-003,2026-03-06,make_good,3,76,1,completed,VND-011
ORD-0176,CMP-011,AE-012,2026-03-15,extension,12,77,2,completed,VND-005
ORD-0177,CMP-008,AE-008,2026-03-12,make_good,8,79,3,in_progress,VND-009
ORD-0178,CMP-025,AE-009,2026-01-06,make_good,3,52,1,in_progress,VND-014
ORD-0179,CMP-005,AE-006,2026-03-23,new_contract,5,30,2,completed,VND-015
ORD-0180,CMP-010,AE-009,2026-02-27,new_contract,4,77,3,pending_approval,VND-007
ORD-0181,CMP-013,AE-001,2026-02-17,renewal,7,65,3,completed,VND-006
ORD-0182,CMP-014,AE-002,2026-02-21,renewal,3,24,3,pending_approval,VND-008
ORD-0183,CMP-011,AE-012,2026-03-25,add_on,8,20,1,completed,VND-004
ORD-0184,CMP-028,AE-003,2026-02-04,renewal,5,35,1,completed,VND-011
ORD-0185,CMP-031,AE-010,2026-01-03,add_on,10,118,1,in_progress,VND-010
ORD-0186,CMP-018,AE-004,2026-02-05,add_on,1,65,2,completed,VND-003
ORD-0187,CMP-011,AE-011,2026-02-17,new_contract,9,84,5,completed,VND-007
ORD-0188,CMP-007,AE-008,2026-02-21,extension,5,22,3,in_progress,VND-006
ORD-0189,CMP-018,AE-004,2026-03-22,new_contract,10,62,2,completed,VND-009
ORD-0190,CMP-006,AE-006,2026-03-27,add_on,12,81,2,pending_approval,VND-002
ORD-0191,CMP-032,AE-012,2026-02-02,renewal,1,45,1,completed,VND-005
ORD-0192,CMP-025,AE-009,2026-03-27,add_on,5,24,2,completed,VND-014
ORD-0193,CMP-039,AE-001,2026-02-11,new_contract,6,110,4,in_progress,VND-015
ORD-0194,CMP-030,AE-007,2026-02-06,add_on,6,54,1,in_progress,VND-002
ORD-0195,CMP-023,AE-007,2026-02-18,extension,2,30,3,in_progress,VND-005
ORD-0196,CMP-030,AE-008,2026-03-06,add_on,6,77,1,in_progress,VND-015
ORD-0197,CMP-035,AE-006,2026-03-09,new_contract,2,71,3,completed,VND-012
ORD-0198,CMP-012,AE-011,2026-01-01,make_good,11,76,1,completed,VND-004
ORD-0199,CMP-020,AE-011,2026-02-12,make_good,1,39,4,pending_approval,VND-006
ORD-0200,CMP-007,AE-008,2026-01-19,make_good,6,70,3,in_progress,VND-004
