alert_id,campaign_id,unit_id,timestamp,alert_type,severity,description,photos_missing,resolution_status
ALT-0017,CMP-007,UNIT-023,2026-02-26T08:18:00Z,expired_posting,Medium,Expired Posting on unit UNIT-023,0,resolved
ALT-0018,CMP-011,UNIT-019,2026-02-26T10:42:00Z,expired_posting,High,Expired Posting on unit UNIT-019,0,resolved
ALT-0019,CMP-033,UNIT-049,2026-02-25T16:57:00Z,missing_photo,Low,Missing Photo on unit UNIT-049,4,open
ALT-0020,CMP-013,UNIT-001,2026-02-27T12:13:00Z,expired_posting,Low,Expired Posting on unit UNIT-001,0,open
ALT-0021,CMP-029,UNIT-034,2026-03-25T11:58:00Z,wrong_creative,Medium,Wrong Creative on unit UNIT-034,0,escalated
ALT-0022,CMP-008,UNIT-029,2026-03-27T11:05:00Z,damaged_unit,Low,Damaged Unit on unit UNIT-029,0,in_progress
ALT-0023,CMP-008,UNIT-023,2026-02-24T18:04:00Z,incorrect_location,High,Incorrect Location on unit UNIT-023,0,resolved
ALT-0024,CMP-030,UNIT-041,2026-02-28T18:44:00Z,incorrect_location,Low,Incorrect Location on unit UNIT-041,0,resolved
ALT-0025,CMP-007,UNIT-060,2026-03-28T10:53:00Z,missing_photo,Low,Missing Photo on unit UNIT-060,5,resolved
ALT-0026,CMP-009,UNIT-038,2026-02-27T17:12:00Z,expired_posting,Medium,Expired Posting on unit UNIT-038,0,open
ALT-0027,CMP-012,UNIT-047,2026-03-27T09:12:00Z,wrong_creative,Low,Wrong Creative on unit UNIT-047,0,in_progress
ALT-0028,CMP-014,UNIT-001,2026-02-27T14:35:00Z,obscured_view,Medium,Obscured View on unit UNIT-001,0,resolved
ALT-0029,CMP-017,UNIT-040,2026-02-27T17:22:00Z,lighting_out,Medium,Lighting Out on unit UNIT-040,0,escalated
ALT-0030,CMP-020,UNIT-054,2026-03-25T17:31:00Z,lighting_out,Low,Lighting Out on unit UNIT-054,0,resolved
ALT-0031,CMP-023,UNIT-035,2026-03-27T08:14:00Z,wrong_creative,Low,Wrong Creative on unit UNIT-035,0,in_progress
ALT-0032,CMP-019,UNIT-027,2026-03-27T10:42:00Z,digital_malfunction,High,Digital Malfunction on unit UNIT-027,0,open
ALT-0033,CMP-021,UNIT-043,2026-03-24T18:25:00Z,damaged_unit,Low,Damaged Unit on unit UNIT-043,0,open
ALT-0034,CMP-032,UNIT-039,2026-02-27T07:18:00Z,expired_posting,Medium,Expired Posting on unit UNIT-039,0,in_progress
ALT-0035,CMP-027,UNIT-004,2026-03-28T11:43:00Z,incorrect_location,Medium,Incorrect Location on unit UNIT-004,0,in_progress
ALT-0036,CMP-028,UNIT-026,2026-02-26T11:31:00Z,obscured_view,High,Obscured View on unit UNIT-026,0,in_progress
ALT-0037,CMP-020,UNIT-029,2026-02-27T16:56:00Z,damaged_unit,Medium,Damaged Unit on unit UNIT-029,0,in_progress
ALT-0038,CMP-008,UNIT-040,2026-03-28T09:38:00Z,missing_photo,Low,Missing Photo on unit UNIT-040,0,in_progress
ALT-0039,CMP-006,UNIT-050,2026-03-26T15:04:00Z,missing_photo,Medium,Missing Photo on unit UNIT-050,2,open
ALT-0040,CMP-011,UNIT-054,2026-03-28T18:14:00Z,expired_posting,Low,Expired Posting on unit UNIT-054,0,escalated
ALT-0041,CMP-022,UNIT-027,2026-02-25T07:02:00Z,missing_photo,Low,Missing Photo on unit UNIT-027,4,resolved
ALT-0042,CMP-026,UNIT-051,2026-02-27T09:18:00Z,expired_posting,Critical,Expired Posting on unit UNIT-051,0,open
ALT-0043,CMP-016,UNIT-003,2026-02-26T13:41:00Z,digital_malfunction,High,Digital Malfunction on unit UNIT-003,0,in_progress
ALT-0044,CMP-018,UNIT-056,2026-02-24T08:32:00Z,digital_malfunction,Critical,Digital Malfunction on unit UNIT-056,0,in_progress
ALT-0045,CMP-035,UNIT-039,2026-02-25T18:37:00Z,digital_malfunction,High,Digital Malfunction on unit UNIT-039,0,open
ALT-0046,CMP-020,UNIT-051,2026-03-26T15:47:00Z,missing_photo,High,Missing Photo on unit UNIT-051,3,resolved
ALT-0047,CMP-017,UNIT-042,2026-03-28T13:18:00Z,digital_malfunction,Critical,Digital Malfunction on unit UNIT-042,0,escalated
ALT-0048,CMP-036,UNIT-018,2026-03-27T18:34:00Z,obscured_view,Medium,Obscured View on unit UNIT-018,0,escalated
ALT-0049,CMP-026,UNIT-024,2026-02-28T14:14:00Z,missing_photo,Medium,Missing Photo on unit UNIT-024,1,open
ALT-0050,CMP-031,UNIT-037,2026-03-24T12:09:00Z,wrong_creative,Critical,Wrong Creative on unit UNIT-037,0,resolved
ALT-0051,CMP-032,UNIT-038,2026-02-25T09:25:00Z,lighting_out,Medium,Lighting Out on unit UNIT-038,0,in_progress
ALT-0052,CMP-015,UNIT-004,2026-03-27T13:19:00Z,incorrect_location,Low,Incorrect Location on unit UNIT-004,0,resolved
ALT-0053,CMP-037,UNIT-039,2026-02-27T11:44:00Z,obscured_view,Low,Obscured View on unit UNIT-039,0,in_progress
ALT-0054,CMP-035,UNIT-032,2026-02-26T12:29:00Z,lighting_out,Medium,Lighting Out on unit UNIT-032,0,in_progress
ALT-0055,CMP-006,UNIT-059,2026-03-24T18:04:00Z,digital_malfunction,High,Digital Malfunction on unit UNIT-059,0,resolved
ALT-0056,CMP-034,UNIT-048,2026-02-24T10:28:00Z,wrong_creative,Critical,Wrong Creative on unit UNIT-048,0,open
ALT-0057,CMP-011,UNIT-041,2026-03-28T09:47:00Z,digital_malfunction,Medium,Digital Malfunction on unit UNIT-041,0,resolved
ALT-0058,CMP-028,UNIT-019,2026-03-26T16:56:00Z,incorrect_location,Medium,Incorrect Location on unit UNIT-019,0,resolved
ALT-0059,CMP-019,UNIT-034,2026-03-25T15:38:00Z,expired_posting,Medium,Expired Posting on unit UNIT-034,0,resolved
ALT-0060,CMP-022,UNIT-060,2026-02-25T15:45:00Z,lighting_out,Critical,Lighting Out on unit UNIT-060,0,open
