interaction_id,ae_id,timestamp,system,module,action,duration_ms,campaign_id
INT-0033,AE-016,2026-02-25T12:57:00Z,Boostr,commissions,export,56491,CMP-009
INT-0034,AE-003,2026-02-27T16:09:00Z,Workforce,photos,search,58897,CMP-020
INT-0035,AE-023,2026-02-25T16:34:00Z,IMS,onboarding,update,29517,CMP-009
INT-0036,AE-010,2026-02-25T12:04:00Z,Salesforce,accounts,reject,154103,CMP-035
INT-0037,AE-004,2026-03-24T13:26:00Z,OMS,inventory,update,42760,CMP-029
INT-0038,AE-009,2026-02-25T07:48:00Z,OMS,scheduling,create,83213,CMP-040
INT-0039,AE-009,2026-02-28T10:43:00Z,Salesforce,reports,search,6418,CMP-023
INT-0040,AE-003,2026-02-26T13:31:00Z,Workforce,crew_schedule,upload,65108,CMP-009
INT-0041,AE-006,2026-02-27T11:26:00Z,OMS,scheduling,view,32170,CMP-013
INT-0042,AE-007,2026-03-28T18:20:00Z,Boostr,contracts,upload,62971,CMP-016
INT-0043,AE-017,2026-03-26T16:47:00Z,Workforce,work_orders,reject,79964,CMP-039
INT-0044,AE-021,2026-03-27T07:56:00Z,Salesforce,leads,create,35207,CMP-034
INT-0045,AE-021,2026-02-28T10:18:00Z,Workforce,work_orders,reject,60613,CMP-026
INT-0046,AE-010,2026-03-27T16:58:00Z,IMS,onboarding,update,22299,CMP-034
INT-0047,AE-005,2026-02-28T09:49:00Z,Workforce,installation,create,79735,CMP-035
INT-0048,AE-005,2026-02-27T09:29:00Z,Workforce,installation,approve,80373,CMP-013
INT-0049,AE-018,2026-02-25T08:07:00Z,Boostr,reporting,approve,97566,CMP-029
INT-0050,AE-012,2026-02-28T13:35:00Z,Boostr,commissions,reject,52886,CMP-003
INT-0051,AE-006,2026-02-25T09:49:00Z,IMS,offboarding,update,9725,CMP-027
INT-0052,AE-010,2026-02-25T09:12:00Z,IMS,onboarding,export,8926,CMP-040
INT-0053,AE-009,2026-02-27T16:56:00Z,Boostr,pipeline,upload,67679,CMP-016
INT-0054,AE-007,2026-03-27T08:38:00Z,Salesforce,activities,upload,81656,CMP-001
INT-0055,AE-008,2026-02-24T09:03:00Z,Salesforce,opportunities,search,88626,CMP-023
INT-0056,AE-002,2026-02-26T07:06:00Z,OMS,orders,export,57651,CMP-012
INT-0057,AE-006,2026-03-27T07:05:00Z,IMS,offboarding,update,42229,CMP-021
INT-0058,AE-012,2026-02-28T11:30:00Z,Workforce,work_orders,reject,20635,CMP-008
INT-0059,AE-009,2026-02-28T18:13:00Z,IMS,offboarding,reject,83223,CMP-004
INT-0060,AE-004,2026-03-27T13:38:00Z,Salesforce,reports,create,44482,CMP-017
INT-0061,AE-020,2026-03-25T15:46:00Z,Salesforce,reports,approve,85818,CMP-032
INT-0062,AE-019,2026-02-26T07:07:00Z,OMS,charting,search,8143,CMP-030
INT-0063,AE-004,2026-02-27T12:22:00Z,OMS,charting,reject,76454,CMP-014
INT-0064,AE-001,2026-03-24T11:32:00Z,OMS,inventory,export,152177,CMP-021
INT-0065,AE-001,2026-02-27T09:12:00Z,Boostr,reporting,approve,94642,CMP-022
INT-0066,AE-019,2026-02-27T17:29:00Z,Workforce,work_orders,update,118406,CMP-035
INT-0067,AE-011,2026-03-28T16:46:00Z,Workforce,installation,view,44353,CMP-036
INT-0068,AE-021,2026-02-26T09:17:00Z,Boostr,contracts,approve,7085,CMP-022
INT-0069,AE-016,2026-02-25T19:48:00Z,Salesforce,accounts,reject,45407,CMP-021
INT-0070,AE-002,2026-02-27T12:28:00Z,IMS,onboarding,create,42666,CMP-014
INT-0071,AE-020,2026-02-26T19:12:00Z,IMS,availability,create,15137,CMP-029
INT-0072,AE-020,2026-03-25T14:46:00Z,Boostr,pipeline,update,71632,CMP-020
INT-0073,AE-011,2026-02-25T14:24:00Z,OMS,orders,update,71464,CMP-008
INT-0074,AE-001,2026-03-26T07:06:00Z,IMS,units,create,144466,CMP-020
INT-0075,AE-001,2026-02-26T10:18:00Z,Salesforce,opportunities,search,80522,CMP-035
INT-0076,AE-011,2026-02-25T11:07:00Z,Workforce,work_orders,export,4999,CMP-040
INT-0077,AE-021,2026-03-28T15:20:00Z,Salesforce,leads,search,38527,CMP-010
INT-0078,AE-010,2026-03-24T16:57:00Z,Salesforce,accounts,update,96798,CMP-035
INT-0079,AE-018,2026-02-27T08:24:00Z,Boostr,contracts,view,12051,CMP-006
INT-0080,AE-017,2026-03-28T11:21:00Z,Workforce,crew_schedule,upload,112143,CMP-013
INT-0081,AE-021,2026-03-24T08:29:00Z,Boostr,pipeline,update,43683,CMP-030
INT-0082,AE-019,2026-03-28T12:25:00Z,OMS,scheduling,update,29032,CMP-022
INT-0083,AE-011,2026-03-24T08:22:00Z,Workforce,installation,view,65737,CMP-030
INT-0084,AE-006,2026-02-28T13:52:00Z,IMS,holds,update,17022,CMP-021
INT-0085,AE-021,2026-03-27T10:39:00Z,Boostr,reporting,upload,34941,CMP-036
INT-0086,AE-006,2026-02-26T18:37:00Z,Workforce,installation,create,59511,CMP-028
INT-0087,AE-022,2026-02-25T18:59:00Z,IMS,offboarding,search,78260,CMP-032
INT-0088,AE-004,2026-02-26T14:11:00Z,Salesforce,reports,upload,43374,CMP-026
INT-0089,AE-003,2026-03-26T17:42:00Z,Salesforce,leads,reject,11058,CMP-006
INT-0090,AE-007,2026-02-25T14:34:00Z,OMS,charting,view,41207,CMP-025
INT-0091,AE-023,2026-03-25T11:36:00Z,Salesforce,activities,search,42917,CMP-028
INT-0092,AE-012,2026-03-28T09:54:00Z,Boostr,commissions,view,41559,CMP-004
INT-0093,AE-012,2026-03-28T08:55:00Z,Salesforce,leads,view,39989,CMP-002
INT-0094,AE-008,2026-03-26T13:24:00Z,Workforce,photos,reject,60041,CMP-035
INT-0095,AE-007,2026-03-25T12:53:00Z,OMS,billing,update,57687,CMP-010
INT-0096,AE-010,2026-02-24T09:46:00Z,OMS,scheduling,view,135585,CMP-028
INT-0097,AE-005,2026-03-27T16:11:00Z,Boostr,contracts,reject,62558,CMP-033
INT-0098,AE-017,2026-02-26T09:27:00Z,Salesforce,activities,reject,84242,CMP-001
INT-0099,AE-022,2026-03-27T07:02:00Z,Workforce,crew_schedule,export,77468,CMP-031
INT-0100,AE-012,2026-02-24T18:46:00Z,Boostr,commissions,upload,71997,CMP-018
INT-0101,AE-018,2026-03-25T17:47:00Z,Salesforce,leads,create,91997,CMP-005
INT-0102,AE-021,2026-02-26T14:29:00Z,Salesforce,opportunities,view,70195,CMP-031
INT-0103,AE-022,2026-03-26T09:02:00Z,IMS,onboarding,approve,81333,CMP-020
INT-0104,AE-022,2026-02-28T16:03:00Z,IMS,units,upload,89025,CMP-019
INT-0105,AE-023,2026-02-24T15:04:00Z,Boostr,reporting,upload,39418,CMP-017
INT-0106,AE-005,2026-02-26T18:07:00Z,Salesforce,opportunities,export,82144,CMP-012
INT-0107,AE-022,2026-03-25T19:44:00Z,OMS,billing,approve,33958,CMP-032
INT-0108,AE-006,2026-02-24T16:59:00Z,Salesforce,leads,approve,23204,CMP-032
INT-0109,AE-017,2026-02-25T16:46:00Z,Workforce,crew_schedule,upload,115340,CMP-023
INT-0110,AE-002,2026-03-25T13:30:00Z,IMS,units,view,42500,CMP-031
INT-0111,AE-021,2026-03-27T09:33:00Z,OMS,billing,reject,59981,CMP-001
INT-0112,AE-010,2026-02-28T08:58:00Z,Workforce,installation,approve,147275,CMP-023
INT-0113,AE-017,2026-03-26T19:06:00Z,Salesforce,opportunities,approve,38468,CMP-038
INT-0114,AE-016,2026-03-28T17:44:00Z,Workforce,crew_schedule,search,28582,CMP-021
INT-0115,AE-021,2026-03-24T08:33:00Z,Boostr,proposals,create,16619,CMP-029
INT-0116,AE-012,2026-02-25T07:39:00Z,OMS,inventory,export,15050,CMP-004
INT-0117,AE-023,2026-02-24T16:08:00Z,OMS,charting,create,52277,CMP-037
INT-0118,AE-006,2026-03-26T17:59:00Z,Boostr,contracts,export,12924,CMP-030
INT-0119,AE-009,2026-02-25T11:49:00Z,Workforce,posting,export,11177,CMP-025
INT-0120,AE-016,2026-02-26T14:04:00Z,IMS,units,export,69450,CMP-013
INT-0121,AE-023,2026-02-24T15:49:00Z,Workforce,crew_schedule,upload,59525,CMP-014
INT-0122,AE-023,2026-02-24T08:04:00Z,Boostr,pipeline,export,77887,CMP-017
INT-0123,AE-018,2026-02-24T17:24:00Z,Boostr,pipeline,update,39922,CMP-010
INT-0124,AE-011,2026-03-28T14:27:00Z,Workforce,photos,view,55941,CMP-005
INT-0125,AE-021,2026-02-27T16:34:00Z,OMS,orders,reject,50044,CMP-022
INT-0126,AE-010,2026-03-26T08:53:00Z,Workforce,work_orders,create,128491,CMP-019
INT-0127,AE-007,2026-02-27T11:44:00Z,OMS,charting,view,54131,CMP-007
INT-0128,AE-012,2026-02-25T07:12:00Z,Workforce,work_orders,upload,6324,CMP-038
INT-0129,AE-008,2026-03-28T14:34:00Z,Workforce,installation,create,61891,CMP-002
INT-0130,AE-002,2026-03-24T08:13:00Z,IMS,units,approve,88701,CMP-034
INT-0131,AE-018,2026-02-24T18:09:00Z,Salesforce,accounts,search,69080,CMP-002
INT-0132,AE-019,2026-02-25T09:40:00Z,Salesforce,leads,search,11548,CMP-020
INT-0133,AE-004,2026-02-28T08:07:00Z,Workforce,photos,update,68161,CMP-039
INT-0134,AE-023,2026-03-27T19:53:00Z,OMS,orders,search,55692,CMP-021
INT-0135,AE-004,2026-02-26T19:02:00Z,Salesforce,reports,update,80736,CMP-012
INT-0136,AE-011,2026-03-25T09:44:00Z,Boostr,proposals,export,51487,CMP-036
INT-0137,AE-006,2026-02-25T19:54:00Z,Workforce,crew_schedule,view,85863,CMP-040
INT-0138,AE-016,2026-02-24T07:11:00Z,OMS,orders,upload,16683,CMP-038
INT-0139,AE-010,2026-02-25T17:17:00Z,Workforce,installation,update,145124,CMP-029
INT-0140,AE-017,2026-02-28T18:31:00Z,OMS,scheduling,view,85222,CMP-006
INT-0141,AE-010,2026-02-28T10:07:00Z,IMS,onboarding,view,146988,CMP-007
INT-0142,AE-023,2026-02-27T11:03:00Z,IMS,offboarding,search,28391,CMP-008
INT-0143,AE-005,2026-02-25T07:41:00Z,Workforce,installation,update,50735,CMP-019
INT-0144,AE-007,2026-03-28T07:06:00Z,Workforce,posting,approve,9875,CMP-035
INT-0145,AE-006,2026-02-28T08:57:00Z,OMS,orders,upload,33841,CMP-029
INT-0146,AE-022,2026-03-25T10:49:00Z,Salesforce,opportunities,reject,17435,CMP-021
INT-0147,AE-008,2026-03-25T10:04:00Z,Boostr,contracts,reject,64733,CMP-038
INT-0148,AE-019,2026-03-25T09:24:00Z,Boostr,pipeline,update,53953,CMP-009
INT-0149,AE-018,2026-03-25T09:02:00Z,OMS,inventory,export,95729,CMP-037
INT-0150,AE-002,2026-03-27T13:10:00Z,IMS,availability,create,48033,CMP-015
INT-0151,AE-010,2026-02-28T08:26:00Z,Salesforce,accounts,update,144778,CMP-032
INT-0152,AE-007,2026-02-26T18:27:00Z,Salesforce,activities,upload,35329,CMP-016
INT-0153,AE-011,2026-02-28T16:57:00Z,Workforce,photos,search,3665,CMP-027
INT-0154,AE-002,2026-03-27T14:51:00Z,Boostr,pipeline,view,15844,CMP-029
INT-0155,AE-019,2026-02-27T09:22:00Z,OMS,orders,view,43769,CMP-016
INT-0156,AE-003,2026-03-25T16:47:00Z,Boostr,pipeline,export,79501,CMP-002
INT-0157,AE-018,2026-03-25T17:29:00Z,Workforce,crew_schedule,reject,97261,CMP-001
INT-0158,AE-003,2026-03-26T19:17:00Z,Workforce,posting,view,83281,CMP-035
INT-0159,AE-022,2026-03-24T07:07:00Z,OMS,orders,approve,53194,CMP-024
INT-0160,AE-018,2026-02-26T17:35:00Z,Salesforce,leads,approve,97389,CMP-005
INT-0161,AE-021,2026-02-25T17:30:00Z,OMS,scheduling,approve,79037,CMP-014
INT-0162,AE-008,2026-03-28T11:03:00Z,IMS,holds,export,11305,CMP-024
INT-0163,AE-012,2026-03-27T14:39:00Z,Workforce,installation,create,51253,CMP-005
INT-0164,AE-007,2026-02-27T11:04:00Z,Workforce,work_orders,create,17334,CMP-011
INT-0165,AE-009,2026-02-25T15:40:00Z,Boostr,contracts,upload,5974,CMP-019
INT-0166,AE-017,2026-03-26T14:47:00Z,Salesforce,accounts,upload,89500,CMP-002
INT-0167,AE-010,2026-03-25T13:37:00Z,OMS,orders,view,97860,CMP-021
INT-0168,AE-019,2026-03-27T16:08:00Z,Salesforce,reports,upload,108461,CMP-020
INT-0169,AE-006,2026-03-26T19:54:00Z,IMS,availability,upload,9202,CMP-010
INT-0170,AE-012,2026-02-28T18:34:00Z,IMS,onboarding,update,40387,CMP-012
INT-0171,AE-006,2026-02-24T12:36:00Z,OMS,scheduling,search,19577,CMP-029
INT-0172,AE-009,2026-02-28T17:20:00Z,IMS,availability,search,48068,CMP-010
INT-0173,AE-012,2026-03-28T08:58:00Z,Workforce,photos,update,6266,CMP-026
INT-0174,AE-019,2026-02-25T18:34:00Z,OMS,billing,approve,71507,CMP-022
INT-0175,AE-010,2026-03-28T12:44:00Z,Workforce,posting,update,37442,CMP-031
INT-0176,AE-002,2026-02-26T13:39:00Z,OMS,charting,create,31883,CMP-029
INT-0177,AE-012,2026-02-28T16:33:00Z,Boostr,reporting,view,32116,CMP-018
INT-0178,AE-007,2026-03-24T10:31:00Z,Boostr,proposals,upload,44649,CMP-039
INT-0179,AE-023,2026-02-27T18:54:00Z,Salesforce,leads,approve,59051,CMP-024
INT-0180,AE-016,2026-03-26T11:28:00Z,IMS,units,export,119596,CMP-036
INT-0181,AE-003,2026-03-27T09:51:00Z,OMS,billing,reject,58552,CMP-027
INT-0182,AE-005,2026-02-25T11:30:00Z,Salesforce,reports,create,71852,CMP-022
INT-0183,AE-003,2026-03-24T17:58:00Z,Salesforce,activities,create,38825,CMP-027
INT-0184,AE-006,2026-02-25T13:18:00Z,Salesforce,activities,update,75596,CMP-032
INT-0185,AE-002,2026-03-27T10:01:00Z,IMS,offboarding,export,3320,CMP-010
INT-0186,AE-009,2026-03-26T09:31:00Z,IMS,onboarding,create,87513,CMP-016
INT-0187,AE-001,2026-03-24T16:30:00Z,Boostr,reporting,upload,156261,CMP-028
INT-0188,AE-009,2026-02-28T11:10:00Z,Workforce,work_orders,approve,79238,CMP-004
INT-0189,AE-005,2026-02-26T07:17:00Z,IMS,onboarding,update,50338,CMP-027
INT-0190,AE-012,2026-02-28T15:12:00Z,Boostr,reporting,export,85317,CMP-012
INT-0191,AE-004,2026-03-26T11:43:00Z,Salesforce,accounts,approve,50516,CMP-007
INT-0192,AE-021,2026-02-24T15:18:00Z,Salesforce,opportunities,update,51891,CMP-032
INT-0193,AE-017,2026-02-25T15:14:00Z,IMS,availability,create,113996,CMP-013
INT-0194,AE-021,2026-03-27T08:07:00Z,Salesforce,reports,create,20200,CMP-002
INT-0195,AE-019,2026-03-25T16:33:00Z,IMS,holds,approve,105085,CMP-022
INT-0196,AE-006,2026-02-25T18:09:00Z,IMS,units,create,32697,CMP-020
INT-0197,AE-005,2026-02-27T08:01:00Z,OMS,scheduling,create,66472,CMP-028
INT-0198,AE-002,2026-02-28T14:07:00Z,OMS,orders,view,36162,CMP-003
INT-0199,AE-003,2026-02-24T16:57:00Z,IMS,units,create,29217,CMP-012
INT-0200,AE-012,2026-03-26T12:10:00Z,Boostr,proposals,update,68619,CMP-040
INT-0201,AE-008,2026-02-24T15:13:00Z,Salesforce,reports,create,28106,CMP-019
INT-0202,AE-006,2026-03-25T12:44:00Z,Salesforce,leads,create,80251,CMP-012
INT-0203,AE-018,2026-03-27T10:32:00Z,Boostr,contracts,approve,34825,CMP-027
INT-0204,AE-004,2026-02-24T14:48:00Z,IMS,units,upload,50349,CMP-019
INT-0205,AE-021,2026-02-27T13:18:00Z,Boostr,proposals,approve,62892,CMP-039
INT-0206,AE-010,2026-03-26T10:54:00Z,Workforce,crew_schedule,reject,26247,CMP-031
INT-0207,AE-012,2026-03-24T14:33:00Z,OMS,orders,upload,89317,CMP-006
INT-0208,AE-004,2026-02-28T18:59:00Z,OMS,billing,reject,25114,CMP-005
INT-0209,AE-012,2026-03-28T08:14:00Z,OMS,inventory,search,58666,CMP-032
INT-0210,AE-009,2026-03-27T14:42:00Z,Salesforce,reports,export,82058,CMP-026
INT-0211,AE-019,2026-02-27T08:16:00Z,Salesforce,opportunities,update,69138,CMP-032
INT-0212,AE-008,2026-02-24T14:43:00Z,OMS,orders,create,6506,CMP-012
INT-0213,AE-016,2026-02-26T19:04:00Z,Salesforce,opportunities,update,91649,CMP-034
INT-0214,AE-019,2026-03-27T15:16:00Z,Workforce,crew_schedule,export,76098,CMP-022
INT-0215,AE-021,2026-02-27T13:28:00Z,Salesforce,leads,view,44229,CMP-025
INT-0216,AE-018,2026-03-25T18:10:00Z,Workforce,work_orders,view,69419,CMP-028
INT-0217,AE-005,2026-03-24T17:35:00Z,IMS,onboarding,upload,73699,CMP-037
INT-0218,AE-019,2026-02-28T13:16:00Z,Workforce,photos,update,69840,CMP-038
INT-0219,AE-016,2026-02-26T07:37:00Z,Salesforce,opportunities,export,10913,CMP-009
INT-0220,AE-012,2026-03-26T08:27:00Z,IMS,offboarding,view,48238,CMP-023
INT-0221,AE-017,2026-02-25T17:19:00Z,IMS,units,search,82664,CMP-006
INT-0222,AE-003,2026-02-25T15:20:00Z,IMS,units,approve,7899,CMP-030
INT-0223,AE-017,2026-02-26T18:30:00Z,Salesforce,reports,reject,82068,CMP-002
INT-0224,AE-011,2026-02-26T19:31:00Z,Workforce,photos,reject,16114,CMP-014
INT-0225,AE-011,2026-03-25T12:27:00Z,Workforce,photos,approve,29444,CMP-032
INT-0226,AE-003,2026-02-26T11:36:00Z,Salesforce,accounts,export,55694,CMP-015
INT-0227,AE-023,2026-03-28T11:04:00Z,Boostr,commissions,create,77242,CMP-034
INT-0228,AE-019,2026-03-24T15:51:00Z,Workforce,crew_schedule,approve,44309,CMP-028
INT-0229,AE-021,2026-03-27T16:32:00Z,IMS,availability,reject,62405,CMP-036
INT-0230,AE-006,2026-03-28T10:42:00Z,Boostr,commissions,update,64249,CMP-018
INT-0231,AE-021,2026-02-28T12:29:00Z,Salesforce,activities,view,22365,CMP-016
INT-0232,AE-005,2026-02-26T17:13:00Z,IMS,onboarding,reject,57059,CMP-018
INT-0233,AE-010,2026-02-27T08:09:00Z,OMS,inventory,search,58309,CMP-002
INT-0234,AE-008,2026-03-28T13:41:00Z,IMS,onboarding,upload,7850,CMP-013
INT-0235,AE-006,2026-03-26T17:35:00Z,IMS,availability,view,26066,CMP-003
INT-0236,AE-019,2026-03-26T08:57:00Z,Boostr,proposals,create,58347,CMP-024
INT-0237,AE-003,2026-02-24T15:42:00Z,Workforce,crew_schedule,search,79076,CMP-034
INT-0238,AE-009,2026-02-28T19:51:00Z,Workforce,work_orders,search,44079,CMP-022
INT-0239,AE-022,2026-02-25T08:11:00Z,Workforce,crew_schedule,reject,31063,CMP-018
INT-0240,AE-018,2026-03-27T18:07:00Z,Workforce,posting,view,46482,CMP-035
INT-0241,AE-017,2026-03-25T14:45:00Z,Workforce,crew_schedule,export,53200,CMP-020
INT-0242,AE-001,2026-03-25T15:24:00Z,Salesforce,leads,view,89072,CMP-024
INT-0243,AE-004,2026-02-27T13:59:00Z,Salesforce,accounts,upload,36493,CMP-020
INT-0244,AE-003,2026-03-25T17:20:00Z,OMS,inventory,search,87466,CMP-027
INT-0245,AE-002,2026-03-27T12:45:00Z,IMS,units,upload,58360,CMP-007
INT-0246,AE-006,2026-03-26T16:46:00Z,IMS,offboarding,create,74791,CMP-021
INT-0247,AE-018,2026-02-27T07:25:00Z,Boostr,proposals,update,31224,CMP-020
INT-0248,AE-011,2026-02-25T15:45:00Z,Salesforce,leads,create,88089,CMP-009
INT-0249,AE-023,2026-02-27T11:11:00Z,Workforce,posting,upload,80728,CMP-021
INT-0250,AE-010,2026-02-26T13:56:00Z,OMS,orders,reject,106912,CMP-037
INT-0251,AE-008,2026-03-24T10:16:00Z,Boostr,proposals,search,25119,CMP-004
INT-0252,AE-016,2026-02-25T12:10:00Z,Salesforce,activities,export,79349,CMP-008
INT-0253,AE-001,2026-02-27T10:45:00Z,Salesforce,activities,upload,61253,CMP-013
INT-0254,AE-009,2026-03-25T10:38:00Z,IMS,onboarding,reject,31254,CMP-019
INT-0255,AE-007,2026-02-25T11:16:00Z,Workforce,crew_schedule,reject,33865,CMP-040
INT-0256,AE-018,2026-02-24T14:08:00Z,OMS,inventory,upload,119221,CMP-021
INT-0257,AE-016,2026-03-28T08:06:00Z,OMS,billing,reject,78007,CMP-004
INT-0258,AE-002,2026-02-26T07:16:00Z,IMS,availability,upload,69131,CMP-040
INT-0259,AE-016,2026-02-25T16:11:00Z,IMS,onboarding,approve,39116,CMP-011
INT-0260,AE-020,2026-02-25T12:45:00Z,Workforce,posting,upload,72523,CMP-028
INT-0261,AE-005,2026-02-24T14:55:00Z,IMS,units,approve,39831,CMP-024
INT-0262,AE-017,2026-03-28T13:57:00Z,IMS,holds,export,26624,CMP-021
INT-0263,AE-019,2026-02-24T09:03:00Z,OMS,charting,upload,35128,CMP-012
INT-0264,AE-002,2026-03-27T08:57:00Z,Workforce,posting,update,67868,CMP-003
INT-0265,AE-018,2026-03-27T08:54:00Z,IMS,offboarding,upload,99340,CMP-010
INT-0266,AE-004,2026-02-26T09:47:00Z,IMS,units,search,69681,CMP-018
INT-0267,AE-022,2026-02-28T13:58:00Z,Salesforce,accounts,view,13070,CMP-016
INT-0268,AE-019,2026-02-26T13:23:00Z,Boostr,reporting,view,82376,CMP-007
INT-0269,AE-011,2026-03-27T14:40:00Z,OMS,orders,create,38300,CMP-039
INT-0270,AE-001,2026-02-26T10:55:00Z,IMS,units,upload,20761,CMP-019
INT-0271,AE-011,2026-03-24T11:11:00Z,Boostr,proposals,reject,34467,CMP-026
INT-0272,AE-003,2026-03-27T11:41:00Z,Boostr,contracts,update,88729,CMP-010
INT-0273,AE-004,2026-02-26T12:42:00Z,IMS,onboarding,reject,15597,CMP-024
INT-0274,AE-020,2026-03-27T11:36:00Z,OMS,billing,upload,81687,CMP-028
INT-0275,AE-003,2026-03-27T08:02:00Z,Workforce,posting,update,70284,CMP-022
INT-0276,AE-018,2026-02-28T11:29:00Z,OMS,scheduling,upload,62325,CMP-006
INT-0277,AE-019,2026-02-26T15:27:00Z,IMS,availability,update,43729,CMP-037
INT-0278,AE-002,2026-02-28T15:27:00Z,Salesforce,leads,view,57135,CMP-007
INT-0279,AE-018,2026-02-26T19:32:00Z,Salesforce,opportunities,approve,7132,CMP-008
INT-0280,AE-018,2026-02-24T13:56:00Z,OMS,scheduling,reject,97324,CMP-020
INT-0281,AE-011,2026-03-28T12:58:00Z,Salesforce,activities,upload,27535,CMP-014
INT-0282,AE-006,2026-03-24T15:01:00Z,Boostr,commissions,export,3766,CMP-026
INT-0283,AE-004,2026-03-27T17:47:00Z,Boostr,contracts,upload,81890,CMP-032
INT-0284,AE-010,2026-03-27T08:08:00Z,Salesforce,reports,approve,43419,CMP-001
INT-0285,AE-007,2026-02-24T14:41:00Z,Boostr,proposals,search,22025,CMP-016
INT-0286,AE-017,2026-03-26T09:30:00Z,Salesforce,accounts,create,60296,CMP-002
INT-0287,AE-004,2026-03-27T07:55:00Z,OMS,scheduling,upload,61918,CMP-038
INT-0288,AE-008,2026-03-24T07:06:00Z,OMS,inventory,reject,85629,CMP-028
INT-0289,AE-017,2026-03-24T13:31:00Z,Workforce,photos,export,72286,CMP-038
INT-0290,AE-023,2026-02-28T13:36:00Z,Workforce,crew_schedule,view,44399,CMP-036
INT-0291,AE-003,2026-03-24T16:41:00Z,IMS,onboarding,upload,48451,CMP-029
INT-0292,AE-017,2026-03-25T12:28:00Z,Boostr,contracts,export,35422,CMP-033
INT-0293,AE-008,2026-03-25T18:45:00Z,Salesforce,opportunities,upload,54166,CMP-027
INT-0294,AE-012,2026-02-26T17:30:00Z,Workforce,crew_schedule,search,19920,CMP-012
INT-0295,AE-007,2026-03-24T14:19:00Z,OMS,charting,upload,33765,CMP-014
INT-0296,AE-021,2026-03-26T17:10:00Z,Boostr,proposals,approve,25900,CMP-033
INT-0297,AE-002,2026-02-24T08:35:00Z,Boostr,reporting,reject,32372,CMP-032
INT-0298,AE-009,2026-03-28T09:54:00Z,IMS,holds,view,70552,CMP-039
INT-0299,AE-004,2026-02-24T19:39:00Z,Boostr,pipeline,upload,82908,CMP-007
INT-0300,AE-021,2026-02-25T10:58:00Z,Boostr,commissions,create,50400,CMP-011
INT-0301,AE-010,2026-02-24T17:23:00Z,Workforce,photos,upload,95715,CMP-009
INT-0302,AE-004,2026-02-24T19:30:00Z,OMS,billing,reject,47737,CMP-019
