perf_id,matter_id,attorney_id,month,hours_billed,revenue,collections,realization_pct,wip_aging_days
MP-037,MAT-010,ATT-011,2025-12,81.2,28420.0,22196.02,78.1,116
MP-038,MAT-010,ATT-002,2026-01,109.8,71370.0,55954.08,78.4,37
MP-039,MAT-010,ATT-011,2026-02,109.3,103835.0,79952.95,77.0,114
MP-040,MAT-010,ATT-005,2026-03,72.5,54375.0,39204.37,72.1,16
MP-041,MAT-011,ATT-009,2025-12,21.8,14170.0,8969.61,63.3,123
MP-042,MAT-011,ATT-011,2026-01,89.2,84740.0,65334.54,77.1,70
MP-043,MAT-011,ATT-010,2026-02,19.0,14250.0,10046.25,70.5,123
MP-044,MAT-011,ATT-003,2026-03,96.5,91675.0,74256.75,81.0,26
MP-045,MAT-012,ATT-007,2025-12,106.4,58520.0,46113.76,78.8,121
MP-046,MAT-012,ATT-013,2026-01,83.7,62775.0,58129.65,92.6,92
MP-047,MAT-012,ATT-015,2026-02,105.8,47610.0,36135.99,75.9,25
MP-048,MAT-012,ATT-012,2026-03,118.0,64900.0,61265.6,94.4,32
MP-049,MAT-013,ATT-007,2025-12,68.8,24080.0,19528.88,81.1,8
MP-050,MAT-013,ATT-003,2026-01,82.1,53365.0,47708.31,89.4,129
MP-051,MAT-013,ATT-005,2026-02,78.0,58500.0,46858.5,80.1,106
MP-052,MAT-013,ATT-013,2026-03,43.3,19485.0,14379.93,73.8,53
MP-053,MAT-014,ATT-002,2025-12,99.8,84830.0,82454.76,97.2,11
MP-054,MAT-014,ATT-004,2026-01,62.9,28305.0,24965.01,88.2,116
MP-055,MAT-014,ATT-014,2026-02,78.9,74955.0,63786.71,85.1,27
MP-056,MAT-014,ATT-005,2026-03,94.7,42615.0,35498.29,83.3,10
MP-057,MAT-015,ATT-002,2025-12,28.3,12735.0,11550.65,90.7,118
MP-058,MAT-015,ATT-008,2026-01,61.9,58805.0,48572.93,82.6,67
MP-059,MAT-015,ATT-004,2026-02,42.4,40280.0,37581.24,93.3,18
MP-060,MAT-015,ATT-006,2026-03,10.9,9265.0,8681.31,93.7,115
MP-061,MAT-016,ATT-007,2025-12,103.3,87805.0,75687.91,86.2,146
MP-062,MAT-016,ATT-005,2026-01,14.1,9165.0,7661.94,83.6,129
MP-063,MAT-016,ATT-004,2026-02,88.6,66450.0,46847.25,70.5,85
MP-064,MAT-016,ATT-009,2026-03,17.0,14450.0,9146.85,63.3,126
MP-065,MAT-017,ATT-002,2025-12,64.4,54740.0,43627.78,79.7,116
MP-066,MAT-017,ATT-001,2026-01,27.7,23545.0,17752.93,75.4,93
MP-067,MAT-017,ATT-008,2026-02,35.5,15975.0,13818.38,86.5,91
MP-068,MAT-017,ATT-015,2026-03,76.2,72390.0,65151.0,90.0,124
MP-069,MAT-018,ATT-003,2025-12,107.1,91035.0,81840.47,89.9,111
MP-070,MAT-018,ATT-014,2026-01,113.5,96475.0,87406.35,90.6,125
MP-071,MAT-018,ATT-013,2026-02,116.8,52560.0,45937.44,87.4,77
MP-072,MAT-018,ATT-012,2026-03,92.4,78540.0,65580.9,83.5,49
MP-073,MAT-019,ATT-004,2025-12,27.2,17680.0,12871.04,72.8,111
MP-074,MAT-019,ATT-008,2026-01,43.4,19530.0,16717.68,85.6,9
MP-075,MAT-019,ATT-006,2026-02,106.9,58795.0,52327.55,89.0,49
MP-076,MAT-019,ATT-014,2026-03,104.5,78375.0,55567.88,70.9,21
MP-077,MAT-020,ATT-006,2025-12,57.4,43050.0,32847.15,76.3,148
MP-078,MAT-020,ATT-004,2026-01,63.5,34925.0,32131.0,92.0,16
MP-079,MAT-020,ATT-013,2026-02,106.5,58575.0,55704.82,95.1,136
MP-080,MAT-020,ATT-010,2026-03,83.6,71060.0,50736.84,71.4,117
