discovery_id,attorney_id,matter_id,date,review_type,docs_reviewed,docs_coded,privilege_flags,doc_time_min
DSC-0114,ATT-026,MAT-004,2026-01-21,responsiveness,99,95,7,83
DSC-0115,ATT-029,MAT-036,2026-02-15,TAR_review,48,48,2,87
DSC-0116,ATT-024,MAT-026,2026-03-18,first_pass,126,88,10,57
DSC-0117,ATT-026,MAT-008,2026-01-03,privilege_review,450,30,21,63
DSC-0118,ATT-021,MAT-018,2026-03-19,responsiveness,115,91,1,54
DSC-0119,ATT-023,MAT-009,2026-01-23,privilege_review,231,37,15,45
DSC-0120,ATT-012,MAT-006,2026-02-27,second_pass,288,169,5,29
DSC-0121,ATT-012,MAT-035,2026-01-25,first_pass,247,144,0,76
DSC-0122,ATT-029,MAT-008,2026-01-05,privilege_review,492,262,46,82
DSC-0123,ATT-010,MAT-007,2026-01-05,quality_check,500,279,43,31
DSC-0124,ATT-007,MAT-015,2026-02-15,TAR_review,462,282,7,15
DSC-0125,ATT-010,MAT-025,2026-03-22,quality_check,64,36,3,20
DSC-0126,ATT-004,MAT-006,2026-03-01,quality_check,179,178,6,56
DSC-0127,ATT-007,MAT-029,2026-02-10,hot_document,183,127,3,49
DSC-0128,ATT-005,MAT-015,2026-01-09,first_pass,338,301,32,28
DSC-0129,ATT-007,MAT-001,2026-03-12,privilege_review,158,51,9,88
DSC-0130,ATT-008,MAT-028,2026-02-03,hot_document,476,188,34,71
DSC-0131,ATT-002,MAT-015,2026-02-01,TAR_review,45,18,3,21
DSC-0132,ATT-003,MAT-028,2026-01-13,TAR_review,325,318,28,123
DSC-0133,ATT-012,MAT-025,2026-01-11,TAR_review,408,358,34,25
DSC-0134,ATT-030,MAT-028,2026-01-19,first_pass,436,425,29,27
DSC-0135,ATT-015,MAT-007,2026-03-22,TAR_review,412,253,30,44
DSC-0136,ATT-008,MAT-028,2026-03-28,privilege_review,487,201,25,38
DSC-0137,ATT-023,MAT-016,2026-02-11,responsiveness,269,22,2,75
DSC-0138,ATT-004,MAT-006,2026-02-16,quality_check,107,51,5,88
DSC-0139,ATT-005,MAT-039,2026-02-04,quality_check,385,69,20,86
DSC-0140,ATT-021,MAT-026,2026-02-26,hot_document,256,117,18,67
DSC-0141,ATT-008,MAT-018,2026-03-08,second_pass,266,113,2,58
DSC-0142,ATT-007,MAT-001,2026-02-14,hot_document,423,190,34,45
DSC-0143,ATT-006,MAT-036,2026-03-24,hot_document,448,264,7,90
DSC-0144,ATT-020,MAT-003,2026-03-11,first_pass,440,242,11,54
DSC-0145,ATT-013,MAT-040,2026-01-20,TAR_review,436,320,24,56
DSC-0146,ATT-016,MAT-030,2026-01-03,quality_check,91,89,0,33
DSC-0147,ATT-022,MAT-032,2026-03-15,privilege_review,219,172,18,72
DSC-0148,ATT-007,MAT-029,2026-02-22,privilege_review,311,170,27,59
DSC-0149,ATT-003,MAT-038,2026-03-20,responsiveness,453,80,18,52
DSC-0150,ATT-012,MAT-036,2026-01-02,TAR_review,306,198,3,51
