quality_id,document_id,attorney_id,date,document_type,accuracy_score,revision_count,review_time_min
WPQ-0079,DOC-1328,ATT-018,2026-01-23,opinion_letter,94.1,1,27
WPQ-0080,DOC-0686,ATT-008,2026-01-18,research_memo,94.5,4,99
WPQ-0081,DOC-0430,ATT-025,2026-01-24,discovery_response,88.0,2,74
WPQ-0082,DOC-1394,ATT-014,2026-01-09,motion,88.3,3,72
WPQ-0083,DOC-1027,ATT-017,2026-01-27,research_memo,94.1,5,115
WPQ-0084,DOC-1092,ATT-029,2026-02-10,agreement,88.3,5,98
WPQ-0085,DOC-1657,ATT-029,2026-01-03,research_memo,83.5,3,32
WPQ-0086,DOC-0591,ATT-003,2026-01-04,letter,86.2,2,73
WPQ-0087,DOC-0309,ATT-028,2026-03-07,brief,87.0,5,79
WPQ-0088,DOC-1909,ATT-005,2026-02-16,filing,89.5,5,12
WPQ-0089,DOC-0598,ATT-007,2026-01-03,memo,96.2,4,92
WPQ-0090,DOC-0688,ATT-014,2026-02-19,discovery_response,90.3,5,99
WPQ-0091,DOC-1086,ATT-027,2026-02-18,research_memo,87.2,1,111
WPQ-0092,DOC-0628,ATT-006,2026-02-26,memo,90.2,2,108
WPQ-0093,DOC-1732,ATT-002,2026-02-05,letter,89.8,1,89
WPQ-0094,DOC-1893,ATT-006,2026-03-23,letter,85.1,1,117
WPQ-0095,DOC-1451,ATT-023,2026-01-22,contract,86.0,0,50
WPQ-0096,DOC-1177,ATT-005,2026-02-15,discovery_response,85.1,4,100
WPQ-0097,DOC-0072,ATT-022,2026-02-11,contract,88.3,4,30
WPQ-0098,DOC-1093,ATT-010,2026-01-04,filing,97.8,1,68
WPQ-0099,DOC-1901,ATT-011,2026-01-05,opinion_letter,98.6,2,92
WPQ-0100,DOC-1445,ATT-010,2026-02-16,agreement,93.3,4,103
WPQ-0101,DOC-1858,ATT-030,2026-02-15,motion,94.4,0,27
WPQ-0102,DOC-1389,ATT-018,2026-02-04,brief,88.8,1,67
WPQ-0103,DOC-0732,ATT-003,2026-01-11,agreement,92.1,2,110
WPQ-0104,DOC-1917,ATT-025,2026-01-09,brief,83.4,3,96
WPQ-0105,DOC-1376,ATT-003,2026-02-17,memo,90.4,1,95
WPQ-0106,DOC-0740,ATT-013,2026-03-05,filing,88.3,2,11
WPQ-0107,DOC-0583,ATT-012,2026-02-12,research_memo,96.9,0,37
WPQ-0108,DOC-1491,ATT-029,2026-03-15,filing,95.7,2,30
WPQ-0109,DOC-1651,ATT-024,2026-03-14,filing,84.4,4,86
WPQ-0110,DOC-0177,ATT-005,2026-02-07,research_memo,98.8,4,52
WPQ-0111,DOC-0136,ATT-030,2026-02-19,motion,82.1,5,44
WPQ-0112,DOC-0849,ATT-006,2026-02-18,agreement,94.8,1,35
WPQ-0113,DOC-0381,ATT-027,2026-02-13,opinion_letter,90.3,2,116
WPQ-0114,DOC-1199,ATT-010,2026-03-16,research_memo,85.8,0,29
WPQ-0115,DOC-0538,ATT-010,2026-03-21,research_memo,84.1,5,46
WPQ-0116,DOC-0855,ATT-006,2026-03-16,memo,82.5,2,73
WPQ-0117,DOC-1988,ATT-003,2026-03-20,discovery_response,91.4,4,43
WPQ-0118,DOC-1287,ATT-022,2026-03-16,motion,88.3,5,83
WPQ-0119,DOC-0036,ATT-028,2026-01-09,agreement,83.0,2,69
WPQ-0120,DOC-1799,ATT-023,2026-02-05,contract,82.9,2,63
WPQ-0121,DOC-1304,ATT-030,2026-01-12,letter,87.0,5,19
WPQ-0122,DOC-1053,ATT-007,2026-03-25,contract,95.0,4,106
WPQ-0123,DOC-0343,ATT-018,2026-02-11,letter,86.6,5,98
WPQ-0124,DOC-0743,ATT-004,2026-03-18,discovery_response,96.0,0,27
WPQ-0125,DOC-1062,ATT-010,2026-02-12,filing,87.8,1,23
WPQ-0126,DOC-0447,ATT-005,2026-01-17,memo,95.5,4,88
WPQ-0127,DOC-1413,ATT-027,2026-03-17,opinion_letter,93.9,0,63
WPQ-0128,DOC-0944,ATT-030,2026-01-03,contract,97.7,3,54
WPQ-0129,DOC-0639,ATT-023,2026-01-12,research_memo,97.1,4,76
WPQ-0130,DOC-1564,ATT-011,2026-03-06,letter,82.5,0,38
WPQ-0131,DOC-0264,ATT-028,2026-01-23,memo,87.2,1,26
WPQ-0132,DOC-0161,ATT-014,2026-01-23,motion,82.3,3,106
WPQ-0133,DOC-0884,ATT-002,2026-01-07,brief,95.5,4,85
WPQ-0134,DOC-0122,ATT-016,2026-02-04,brief,83.1,5,11
WPQ-0135,DOC-1546,ATT-004,2026-01-26,agreement,85.5,1,33
WPQ-0136,DOC-1374,ATT-012,2026-01-01,contract,96.4,2,84
WPQ-0137,DOC-0713,ATT-012,2026-03-06,agreement,86.1,4,18
WPQ-0138,DOC-0203,ATT-027,2026-01-19,opinion_letter,85.7,1,46
WPQ-0139,DOC-0352,ATT-029,2026-03-25,brief,98.6,0,37
WPQ-0140,DOC-1886,ATT-017,2026-03-28,research_memo,88.2,4,33
WPQ-0141,DOC-0901,ATT-022,2026-01-04,discovery_response,98.7,3,37
WPQ-0142,DOC-1054,ATT-008,2026-01-14,discovery_response,84.1,0,76
WPQ-0143,DOC-0279,ATT-016,2026-02-25,letter,91.5,0,20
WPQ-0144,DOC-0672,ATT-016,2026-02-04,letter,89.8,5,49
WPQ-0145,DOC-1408,ATT-027,2026-01-15,opinion_letter,88.9,3,34
WPQ-0146,DOC-1755,ATT-003,2026-02-27,discovery_response,87.0,4,96
WPQ-0147,DOC-0216,ATT-013,2026-03-15,motion,84.0,3,61
WPQ-0148,DOC-1424,ATT-019,2026-03-04,contract,83.1,1,53
WPQ-0149,DOC-0411,ATT-020,2026-02-28,motion,86.0,3,102
WPQ-0150,DOC-1023,ATT-009,2026-03-25,agreement,81.5,7,61
WPQ-0151,DOC-0730,ATT-016,2026-03-22,filing,98.8,4,45
WPQ-0152,DOC-0302,ATT-025,2026-01-15,motion,86.3,3,39
WPQ-0153,DOC-1287,ATT-005,2026-01-01,brief,96.1,3,96
WPQ-0154,DOC-0055,ATT-006,2026-03-13,discovery_response,84.6,4,89
WPQ-0155,DOC-0198,ATT-025,2026-03-03,opinion_letter,95.0,3,35
WPQ-0156,DOC-0602,ATT-022,2026-02-16,opinion_letter,86.4,2,113
WPQ-0157,DOC-1761,ATT-018,2026-01-18,brief,98.8,0,59
WPQ-0158,DOC-0922,ATT-011,2026-02-28,research_memo,89.8,0,32
WPQ-0159,DOC-1141,ATT-022,2026-02-28,contract,90.4,1,49
WPQ-0160,DOC-1466,ATT-013,2026-01-16,agreement,93.5,5,80
WPQ-0161,DOC-1404,ATT-018,2026-02-19,research_memo,91.6,1,74
WPQ-0162,DOC-0115,ATT-013,2026-02-09,agreement,98.5,4,96
WPQ-0163,DOC-0723,ATT-025,2026-02-10,brief,82.5,0,26
WPQ-0164,DOC-1715,ATT-012,2026-03-12,agreement,82.5,5,53
WPQ-0165,DOC-0780,ATT-004,2026-02-14,discovery_response,89.0,0,94
WPQ-0166,DOC-0501,ATT-008,2026-03-08,letter,92.1,5,18
WPQ-0167,DOC-1780,ATT-010,2026-02-04,contract,82.3,2,14
WPQ-0168,DOC-0944,ATT-022,2026-02-28,agreement,90.8,3,44
WPQ-0169,DOC-0042,ATT-023,2026-03-16,brief,98.8,3,83
WPQ-0170,DOC-0800,ATT-011,2026-01-19,research_memo,83.7,5,36
WPQ-0171,DOC-0689,ATT-016,2026-03-17,discovery_response,84.8,2,56
WPQ-0172,DOC-1986,ATT-014,2026-02-07,motion,96.3,4,37
WPQ-0173,DOC-0589,ATT-009,2026-02-02,agreement,78.4,3,89
WPQ-0174,DOC-1522,ATT-003,2026-03-23,motion,91.5,3,18
WPQ-0175,DOC-1161,ATT-026,2026-02-17,filing,85.6,0,93
WPQ-0176,DOC-1688,ATT-010,2026-02-17,filing,93.3,2,35
WPQ-0177,DOC-0849,ATT-013,2026-03-09,opinion_letter,89.7,4,33
WPQ-0178,DOC-1805,ATT-001,2026-03-21,opinion_letter,96.7,4,73
WPQ-0179,DOC-0437,ATT-022,2026-03-27,research_memo,86.6,5,78
WPQ-0180,DOC-1657,ATT-020,2026-02-28,agreement,94.4,0,76
WPQ-0181,DOC-0411,ATT-012,2026-01-15,memo,84.6,5,107
WPQ-0182,DOC-0615,ATT-028,2026-02-14,discovery_response,96.6,0,91
WPQ-0183,DOC-0417,ATT-028,2026-02-14,letter,93.0,2,97
WPQ-0184,DOC-1232,ATT-008,2026-01-13,motion,84.5,0,41
WPQ-0185,DOC-1633,ATT-027,2026-02-10,research_memo,91.5,3,64
WPQ-0186,DOC-1325,ATT-029,2026-01-02,contract,86.6,0,43
WPQ-0187,DOC-1618,ATT-026,2026-03-09,opinion_letter,85.0,0,102
WPQ-0188,DOC-0996,ATT-026,2026-01-01,motion,87.3,2,120
WPQ-0189,DOC-0131,ATT-029,2026-02-14,motion,88.7,5,117
WPQ-0190,DOC-0288,ATT-008,2026-03-04,opinion_letter,97.9,4,95
WPQ-0191,DOC-1698,ATT-019,2026-03-25,letter,90.4,0,40
WPQ-0192,DOC-1229,ATT-004,2026-02-25,discovery_response,96.1,5,59
WPQ-0193,DOC-1651,ATT-024,2026-01-24,filing,85.7,0,32
WPQ-0194,DOC-0439,ATT-009,2026-02-15,letter,85.8,2,72
WPQ-0195,DOC-1093,ATT-012,2026-01-23,discovery_response,91.3,3,97
WPQ-0196,DOC-0505,ATT-009,2026-01-26,discovery_response,79.6,4,115
WPQ-0197,DOC-0632,ATT-001,2026-03-21,brief,96.3,5,112
WPQ-0198,DOC-1927,ATT-002,2026-03-23,memo,86.3,3,49
WPQ-0199,DOC-1309,ATT-023,2026-03-12,motion,91.1,1,119
WPQ-0200,DOC-0907,ATT-013,2026-02-01,letter,87.1,1,48
