comm_id,attorney_id,client_id,timestamp,comm_type,response_time_min,matter_id
COM-0052,ATT-010,CLI-018,2026-03-20T09:55:00Z,email,6,MAT-025
COM-0053,ATT-008,CLI-003,2026-03-20T08:48:00Z,phone,67,MAT-022
COM-0054,ATT-017,CLI-025,2026-03-21T15:07:00Z,phone,319,MAT-039
COM-0055,ATT-009,CLI-003,2026-03-20T12:11:00Z,email,101,MAT-022
COM-0056,ATT-018,CLI-009,2026-03-20T16:51:00Z,text,397,MAT-011
COM-0057,ATT-003,CLI-003,2026-03-20T12:10:00Z,phone,358,MAT-038
COM-0058,ATT-018,CLI-007,2026-03-22T12:01:00Z,email,204,MAT-016
COM-0059,ATT-026,CLI-025,2026-03-20T19:32:00Z,in_person,211,MAT-008
COM-0060,ATT-007,CLI-006,2026-03-22T17:30:00Z,in_person,387,MAT-029
COM-0061,ATT-023,CLI-003,2026-03-20T20:42:00Z,letter,404,MAT-016
COM-0062,ATT-016,CLI-018,2026-03-21T12:41:00Z,email,465,MAT-023
COM-0063,ATT-002,CLI-002,2026-03-20T07:36:00Z,email,345,MAT-009
COM-0064,ATT-030,CLI-012,2026-03-21T18:53:00Z,email,166,MAT-019
COM-0065,ATT-028,CLI-015,2026-03-20T20:06:00Z,phone,292,MAT-025
COM-0066,ATT-025,CLI-004,2026-03-20T14:31:00Z,phone,287,MAT-032
COM-0067,ATT-024,CLI-025,2026-03-20T16:51:00Z,email,432,MAT-026
COM-0068,ATT-021,CLI-011,2026-03-21T15:52:00Z,phone,24,MAT-018
COM-0069,ATT-028,CLI-004,2026-03-21T17:08:00Z,video_call,422,MAT-025
COM-0070,ATT-013,CLI-005,2026-03-21T20:26:00Z,text,276,MAT-037
COM-0071,ATT-012,CLI-003,2026-03-21T18:19:00Z,phone,18,MAT-006
COM-0072,ATT-010,CLI-011,2026-03-22T08:55:00Z,email,273,MAT-025
COM-0073,ATT-020,CLI-020,2026-03-21T08:06:00Z,text,398,MAT-015
COM-0074,ATT-011,CLI-011,2026-03-20T16:13:00Z,phone,45,MAT-023
COM-0075,ATT-008,CLI-002,2026-03-21T20:48:00Z,phone,282,MAT-022
COM-0076,ATT-030,CLI-003,2026-03-22T17:19:00Z,email,211,MAT-019
COM-0077,ATT-025,CLI-002,2026-03-21T08:42:00Z,email,384,MAT-033
COM-0078,ATT-002,CLI-005,2026-03-20T16:00:00Z,email,249,MAT-015
COM-0079,ATT-002,CLI-016,2026-03-21T15:06:00Z,email,307,MAT-009
COM-0080,ATT-018,CLI-008,2026-03-21T09:11:00Z,video_call,296,MAT-035
