billing_id,matter_id,attorney_id,timestamp,invoice_amount,write_down_amount,status,dispute_flag
BIL-0031,MAT-023,ATT-012,2026-03-23T17:52:00Z,246343.89,13754.46,sent,false
BIL-0032,MAT-040,ATT-008,2026-03-16T15:04:00Z,238525.18,4904.3,paid,false
BIL-0033,MAT-004,ATT-015,2026-02-12T11:04:00Z,172091.72,1350.84,paid,false
BIL-0034,MAT-002,ATT-012,2026-02-20T15:45:00Z,192269.47,3076.85,partial_payment,false
BIL-0035,MAT-020,ATT-009,2026-03-23T13:21:00Z,61978.27,15844.84,paid,false
BIL-0036,MAT-035,ATT-011,2026-02-19T09:39:00Z,17977.88,1627.64,disputed,false
BIL-0037,MAT-005,ATT-010,2026-03-03T15:46:00Z,44495.77,1039.17,disputed,false
BIL-0038,MAT-012,ATT-014,2026-01-06T16:46:00Z,34277.52,366.52,paid,false
BIL-0039,MAT-025,ATT-013,2026-02-14T16:08:00Z,212580.06,4667.99,sent,false
BIL-0040,MAT-028,ATT-015,2026-02-09T10:11:00Z,68823.86,1656.79,paid,false
BIL-0041,MAT-006,ATT-006,2026-01-15T17:16:00Z,9998.19,727.26,sent,false
BIL-0042,MAT-024,ATT-002,2026-01-06T17:00:00Z,6141.95,283.58,pending_review,true
BIL-0043,MAT-037,ATT-006,2026-01-28T11:12:00Z,160938.03,9621.55,pending_review,false
BIL-0044,MAT-007,ATT-014,2026-01-22T14:36:00Z,48347.43,2556.79,disputed,false
BIL-0045,MAT-033,ATT-003,2026-02-27T09:39:00Z,14499.7,935.39,pending_review,false
BIL-0046,MAT-020,ATT-015,2026-01-10T14:43:00Z,49202.11,3061.29,paid,false
BIL-0047,MAT-039,ATT-003,2026-02-20T16:59:00Z,166329.56,16601.76,pending_review,false
BIL-0048,MAT-036,ATT-002,2026-01-11T14:09:00Z,63665.58,6246.25,paid,false
BIL-0049,MAT-023,ATT-001,2026-03-16T10:54:00Z,132361.73,10538.84,paid,false
BIL-0050,MAT-037,ATT-012,2026-03-18T15:48:00Z,138863.37,3348.25,paid,false
BIL-0051,MAT-013,ATT-005,2026-02-21T15:27:00Z,97381.4,5731.46,paid,false
BIL-0052,MAT-031,ATT-010,2026-02-13T16:50:00Z,193831.49,17929.63,paid,false
BIL-0053,MAT-003,ATT-004,2026-02-03T17:11:00Z,162028.44,14373.68,sent,false
BIL-0054,MAT-020,ATT-007,2026-02-07T17:03:00Z,206817.8,16979.71,paid,false
BIL-0055,MAT-012,ATT-009,2026-03-12T09:58:00Z,57550.83,10393.19,sent,true
BIL-0056,MAT-021,ATT-002,2026-01-23T16:13:00Z,144930.61,10661.39,paid,true
BIL-0057,MAT-008,ATT-015,2026-01-10T12:42:00Z,204341.25,20384.36,pending_review,false
BIL-0058,MAT-015,ATT-006,2026-02-27T09:09:00Z,39709.01,1173.04,write_off,false
BIL-0059,MAT-028,ATT-011,2026-03-19T13:13:00Z,235366.83,18452.84,paid,false
BIL-0060,MAT-001,ATT-007,2026-02-27T15:17:00Z,211445.39,4808.18,sent,false
