entry_id,attorney_id,timestamp,matter_id,task_type,duration_min,billable_flag
TT-0044,ATT-002,2026-03-22T14:30:00Z,MAT-007,TSK-002,16,true
TT-0045,ATT-008,2026-03-20T11:32:00Z,MAT-028,TSK-011,88,false
TT-0046,ATT-013,2026-03-20T16:31:00Z,MAT-013,TSK-001,177,true
TT-0047,ATT-023,2026-03-21T09:02:00Z,MAT-016,TSK-007,156,true
TT-0048,ATT-002,2026-03-20T22:00:00Z,MAT-015,TSK-012,185,false
TT-0049,ATT-003,2026-03-22T12:25:00Z,MAT-028,TSK-007,44,true
TT-0050,ATT-018,2026-03-22T16:17:00Z,MAT-035,TSK-018,101,true
TT-0051,ATT-017,2026-03-20T13:48:00Z,MAT-005,TSK-020,71,false
TT-0052,ATT-011,2026-03-21T15:25:00Z,MAT-039,TSK-004,172,true
TT-0053,ATT-010,2026-03-20T21:38:00Z,MAT-007,TSK-017,203,true
TT-0054,ATT-013,2026-03-20T10:02:00Z,MAT-024,TSK-013,211,false
TT-0055,ATT-004,2026-03-20T16:53:00Z,MAT-002,TSK-007,232,true
TT-0056,ATT-019,2026-03-21T21:03:00Z,MAT-036,TSK-008,151,true
TT-0057,ATT-029,2026-03-20T07:19:00Z,MAT-036,TSK-001,61,true
TT-0058,ATT-027,2026-03-21T13:31:00Z,MAT-011,TSK-013,190,false
TT-0059,ATT-011,2026-03-21T12:58:00Z,MAT-003,TSK-016,128,true
TT-0060,ATT-018,2026-03-21T14:04:00Z,MAT-011,TSK-020,33,false
TT-0061,ATT-029,2026-03-20T08:54:00Z,MAT-034,TSK-001,76,true
TT-0062,ATT-030,2026-03-21T21:24:00Z,MAT-022,TSK-019,46,false
TT-0063,ATT-004,2026-03-21T13:41:00Z,MAT-002,TSK-007,114,true
TT-0064,ATT-024,2026-03-20T15:26:00Z,MAT-026,TSK-001,82,true
TT-0065,ATT-025,2026-03-20T16:09:00Z,MAT-009,TSK-009,122,true
TT-0066,ATT-030,2026-03-20T07:56:00Z,MAT-008,TSK-016,50,true
TT-0067,ATT-001,2026-03-20T14:29:00Z,MAT-002,TSK-019,183,false
TT-0068,ATT-018,2026-03-21T07:44:00Z,MAT-016,TSK-019,128,false
TT-0069,ATT-003,2026-03-20T09:25:00Z,MAT-038,TSK-013,13,false
TT-0070,ATT-002,2026-03-21T21:26:00Z,MAT-009,TSK-006,9,true
TT-0071,ATT-019,2026-03-22T09:49:00Z,MAT-025,TSK-009,187,true
TT-0072,ATT-010,2026-03-20T15:01:00Z,MAT-007,TSK-009,229,true
TT-0073,ATT-007,2026-03-22T21:51:00Z,MAT-029,TSK-001,172,true
TT-0074,ATT-002,2026-03-21T22:50:00Z,MAT-007,TSK-008,189,true
TT-0075,ATT-028,2026-03-21T18:05:00Z,MAT-025,TSK-020,100,false
TT-0076,ATT-015,2026-03-22T12:23:00Z,MAT-025,TSK-012,191,false
TT-0077,ATT-018,2026-03-20T17:47:00Z,MAT-011,TSK-012,110,false
TT-0078,ATT-006,2026-03-21T21:22:00Z,MAT-013,TSK-010,43,false
TT-0079,ATT-027,2026-03-21T20:23:00Z,MAT-039,TSK-014,28,true
TT-0080,ATT-020,2026-03-20T17:59:00Z,MAT-003,TSK-012,171,false
